,section,path,text
0,.383a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dCrat.%3Asection%3D383a,"βούλει οὖν καὶ Σωκράτει τῷδε ἀνακοινωσώμεθα τὸν λόγον; εἴ σοι δοκεῖ. Κρατύλος φησὶν ὅδε, ὦ Σώκρατες, ὀνόματος ὀρθότητα εἶναι ἑκάστῳ τῶν ὄντων φύσει πεφυκυῖαν, καὶ οὐ τοῦτο εἶναι ὄνομα ὃ ἄν τινες συνθέμενοι καλεῖν καλῶσι, τῆς αὑτῶν φωνῆς μόριον ἐπιφθεγγόμενοι, ἀλλὰ ὀρθότητά τινα τῶν
"
1,.383b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dCrat.%3Asection%3D383b,"ὀνομάτων πεφυκέναι καὶ Ἕλλησι καὶ βαρβάροις τὴν αὐτὴν ἅπασιν. ἐρωτῶ οὖν αὐτὸν ἐγὼ εἰ αὐτῷ Κρατύλος τῇ ἀληθείᾳ ὄνομα ἐστὶν ἢ οὔ: ὁ δὲ ὁμολογεῖ. τί δὲ Σωκράτει; ἔφην. Σωκράτης, ἦ δ᾽ ὅς. οὐκοῦν καὶ τοῖς ἄλλοις ἀνθρώποις πᾶσιν, ὅπερ καλοῦμεν ὄνομα ἕκαστον, τοῦτό ἐστιν ἑκάστῳ ὄνομα; ὁ δέ, οὔκουν σοί γε, ἦ δ᾽ ὅς, ὄνομα Ἑρμογένης, οὐδὲ ἂν πάντες καλῶσιν ἄνθρωποι. καὶ ἐμοῦ ἐρωτῶντος καὶ προθυμουμένου εἰδέναι ὅτι ποτὲ
"
2,.384a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dCrat.%3Asection%3D384a,"λέγει, οὔτε ἀποσαφεῖ οὐδὲν εἰρωνεύεταί τε πρός με, προσποιούμενός τι αὐτὸς ἐν ἑαυτῷ διανοεῖσθαι ὡς εἰδὼς περὶ αὐτοῦ, ὃ εἰ βούλοιτο σαφῶς εἰπεῖν, ποιήσειεν ἂν καὶ ἐμὲ ὁμολογεῖν καὶ λέγειν ἅπερ αὐτὸς λέγει. εἰ οὖν πῃ ἔχεις συμβαλεῖν τὴν Κρατύλου μαντείαν, ἡδέως ἂν ἀκούσαιμι: μᾶλλον δὲ αὐτῷ σοι ὅπῃ δοκεῖ ἔχειν περὶ ὀνομάτων ὀρθότητος ἔτι ἂν ἥδιον πυθοίμην, εἴ σοι βουλομένῳ ἐστίν. ὦ παῖ Ἱππονίκου Ἑρμόγενες, παλαιὰ παροιμία ὅτι
"
3,.384b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dCrat.%3Asection%3D384b,"χαλεπὰ τὰ καλά ἐστιν ὅπῃ ἔχει μαθεῖν: καὶ δὴ καὶ τὸ περὶ τῶν ὀνομάτων οὐ σμικρὸν τυγχάνει ὂν μάθημα. εἰ μὲν οὖν ἐγὼ ἤδη ἠκηκόη παρὰ Προδίκου τὴν πεντηκοντάδραχμον ἐπίδειξιν, ἣν ἀκούσαντι ὑπάρχει περὶ τοῦτο πεπαιδεῦσθαι, ὥς φησιν ἐκεῖνος, οὐδὲν ἂν ἐκώλυέν σε αὐτίκα μάλα εἰδέναι τὴν ἀλήθειαν περὶ ὀνομάτων ὀρθότητος: νῦν δὲ οὐκ ἀκήκοα,
"
4,.384c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dCrat.%3Asection%3D384c,"ἀλλὰ τὴν δραχμιαίαν. οὔκουν οἶδα πῇ ποτε τὸ ἀληθὲς ἔχει περὶ τῶν τοιούτων: συζητεῖν μέντοι ἕτοιμός εἰμι καὶ σοὶ καὶ Κρατύλῳ κοινῇ. ὅτι δὲ οὔ φησί σοι Ἑρμογένη ὄνομα εἶναι τῇ ἀληθείᾳ, ὥσπερ ὑποπτεύω αὐτὸν σκώπτειν: οἴεται γὰρ ἴσως σε χρημάτων ἐφιέμενον κτήσεως ἀποτυγχάνειν ἑκάστοτε. ἀλλ᾽, ὃ νυνδὴ ἔλεγον, εἰδέναι μὲν τὰ τοιαῦτα χαλεπόν, εἰς τὸ κοινὸν δὲ καταθέντας χρὴ σκοπεῖν εἴτε ὡς σὺ λέγεις ἔχει εἴτε ὡς Κρατύλος. καὶ μὴν ἔγωγε, ὦ Σώκρατες, πολλάκις δὴ καὶ τούτῳ διαλεχθεὶς καὶ ἄλλοις πολλοῖς, οὐ δύναμαι πεισθῆναι
"
5,.384d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dCrat.%3Asection%3D384d,"ὡς ἄλλη τις ὀρθότης ὀνόματος ἢ συνθήκη καὶ ὁμολογία. ἐμοὶ γὰρ δοκεῖ ὅτι ἄν τίς τῳ θῆται ὄνομα, τοῦτο εἶναι τὸ ὀρθόν: καὶ ἂν αὖθίς γε ἕτερον μεταθῆται, ἐκεῖνο δὲ μηκέτι καλῇ, οὐδὲν ἧττον τὸ ὕστερον ὀρθῶς ἔχειν τοῦ προτέρου, ὥσπερ τοῖς οἰκέταις ἡμεῖς μετατιθέμεθα οὐδὲν ἧττον τοῦτ᾽ εἶναι ὀρθὸν τὸ μετατεθὲν τοῦ πρότερον κειμένου: οὐ γὰρ φύσει ἑκάστῳ πεφυκέναι ὄνομα οὐδὲν οὐδενί, ἀλλὰ νόμῳ καὶ ἔθει τῶν ἐθισάντων τε καὶ καλούντων. εἰ δέ πῃ ἄλλῃ
"
6,.384e,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dCrat.%3Asection%3D384e,"ἔχει, ἕτοιμος ἔγωγε καὶ μανθάνειν καὶ ἀκούειν οὐ μόνον παρὰ Κρατύλου, ἀλλὰ καὶ παρ᾽ ἄλλου ὁτουοῦν.
"
7,.385a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dCrat.%3Asection%3D385a," ἴσως μέντοι τὶ λέγεις, ὦ Ἑρμόγενες: σκεψώμεθα δέ. ὃ ἂν φῂς καλῇ τις ἕκαστον, τοῦθ᾽ ἑκάστῳ ὄνομα; ἔμοιγε δοκεῖ. καὶ ἐὰν ἰδιώτης καλῇ καὶ ἐὰν πόλις; φημί. τί οὖν; ἐὰν ἐγὼ καλῶ ὁτιοῦν τῶν ὄντων, οἷον ὃ νῦν καλοῦμεν ἄνθρωπον, ἐὰν ἐγὼ τοῦτο ἵππον προσαγορεύω, ὃ δὲ νῦν ἵππον, ἄνθρωπον, ἔσται δημοσίᾳ μὲν ὄνομα ἄνθρωπος τῷ αὐτῷ, ἰδίᾳ δὲ ἵππος; καὶ ἰδίᾳ μὲν αὖ ἄνθρωπος, δημοσίᾳ δὲ ἵππος; οὕτω λέγεις;
"
8,.385b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dCrat.%3Asection%3D385b," ἔμοιγε δοκεῖ. φέρε δή μοι τόδε εἰπέ: καλεῖς τι ἀληθῆ λέγειν καὶ ψευδῆ; ἔγωγε. οὐκοῦν εἴη ἂν λόγος ἀληθής, ὁ δὲ ψευδής; πάνυ γε. ἆρ᾽ οὖν οὗτος ὃς ἂν τὰ ὄντα λέγῃ ὡς ἔστιν, ἀληθής: ὃς δ᾽ ἂν ὡς οὐκ ἔστιν, ψευδής; ναί. ἔστιν ἄρα τοῦτο, λόγῳ λέγειν τὰ ὄντα τε καὶ μή; πάνυ γε.
"
9,.385c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dCrat.%3Asection%3D385c," ὁ λόγος δ᾽ ἐστὶν ὁ ἀληθὴς πότερον μὲν ὅλος ἀληθής, τὰ μόρια δ᾽ αὐτοῦ οὐκ ἀληθῆ; οὔκ, ἀλλὰ καὶ τὰ μόρια. πότερον δὲ τὰ μὲν μεγάλα μόρια ἀληθῆ, τὰ δὲ σμικρὰ οὔ: ἢ πάντα; πάντα, οἶμαι ἔγωγε. ἔστιν οὖν ὅτι λέγεις λόγου σμικρότερον μόριον ἄλλο ἢ ὄνομα; οὔκ, ἀλλὰ τοῦτο σμικρότατον. καὶ τοῦτο ὄνομα ἄρα τὸ τοῦ ἀληθοῦς λόγου λέγεται; ναί. ἀληθές γε, ὡς φῄς. ναί. τὸ δὲ τοῦ ψεύδους μόριον οὐ ψεῦδος; φημί. ἔστιν ἄρα ὄνομα ψεῦδος καὶ ἀληθὲς λέγειν, εἴπερ καὶ λόγον;
"
