,section,path,text
0,.530a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dIon%3Asection%3D530a,"τὸν Ἴωνα χαίρειν. πόθεν τὰ νῦν ἡμῖν ἐπιδεδήμηκας; ἢ οἴκοθεν ἐξ Ἐφέσου; οὐδαμῶς, ὦ Σώκρατες, ἀλλ᾽ ἐξ Ἐπιδαύρου ἐκ τῶν Ἀσκληπιείων. μῶν καὶ ῥαψῳδῶν ἀγῶνα τιθέασιν τῷ θεῷ οἱ Ἐπιδαύριοι; πάνυ γε, καὶ τῆς ἄλλης γε μουσικῆς. τί οὖν; ἠγωνίζου τι ἡμῖν; καὶ πῶς τι ἠγωνίσω;
"
1,.530b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dIon%3Asection%3D530b," τὰ πρῶτα τῶν ἄθλων ἠνεγκάμεθα, ὦ Σώκρατες. εὖ λέγεις: ἄγε δὴ ὅπως καὶ τὰ Παναθήναια νικήσομεν. ἀλλ᾽ ἔσται ταῦτα, ἐὰν θεὸς ἐθέλῃ. καὶ μὴν πολλάκις γε ἐζήλωσα ὑμᾶς τοὺς ῥαψῳδούς, ὦ Ἴων, τῆς τέχνης: τὸ γὰρ ἅμα μὲν τὸ σῶμα κεκοσμῆσθαι ἀεὶ πρέπον ὑμῶν εἶναι τῇ τέχνῃ καὶ ὡς καλλίστοις φαίνεσθαι, ἅμα δὲ ἀναγκαῖον εἶναι ἔν τε ἄλλοις ποιηταῖς διατρίβειν πολλοῖς καὶ ἀγαθοῖς καὶ δὴ καὶ μάλιστα ἐν Ὁμήρῳ, τῷ ἀρίστῳ καὶ θειοτάτῳ τῶν ποιητῶν, καὶ τὴν τούτου διάνοιαν
"
2,.530c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dIon%3Asection%3D530c,"ἐκμανθάνειν, μὴ μόνον τὰ ἔπη, ζηλωτόν ἐστιν. οὐ γὰρ ἂν γένοιτό ποτε ἀγαθὸς ῥαψῳδός, εἰ μὴ συνείη τὰ λεγόμενα ὑπὸ τοῦ ποιητοῦ. τὸν γὰρ ῥαψῳδὸν ἑρμηνέα δεῖ τοῦ ποιητοῦ τῆς διανοίας γίγνεσθαι τοῖς ἀκούουσι: τοῦτο δὲ καλῶς ποιεῖν μὴ γιγνώσκοντα ὅτι λέγει ὁ ποιητὴς ἀδύνατον. ταῦτα οὖν πάντα ἄξια ζηλοῦσθαι. ἀληθῆ λέγεις, ὦ Σώκρατες: ἐμοὶ γοῦν τοῦτο πλεῖστον ἔργον παρέσχεν τῆς τέχνης, καὶ οἶμαι κάλλιστα ἀνθρώπων λέγειν περὶ Ὁμήρου, ὡς οὔτε Μητρόδωρος ὁ
"
3,.530d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dIon%3Asection%3D530d,"Λαμψακηνὸς οὔτε Στησίμβροτος ὁ Θάσιος οὔτε Γλαύκων οὔτε ἄλλος οὐδεὶς τῶν πώποτε γενομένων ἔσχεν εἰπεῖν οὕτω πολλὰς καὶ καλὰς διανοίας περὶ Ὁμήρου ὅσας ἐγώ. εὖ λέγεις, ὦ Ἴων: δῆλον γὰρ ὅτι οὐ φθονήσεις μοι ἐπιδεῖξαι. καὶ μὴν ἄξιόν γε ἀκοῦσαι, ὦ Σώκρατες, ὡς εὖ κεκόσμηκα τὸν Ὅμηρον: ὥστε οἶμαι ὑπὸ Ὁμηριδῶν ἄξιος εἶναι χρυσῷ στεφάνῳ στεφανωθῆναι. καὶ μὴν ἐγὼ ἔτι ποιήσομαι σχολὴν ἀκροάσασθαί
"
4,.531a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dIon%3Asection%3D531a,"σου, νῦν δέ μοι τοσόνδε ἀπόκριναι: πότερον περὶ Ὁμήρου μόνον δεινὸς εἶ ἢ καὶ περὶ Ἡσιόδου καὶ Ἀρχιλόχου; οὐδαμῶς, ἀλλὰ περὶ Ὁμήρου μόνον: ἱκανὸν γάρ μοι δοκεῖ εἶναι. ἔστι δὲ περὶ ὅτου Ὅμηρός τε καὶ Ἡσίοδος ταὐτὰ λέγετον; οἶμαι ἔγωγε καὶ πολλά. πότερον οὖν περὶ τούτων κάλλιον ἂν ἐξηγήσαιο ἃ Ὅμηρος λέγει ἢ ἃ Ἡσίοδος; ὁμοίως ἂν περί γε τούτων, ὦ
"
5,.531b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dIon%3Asection%3D531b,"Σώκρατες, περὶ ὧν ταὐτὰ λέγουσιν. τί δὲ ὧν πέρι μὴ ταὐτὰ λέγουσιν; οἷον περὶ μαντικῆς λέγει τι Ὅμηρός τε καὶ Ἡσίοδος. πάνυ γε. τί οὖν; ὅσα τε ὁμοίως καὶ ὅσα διαφόρως περὶ μαντικῆς λέγετον τὼ ποιητὰ τούτω, πότερον σὺ κάλλιον ἂν ἐξηγήσαιο ἢ τῶν μάντεών τις τῶν ἀγαθῶν; τῶν μάντεων. εἰ δὲ σὺ ἦσθα μάντις, οὐκ, εἴπερ περὶ τῶν ὁμοίως λεγομένων οἷός τ᾽ ἦσθα ἐξηγήσασθαι, καὶ περὶ τῶν διαφόρως λεγομένων ἠπίστω ἂν ἐξηγεῖσθαι; δῆλον ὅτι.
"
6,.531c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dIon%3Asection%3D531c," τί οὖν ποτε περὶ μὲν Ὁμήρου δεινὸς εἶ, περὶ δὲ Ἡσιόδου οὔ, οὐδὲ τῶν ἄλλων ποιητῶν; ἢ Ὅμηρος περὶ ἄλλων τινῶν λέγει ἢ ὧνπερ σύμπαντες οἱ ἄλλοι ποιηταί; οὐ περὶ πολέμου τε τὰ πολλὰ διελήλυθεν καὶ περὶ ὁμιλιῶν πρὸς ἀλλήλους ἀνθρώπων ἀγαθῶν τε καὶ κακῶν καὶ ἰδιωτῶν καὶ δημιουργῶν, καὶ περὶ θεῶν πρὸς ἀλλήλους καὶ πρὸς ἀνθρώπους ὁμιλούντων, ὡς ὁμιλοῦσι, καὶ περὶ τῶν οὐρανίων παθημάτων καὶ περὶ τῶν ἐν Ἅιδου, καὶ γενέσεις καὶ θεῶν
"
7,.531d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dIon%3Asection%3D531d,"καὶ ἡρώων; οὐ ταῦτά ἐστι περὶ ὧν Ὅμηρος τὴν ποίησιν πεποίηκεν; ἀληθῆ λέγεις, ὦ Σώκρατες. τί δὲ οἱ ἄλλοι ποιηταί; οὐ περὶ τῶν αὐτῶν τούτων; ναί, ἀλλ᾽, ὦ Σώκρατες, οὐχ ὁμοίως πεποιήκασι καὶ Ὅμηρος. τί μήν; κάκιον; πολύ γε. Ὅμηρος δὲ ἄμεινον; ἄμεινον μέντοι νὴ Δία. οὐκοῦν, ὦ φίλη κεφαλὴ Ἴων, ὅταν περὶ ἀριθμοῦ πολλῶν λεγόντων εἷς τις ἄριστα λέγῃ, γνώσεται δήπου τις
"
8,.531e,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dIon%3Asection%3D531e,"τὸν εὖ λέγοντα; φημί. πότερον οὖν ὁ αὐτὸς ὅσπερ καὶ τοὺς κακῶς λέγοντας, ἢ ἄλλος; ὁ αὐτὸς δήπου. οὐκοῦν ὁ τὴν ἀριθμητικὴν τέχνην ἔχων οὗτός ἐστιν; ναί. τί δ᾽; ὅταν πολλῶν λεγόντων περὶ ὑγιεινῶν σιτίων ὁποῖά ἐστιν, εἷς τις ἄριστα λέγῃ, πότερον ἕτερος μέν τις τὸν ἄριστα λέγοντα γνώσεται ὅτι ἄριστα λέγει, ἕτερος δὲ τὸν κάκιον ὅτι κάκιον, ἢ ὁ αὐτός; δῆλον δήπου, ὁ αὐτός. τίς οὗτος; τί ὄνομα αὐτῷ; ἰατρός. οὐκοῦν ἐν κεφαλαίῳ λέγομεν ὡς ὁ αὐτὸς γνώσεται ἀεί, περὶ τῶν αὐτῶν πολλῶν λεγόντων,
"
9,.532a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dIon%3Asection%3D532a,"ὅστις τε εὖ λέγει καὶ ὅστις κακῶς: ἢ εἰ μὴ γνώσεται τὸν κακῶς λέγοντα, δῆλον ὅτι οὐδὲ τὸν εὖ, περί γε τοῦ αὐτοῦ. οὕτως. οὐκοῦν ὁ αὐτὸς γίγνεται δεινὸς περὶ ἀμφοτέρων; ναί. οὐκοῦν σὺ φῂς καὶ Ὅμηρον καὶ τοὺς ἄλλους ποιητάς, ἐν οἷς καὶ Ἡσίοδος καὶ Ἀρχίλοχός ἐστιν, περί γε τῶν αὐτῶν λέγειν, ἀλλ᾽ οὐχ ὁμοίως, ἀλλὰ τὸν μὲν εὖ γε, τοὺς δὲ χεῖρον; καὶ ἀληθῆ λέγω. οὐκοῦν, εἴπερ τὸν εὖ λέγοντα γιγνώσκεις,
"
