,section,path,text,lemma_text
0,.103a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dAlc.%201%3Asection%3D103a,"ὦ παῖ Κλεινίου, οἶμαί σε θαυμάζειν ὅτι πρῶτος ἐραστής σου γενόμενος τῶν ἄλλων πεπαυμένων μόνος οὐκ ἀπαλλάττομαι, καὶ ὅτι οἱ μὲν ἄλλοι δι᾽ ὄχλου ἐγένοντό σοι διαλεγόμενοι, ἐγὼ δὲ τοσούτων ἐτῶν οὐδὲ προσεῖπον. τούτου δὲ τὸ αἴτιον γέγονεν οὐκ ἀνθρώπειον, ἀλλά τι δαιμόνιον ἐναντίωμα, οὗ σὺ τὴν δύναμιν καὶ ὕστερον πεύσῃ. νῦν δὲ
","παῖς Κλεινίας , οἶμαι θαυμάζω πρῶτος ἐραστής γίγνομαι παύω μόνος ἀπαλλάττω , δι᾽ ὄχλος ἐγένοντό διαλεγόμενοι , τοσοῦτος ἔτος προσεῖπον . αἴτιος γίγνομαι ἀνθρώπειος , δαιμόνιον ἐναντίωμα , δύναμις ὕστερος πεύω . νῦν 
"
1,.103b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dAlc.%201%3Asection%3D103b,"ἐπειδὴ οὐκέτι ἐναντιοῦται, οὕτω προσελήλυθα: εὔελπις δ᾽ εἰμὶ καὶ τὸ λοιπὸν μὴ ἐναντιώσεσθαι αὐτό. σχεδὸν οὖν κατανενόηκα ἐν τούτῳ τῷ χρόνῳ σκοπούμενος ὡς πρὸς τοὺς ἐραστὰς ἔσχες: πολλῶν γὰρ γενομένων καὶ μεγαλοφρόνων οὐδεὶς ὃς οὐχ ὑπερβληθεὶς τῷ φρονήματι ὑπὸ σοῦ πέφευγεν.
","ἐπεί οὐκέτι ἐναντιόω , προσελήλυθα : εὔελπις δέ λοιπός ἐναντιόομαι . σχεδόν κατανενόηκα χρόνος σκοπέω ἐραστής ἔχω : πολύς γίγνομαι μεγαλοφρόνων ὑπερβλέω φρόνημα πέφευγεν . 
"
2,.104a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dAlc.%201%3Asection%3D104a,"τὸν δὲ λόγον, ᾧ ὑπερπεφρόνηκας, ἐθέλω διελθεῖν. οὐδενὸς φῂς ἀνθρώπων ἐνδεὴς εἶναι εἰς οὐδέν: τὰ γὰρ ὑπάρχοντά σοι μεγάλα εἶναι, ὥστε μηδενὸς δεῖσθαι, ἀπὸ τοῦ σώματος ἀρξάμενα τελευτῶντα εἰς τὴν ψυχήν. οἴει γὰρ δὴ εἶναι πρῶτον μὲν κάλλιστός τε καὶ μέγιστος—καὶ τοῦτο μὲν δὴ παντὶ δῆλον ἰδεῖν ὅτι οὐ ψεύδῃ—ἔπειτα νεανικωτάτου γένους ἐν τῇ σεαυτοῦ πόλει, οὔσῃ μεγίστῃ τῶν Ἑλληνίδων, καὶ
","λόγος , ὑπερπεφρόνηκας , ἐθέλω διέρχομαι . φημί ἄνθρωπος ἐνδεής : ὑπάρχω μέγας , μηδείς δέω , σῶμα ἀρξάμενα τελευτάω ψυχή . οἴει πρῶτος κάλλιστός μέγας — πᾶς δῆλος εἶδον ψεύδῃ — ἔπειτα νεανικωτάτου γένος σεαυτοῦ πόλις , εἰμί μέγας ἑλληνίς , 
"
3,.104b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dAlc.%201%3Asection%3D104b,"ἐνταῦθα πρὸς πατρός τέ σοι φίλους καὶ συγγενεῖς πλείστους εἶναι καὶ ἀρίστους, οἳ εἴ τι δέοι ὑπηρετοῖεν ἄν σοι, τούτων δὲ τοὺς πρὸς μητρὸς οὐδὲν χείρους οὐδ᾽ ἐλάττους. συμπάντων δὲ ὧν εἶπον μείζω οἴει σοι δύναμιν ὑπάρχειν Περικλέα τὸν Ξανθίππου, ὃν ὁ πατὴρ ἐπίτροπον κατέλιπε σοί τε καὶ τῷ ἀδελφῷ: ὃς οὐ μόνον ἐν τῇδε τῇ πόλει δύναται πράττειν ὅτι ἂν βούληται, ἀλλ᾽ ἐν πάσῃ τῇ Ἑλλάδι καὶ τῶν βαρβάρων ἐν πολλοῖς καὶ μεγάλοις γένεσιν. προσθήσω δὲ καὶ ὅτι τῶν
","ἐνταῦθα πατήρ φίλος συγγενής πλεῖστος ἄριστος , δέω ὑπηρετέω , μήτηρ χείρων οὐδέ ἐλάσσων . σύμπας εἶπον μέγας οἴει δύναμις ὑπάρχω Περικλῆς ξάνθιππος , πατήρ ἐπίτροπος καταλιμπάνω ἀδελφός : μόνος πόλις δύναμαι πράσσω βούλομαι , ἀλλ᾽ πᾶς ἑλλάς βάρβαρος πολύς μέγας γένος . προστίθημι 
"
4,.104c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dAlc.%201%3Asection%3D104c,"πλουσίων: δοκεῖς δέ μοι ἐπὶ τούτῳ ἥκιστα μέγα φρονεῖν. κατὰ πάντα δὴ ταῦτα σύ τε μεγαλαυχούμενος κεκράτηκας τῶν ἐραστῶν ἐκεῖνοί τε ὑποδεέστεροι ὄντες ἐκρατήθησαν, καί σε ταῦτ᾽ οὐ λέληθεν: ὅθεν δὴ εὖ οἶδα ὅτι θαυμάζεις τί διανοούμενός ποτε οὐκ ἀπαλλάττομαι τοῦ ἔρωτος, καὶ ἥντιν᾽ ἔχων ἐλπίδα ὑπομένω τῶν ἄλλων πεφευγότων. καὶ ἴσως γε, ὦ Σώκρατες, οὐκ οἶσθ᾽ ὅτι σμικρόν
","πλουσίων : δοκέω ἥκιστος μέγας φρονέω . πᾶς μεγαλαυχέομαι κεκράτηκας ἐραστός ἐκεῖνος ὑποδεέσς κρατέω , ταῦτ᾽ λέληθεν : ὅθεν εὖ οἶδα θαυμάζω διανοούμενός ποτε ἀπαλλάττω ἔρως , ἥντιν᾽ ἔχω ἐλπίς ὑπομένω πεφευγότων . ἴσως , Σώκρατες , οἶσθ᾽ μικρός 
"
5,.104d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dAlc.%201%3Asection%3D104d,"με ἔφθης. ἐγὼ γάρ τοι ἐν νῷ εἶχον πρότερός σοι προσελθὼν αὐτὰ ταῦτ᾽ ἐρέσθαι, τί ποτε βούλει καὶ εἰς τίνα ἐλπίδα βλέπων ἐνοχλεῖς με, ἀεὶ ὅπου ἂν ὦ ἐπιμελέστατα παρών: τῷ ὄντι γὰρ θαυμάζω ὅτι ποτ᾽ ἐστὶ τὸ σὸν πρᾶγμα, καὶ ἥδιστ᾽ ἂν πυθοίμην. ἀκούσῃ μὲν ἄρα μου, ὡς τὸ εἰκός, προθύμως, εἴπερ, ὡς φῄς, ἐπιθυμεῖς εἰδέναι τί διανοοῦμαι, καὶ ὡς ἀκουσομένῳ καὶ περιμενοῦντι λέγω. πάνυ μὲν οὖν: ἀλλὰ λέγε.
","ἔφθης . νόος ἔχω πρότερός προσέρχομαι ταῦτ᾽ ἐρέσθαι , ποτε βούλομαι ἐλπίς βλέπω ἐνοχλέω , ἀεί ὅπου ἐπιμελέστατος πάρειμι : θαυμάζω ποτ᾽ πρᾶγμα , ἥδιστ᾽ πυνθάνομαι . ἀκούω , ἔοικα , πρόθυμος , εἴπερ , φημί , ἐπιθυμέω οἶδα διανοέω , ἀκουσομένῳ περιμενέω λέγω . πάνυ : λέγω . 
"
6,.104e,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dAlc.%201%3Asection%3D104e," ὅρα δή: οὐ γάρ τοι εἴη ἂν θαυμαστὸν εἰ, ὥσπερ μόγις ἠρξάμην, οὕτω μόγις καὶ παυσαίμην. ὠγαθὲ λέγε: ἀκούσομαι γάρ. λεκτέον ἂν εἴη. χαλεπὸν μὲν οὖν πρὸς ἄνδρα οὐχ ἥττονα ἐραστῶν προσφέρεσθαι ἐραστῇ, ὅμως δὲ τολμητέον φράσαι τὴν ἐμὴν διάνοιαν. ἐγὼ γάρ, ὦ Ἀλκιβιάδη, εἰ μέν σε ἑώρων ἃ νυνδὴ διῆλθον ἀγαπῶντα καὶ οἰόμενον δεῖν ἐν τούτοις καταβιῶναι, πάλαι ἂν ἀπηλλάγμην τοῦ ἔρωτος, ὥς
","  ὁράω : θαυμαστός , ὥσπερ μόγις ἠρξάμην , μόγις παύομαι . ὠγαθὲ λέγω : ἀκούω . λεκτέος . χαλεπός ἀνήρ ἥττων ἐραστός προσφέρω ἐραστής , ὅμως τολμητέος φράζω διάνοια . , Ἀλκιβιάδης , ὁράω νυνδὴ διέρχομαι ἀγαπάω οἰόμενον δεῖ καταβιῶναι , πάλαι ἀπηλλάγμην ἔρως , 
"
7,.105a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dAlc.%201%3Asection%3D105a,"γε δὴ ἐμαυτὸν πείθω: νῦν δ᾽ ἕτερ᾽ αὖ κατηγορήσω διανοήματα σὰ πρὸς αὐτὸν σέ, ᾧ καὶ γνώσῃ ὅτι προσέχων γέ σοι τὸν νοῦν διατετέλεκα. δοκεῖς γάρ μοι, εἴ τίς σοι εἴποι θεῶν: ὦ Ἀλκιβιάδη, πότερον βούλει ζῆν ἔχων ἃ νῦν ἔχεις, ἢ αὐτίκα τεθνάναι εἰ μή σοι ἐξέσται μείζω κτήσασθαι; δοκεῖς ἄν μοι ἑλέσθαι τεθνάναι: ἀλλὰ νῦν ἐπὶ τίνι δή ποτε ἐλπίδι ζῇς, ἐγὼ φράσω. ἡγῇ, ἐὰν θᾶττον εἰς τὸν Ἀθηναίων
","ἐμαυτοῦ πείθω : νῦν δέ ἕτερ᾽ αὖ κατηγορέω διανόημα , γιγνώσκω προσέχω νόος διατετέλεκα . δοκέω , εἶπον θεός : Ἀλκιβιάδης , πότερος βούλομαι ζῶ ἔχω νῦν ἔχω , αὐτίκα θνῄσκω ἔξειμι μέγας κτήζω ; δοκέω αἱρέω θνῄσκω : νῦν ποτέ ἐλπίς ζάω , φράζω . ἡγῇ , ταχύς ἀθήναιος 
"
8,.105b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dAlc.%201%3Asection%3D105b,"δῆμον παρέλθῃς—τοῦτο δ᾽ ἔσεσθαι μάλα ὀλίγων ἡμερῶν— παρελθὼν οὖν ἐνδείξεσθαι Ἀθηναίοις ὅτι ἄξιος εἶ τιμᾶσθαι ὡς οὔτε Περικλῆς οὔτ᾽ ἄλλος οὐδεὶς τῶν πώποτε γενομένων, καὶ τοῦτ᾽ ἐνδειξάμενος μέγιστον δυνήσεσθαι ἐν τῇ πόλει, ἐὰν δ᾽ ἐνθάδε μέγιστος ᾖς, καὶ ἐν τοῖς ἄλλοις Ἕλλησι, καὶ οὐ μόνον ἐν Ἕλλησιν, ἀλλὰ καὶ ἐν τοῖς βαρβάροις, ὅσοι ἐν τῇ αὐτῇ ἡμῖν οἰκοῦσιν ἠπείρῳ. καὶ εἰ αὖ σοι εἴποι ὁ αὐτὸς οὗτος θεὸς ὅτι αὐτοῦ σε δεῖ δυναστεύειν ἐν τῇ Εὐρώπῃ,
","δῆμος παρέρχομαι — δέ μάλα ὀλίγος ἡμέρα — παρέρχομαι ἐνδείξεσθαι ἀθήναιος ἄξιος τιμάω περικλῆς οὔτ᾽ πώποτε γίγνομαι , τοῦτ᾽ ἐνδειίκνυμι μέγας δύναμαι πόλις , δέ ἐνθάδε μέγας , ἕλλην , μόνος ἕλλην , βάρβαρος , ὅσος οἰκέω ἤπειρος . αὖ εἶπον θεός δεῖ δυναστεύω εὐρώπη , 
"
9,.105c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dAlc.%201%3Asection%3D105c,"διαβῆναι δὲ εἰς τὴν Ἀσίαν οὐκ ἐξέσται σοι οὐδὲ ἐπιθέσθαι τοῖς ἐκεῖ πράγμασιν, οὐκ ἂν αὖ μοι δοκεῖς ἐθέλειν οὐδ᾽ ἐπὶ τούτοις μόνοις ζῆν, εἰ μὴ ἐμπλήσεις τοῦ σοῦ ὀνόματος καὶ τῆς σῆς δυνάμεως πάντας ὡς ἔπος εἰπεῖν ἀνθρώπους: καὶ οἶμαί σε πλὴν Κύρου καὶ Ξέρξου ἡγεῖσθαι οὐδένα ἄξιον λόγου γεγονέναι. ὅτι μὲν οὖν ἔχεις ταύτην τὴν ἐλπίδα, εὖ οἶδα καὶ οὐκ εἰκάζω. ἴσως ἂν οὖν εἴποις, ἅτε εἰδὼς ὅτι ἀληθῆ λέγω, τί δὴ οὖν, ὦ Σώκρατες, τοῦτ᾽ ἐστί σοι πρὸς
","διαβαίνω ἀσία ἐξέσται ἐπιτίθημι ἐκεῖ πρᾶγμα , αὖ δοκέω ἐθέλω οὐδέ μόνος ζῶ , ἐμπλάω ὄνομα δύναμις πᾶς ἔπος εἶπον ἄνθρωπος : οἶμαι πλήν κῦρος ξέρξης ἡγέομαι ἄξιος λόγος γίγνομαι . ἔχω ἐλπίς , εὖ οἶδα εἰκάζω . ἴσως εἶπον , ἅτε οἶδα ἀληθής λέγω , , Σώκρατες , τοῦτ᾽ 
"
