,section,path,text,lemma_text
0,.17a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0169%3atext%3dApol.%3Asection%3D17a,"ὅτι μὲν ὑμεῖς, ὦ ἄνδρες Ἀθηναῖοι, πεπόνθατε ὑπὸ τῶν ἐμῶν κατηγόρων, οὐκ οἶδα: ἐγὼ δ᾽ οὖν καὶ αὐτὸς ὑπ᾽ αὐτῶν ὀλίγου ἐμαυτοῦ ἐπελαθόμην, οὕτω πιθανῶς ἔλεγον. καίτοι ἀληθές γε ὡς ἔπος εἰπεῖν οὐδὲν εἰρήκασιν. μάλιστα δὲ αὐτῶν ἓν ἐθαύμασα τῶν πολλῶν ὧν ἐψεύσαντο, τοῦτο ἐν ᾧ ἔλεγον ὡς χρῆν ὑμᾶς εὐλαβεῖσθαι μὴ ὑπ᾽ ἐμοῦ ἐξαπατηθῆτε
",", ἀνήρ ἀθηναῖος , πάσχω κατηγόρων , οἶδα : δέ ὑπ᾽ ὀλίγος ἐμαυτοῦ ἐπελαθόμην , πιθανής λέγω . καίτοι ἀληθής ἔπος εἶπον λέγω . μάλιστα εἷς θαυμάζω πολύς ψεύδω , λέγω χρή εὐλαβέω ὑπ᾽ ἐξαπατάω 
"
1,.17b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0169%3atext%3dApol.%3Asection%3D17b,"ὡς δεινοῦ ὄντος λέγειν. τὸ γὰρ μὴ αἰσχυνθῆναι ὅτι αὐτίκα ὑπ᾽ ἐμοῦ ἐξελεγχθήσονται ἔργῳ, ἐπειδὰν μηδ᾽ ὁπωστιοῦν φαίνωμαι δεινὸς λέγειν, τοῦτό μοι ἔδοξεν αὐτῶν ἀναισχυντότατον εἶναι, εἰ μὴ ἄρα δεινὸν καλοῦσιν οὗτοι λέγειν τὸν τἀληθῆ λέγοντα: εἰ μὲν γὰρ τοῦτο λέγουσιν, ὁμολογοίην ἂν ἔγωγε οὐ κατὰ τούτους εἶναι ῥήτωρ. οὗτοι μὲν οὖν, ὥσπερ ἐγὼ λέγω, ἤ τι ἢ οὐδὲν ἀληθὲς εἰρήκασιν, ὑμεῖς δέ μου ἀκούσεσθε πᾶσαν τὴν ἀλήθειαν—οὐ μέντοι μὰ Δία, ὦ ἄνδρες Ἀθηναῖοι, κεκαλλιεπημένους γε λόγους, ὥσπερ οἱ τούτων,
","δεινός λέγω . αἰσχύνω αὐτίκα ὑπ᾽ ἐξελεγίχω ἔργον , ἐπειδάν μηδέ ὁπωστιοῦν φαίνω δεινός λέγω , δοκέω ἀναισχυντότατος , δεινός καλέω λέγω τἀληθής λέγω : λέγω , ὁμολογέω ῥήτωρ . , ὥσπερ λέγω , ἀληθής λέγω , ἀκούω πᾶς ἀλήθεια — μέντοι μά ζεύς , ἀνήρ ἀθηναῖος , κεκαλλιεπέω λόγος , ὥσπερ , 
"
2,.17c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0169%3atext%3dApol.%3Asection%3D17c,"ῥήμασί τε καὶ ὀνόμασιν οὐδὲ κεκοσμημένους, ἀλλ᾽ ἀκούσεσθε εἰκῇ λεγόμενα τοῖς ἐπιτυχοῦσιν ὀνόμασιν—πιστεύω γὰρ δίκαια εἶναι ἃ λέγω—καὶ μηδεὶς ὑμῶν προσδοκησάτω ἄλλως: οὐδὲ γὰρ ἂν δήπου πρέποι, ὦ ἄνδρες, τῇδε τῇ ἡλικίᾳ ὥσπερ μειρακίῳ πλάττοντι λόγους εἰς ὑμᾶς εἰσιέναι. καὶ μέντοι καὶ πάνυ, ὦ ἄνδρες Ἀθηναῖοι, τοῦτο ὑμῶν δέομαι καὶ παρίεμαι: ἐὰν διὰ τῶν αὐτῶν λόγων ἀκούητέ μου ἀπολογουμένου δι᾽ ὧνπερ εἴωθα λέγειν καὶ ἐν ἀγορᾷ ἐπὶ τῶν τραπεζῶν, ἵνα ὑμῶν πολλοὶ ἀκηκόασι, καὶ ἄλλοθι, μήτε
","ῥήμασί ὀνόμα κεκοσμέω , ἀλλ᾽ ἀκούω εἰκῇ λέγω ἐπιτυχοῦσιν ὀνόμα — πιστεύω δίκαιος λέγω — μηδείς προσδοκάω : δήπου πρέπω , ἀνήρ , ἡλικία ὥσπερ μειράκιον πλάττω λόγος εἴσειμι . μέντοι πάνυ , ἀνήρ ἀθηναῖος , δέω παρίημι : λόγος ἀκούητέ ἀπολογέομαι δι᾽ εἴωθα λέγω ἀγορά τραπεζή , ἵνα πολύς ἀκηκόασι , ἄλλοθι , μήτε 
"
3,.17d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0169%3atext%3dApol.%3Asection%3D17d,"θαυμάζειν μήτε θορυβεῖν τούτου ἕνεκα. ἔχει γὰρ οὑτωσί. νῦν ἐγὼ πρῶτον ἐπὶ δικαστήριον ἀναβέβηκα, ἔτη γεγονὼς ἑβδομήκοντα: ἀτεχνῶς οὖν ξένως ἔχω τῆς ἐνθάδε λέξεως. ὥσπερ οὖν ἄν, εἰ τῷ ὄντι ξένος ἐτύγχανον ὤν, συνεγιγνώσκετε δήπου ἄν μοι εἰ ἐν ἐκείνῃ τῇ φωνῇ τε καὶ τῷ τρόπῳ
","θαυμάζω μήτε θορυβέω ἕνεκα . ἔχω οὑτωσί . νῦν πρῶτος δικαστήριον ἀναβαίνω , ἔτος γίγνομαι ἑβδομήκοντα : ἀτεχνός ξένος ἔχω ἐνθάδε λέξις . ὥσπερ , ξένος τυγχάνω , συνεγιγνώσκημι δήπου ἐκεῖνος φωνή τρόπος 
"
4,.18a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0169%3atext%3dApol.%3Asection%3D18a,"ἔλεγον ἐν οἷσπερ ἐτεθράμμην, καὶ δὴ καὶ νῦν τοῦτο ὑμῶν δέομαι δίκαιον, ὥς γέ μοι δοκῶ, τὸν μὲν τρόπον τῆς λέξεως ἐᾶν—ἴσως μὲν γὰρ χείρων, ἴσως δὲ βελτίων ἂν εἴη—αὐτὸ δὲ τοῦτο σκοπεῖν καὶ τούτῳ τὸν νοῦν προσέχειν, εἰ δίκαια λέγω ἢ μή: δικαστοῦ μὲν γὰρ αὕτη ἀρετή, ῥήτορος δὲ τἀληθῆ λέγειν.πρῶτον μὲν οὖν δίκαιός εἰμι ἀπολογήσασθαι, ὦ ἄνδρες Ἀθηναῖοι, πρὸς τὰ πρῶτά μου ψευδῆ κατηγορημένα καὶ τοὺς πρώτους κατηγόρους, ἔπειτα δὲ πρὸς τὰ ὕστερον καὶ τοὺς
","λέγω οἷς ἐτεθράμμην , νῦν δέω δίκαιος , δοκέω , τρόπος λέξις ἐάω — ἴσως χείρων , ἴσως βελτίων — σκοπέω νόος προσέχω , δίκαιος λέγω : δικαστός ἀρετή , ῥήτωρ τἀληθής λέγειν.πρῶτον δίκαιος ἀπολογέομαι , ἀνήρ ἀθηναῖος , πρῶτος ψευδής κατηγορημένα πρῶτος κατήγορος , ἔπειτα ὕστερος 
"
5,.18b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0169%3atext%3dApol.%3Asection%3D18b,"ὑστέρους. ἐμοῦ γὰρ πολλοὶ κατήγοροι γεγόνασι πρὸς ὑμᾶς καὶ πάλαι πολλὰ ἤδη ἔτη καὶ οὐδὲν ἀληθὲς λέγοντες, οὓς ἐγὼ μᾶλλον φοβοῦμαι ἢ τοὺς ἀμφὶ Ἄνυτον, καίπερ ὄντας καὶ τούτους δεινούς: ἀλλ᾽ ἐκεῖνοι δεινότεροι, ὦ ἄνδρες, οἳ ὑμῶν τοὺς πολλοὺς ἐκ παίδων παραλαμβάνοντες ἔπειθόν τε καὶ κατηγόρουν ἐμοῦ μᾶλλον οὐδὲν ἀληθές, ὡς ἔστιν τις Σωκράτης σοφὸς ἀνήρ, τά τε μετέωρα φροντιστὴς καὶ τὰ ὑπὸ γῆς πάντα ἀνεζητηκὼς καὶ τὸν ἥττω λόγον κρείττω
","ὑστέρους . πολύς κατήγορος γίγνομαι πάλαι πολύς ἤδη ἔτος ἀληθής λέγω , μᾶλλον φοβέω ἀμφί Ἄνυτος , καίπερ δεινός : ἀλλ᾽ ἐκεῖνος δεινός , ἀνήρ , πολύς παῖς παραλαμβάνω ἔπειθόν κατηγορέω μᾶλλον ἀληθής , σωκράτης σοφός ἀνήρ , μετέωρον φροντιστὴς γῆ πᾶς ἀνεζητηκὼς ἥττω λόγος κρείττων 
"
6,.18c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0169%3atext%3dApol.%3Asection%3D18c,"ποιῶν. οὗτοι, ὦ ἄνδρες Ἀθηναῖοι, οἱ ταύτην τὴν φήμην κατασκεδάσαντες, οἱ δεινοί εἰσίν μου κατήγοροι: οἱ γὰρ ἀκούοντες ἡγοῦνται τοὺς ταῦτα ζητοῦντας οὐδὲ θεοὺς νομίζειν. ἔπειτά εἰσιν οὗτοι οἱ κατήγοροι πολλοὶ καὶ πολὺν χρόνον ἤδη κατηγορηκότες, ἔτι δὲ καὶ ἐν ταύτῃ τῇ ἡλικίᾳ λέγοντες πρὸς ὑμᾶς ἐν ᾗ ἂν μάλιστα ἐπιστεύσατε, παῖδες ὄντες ἔνιοι ὑμῶν καὶ μειράκια, ἀτεχνῶς ἐρήμην κατηγοροῦντες ἀπολογουμένου οὐδενός. ὃ δὲ πάντων ἀλογώτατον, ὅτι οὐδὲ τὰ
","ποιέω . , ἀνήρ ἀθηναῖος , φήμη κατασκεδάζω , δεινός κατήγορος : ἀκούω ἡγοῦμαι ζητέω θεός νομίζω . ἔπειτα κατήγορος πολύς πολύς χρόνος ἤδη κατηγορηκότες , ἡλικία λέγω μάλιστα πιστεύω , παῖς ἔνιοι μειράκιον , ἀτεχνῶς ἐρῆμος κατηγορέω ἀπολογέομαι . πᾶς ἀλογός , 
"
7,.18d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0169%3atext%3dApol.%3Asection%3D18d,"ὀνόματα οἷόν τε αὐτῶν εἰδέναι καὶ εἰπεῖν, πλὴν εἴ τις κωμῳδοποιὸς τυγχάνει ὤν. ὅσοι δὲ φθόνῳ καὶ διαβολῇ χρώμενοι ὑμᾶς ἀνέπειθον—οἱ δὲ καὶ αὐτοὶ πεπεισμένοι ἄλλους πείθοντες—οὗτοι πάντες ἀπορώτατοί εἰσιν: οὐδὲ γὰρ ἀναβιβάσασθαι οἷόν τ᾽ ἐστὶν αὐτῶν ἐνταυθοῖ οὐδ᾽ ἐλέγξαι οὐδένα, ἀλλ᾽ ἀνάγκη ἀτεχνῶς ὥσπερ σκιαμαχεῖν ἀπολογούμενόν τε καὶ ἐλέγχειν μηδενὸς ἀποκρινομένου. ἀξιώσατε οὖν καὶ ὑμεῖς, ὥσπερ ἐγὼ λέγω, διττούς μου τοὺς κατηγόρους γεγονέναι, ἑτέρους μὲν τοὺς ἄρτι κατηγορήσαντας, ἑτέρους δὲ
","ὄνομα οἷος οἶδα εἶπον , πλήν κωμῳδοποιός τυγχάνω . ὅσος φθόνος διαβολή χράω ἀναπείθω — πείθω πείθω — πᾶς ἀπορώτατοί : ἀναβιβάζω οἷος τ᾽ ἐνταυθοῖ οὐδέ ἐλέγσκω , ἀλλ᾽ ἀνάγκη ἀτεχνῶς ὥσπερ σκιαμαχέω ἀπολογούμενόν ἐλέγχω μηδείς ἀποκρινομένου . ἀξιώω , ὥσπερ λέγω , διττούς κατήγορος γίγνομαι , ἕτερος ἄρτι κατηγορέω , ἕτερος 
"
8,.18e,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0169%3atext%3dApol.%3Asection%3D18e,"τοὺς πάλαι οὓς ἐγὼ λέγω, καὶ οἰήθητε δεῖν πρὸς ἐκείνους πρῶτόν με ἀπολογήσασθαι: καὶ γὰρ ὑμεῖς ἐκείνων πρότερον ἠκούσατε κατηγορούντων καὶ πολὺ μᾶλλον ἢ τῶνδε τῶν ὕστερον.εἶεν: ἀπολογητέον δή, ὦ ἄνδρες Ἀθηναῖοι, καὶ ἐπιχειρητέον
","πάλαι λέγω , οἰήθητε δεῖ ἐκεῖνος πρῶτος ἀπολογέομαι : ἐκεῖνος πρότερος ἀκούω κατηγορέω πολύς μᾶλλον ὕστερον.εἶες : ἀπολογητέον , ἀνήρ ἀθηναῖος , ἐπιχειρέω 
"
9,.19a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0169%3atext%3dApol.%3Asection%3D19a,"ὑμῶν ἐξελέσθαι τὴν διαβολὴν ἣν ὑμεῖς ἐν πολλῷ χρόνῳ ἔσχετε ταύτην ἐν οὕτως ὀλίγῳ χρόνῳ. βουλοίμην μὲν οὖν ἂν τοῦτο οὕτως γενέσθαι, εἴ τι ἄμεινον καὶ ὑμῖν καὶ ἐμοί, καὶ πλέον τί με ποιῆσαι ἀπολογούμενον: οἶμαι δὲ αὐτὸ χαλεπὸν εἶναι, καὶ οὐ πάνυ με λανθάνει οἷόν ἐστιν. ὅμως τοῦτο μὲν ἴτω ὅπῃ τῷ θεῷ φίλον, τῷ δὲ νόμῳ πειστέον καὶ ἀπολογητέον.ἀναλάβωμεν οὖν ἐξ ἀρχῆς τίς ἡ κατηγορία ἐστὶν ἐξ ἧς
","ἐξαιρέω διαβολή πολύς χρόνος ἔχω ὀλίγος χρόνος . βούλομαι γίγνομαι , ἀγαθός , πολύς ποιέω ἀπολογέομαι : οἱόμαι χαλεπός , πάνυ λανθάνω οἷος . ὅμως εἶμι ὅπη θεός φίλος , νόμος πειστέω ἀπολογητέον.ἀναλάβωμεν ἀρχή κατηγορία 
"
