,section,path,text,lemma_text
0,.406a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dCleit.%3Asection%3D406a,"Κλειτοφῶντα τὸν Ἀριστωνύμου τις ἡμῖν διηγεῖτο ἔναγχος, ὅτι Λυσίᾳ διαλεγόμενος τὰς μὲν μετὰ Σωκράτους διατριβὰς ψέγοι, τὴν Θρασυμάχου δὲ συνουσίαν ὑπερεπαινοῖ. ὅστις, ὦ Σώκρατες, οὐκ ὀρθῶς ἀπεμνημόνευέ σοι τοὺς ἐμοὶ περὶ σοῦ γενομένους λόγους πρὸς Λυσίαν: τὰ μὲν γὰρ ἔγωγε οὐκ ἐπῄνουν σε, τὰ δὲ καὶ ἐπῄνουν. ἐπεὶ δὲ δῆλος εἶ μεμφόμενος μέν μοι, προσποιούμενος δὲ μηδὲν φροντίζειν, ἥδιστ᾽ ἄν σοι διεξέλθοιμι αὐτοὺς αὐτός, ἐπειδὴ καὶ μόνω τυγχάνομεν ὄντε, ἵνα ἧττόν με ἡγῇ πρὸς σὲ φαύλως ἔχειν. νῦν γὰρ ἴσως οὐκ ὀρθῶς ἀκήκοας, ὥστε φαίνῃ πρὸς ἐμὲ ἔχειν τραχυτέρως τοῦ δέοντος: εἰ δέ μοι δίδως παρρησίαν, ἥδιστα ἂν δεξαίμην καὶ ἐθέλω λέγειν.
","Κλειτοφῶς ἀριστωνύμος διηγεμαῖ ἔναγχος , Λυσία διαλέγομαι σωκράτης διατριβή ψέγω , Θρασυμάχου συνουσία ὑπερεπαινοῖ . , Σώκρατς , ὀρθός ἀπεμνημόνευέ γίγνομαι λόγος Λυσία : ἐπῄνουν , ἐπῄνουν . ἐπεί δῆλος μέμφομαι , προσποιέομαι μηδείς φροντίζω , ἥδιστ᾽ διεξέλθοιμι , ἐπεί μόνω τυγχάνω ὄντε , ἵνα ἧττόν ἡγῇ φαύλος ἔχω . νῦν ἴσως ὀρθός ἀκούω , φαίνω ἔχω τραχυτέρως δέω : δίδωμι παρρησία , ἡδέως δεξαίμην ἐθέλω λέγω . 
"
1,.407a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dCleit.%3Asection%3D407a," ἀλλ᾽ αἰσχρὸν μὴν σοῦ γε ὠφελεῖν με προθυμουμένου μὴ ὑπομένειν: δῆλον γὰρ ὡς γνοὺς ὅπῃ χείρων εἰμὶ καὶ βελτίων, τὰ μὲν ἀσκήσω καὶ διώξομαι, τὰ δὲ φεύξομαι κατὰ κράτος. ἀκούοις ἄν. ἐγὼ γάρ, ὦ Σώκρατες, σοὶ συγγιγνόμενος πολλάκις ἐξεπληττόμην ἀκούων, καί μοι ἐδόκεις παρὰ τοὺς ἄλλους ἀνθρώπους κάλλιστα λέγειν, ὁπότε ἐπιτιμῶν τοῖς ἀνθρώποις, ὥσπερ ἐπὶ μηχανῆς τραγικῆς θεός, ὕμνεις
","  ἀλλ᾽ αἰσχρός μήν ὠφελέω προθυμέομαι ὑπομένω : δῆλος γιγνώσκω ὅπη χείρων βελτίων , ἀσκέω διώγω , φεύγω κράτος . ἀκούω . , Σώκρατες , συγγιγνόμενος πολλάκις ἐξεπληττόμην ἀκούω , δοκέω ἄνθρωπος καλός λέγω , ὁπότε ἐπιτιμέω ἄνθρωπος , ὥσπερ μηχανή τραγικός θεός , ὕμνεις 
"
2,.407b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dCleit.%3Asection%3D407b,"λέγων: ποῖ φέρεσθε, ὤνθρωποι; καὶ ἀγνοεῖτε οὐδὲν τῶν δεόντων πράττοντες, οἵτινες χρημάτων μὲν πέρι τὴν πᾶσαν σπουδὴν ἔχετε ὅπως ὑμῖν ἔσται, τῶν δ᾽ ὑέων οἷς ταῦτα παραδώσετε ὅπως ἐπιστήσονται χρῆσθαι δικαίως τούτοις, οὔτε διδασκάλους αὐτοῖς εὑρίσκετε τῆς δικαιοσύνης, εἴπερ μαθητόν—εἰ δὲ μελετητόν τε καὶ ἀσκητόν, οἵτινες ἐξασκήσουσιν καὶ ἐκμελετήσουσιν ἱκανῶς—οὐδέ γ᾽ ἔτι πρότερον ὑμᾶς αὐτοὺς οὕτως ἐθεραπεύσατε. ἀλλ᾽ ὁρῶντες γράμματα
","λέγω : ποῖ φέρω , ὤνθρωπος ; ἀγνοέω δεόντων πράττω , χρῆμα πᾶς σπουδή ἔχω ὅπως , δέ ὑέ παραδώω ὅπως ἐπίσταμαι χράομαι δίκαιος , διδάσκαλος εὑρίσκω δικαιοσύνη , εἴπερ μαθητος — μελετητός ἀσκητός , ἐξασκέω ἐκμελετέω ἱκανός — γ᾽ πρότερος θεραπεύω . ἀλλ᾽ ὁράω γράμμα 
"
3,.407c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dCleit.%3Asection%3D407c,"καὶ μουσικὴν καὶ γυμναστικὴν ὑμᾶς τε αὐτοὺς καὶ τοὺς παῖδας ὑμῶν ἱκανῶς μεμαθηκότας—ἃ δὴ παιδείαν ἀρετῆς εἶναι τελέαν ἡγεῖσθε—κἄπειτα οὐδὲν ἧττον κακοὺς γιγνομένους περὶ τὰ χρήματα, πῶς οὐ καταφρονεῖτε τῆς νῦν παιδεύσεως οὐδὲ ζητεῖτε οἵτινες ὑμᾶς παύσουσι ταύτης τῆς ἀμουσίας; καίτοι διά γε ταύτην τὴν πλημμέλειαν καὶ ῥᾳθυμίαν, ἀλλ᾽ οὐ διὰ τὴν ἐν τῷ ποδὶ πρὸς τὴν λύραν ἀμετρίαν, καὶ ἀδελφὸς ἀδελφῷ καὶ πόλεις πόλεσιν ἀμέτρως καὶ
","μουσικὴ γυμναστικὴ παῖς ἱκανός μεμαθηκότας — παιδεία ἀρετή τελέαν ἡγέομαι — κἄπειτα ἥσσων κακός γιγνομένους χρῆμα , πῶς καταφρονέω νῦν παιδεύσεως ζητέω παύσουσι ἀμουσίας ; καίτοι πλημμέλεια ῥᾳθυμία , ἀλλ᾽ πούς λύρα ἀμετρία , ἀδελφός ἀδελφός πόλις πόλις ἀμέτρως 
"
4,.407d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dCleit.%3Asection%3D407d,"ἀναρμόστως προσφερόμεναι στασιάζουσι καὶ πολεμοῦντες τὰ ἔσχατα δρῶσιν καὶ πάσχουσιν. ὑμεῖς δέ φατε οὐ δι᾽ ἀπαιδευσίαν οὐδὲ δι᾽ ἄγνοιαν ἀλλ᾽ ἑκόντας τοὺς ἀδίκους ἀδίκους εἶναι, πάλιν δ᾽ αὖ τολμᾶτε λέγειν ὡς αἰσχρὸν καὶ θεομισὲς ἡ ἀδικία: πῶς οὖν δή τις τό γε τοιοῦτον κακὸν ἑκὼν αἱροῖτ᾽ ἄν; Ἥττων ὃς ἂν ᾖ, φατέ, τῶν ἡδονῶν. οὐκοῦν καὶ τοῦτο ἀκούσιον, εἴπερ τὸ νικᾶν ἑκούσιον; ὥστε ἐκ παντὸς τρόπου τό γε ἀδικεῖν ἀκούσιον ὁ λόγος αἱρεῖ, καὶ δεῖν ἐπιμέλειαν τῆς
","ἀναρμόστως προσφέρω στασιάζω πολεμέω ἔσχατος δράω πάσχω . φατε δι᾽ ἀπαιδευσία δι᾽ ἄγνοια ἀλλ᾽ ἑκός ἄδικος ἄδικος , πάλιν δέ αὖ τολμάω λέγω αἰσχρός θεομισής ἀδικία : πῶς κακός ἑκών αἱροῖτ᾽ ; Ἥσσων , φατέ , ἡδονή . οὐκοῦν ἀκούσιος , εἴπερ νικάω ἑκούσιος ; πᾶς τρόπος ἀδικέω ἀκούσιος λόγος αἱρέω , δεῖ ἐπιμέλεια 
"
5,.407e,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dCleit.%3Asection%3D407e,"νῦν πλείω ποιεῖσθαι πάντ᾽ ἄνδρα ἰδίᾳ θ᾽ ἅμα καὶ δημοσίᾳ συμπάσας τὰς πόλεις.ταῦτ᾽ οὖν, ὦ Σώκρατες, ἐγὼ ὅταν ἀκούω σοῦ θαμὰ λέγοντος, καὶ μάλα ἄγαμαι καὶ θαυμαστῶς ὡς ἐπαινῶ. καὶ ὁπόταν αὖ φῇς τὸ ἐφεξῆς τούτῳ, τοὺς ἀσκοῦντας μὲν τὰ σώματα, τῆς δὲ ψυχῆς ἠμεληκότας ἕτερόν τι πράττειν τοιοῦτον, τοῦ μὲν ἄρξοντος ἀμελεῖν, περὶ δὲ τὸ ἀρξόμενον ἐσπουδακέναι. καὶ ὅταν λέγῃς ὡς ὅτῳ τις μὴ ἐπίσταται χρῆσθαι, κρεῖττον ἐᾶν τὴν τούτου χρῆσιν: εἰ δή τις μὴ ἐπίσταται ὀφθαλμοῖς χρῆσθαι μηδὲ ὠσὶν μηδὲ σύμπαντι τῷ σώματι, τούτῳ μήτε ἀκούειν μήθ᾽ ὁρᾶν μήτ᾽ ἄλλην χρείαν μηδεμίαν χρῆσθαι τῷ σώματι κρεῖττον ἢ ὁπῃοῦν χρῆσθαι.
","νῦν πλείων ποιέω πάντ᾽ ἀνήρ ἴδιος θ᾽ ἅμα δημοσίᾳ συμπάσος πόλεις.ταῦτ᾽ , Σώκρατες , ὅταν ἀκούω θαμά λέγω , μάλα ἄγαμαι θαυμαστῶς ἐπαινέω . ὁόταν αὖ φέω ἐφεξῆς , ἀσκέω σῶμα , ψυχή ἀμελέω ἕτερος πράσσω , ἄρκω ἀμελέω , ἀρξόμενον ἐσπουδακέναι . ὅταν λέγω ἐπίσταμαι χράομαι , κρείσσων ἐάω χρῆσις : ἐπίσταμαι ὀφθαλμός χράομαι μηδέ εἰμί μηδέ σύμπαις σῶμα , μήτε ἀκούω μήθ᾽ ὁράω μήτ᾽ χρεία μηδείς χράομαι σῶμα κρείσσων ὁπῃοιῦς χράομαι . 
"
6,.408a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dCleit.%3Asection%3D408a,"καὶ δὴ καὶ περὶ τέχνην ὡσαύτως: ὅστις γὰρ δὴ μὴ ἐπίσταται τῇ ἑαυτοῦ λύρᾳ χρῆσθαι, δῆλον ὡς οὐδὲ τῇ τοῦ γείτονος, οὐδὲ ὅστις μὴ τῇ τῶν ἄλλων, οὐδὲ τῇ ἑαυτοῦ, οὐδ᾽ ἄλλῳ τῶν ὀργάνων οὐδὲ κτημάτων οὐδενί. καὶ τελευτᾷ δὴ καλῶς ὁ λόγος οὗτός σοι, ὡς ὅστις ψυχῇ μὴ ἐπίσταται χρῆσθαι, τούτῳ τὸ ἄγειν ἡσυχίαν τῇ ψυχῇ καὶ μὴ ζῆν κρεῖττον ἢ ζῆν πράττοντι καθ᾽ αὑτόν: εἰ δέ τις ἀνάγκη ζῆν εἴη, δούλῳ ἄμεινον
","τέχνη ὡσαύτως : ἐπίσταμαι λύρα χράομαι , δῆλος γείτων , , , οὐδέ ὀργάνον κτῆμα οὐδενί . τελευτάω καλός λόγος , ψυχή ἐπίσταμαι χράομαι , ἄγω ἡσυχία ψυχή ζῶ κρείσσων ζῶ πράττω καθ᾽ : ἀνάγκη ζῶ , δοῦλος ἀγαθός 
"
7,.408b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dCleit.%3Asection%3D408b,"ἢ ἐλευθέρῳ διάγειν τῷ τοιούτῳ τὸν βίον ἐστὶν ἄρα, καθάπερ πλοίου παραδόντι τὰ πηδάλια τῆς διανοίας ἄλλῳ, τῷ μαθόντι τὴν τῶν ἀνθρώπων κυβερνητικήν, ἣν δὴ σὺ πολιτικήν, ὦ Σώκρατες, ἐπονομάζεις πολλάκις, τὴν αὐτὴν δὴ ταύτην δικαστικήν τε καὶ δικαιοσύνην ὡς ἔστιν λέγων. τούτοις δὴ τοῖς λόγοις καὶ ἑτέροις τοιούτοις παμπόλλοις καὶ παγκάλως λεγομένοις, ὡς διδακτὸν ἀρετὴ καὶ πάντων ἑαυτοῦ δεῖ μάλιστα
","ἐλευθέρῳ διάγω βίος , καθάπερ πλοῖον παραδόντι πηδάλιον διάνοια , μανθάνω ἄνθρωπος κυβερνητικός , πολιτικός , Σώκρατες , ἐπονομάζω πολλάκις , δικαστικός δικαιοσύνη λέγω . λόγος ἕτερος παμπόλλος παγκάλως λέγω , διδακτός ἀρετή πᾶς δεῖ μάλιστα 
"
8,.408c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dCleit.%3Asection%3D408c,"ἐπιμελεῖσθαι, σχεδὸν οὔτ᾽ ἀντεῖπον πώποτε οὔτ᾽ οἶμαι μήποτε ὕστερον ἀντείπω, προτρεπτικωτάτους τε ἡγοῦμαι καὶ ὠφελιμωτάτους, καὶ ἀτεχνῶς ὥσπερ καθεύδοντας ἐπεγείρειν ἡμᾶς. προσεῖχον δὴ τὸν νοῦν τὸ μετὰ ταῦτα ὡς ἀκουσόμενος, ἐπανερωτῶν οὔτι σὲ τὸ πρῶτον, ὦ Σώκρατες, ἀλλὰ τῶν ἡλικιωτῶν τε καὶ συνεπιθυμητῶν ἢ ἑταίρων σῶν, ἢ ὅπως δεῖ πρὸς σὲ περὶ αὐτῶν τὸ τοιοῦτον ὀνομάζειν. τούτων γὰρ τοὺς τὶ μάλιστα εἶναι δοξαζομένους ὑπὸ σοῦ πρώτους ἐπανηρώτων, πυνθανόμενος τίς ὁ μετὰ ταῦτ᾽ εἴη λόγος, καὶ
","ἐπιμελεῖσθαι , σχεδόν οὔτ᾽ ἀντεῖπον πώποτε οὔτ᾽ οἱόμαι μήποτε ὕστερος ἀντείπω , προτρεπτικός ἡγέομαι ὠφελιμωτάτους , ἀτεχνῶς ὥσπερ καθεύδω ἐπεγείρω . προσέχω νόος ἀκούω , ἐπανερωτάω οὔτι πρῶτος , Σώκρατες , ἡλικιωτής συνεπιθυμητής ἑταῖρος , ὅπως δεῖ ὀνομάζω . τὶς μάλιστα δοξάζω πρῶτος ἐπανηρώτων , πυνθάνομαι ταῦτ᾽ λόγος , 
"
9,.408d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dCleit.%3Asection%3D408d,"κατὰ σὲ τρόπον τινὰ ὑποτείνων αὐτοῖς, ὦ βέλτιστοι, ἔφην, ὑμεῖς, πῶς ποτε νῦν ἀποδεχόμεθα τὴν Σωκράτους προτροπὴν ἡμῶν ἐπ᾽ ἀρετήν; ὡς ὄντος μόνου τούτου, ἐπεξελθεῖν δὲ οὐκ ἔνι τῷ πράγματι καὶ λαβεῖν αὐτὸ τελέως, ἀλλ᾽ ἡμῖν παρὰ πάντα δὴ τὸν βίον ἔργον τοῦτ᾽ ἔσται, τοὺς μήπω προτετραμμένους προτρέπειν, καὶ ἐκείνους αὖ ἑτέρους; ἢ δεῖ τὸν Σωκράτη καὶ ἀλλήλους ἡμᾶς τὸ μετὰ τοῦτ᾽ ἐπανερωτᾶν,
","τρόπος ὑποτείνω , βέλτιστος , φημί , , πῶς ποτε νῦν ἀποδέχομαι σωκράτης προτροπή ἐπ᾽ ἀρετή ; μόνος , ἐπεξέρχομαι πρᾶγμα λαμβάνω τέλειος , ἀλλ᾽ πᾶς βίος ἔργον τοῦτ᾽ , μήπω προτετραμμένους προτρέπω , ἐκεῖνος αὖ ἕτερος ; δεῖ Σωκράτης ἀλλήλων τοῦτ᾽ ἐπανερωτάω , 
"
