,section,path,text,lemma_text
0,.383a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dCrat.%3Asection%3D383a,"βούλει οὖν καὶ Σωκράτει τῷδε ἀνακοινωσώμεθα τὸν λόγον; εἴ σοι δοκεῖ. Κρατύλος φησὶν ὅδε, ὦ Σώκρατες, ὀνόματος ὀρθότητα εἶναι ἑκάστῳ τῶν ὄντων φύσει πεφυκυῖαν, καὶ οὐ τοῦτο εἶναι ὄνομα ὃ ἄν τινες συνθέμενοι καλεῖν καλῶσι, τῆς αὑτῶν φωνῆς μόριον ἐπιφθεγγόμενοι, ἀλλὰ ὀρθότητά τινα τῶν
","βούλομαι Σωκράτει ἀνακοινωσώμεθα λόγος ; δοκέω . Κρατύλος φημί , Σώκρατες , ὄνομα ὀρθότης ἕκαστος φύσις πεφυκίσκω , ὄνομα συντίθημι καλέω καλῶ , φωνή μόριον ἐπιφθέγγομαι , ὀρθότης 
"
1,.383b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dCrat.%3Asection%3D383b,"ὀνομάτων πεφυκέναι καὶ Ἕλλησι καὶ βαρβάροις τὴν αὐτὴν ἅπασιν. ἐρωτῶ οὖν αὐτὸν ἐγὼ εἰ αὐτῷ Κρατύλος τῇ ἀληθείᾳ ὄνομα ἐστὶν ἢ οὔ: ὁ δὲ ὁμολογεῖ. τί δὲ Σωκράτει; ἔφην. Σωκράτης, ἦ δ᾽ ὅς. οὐκοῦν καὶ τοῖς ἄλλοις ἀνθρώποις πᾶσιν, ὅπερ καλοῦμεν ὄνομα ἕκαστον, τοῦτό ἐστιν ἑκάστῳ ὄνομα; ὁ δέ, οὔκουν σοί γε, ἦ δ᾽ ὅς, ὄνομα Ἑρμογένης, οὐδὲ ἂν πάντες καλῶσιν ἄνθρωποι. καὶ ἐμοῦ ἐρωτῶντος καὶ προθυμουμένου εἰδέναι ὅτι ποτὲ
","ὄνομα φύω ἕλλην βάρβαρος ἅπας . ἐρωτάω Κρατύλος ἀλήθεια ὄνομα : ὁμολογέω . Σωκράτει ; φημί . σωκράτης , δέ . οὐκοῦν ἄνθρωπος πᾶς , ὅσπερ καλέω ὄνομα ἕκαστος , ἕκαστος ὄνομα ; , οὔκουν , δέ , ὄνομα ἑρμογένης , πᾶς καλῶ ἄνθρωπος . ἐρωτάω προθυμέομαι οἶδα ποτε 
"
2,.384a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dCrat.%3Asection%3D384a,"λέγει, οὔτε ἀποσαφεῖ οὐδὲν εἰρωνεύεταί τε πρός με, προσποιούμενός τι αὐτὸς ἐν ἑαυτῷ διανοεῖσθαι ὡς εἰδὼς περὶ αὐτοῦ, ὃ εἰ βούλοιτο σαφῶς εἰπεῖν, ποιήσειεν ἂν καὶ ἐμὲ ὁμολογεῖν καὶ λέγειν ἅπερ αὐτὸς λέγει. εἰ οὖν πῃ ἔχεις συμβαλεῖν τὴν Κρατύλου μαντείαν, ἡδέως ἂν ἀκούσαιμι: μᾶλλον δὲ αὐτῷ σοι ὅπῃ δοκεῖ ἔχειν περὶ ὀνομάτων ὀρθότητος ἔτι ἂν ἥδιον πυθοίμην, εἴ σοι βουλομένῳ ἐστίν. ὦ παῖ Ἱππονίκου Ἑρμόγενες, παλαιὰ παροιμία ὅτι
","λέγω , ἀποσαφέω εἰρωνεύομαι , προσποιούμενός διανοέω οἶδα , βούλομαι σαφής εἶπον , ποιέω ὁμολογέω λέγω λέγω . πη ἔχω συμβάλλω Κρατύλος μαντεία , ἡδέως ἀκούσαιμι : μᾶλλον ὅπη δοκέω ἔχω ὄνομα ὀρθότης ἥδιος πυνθάνομαι , βούλομαι . παῖς ἱππόνικος Ἑρμόγενες , παλαιός παροιμία 
"
3,.384b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dCrat.%3Asection%3D384b,"χαλεπὰ τὰ καλά ἐστιν ὅπῃ ἔχει μαθεῖν: καὶ δὴ καὶ τὸ περὶ τῶν ὀνομάτων οὐ σμικρὸν τυγχάνει ὂν μάθημα. εἰ μὲν οὖν ἐγὼ ἤδη ἠκηκόη παρὰ Προδίκου τὴν πεντηκοντάδραχμον ἐπίδειξιν, ἣν ἀκούσαντι ὑπάρχει περὶ τοῦτο πεπαιδεῦσθαι, ὥς φησιν ἐκεῖνος, οὐδὲν ἂν ἐκώλυέν σε αὐτίκα μάλα εἰδέναι τὴν ἀλήθειαν περὶ ὀνομάτων ὀρθότητος: νῦν δὲ οὐκ ἀκήκοα,
","χαλεπός καλός ὅπη ἔχω μανθάνω : ὄνομα μικρός τυγχάνω μάθημα . ἤδη ἠκηκόη Προδίκης πεντηκοντάδραχμος ἐπίδειξις , ἀκούω ὑπάρχω πεπαιδεῦσθαι , φημί ἐκεῖνος , ἐκώλυέν αὐτίκα μάλα οἶδα ἀλήθεια ὄνομα ὀρθότης : νῦν ἀκήκοα , 
"
4,.384c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dCrat.%3Asection%3D384c,"ἀλλὰ τὴν δραχμιαίαν. οὔκουν οἶδα πῇ ποτε τὸ ἀληθὲς ἔχει περὶ τῶν τοιούτων: συζητεῖν μέντοι ἕτοιμός εἰμι καὶ σοὶ καὶ Κρατύλῳ κοινῇ. ὅτι δὲ οὔ φησί σοι Ἑρμογένη ὄνομα εἶναι τῇ ἀληθείᾳ, ὥσπερ ὑποπτεύω αὐτὸν σκώπτειν: οἴεται γὰρ ἴσως σε χρημάτων ἐφιέμενον κτήσεως ἀποτυγχάνειν ἑκάστοτε. ἀλλ᾽, ὃ νυνδὴ ἔλεγον, εἰδέναι μὲν τὰ τοιαῦτα χαλεπόν, εἰς τὸ κοινὸν δὲ καταθέντας χρὴ σκοπεῖν εἴτε ὡς σὺ λέγεις ἔχει εἴτε ὡς Κρατύλος. καὶ μὴν ἔγωγε, ὦ Σώκρατες, πολλάκις δὴ καὶ τούτῳ διαλεχθεὶς καὶ ἄλλοις πολλοῖς, οὐ δύναμαι πεισθῆναι
","δραχμιαῖος . οὔκουν οἶδα πῆ ποτε ἀληθής ἔχω : συζητέω μέντοι ἕτοιμος Κρατύλῳ κοινός . φημί Ἑρμογένης ὄνομα ἀλήθεια , ὥσπερ ὑποπτεύω σκώπτω : οἴομαι ἴσως χρῆμα ἐφιέμενον κτήσεως ἀποτυγχάνω ἑκάστοτε . ἀλλ᾽ , νυνδὴ λέγω , οἶδα χαλεπός , κοινός καταθίημι χρή σκοπέω εἴτε λέγω ἔχω εἴτε Κρατύλος . μήν , Σώκρατες , πολλάκις διαλέγω πολύς , δύναμαι πείθω 
"
5,.384d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dCrat.%3Asection%3D384d,"ὡς ἄλλη τις ὀρθότης ὀνόματος ἢ συνθήκη καὶ ὁμολογία. ἐμοὶ γὰρ δοκεῖ ὅτι ἄν τίς τῳ θῆται ὄνομα, τοῦτο εἶναι τὸ ὀρθόν: καὶ ἂν αὖθίς γε ἕτερον μεταθῆται, ἐκεῖνο δὲ μηκέτι καλῇ, οὐδὲν ἧττον τὸ ὕστερον ὀρθῶς ἔχειν τοῦ προτέρου, ὥσπερ τοῖς οἰκέταις ἡμεῖς μετατιθέμεθα οὐδὲν ἧττον τοῦτ᾽ εἶναι ὀρθὸν τὸ μετατεθὲν τοῦ πρότερον κειμένου: οὐ γὰρ φύσει ἑκάστῳ πεφυκέναι ὄνομα οὐδὲν οὐδενί, ἀλλὰ νόμῳ καὶ ἔθει τῶν ἐθισάντων τε καὶ καλούντων. εἰ δέ πῃ ἄλλῃ
","ὀρθότης ὄνομα συνθήκα ὁμολογία . δοκέω τίθημι ὄνομα , ὀρθός : αὖθίς ἕτερος μεταθῆται , ἐκεῖνος μηκέτι καλός , ἥσσων ὕστερος ὀρθός ἔχω πρότερος , ὥσπερ οἰκέτης μετατιθέμεθα ἥσσων τοῦτ᾽ ὀρθός μετατεθὲν πρότερος κεῖμαι : φύσις ἕκαστος φύω ὄνομα οὐδενί , νόμος ἔθος ἐθίζω καλέω . πη 
"
6,.384e,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dCrat.%3Asection%3D384e,"ἔχει, ἕτοιμος ἔγωγε καὶ μανθάνειν καὶ ἀκούειν οὐ μόνον παρὰ Κρατύλου, ἀλλὰ καὶ παρ᾽ ἄλλου ὁτουοῦν.
","ἔχω , ἑτοῖμος μανθάνω ἀκούω μόνος Κρατύλος , παρ᾽ ὁτουοῦν . 
"
7,.385a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dCrat.%3Asection%3D385a," ἴσως μέντοι τὶ λέγεις, ὦ Ἑρμόγενες: σκεψώμεθα δέ. ὃ ἂν φῂς καλῇ τις ἕκαστον, τοῦθ᾽ ἑκάστῳ ὄνομα; ἔμοιγε δοκεῖ. καὶ ἐὰν ἰδιώτης καλῇ καὶ ἐὰν πόλις; φημί. τί οὖν; ἐὰν ἐγὼ καλῶ ὁτιοῦν τῶν ὄντων, οἷον ὃ νῦν καλοῦμεν ἄνθρωπον, ἐὰν ἐγὼ τοῦτο ἵππον προσαγορεύω, ὃ δὲ νῦν ἵππον, ἄνθρωπον, ἔσται δημοσίᾳ μὲν ὄνομα ἄνθρωπος τῷ αὐτῷ, ἰδίᾳ δὲ ἵππος; καὶ ἰδίᾳ μὲν αὖ ἄνθρωπος, δημοσίᾳ δὲ ἵππος; οὕτω λέγεις;
","  ἴσως μέντοι τὶς λέγω , Ἑρμόγενες : σκέπτομαι . φημί καλός ἕκαστος , τοῦθ᾽ ἕκαστος ὄνομα ; δοκέω . ἰδιώτης καλός πόλις ; φημί . ; καλέω ὁτιοῦν , οἷος νῦν καλέω ἄνθρωπος , ἵππος προσαγορεύω , νῦν ἵππος , ἄνθρωπος , δημοσίᾳ ὄνομα ἄνθρωπος , ἴδιος ἵππος ; ἴδιος αὖ ἄνθρωπος , δημοσίᾳ ἵππος ; λέγω ; 
"
8,.385b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dCrat.%3Asection%3D385b," ἔμοιγε δοκεῖ. φέρε δή μοι τόδε εἰπέ: καλεῖς τι ἀληθῆ λέγειν καὶ ψευδῆ; ἔγωγε. οὐκοῦν εἴη ἂν λόγος ἀληθής, ὁ δὲ ψευδής; πάνυ γε. ἆρ᾽ οὖν οὗτος ὃς ἂν τὰ ὄντα λέγῃ ὡς ἔστιν, ἀληθής: ὃς δ᾽ ἂν ὡς οὐκ ἔστιν, ψευδής; ναί. ἔστιν ἄρα τοῦτο, λόγῳ λέγειν τὰ ὄντα τε καὶ μή; πάνυ γε.
","  δοκέω . φέρω εἶπον : καλέω ἀληθής λέγω ψευδής ; . οὐκοῦν λόγος ἀληθής , ψευδής ; πάνυ . ἆρ᾽ λέγω , ἀληθής : δέ , ψευδής ; ναί . , λόγος λέγω ; πάνυ . 
"
9,.385c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dCrat.%3Asection%3D385c," ὁ λόγος δ᾽ ἐστὶν ὁ ἀληθὴς πότερον μὲν ὅλος ἀληθής, τὰ μόρια δ᾽ αὐτοῦ οὐκ ἀληθῆ; οὔκ, ἀλλὰ καὶ τὰ μόρια. πότερον δὲ τὰ μὲν μεγάλα μόρια ἀληθῆ, τὰ δὲ σμικρὰ οὔ: ἢ πάντα; πάντα, οἶμαι ἔγωγε. ἔστιν οὖν ὅτι λέγεις λόγου σμικρότερον μόριον ἄλλο ἢ ὄνομα; οὔκ, ἀλλὰ τοῦτο σμικρότατον. καὶ τοῦτο ὄνομα ἄρα τὸ τοῦ ἀληθοῦς λόγου λέγεται; ναί. ἀληθές γε, ὡς φῄς. ναί. τὸ δὲ τοῦ ψεύδους μόριον οὐ ψεῦδος; φημί. ἔστιν ἄρα ὄνομα ψεῦδος καὶ ἀληθὲς λέγειν, εἴπερ καὶ λόγον;
","  λόγος δέ ἀληθής πότερος ὅλος ἀληθής , μόριον δέ ἀληθής ; οὔ , μόριον . πότερος μέγας μόριον ἀληθής , σμικρός : πᾶς ; πᾶς , οἱόμαι . λέγω λόγος σμικρός μόριον ὄνομα ; οὔ , σμικρός . ὄνομα ἀληθής λόγος λέγω ; ναί . ἀληθής , φημί . ναί . ψεῦδος μόριον ψεῦδος ; φημί . ὄνομα ψεῦδος ἀληθής λέγω , εἴπερ λόγος ; 
"
10,.385d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dCrat.%3Asection%3D385d," πῶς γὰρ οὔ; ὃ ἂν ἄρα ἕκαστος φῇ τῳ ὄνομα εἶναι, τοῦτό ἐστιν ἑκάστῳ ὄνομα; ναί. ἦ καὶ ὁπόσα ἂν φῇ τις ἑκάστῳ ὀνόματα εἶναι, τοσαῦτα ἔσται καὶ τότε ὁπόταν φῇ; οὐ γὰρ ἔχω ἔγωγε, ὦ Σώκρατες, ὀνόματος ἄλλην ὀρθότητα ἢ ταύτην, ἐμοὶ μὲν ἕτερον εἶναι καλεῖν ἑκάστῳ ὄνομα, ὃ ἐγὼ ἐθέμην, σοὶ δὲ ἕτερον, ὃ αὖ σύ. οὕτω δὲ καὶ
","  πῶς ; ἕκαστος φῇ ὄνομα , ἕκαστος ὄνομα ; ναί . ὁπόσος φῇ ἕκαστος ὄνομα , τοσοῦτος τότε ὁόταν φῇ ; ἔχω , Σώκρατες , ὄνομα ὀρθότης , ἕτερος καλέω ἕκαστος ὄνομα , ἐθέμην , ἕτερος , αὖ . 
"
11,.385e,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dCrat.%3Asection%3D385e,"ταῖς πόλεσιν ὁρῶ ἰδίᾳ ἑκάσταις ἐνίοις ἐπὶ τοῖς αὐτοῖς κείμενα ὀνόματα, καὶ Ἕλλησι παρὰ τοὺς ἄλλους Ἕλληνας, καὶ Ἕλλησι παρὰ βαρβάρους. φέρε δὴ ἴδωμεν, ὦ Ἑρμόγενες, πότερον καὶ τὰ ὄντα οὕτως ἔχειν σοι φαίνεται, ἰδίᾳ αὐτῶν ἡ οὐσία εἶναι ἑκάστῳ, ὥσπερ Πρωταγόρας ἔλεγεν λέγων πάντων χρημάτων
","πόλις ὁράω ἴδιος ἑκάστος ἔνιοι κεῖμαι ὄνομα , ἕλλην ἕλλην , ἕλλην βάρβαρος . φέρω ὁράω , Ἑρμόγενες , πότερος ἔχω φαίνω , ἴδιος οὐσία ἕκαστος , ὥσπερ Πρωταγόρας λέγω λέγω πᾶς χρῆμα 
"
12,.386a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dCrat.%3Asection%3D386a,"μέτρον εἶναι ἄνθρωπον—ὡς ἄρα οἷα μὲν ἂν ἐμοὶ φαίνηται τὰ πράγματα εἶναι, τοιαῦτα μὲν ἔστιν ἐμοί: οἷα δ᾽ ἂν σοί, τοιαῦτα δὲ σοί—ἢ ἔχειν δοκεῖ σοι αὐτὰ αὑτῶν τινα βεβαιότητα τῆς οὐσίας; ἤδη ποτὲ ἔγωγε, ὦ Σώκρατες, ἀπορῶν καὶ ἐνταῦθα ἐξηνέχθην εἰς ἅπερ Πρωταγόρας λέγει: οὐ πάνυ τι μέντοι μοι δοκεῖ οὕτως ἔχειν. τί δέ; ἐς τόδε ἤδη ἐξηνέχθης, ὥστε μὴ πάνυ σοι
","μέτρον ἄνθρωπος — οἷος φαίνω πρᾶγμα , : οἷος δέ , — ἔχω δοκέω βεβαιότης οὐσία ; ἤδη ποτε , Σώκρατες , ἀπορέω ἐνταῦθα ξηνέγω Πρωταγόρας λέγω : πάνυ μέντοι δοκέω ἔχω . ; ἤδη ἐξηνέχθης , πάνυ 
"
