,section,path,text,lemma_text
0,.106a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dCriti.%3Asection%3D106a,"ὡς ἅσμενος, ὦ Σώκρατες, οἷον ἐκ μακρᾶς ἀναπεπαυμένος ὁδοῦ, νῦν οὕτως ἐκ τῆς τοῦ λόγου διαπορείας ἀγαπητῶς ἀπήλλαγμαι. τῷ δὲ πρὶν μὲν πάλαι ποτ᾽ ἔργῳ, νῦν δὲ λόγοις ἄρτι θεῷ γεγονότι προσεύχομαι, τῶν ῥηθέντων ὅσα μὲν ἐρρήθη μετρίως, σωτηρίαν ἡμῖν αὐτὸν αὐτῶν
","ἅσμενος , Σώκρατες , οἷος μακρός ἀναπεπαυμένος ὁδός , νῦν λόγος διαπορείη ἀγαπητής ἀπήλλαγμαι . πρίν πάλαι ποτ᾽ ἔργον , νῦν λόγος ἄρτι θεός γίγνομαι προσεύχομαι , λέγω ὅσος ρρέω μέτριος , σωτηρία 
"
1,.106b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dCriti.%3Asection%3D106b,"διδόναι, παρὰ μέλος δὲ εἴ τι περὶ αὐτῶν ἄκοντες εἴπομεν, δίκην τὴν πρέπουσαν ἐπιτιθέναι. δίκη δὲ ὀρθὴ τὸν πλημμελοῦντα ἐμμελῆ ποιεῖν: ἵν᾽ οὖν τὸ λοιπὸν τοὺς περὶ θεῶν γενέσεως ὀρθῶς λέγωμεν λόγους, φάρμακον ἡμῖν αὐτὸν τελεώτατον καὶ ἄριστον φαρμάκων ἐπιστήμην εὐχόμεθα διδόναι, προσευξάμενοι δὲ παραδίδομεν κατὰ τὰς ὁμολογίας Κριτίᾳ τὸν ἑξῆς λόγον. ἀλλ᾽, ὦ Τίμαιε, δέχομαι μέν, ᾧ δὲ καὶ σὺ κατ᾽
","δίδωμι , μέλος ἄκος εἴπομεν , δίκη πρέπω ἐπιτίθημι . δίκη ὀρθός πλημμελέω ἐμμελής ποιέω : ἵν᾽ λοιπός θεός γένεσις ὀρθός λέγω λόγος , φάρμακον τελεός ἄριστος φαρμάκον ἐπιστήμη εὔχομαι δίδωμι , προσεύχομαι παραδίδωμι ὁμολογία Κριτίᾳ ἑξῆς λόγος . ἀλλ᾽ , Τίμαιος , δέχομαι , κατ᾽ 
"
2,.106c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dCriti.%3Asection%3D106c,"ἀρχὰς ἐχρήσω, συγγνώμην αἰτούμενος ὡς περὶ μεγάλων μέλλων λέγειν, ταὐτὸν καὶ νῦν ἐγὼ τοῦτο παραιτοῦμαι,
","ἀρχή ἐχρέω , συγγνώμη αἰτέω μέγας μέλλω λέγω , νῦν παραιτέομαι , 
"
3,.107a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dCriti.%3Asection%3D107a,"μειζόνως δὲ αὐτοῦ τυχεῖν ἔτι μᾶλλον ἀξιῶ περὶ τῶν μελλόντων ῥηθήσεσθαι. καίτοι σχεδὸν μὲν οἶδα παραίτησιν εὖ μάλα φιλότιμον καὶ τοῦ δέοντος ἀγροικοτέραν μέλλων παραιτεῖσθαι, ῥητέον δὲ ὅμως. ὡς μὲν γὰρ οὐκ εὖ τὰ παρὰ σοῦ λεχθέντα εἴρηται, τίς ἂν ἐπιχειρήσειεν ἔμφρων λέγειν; ὅτι δὲ τὰ ῥηθησόμενα πλείονος συγγνώμης δεῖται χαλεπώτερα ὄντα, τοῦτο πειρατέον πῃ διδάξαι. περὶ θεῶν γάρ, ὦ Τίμαιε, λέγοντά τι πρὸς ἀνθρώπους δοκεῖν ἱκανῶς
","μειζόνως τυγχάνω μᾶλλον ἀξιόω μέλλω ῥηθήσεσθαι . καίτοι σχεδόν οἶδα παραίτησις εὖ μάλα φιλότιμος δέω ἀγροικοτέραν μέλλω παραιτέομαι , ῥητέον ὅμως . εὖ λέγω εἴρω , ἐπιχειρέω ἔμφρων λέγω ; ῥηθησόμενα πολύς συγγνώμη δέω χαλεπός , πειρατέος πη διδάσκω . θεός , Τίμαιος , λέγω ἄνθρωπος δοκέω ἱκανός 
"
4,.107b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dCriti.%3Asection%3D107b,"λέγειν ῥᾷον ἢ περὶ θνητῶν πρὸς ἡμᾶς. ἡ γὰρ ἀπειρία καὶ σφόδρα ἄγνοια τῶν ἀκουόντων περὶ ὧν ἂν οὕτως ἔχωσιν πολλὴν εὐπορίαν παρέχεσθον τῷ μέλλοντι λέγειν τι περὶ αὐτῶν: περὶ δὲ δὴ θεῶν ἴσμεν ὡς ἔχομεν. ἵνα δὲ σαφέστερον ὃ λέγω δηλώσω, τῇδέ μοι συνεπίσπεσθε. μίμησιν μὲν γὰρ δὴ καὶ ἀπεικασίαν τὰ παρὰ πάντων ἡμῶν ῥηθέντα χρεών που γενέσθαι: τὴν δὲ τῶν γραφέων εἰδωλοποιίαν περὶ τὰ θεῖά τε καὶ τὰ ἀνθρώπινα σώματα γιγνομένην
","λέγω ῥάιος θνητός . ἀπειρία σφόδρα ἄγνοια ἀκούω ἔχω πολύς εὐπορία παρέχομαι μέλλω λέγω : θεός οἶδα ἔχω . ἵνα σαφής λέγω δηλόω , συνεπίσπεσθε . μίμησις ἀπεικασία πᾶς ἐρῶ χρεών πού γίγνομαι : γραφή εἰδωλοποιία θεῖος ἀνθρώπινος σῶμα γίγγνομαι 
"
5,.107c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dCriti.%3Asection%3D107c,"ἴδωμεν ῥᾳστώνης τε πέρι καὶ χαλεπότητος πρὸς τὸ τοῖς ὁρῶσιν δοκεῖν ἀποχρώντως μεμιμῆσθαι, καὶ κατοψόμεθα ὅτι γῆν μὲν καὶ ὄρη καὶ ποταμοὺς καὶ ὕλην οὐρανόν τε σύμπαντα καὶ τὰ περὶ αὐτὸν ὄντα καὶ ἰόντα πρῶτον μὲν ἀγαπῶμεν ἄν τίς τι καὶ βραχὺ πρὸς ὁμοιότητα αὐτῶν ἀπομιμεῖσθαι δυνατὸς ᾖ, πρὸς δὲ τούτοις, ἅτε οὐδὲν εἰδότες ἀκριβὲς περὶ τῶν τοιούτων, οὔτε ἐξετάζομεν οὔτε ἐλέγχομεν τὰ γεγραμμένα,
","ὁράω ῥᾳστώνη χαλεπότης ὁράω δοκέω ἀποχρώντως μεμιμῆσθαι , κατοψόμεθα γῆ ὄρος ποταμός ὕλη οὐρανός σύμπας εἶμι πρῶτος ἀγαπῶ βραχύς ὁμοιότης ἀπομιμέω δυνατός , , ἅτε οἶδα ἀκριβής , ἐξετάζω ἐλέγχο γράφω , 
"
6,.107d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dCriti.%3Asection%3D107d,"σκιαγραφίᾳ δὲ ἀσαφεῖ καὶ ἀπατηλῷ χρώμεθα περὶ αὐτά: τὰ δὲ ἡμέτερα ὁπόταν τις ἐπιχειρῇ σώματα ἀπεικάζειν, ὀξέως αἰσθανόμενοι τὸ παραλειπόμενον διὰ τὴν ἀεὶ σύνοικον κατανόησιν χαλεποὶ κριταὶ γιγνόμεθα τῷ μὴ πάσας πάντως τὰς ὁμοιότητας ἀποδιδόντι. ταὐτὸν δὴ καὶ κατὰ τοὺς λόγους ἰδεῖν δεῖ γιγνόμενον, ὅτι τὰ μὲν οὐράνια καὶ θεῖα ἀγαπῶμεν καὶ σμικρῶς εἰκότα λεγόμενα, τὰ δὲ θνητὰ καὶ ἀνθρώπινα ἀκριβῶς ἐξετάζομεν. ἐκ δὴ τοῦ παραχρῆμα
","σκιαγραφία ἀσαφής ἀπατηλός χράω : ἡμέτερος ὁόταν ἐπιχειρέω σῶμα ἀπεικάζω , ὀξύς αἰσθανόμενοι παραλείπω ἀεί σύνοικος κατανόησις χαλεπός κριτής γιίγνομαγ πᾶς πάντως ὁμοιότητα ἀποδίδωμι . λόγος εἶδον δεῖ γίγνομαι , οὐράνιος θεῖος ἀγαπάω σμικρῶς ἔοικα λέγω , θνητός ἀνθρώπινος ἀκριβῶς ἐξετάζω . παραχρῆμα 
"
7,.107e,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dCriti.%3Asection%3D107e,"νῦν λεγόμενα, τὸ πρέπον ἂν μὴ δυνώμεθα πάντως ἀποδιδόναι, συγγιγνώσκειν χρεών: οὐ γὰρ ὡς ῥᾴδια τὰ θνητὰ ἀλλ᾽ ὡς χαλεπὰ πρὸς δόξαν ὄντα ἀπεικάζειν δεῖ διανοεῖσθαι.
","νῦν λέγω , πρέπω δυνώμεθα πάντως ἀποδίδωμι , συγγιγνώσκω χρεών : ῥᾴδιος θνητός ἀλλ᾽ χαλεπός δόξα ἀπεικάζω δεῖ διανοέω . 
"
8,.108a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dCriti.%3Asection%3D108a,"ταῦτα δὴ βουλόμενος ὑμᾶς ὑπομνῆσαι, καὶ τὸ τῆς συγγνώμης οὐκ ἔλαττον ἀλλὰ μεῖζον αἰτῶν περὶ τῶν μελλόντων ῥηθήσεσθαι, πάντα ταῦτα εἴρηκα, ὦ Σώκρατες. εἰ δὴ δικαίως αἰτεῖν φαίνομαι τὴν δωρεάν, ἑκόντες δίδοτε. τί δ᾽ οὐ μέλλομεν, ὦ Κριτία, διδόναι; καὶ πρός γε ἔτι τρίτῳ δεδόσθω ταὐτὸν τοῦτο Ἑρμοκράτει παρ᾽ ἡμῶν. δῆλον γὰρ ὡς ὀλίγον ὕστερον, ὅταν αὐτὸν δέῃ λέγειν,
","βούλομαι ὑπομνῆζω , συγγνώμη ἐλάσσων μέγας αἰτέω μέλλω ῥηθάνω , πᾶς λέγω , Σώκρατες . δίκαιος αἰτέω φαίνω δωρεάν , ἑκών δίδωμι . δέ μέλλω , Κριτίης , δίδωμι ; τρίτος δεδόσθω Ἑρμοκράτει παρ᾽ . δῆλος ὀλίγος ὕστερος , ὅταν δεῖ λέγω , 
"
9,.108b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dCriti.%3Asection%3D108b,"παραιτήσεται καθάπερ ὑμεῖς: ἵν᾽ οὖν ἑτέραν ἀρχὴν ἐκπορίζηται καὶ μὴ τὴν αὐτὴν ἀναγκασθῇ λέγειν, ὡς ὑπαρχούσης αὐτῷ συγγνώμης εἰς τότε οὕτω λεγέτω. προλέγω γε μήν, ὦ φίλε Κριτία, σοὶ τὴν τοῦ θεάτρου διάνοιαν, ὅτι θαυμαστῶς ὁ πρότερος ηὐδοκίμηκεν ἐν αὐτῷ ποιητής, ὥστε τῆς συγγνώμης δεήσει τινός σοι παμπόλλης, εἰ μέλλεις αὐτὰ δυνατὸς γενέσθαι παραλαβεῖν. ταὐτὸν μήν, ὦ Σώκρατες, κἀμοὶ παραγγέλλεις ὅπερ
","παραιτάω καθάπερ : ἵν᾽ ἕτερος ἀρχή ἐκπορίζηται ἀναγκάζω λέγω , ὑπάρχω συγγνώμη τότε λέγω . προλέγω μήν , φίλος Κριτίης , θέατρον διάνοια , θαυμαστῶς πρότερος ηὐδοκίμηκεν ποιητής , συγγνώμη δέησις παμπόλλης , μέλλω δυνατός γίγνομαι παραλαμβάνω . μήν , Σώκρατες , παραγγέλλω ὅσπερ 
"
