,section,path,text,lemma_text
0,.973a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dEpin.%3Asection%3D973a,"πρὸς μὲν τὸ τῆς ὁμολογίας ἥκομεν ἅπαντες ὀρθῶς, ὦ ξένε, τρεῖς ὄντες, ἐγὼ καὶ σὺ καὶ Μέγιλλος ὅδε, τὸ τῆς φρονήσεως ἐπισκεψόμενοι τίνι ποτὲ χρὴ λόγῳ διεξελθεῖν, ὃ τὴν ἀνθρωπίνην ἕξιν φαμέν, ὅταν διανοηθῇ, κάλλιστ᾽ ἔχειν ποιεῖν πρὸς φρόνησιν ὅσην δυνατὸν ἀνθρώπῳ σχεῖν. τὰ μὲν
","ὁμολογία ἥκω ἅπας ὀρθός , ξένος , τρεῖς , Μέγιλλος , φρονήσεως ἐπισκεψόμενοι ποτε χρή λόγος διεξέρχομαι , ἀνθρωπίνην ἕξις φαμέν , ὅταν διανοέω , κάλλιστ᾽ ἔχω ποιέω φρόνησις ὅσος δυνατός ἄνθρωπος ἔχω . 
"
1,.973b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dEpin.%3Asection%3D973b,"γὰρ ἄλλα, ὥς φαμεν, ἅπαντα διεξήλθομεν ὅσα ἦν περὶ νόμων θέσιν: ὃ δὲ μέγιστον εὑρεῖν τε καὶ εἰπεῖν, τί ποτε μαθὼν θνητὸς ἄνθρωπος σοφὸς ἂν εἴη, τοῦτο οὔτε εἴπομεν οὔτε ηὕρομεν, νῦν τε πειρώμεθα τοῦτο μὴ καταλιπεῖν: σχεδὸν γὰρ ἀτελὲς ἂν πράξαιμεν οὗ χάριν ἅπαντες ὡρμήσαμεν, ὡς φανερὰ ποιήσοντες ἐξ ἀρχῆς μέχρι τέλους. ὦ φίλε Κλεινία, καλῶς μὲν λέγεις, ἄτοπον μὴν ἀκούσεσθαί σε λόγον οἶμαι, καί τινα τρόπον οὐκ ἄτοπον αὖ.
",", φημί , ἅπας διεξέρχομαι ὅσος νόμος θέσις : μέγας εὑρίσκω εἶπον , ποτε μανθάνω θνητός ἄνθρωπος σοφός , εἴπω ηὕρομεν , νῦν πειράω καταλιμπάνω : σχεδόν ἀτελής πράσσω χάρις ἅπας ὡρμήω , φανερός ποιέω ἀρχή μέχρι τέλος . φίλος Κλεινία , καλός λέγω , ἄτοπος μήν ἀκούσεσθαί λόγος οἱόμαι , τρόπος ἄτοπος αὖ . 
"
2,.973c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dEpin.%3Asection%3D973c,"πολλοὶ γὰρ δὴ προστυχεῖς τῷ βίῳ γιγνόμενοι τὸν αὐτὸν λόγον φέρουσιν, ὡς οὐκ ἔσται μακάριον τὸ τῶν ἀνθρώπων γένος οὐδ᾽ εὔδαιμον. ἕπου δὴ καὶ σύνιδε ἄν σοι δοκῶ κἀγὼ μετ᾽ αὐτῶν καλῶς τοῦ τοιούτου πέρι λέγειν. οὔ φημι εἶναι δυνατὸν ἀνθρώποις μακαρίοις τε καὶ εὐδαίμοσιν γενέσθαι πλὴν ὀλίγων— μέχριπερ ἂν ζῶμεν τοῦτο διορίζομαι: καλὴ δὲ ἐλπὶς τελευτήσαντι τυχεῖν ἁπάντων ὧν ἕνεκά τις προθυμοῖτ᾽ ἂν ζῶν τε ὡς κάλλιστ᾽ ἂν ζῆν κατὰ δύναμιν καὶ τελευτήσας τελευτῆς
","πολύς προστυχής βίος γίγνομαι λόγος φέρω , μακάριος ἄνθρωπος γένος οὐδέ εὔδαιμος . ἕπου σύνιδε δοκέω ἐκἀ ἐγὼ μετ᾽ καλός λέγω . φημί δυνατός ἄνθρωπος μακαρίοις εὐδαίμος γίγνομαι πλήν ὀλίγος — μέχριπερ ζῶ διορίζω : καλός ἐλπίς τελευτάω τυγχάνω ἅπας ἕνεκα προθυμοῖτ᾽ ζάω κάλλιστ᾽ ζῶ δύναμις τελευτάω τελευτή 
"
3,.973d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dEpin.%3Asection%3D973d,"τοιαύτης τυχεῖν—λέγω δ᾽ οὐδὲν σοφόν, ἀλλ᾽ ὅπερ ἅπαντες Ἕλληνές τε καὶ βάρβαροι γιγνώσκομέν τινα τρόπον, ὡς ἐξ ἀρχῆς τὸ γενέσθαι χαλεπὸν ἅπαντι ζῴῳ: πρῶτον μὲν τὸ μετασχεῖν τῆς τῶν κυουμένων ἕξεως, ἔπειτ᾽ αὖ τὸ γίγνεσθαι, καὶ ἔτι τὸ τρέφεσθαι καὶ παιδεύεσθαι, διὰ πόνων μυρίων
","τυγχάνω — λέγω δέ σοφός , ἀλλ᾽ ὅσπερ ἅπας ἕλλην βάρβαρος γιγνώσκομέν τρόπος , ἀρχή γίγνομαι χαλεπός ἅπαντι ζῴῳ : πρῶτος μετέχω κυέω ἕξεως , ἔπειτ᾽ αὖ γίγνομαι , τρέφω παιδεύω , πόνος μυρίος 
"
4,.974a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dEpin.%3Asection%3D974a,"ταῦτα γίγνεσθαι σύμπαντα, ὥς φαμεν ἅπαντες. καὶ χρόνος βραχὺς ἄν τις εἴη πρὸς λογισμὸν μή τοι τῶν μοχθηρῶν, ἀλλ᾽ ὃ πᾶς ἂν ὑπολάβοι μέτριον. οὗτος δὲ σχεδὸν ἀναπνοὴν δοκεῖ ποιεῖν τινα κατὰ μέσον πῃ βίον τὸν ἀνθρώπινον: ταχύ γε μὴν ἐπιλαβὸν γῆρας ὁντινοῦν ποιήσει᾽ ἂν μήποτ᾽ ἐθελῆσαι πάλιν ἀναβιῶναι, λογισάμενον τὸν βεβιωμένον ἑαυτῷ βίον, ὅστις μὴ τυγχάνει παιδικῆς δόξης μεστὸς ὤν. τούτων δὴ τί ποτέ μοι τεκμήριον; ὅτι πέφυκεν ταύτῃ τὸ νῦν ζητούμενον
","γίγνομαι σύμπας , φημί ἅπας . χρόνος βραχύς λογισμὸς μοχθηρός , ἀλλ᾽ πᾶς ὑπολαμβάνω μέτριος . σχεδόν ἀναπνοὴ δοκέω ποιέω μέσος πη βίος ἀνθρώπινος : ταχύς μήν ἐπιλαβὸν γῆρας ὁντινοῦς ποιήσει᾽ μήποτ᾽ ἐθέλω πάλιν ἀναβιῶναι , λογίζομαι βεβιωμένον βίος , τυγχάνω παιδικῆς δόξα μεστὸς . ποτε τεκμήριον ; φύω νῦν ζητέω 
"
5,.974b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dEpin.%3Asection%3D974b,"τῷ λόγῳ. ζητοῦμεν δὲ δὴ τίνα τρόπον σοφοὶ γενησόμεθα, ὡς οὔσης τινὸς ἑκάστοις ταύτης τῆς δυνάμεως: ἡ δὲ φυγῇ φεύγει τότε ὅταν τις πρός τινα φρόνησιν ἴῃ τῶν λεγομένων τεχνῶν ἢ φρονήσεων ἤ τινων ἄλλων τοιούτων ὡς οἰόμεθα ἐπιστημῶν, ὡς ἀξίας τούτων οὐδεμιᾶς οὔσης ἐπίκλησιν ῥηθῆναι τῆς περὶ ταῦτα σοφίας τἀνθρώπινα, τῆς δὲ ψυχῆς σφόδρα πεποιθυίας καὶ μαντευομένης ὡς οὔσης αὐτῇ κατά
","λόγος . ζητέω τρόπος σοφός γενησόμεθα , ἕκαστος δύναμις : φυγή φεύγω τότε ὅταν φρόνησις εἶμι λέγω τέχνη φρονήσεων οἴομαι ἐπιστημῶν , ἄξιος οὐδεμιᾶς ἐπίκλησις ῥηθῆναι σοφία τἀνθρώπινος , ψυχή σφόδρα πεποιθυία μαντέυω 
"
6,.974c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dEpin.%3Asection%3D974c,"τινα φύσιν ταύτης, τίς δέ ἐστιν καὶ πότε καὶ πῶς, οὐ πάνυ δυναμένης ἐξευρίσκειν. ἆρ᾽ οὐ τούτῳ σφόδρα προσέοιχ᾽ ἡμῶν ἡ περὶ σοφίαν ἀπορία καὶ ζήτησις, πλείων τῆς ἐλπίδος ἑκάστῳ γιγνομένη τῶν ὅσοι ἐν ἡμῖν δυνατοὶ γίγνονται φρονίμως αὑτοὺς ἄλλους τε ἐξετάσαι συμφώνως διὰ λόγων πάντων καὶ πάντῃ λεγομένων; ταῦτα οὐχ οὕτως ἢ ταύτῃ συμφήσομεν ἔχειν; συμφήσομεν ἐπ᾽ ἐλπίδι σοι ἴσως ταῦτ᾽, ὦ ξένε, τῇ
","φύσις , πότε πῶς , πάνυ δυναμένης ἐξευρίσκω . ἆρ᾽ σφόδρα προσέοιχ᾽ σοφία ἀπορία ζήτησις , πλείων ἐλπίς ἕκαστος γίγγνομαι ὅσος δυνατός γίγνομαι φρονίμως ἐξετάζω συμφώνως λόγος πᾶς πάντῃ λέγω ; συμφίημι ἔχω ; συμφέω ἐπ᾽ ἐλπίς ἴσως ταῦτ᾽ , ξένος , 
"
7,.974d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dEpin.%3Asection%3D974d,"μετὰ σοῦ κατὰ χρόνον ἂν γενομένῃ, δοξάσαι περὶ αὐτῶν εἰς αὖθις τὸ ἀληθέστατον. τὰς ἄλλας τοίνυν ὅσαι ἐπιστῆμαι μέν εἰσιν λεγόμεναι, σοφὸν δὲ οὐκ ἀποτελοῦσιν τὸν λαμβάνοντά τε αὐτὰς καὶ ἔχοντα, πρῶτον διεξιτέον, ὅπως ταύτας ἐκποδὼν θέμενοι, πειρώμεθα ἐκείνας ὧν δεόμεθα παραθέσθαι τε καὶ παραθέμενοι μανθάνειν.πρῶτον μὲν τοίνυν ὧν πρῶτον δεῖ θνητῷ γένει, ἴδωμεν
","χρόνος γίγνομαι , δοξάζω αὖθις ἀληθής . τοίνυν ὅσος ἐπιστῆμη λέγω , σοφός ἀποτελέω λαμβάνω ἔχω , πρῶτος διεξιτέος , ὅπως ἐκποδών τίθημι , πειρέω ἐκεῖνος δέω παρατίθημι παρατίθημι μανθάνειν.πρῶτον τοίνυν πρῶτος δεῖ θνητός γένος , ὁράω 
"
8,.974e,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dEpin.%3Asection%3D974e,"ὡς εἰσὶ μὲν ἀναγκαιόταται σχεδὸν ἀληθῶς τε πρῶται, ὁ δὲ ἐπιστήμων αὐτῶν γιγνόμενος, εἰ καὶ κατ᾽ ἀρχὰς ἔδοξέν τις εἶναί ποτε σοφός, οὔκουν νῦν γε οὔτε σοφὸς εἶναι δοξάζεται
","ἀναγκαιόταται σχεδόν ἀληθῶς πρῶτος , ἐπιστήμων γιγνόμενος , κατ᾽ ἀρχή ἔδοξέν ποτε σοφός , οὔκουν νῦν σοφός δοξάζω 
"
9,.975a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dEpin.%3Asection%3D975a,"ὀνείδη τε ἴσχει μᾶλλον ἀπὸ τῆς τοιαύτης ἐπιστήμης. ἐροῦμεν δὴ αἵ τ᾽ εἰσὶν καὶ ὅτι πᾶς ἀνὴρ αὐτάς, σχεδὸν ὅσοις ἀγὼν πρόκειται τοῦ δοκεῖν ὡς ἄριστον ἄνδρα συμβῆναι γενόμενον ἄν, φεύγει διὰ τὰς κτήσεις τῆς φρονήσεώς τε καὶ ἐπιτηδεύσεως. ἔστω δὴ πρῶτον μὲν ἡ τῆς ἀλληλοφαγίας τῶν ζῴων ἡμᾶς τῶν μέν, ὡς ὁ μῦθός ἐστιν, τὸ παράπαν ἀποστήσασα, τῶν δὲ εἰς τὴν νόμιμον ἐδωδὴν καταστήσασα. ἵλεῳ δ᾽ ἡμῖν οἱ πρόσθεν εἴησάν τε καὶ εἰσίν—οἵτινες μὲν
","ὄνειδος ἴσχω μᾶλλον ἐπιστήμη . λέγω τ᾽ πᾶς ἀνήρ , σχεδόν ὅσος ἀγών πρόκειμαι δοκέω ἄριστος ἀνήρ συμβαίνω γίγνομαι , φεύγω κτῆσις φρονήσεώς ἐπιτηδεύσεως . πρῶτος ἀλληλοφαγία ζῴον , μῦθός , παράπαν ἀποστέω , νόμιμος ἐδωδή καταστέω . ἴλαος δέ πρόσθεν εἴησάν — 
"
