,section,path,text,lemma_text
0,..271a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dEuthyd.%3Asection%3D271a,"τίς ἦν, ὦ Σώκρατες, ᾧ χθὲς ἐν Λυκείῳ διελέγου; ἦ πολὺς ὑμᾶς ὄχλος περιειστήκει, ὥστ᾽ ἔγωγε βουλόμενος ἀκούειν προσελθὼν οὐδὲν οἷός τ᾽ ἦ ἀκοῦσαι σαφές: ὑπερκύψας μέντοι κατεῖδον, καί μοι ἔδοξεν εἶναι ξένος τις ᾧ διελέγου. τίς ἦν; πότερον καὶ ἐρωτᾷς, ὦ Κρίτων; οὐ γὰρ εἷς ἀλλὰ δύ᾽ ἤστην. ὃν μὲν ἐγὼ λέγω, ἐκ δεξιᾶς τρίτος ἀπὸ σοῦ καθῆστο:
",", Σώκρατες , χθὲς Λυκείῳ διελέγομαι ; πολύς ὄχλος περιειστήκει , ὥστ᾽ βούλομαι ἀκούω προσέρχομαι οἷος τ᾽ ἀκούω σαφής : ὑπερκύπτω μέντοι κατεῖδον , δοκέω ξένος διελέγομαι . ; πότερος ἐρωτάω , Κρίτων ; εἰς δύ᾽ . λέγω , δεξιός τρίτος κάθημαι : 
"
1,..271b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dEuthyd.%3Asection%3D271b,"ἐν μέσῳ δ᾽ ὑμῶν τὸ Ἀξιόχου μειράκιον ἦν. καὶ μάλα πολύ, ὦ Σώκρατες, ἐπιδεδωκέναι μοι ἔδοξεν, καὶ τοῦ ἡμετέρου οὐ πολύ τι τὴν ἡλικίαν διαφέρειν Κριτοβούλου. ἀλλ᾽ ἐκεῖνος μὲν σκληφρός, οὗτος δὲ προφερὴς καὶ καλὸς καὶ ἀγαθὸς τὴν ὄψιν. Εὐθύδημος οὗτός ἐστιν, ὦ Κρίτων, ὃν ἐρωτᾷς, ὁ δὲ παρ᾽ ἐμὲ καθήμενος ἐξ ἀριστερᾶς ἀδελφὸς τούτου, Διονυσόδωρος: μετέχει δὲ καὶ οὗτος τῶν λόγων. οὐδέτερον γιγνώσκω, ὦ Σώκρατες. καινοί τινες αὖ
","μέσος δέ Ἀξιόχος μειράκιον . μάλα πολύς , Σώκρατες , ἐπιδεδωκέναι δοκέω , ἡμέτερος πολύς ἡλικία διαφέρω Κριτοβούλου . ἀλλ᾽ ἐκεῖνος σκληφρός , προφερὴς καλός ἀγαθός ὄψις . Εὐθύδημος , Κρίτων , ἐρωτάω , παρ᾽ κάθημαι ἀριστερᾶ ἀδελφός , Διονυσόδωρος : μετέχω λόγος . οὐδέτερος γιγνώσκω , Σώκρατες . καινός αὖ 
"
2,..271c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dEuthyd.%3Asection%3D271c,"οὗτοι, ὡς ἔοικε, σοφισταί: ποδαποί; καὶ τίς ἡ σοφία; οὗτοι τὸ μὲν γένος, ὡς ἐγᾦμαι, ἐντεῦθέν ποθέν εἰσιν ἐκ Χίου, ἀπῴκησαν δὲ ἐς Θουρίους, φεύγοντες δὲ ἐκεῖθεν πόλλ᾽ ἤδη ἔτη περὶ τούσδε τοὺς τόπους διατρίβουσιν. ὃ δὲ σὺ ἐρωτᾷς τὴν σοφίαν αὐτοῖν, θαυμασία, ὦ Κρίτων: πάσσοφοι ἀτεχνῶς τώ γε, οὐδ᾽ ᾔδη πρὸ τοῦ ὅτι εἶεν οἱ παγκρατιασταί. τούτω γάρ ἐστον κομιδῇ παμμάχω. οὐ κατὰ τὼ Ἀκαρνᾶνε ἐγενέσθην τὼ παγκρατιαστὰ ἀδελφώ: ἐκείνω
",", ἔοικα , σοφιστής : ποδαπος ; σοφία ; γένος , ἐγ ᾦμαι , ἐντεῦθέν ποθεν χίος , ἀπῴκησαν Θούριος , φεύγω ἐκεῖθεν πόλλ᾽ ἤδη ἔτος τόπος διατρίβω . ἐρωτάω σοφία αὐτοῖν , θαυμασίος , Κρίτω : πάσσοφος ἀτεχνός , οὐδέ οἶδα πρό παγκρατιαστής . ἐστον κομιδῇ παμμάχω . Ἀκαρνᾶνε ἐγίγνομαι παγκρατιαστὰ ἀδελφώ : ἐκείνω 
"
3,..271d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dEuthyd.%3Asection%3D271d,"μὲν γὰρ τῷ σώματι μόνον οἵω τε μάχεσθαι, τούτω δὲ πρῶτον μὲν τῷ σώματι δεινοτάτω ἐστὸν καὶ μάχῃ, ᾗ πάντων ἔστι κρατεῖν—ἐν ὅπλοις γὰρ αὐτώ τε σοφὼ πάνυ μάχεσθαι καὶ
","σῶμα μόνος οἵω μάχομαι , πρότερος σῶμα δεινοτάτω μάχη , πᾶς κρατέω — ὅπλον σοφὼ πάνυ μάχομαι 
"
4,..272a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dEuthyd.%3Asection%3D272a,"ἄλλον, ὃς ἂν διδῷ μισθόν, οἵω τε ποιῆσαι—ἔπειτα τὴν ἐν τοῖς δικαστηρίοις μάχην κρατίστω καὶ ἀγωνίσασθαι καὶ ἄλλον διδάξαι λέγειν τε καὶ συγγράφεσθαι λόγους οἵους εἰς τὰ δικαστήρια. πρὸ τοῦ μὲν οὖν ταῦτα δεινὼ ἤστην μόνον, νῦν δὲ τέλος ἐπιτεθήκατον παγκρατιαστικῇ τέχνῃ. ἣ γὰρ ἦν λοιπὴ αὐτοῖν μάχη ἀργός, ταύτην νῦν ἐξείργασθον, ὥστε μηδ᾽ ἂν ἕνα αὐτοῖς οἷόν τ᾽ εἶναι μηδ᾽ ἀντᾶραι: οὕτω δεινὼ γεγόνατον ἐν τοῖς λόγοις μάχεσθαί τε καὶ ἐξελέγχειν
",", διδῷμι μισθός , οἵος ποιέω — ἔπειτα δικαστηρίον μάχη κρατίστω ἀγωνίομαι διδάσκω λέγω συγγράφω λόγος οἷος δικαστήριον . πρό δεινός μόνος , νῦν τέλος ἐπιτεθήκατον παγκρατιαστικός τέχνη . λοιπός αὐτοῖν μάχη ἀργός , νῦν ἐξείργασθον , μηδέ εἷς οἷος τ᾽ μηδέ ἀνταίρω : δεινός γεγόναα λόγος μάχομαί ἐξελέγχω 
"
5,..272b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dEuthyd.%3Asection%3D272b,"τὸ ἀεὶ λεγόμενον, ὁμοίως ἐάντε ψεῦδος ἐάντε ἀληθὲς ᾖ. ἐγὼ μὲν οὖν, ὦ Κρίτων, ἐν νῷ ἔχω τοῖν ἀνδροῖν παραδοῦναι ἐμαυτόν: καὶ γάρ φατον ἐν ὀλίγῳ χρόνῳ ποιῆσαι ἂν καὶ ἄλλον ὁντινοῦν τὰ αὐτὰ ταῦτα δεινόν. τί δέ, ὦ Σώκρατες; οὐ φοβῇ τὴν ἡλικίαν, μὴ ἤδη πρεσβύτερος ᾖς; ἥκιστά γε, ὦ Κρίτων: ἱκανὸν τεκμήριον ἔχω καὶ παραμύθιον τοῦ μὴ φοβεῖσθαι. αὐτὼ γὰρ τούτω, ὡς ἔπος εἰπεῖν, γέροντε ὄντε ἠρξάσθην ταύτης τῆς σοφίας ἧς ἔγωγε ἐπιθυμῶ, τῆς ἐριστικῆς: πέρυσιν ἢ προπέρυσιν οὐδέπω ἤστην
","ἀεί λέγω , ὁμοίως ἐάντε ψεῦδος ἐάντε ἀληθής . , Κρίτων , νόος ἔχω ἀνδροῖν παραδίδωμι ἐμαυτοῦ : φατος ὀλίγος χρόνος ποιέω ὁντινοῦς δεινός . , Σώκρατες ; φοβέω ἡλικία , ἤδη πρέσβυς ; ἥκιστος , Κρίτων : ἱκανός τεκμήριον ἔχω παραμύθιον φοβέω . , ἔπος εἶπον , γέρων ὄω ἀρξάζω σοφία ἐπιθυμέω , ἐριστικός : πέρυσιν προπέρυμι οὐδέπω 
"
6,..272c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dEuthyd.%3Asection%3D272c,"σοφώ. ἀλλ᾽ ἐγὼ ἓν μόνον φοβοῦμαι, μὴ αὖ ὄνειδος τοῖν ξένοιν περιάψω, ὥσπερ Κόννῳ τῷ Μητροβίου, τῷ κιθαριστῇ, ὃς ἐμὲ διδάσκει ἔτι καὶ νῦν κιθαρίζειν: ὁρῶντες οὖν οἱ παῖδες οἱ συμφοιτηταί μοι ἐμοῦ τε καταγελῶσι καὶ τὸν Κόννον καλοῦσι γεροντοδιδάσκαλον. μὴ οὖν καὶ τοῖν ξένοιν τις ταὐτὸν τοῦτο ὀνειδίσῃ: οἱ δ᾽ αὐτὸ τοῦτο ἴσως φοβούμενοι τάχα με οὐκ ἂν ἐθέλοιεν προσδέξασθαι. ἐγὼ δ᾽, ὦ Κρίτων, ἐκεῖσε μὲν ἄλλους πέπεικα συμμαθητάς μοι φοιτᾶν πρεσβύτας,
","σοφώ . ἀλλ᾽ εἷς μόνος φοβέω , αὖ ὄνειδος ξένοιν περιάπτω , ὥσπερ Κόννος Μητροβίου , κιθαριστής , διδάσκω νῦν κιθαρίζω : ὁράω παῖς συμφοιτητής καταγελάω Κόννος καλέω γεροντοδιδάσκαλος . ξένος ὀνειδίζω : δέ ἴσως φοβέω τάχα ἐθέλω προσδέχομαι . δέ , Κρίτω , ἐκεῖσε πέπεικα συμμαθητάς φοιτάω πρεσβύτης , 
"
7,..272d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dEuthyd.%3Asection%3D272d,"ἐνταῦθα δέ γε ἑτέρους πειράσομαι πείθειν. καὶ σὺ τί οὐ συμφοιτᾷς; ὡς δὲ δέλεαρ αὐτοῖς ἄξομεν τοὺς σοὺς ὑεῖς: ἐφιέμενοι γὰρ ἐκείνων οἶδ᾽ ὅτι καὶ ἡμᾶς παιδεύσουσιν. ἀλλ᾽ οὐδὲν κωλύει, ὦ Σώκρατες, ἐάν γε σοὶ δοκῇ. πρῶτον δέ μοι διήγησαι τὴν σοφίαν τοῖν ἀνδροῖν τίς ἐστιν, ἵνα εἰδῶ ὅτι καὶ μαθησόμεθα. οὐκ ἂν φθάνοις ἀκούων: ὡς οὐκ ἂν ἔχοιμί γε εἰπεῖν ὅτι οὐ προσεῖχον τὸν νοῦν αὐτοῖν, ἀλλὰ πάνυ καὶ προσεῖχον καὶ μέμνημαι, καί σοι πειράσομαι ἐξ ἀρχῆς ἅπαντα διηγήσασθαι.
","ἐνταῦθα ἕτερος πειράομαι πείθω . συμφοιτάω ; δέλεαρ ἄγω ὑεύς : ἐφίημι ἐκεῖνος οἶδα παιδεύω . ἀλλ᾽ κωλύω , Σώκρατες , δοκέω . πρῶτος διήγηζω σοφία ἀνδρός , ἵνα οἶδα μαθησόμεθα . φθνήσκω ἀκούω : ἔχοιμί εἶπον προσέχω νόος αὐτός , πάνυ προσέχω μιμνήσκω , πειράομαι ἀρχή ἅπας διηγέομαι . 
"
8,..272e,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dEuthyd.%3Asection%3D272e,"κατὰ θεὸν γάρ τινα ἔτυχον καθήμενος ἐνταῦθα, οὗπερ σύ με εἶδες, ἐν τῷ ἀποδυτηρίῳ μόνος, καὶ ἤδη ἐν νῷ εἶχον ἀναστῆναι: ἀνισταμένου δέ μου ἐγένετο τὸ εἰωθὸς σημεῖον τὸ δαιμόνιον. πάλιν οὖν ἐκαθεζόμην, καὶ ὀλίγῳ
","θεός τυγχάνω κάθημαι ἐνταῦθα , οὗπερ εἶδον , ἀποδυτήριον μόνος , ἤδη νόος ἔχω ἀνίστημι : ἀνισταμένου γίγνομαι εἴωθα σημεῖον δαιμόνιον . πάλιν καθέζομαι , ὀλίγος 
"
9,..273a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dEuthyd.%3Asection%3D273a,"ὕστερον εἰσέρχεσθον τούτω—ὅ τ᾽ Εὐθύδημος καὶ ὁ Διονυσόδωρος—καὶ ἄλλοι μαθηταὶ ἅμα αὖ πολλοὶ ἐμοὶ δοκεῖν: εἰσελθόντε δὲ περιπατείτην ἐν τῷ καταστέγῳ δρόμῳ. καὶ οὔπω τούτω δύ᾽ ἢ τρεῖς δρόμους περιεληλυθότε ἤστην, καὶ εἰσέρχεται Κλεινίας, ὃν σὺ φῂς πολὺ ἐπιδεδωκέναι, ἀληθῆ λέγων: ὄπισθεν δὲ αὐτοῦ ἐρασταὶ πάνυ πολλοί τε καὶ ἄλλοι καὶ Κτήσιππος, νεανίσκος τις Παιανιεύς, μάλα καλός τε κἀγαθὸς τὴν φύσιν, ὅσον μὴ ὑβριστὴς δὲ διὰ τὸ
","ὕστερος εἰσέρχομαι — τ᾽ Εὐθύδημος Διονυσόδωρος — μαθητής ἅμα αὖ πολύς δοκέω : εἰσέρχομαε περιπατείτην καταστέγῳ δρόμος . οὔπω δύ᾽ τρεῖς δρόμος περιεληλυθότε , εἰσέρχομαι Κλεινίας , φημί πολύς ἐπιδεδωκέναι , ἀληθής λέγω : ὄπισθεν ἐραστής πάνυ πολύς Κτήσιππος , νεανίσκος Παιανιεύς , μάλα καλός κἀγαθός φύσις , ὅσος ὑβριστής 
"
