,section,path,text,lemma_text
0,h..2a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0169%3atext%3dEuthyph.%3Asection%3D2a,"τί νεώτερον, ὦ Σώκρατες, γέγονεν, ὅτι σὺ τὰς ἐν Λυκείῳ καταλιπὼν διατριβὰς ἐνθάδε νῦν διατρίβεις περὶ τὴν τοῦ βασιλέως στοάν; οὐ γάρ που καὶ σοί γε δίκη τις οὖσα τυγχάνει πρὸς τὸν βασιλέα ὥσπερ ἐμοί. οὔτοι δὴ Ἀθηναῖοί γε, ὦ Εὐθύφρων, δίκην αὐτὴν καλοῦσιν ἀλλὰ γραφήν.
","νέος , Σώκρατες , γίγνομαι , Λύκειον καταλιμπάνω διατριβή ἐνθάδε νῦν διατρίβω βασιλεύς στοά ; πού δίκη τυγχάνω βασιλεύς ὥσπερ . οὔτοι ἀθηναῖος , Εὐθύφρων , δίκη καλέω γραφή . 
"
1,h..2b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0169%3atext%3dEuthyph.%3Asection%3D2b," τί φῄς; γραφὴν σέ τις, ὡς ἔοικε, γέγραπται: οὐ γὰρ ἐκεῖνό γε καταγνώσομαι, ὡς σὺ ἕτερον. οὐ γὰρ οὖν. ἀλλὰ σὲ ἄλλος; πάνυ γε. τίς οὗτος; οὐδ᾽ αὐτὸς πάνυ τι γιγνώσκω, ὦ Εὐθύφρων, τὸν ἄνδρα, νέος γάρ τίς μοι φαίνεται καὶ ἀγνώς: ὀνομάζουσι μέντοι αὐτόν, ὡς ἐγᾦμαι, Μέλητον. ἔστι δὲ τῶν δήμων Πιτθεύς, εἴ τινα νῷ ἔχεις Πιτθέα Μέλητον οἷον τετανότριχα καὶ οὐ πάνυ εὐγένειον, ἐπίγρυπον δέ. οὐκ ἐννοῶ, ὦ Σώκρατες: ἀλλὰ δὴ τίνα γραφήν
","  φημί ; γραφή , ἔοικα , γράφω : ἐκεῖνος καιγταγνώσκω , ἕτερος . . ; πάνυ . ; οὐδέ πάνυ γιγνώσκω , Εὐθύφρων , ἀνήρ , νέος φαίνω ἀγνώς : ὀνομάζω μέντοι , ἐγ ᾦμαι , Μέλητος . δῆμος Πιτθεύς , νόος ἔχω Πιτθής Μέλητος οἷος τετανότριχα πάνυ εὐγένειος , ἐπίγρυπος . ἐννοέω , Σώκρατες : γραφή 
"
2,h..2c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0169%3atext%3dEuthyph.%3Asection%3D2c,"σε γέγραπται; ἥντινα; οὐκ ἀγεννῆ, ἔμοιγε δοκεῖ: τὸ γὰρ νέον ὄντα τοσοῦτον πρᾶγμα ἐγνωκέναι οὐ φαῦλόν ἐστιν. ἐκεῖνος γάρ, ὥς φησιν, οἶδε τίνα τρόπον οἱ νέοι διαφθείρονται καὶ τίνες οἱ διαφθείροντες αὐτούς. καὶ κινδυνεύει σοφός τις εἶναι, καὶ τὴν ἐμὴν ἀμαθίαν κατιδὼν ὡς διαφθείροντος τοὺς ἡλικιώτας αὐτοῦ, ἔρχεται κατηγορήσων μου ὥσπερ πρὸς μητέρα πρὸς τὴν πόλιν. καὶ φαίνεταί μοι τῶν πολιτικῶν
","γράφω ; ; ἀγεννής , δοκέω : νέος τοσοῦτος πρᾶγμα γιγνώσκω φαῦλός . ἐκεῖνος , φημί , οἶδα τρόπος νέος διαφθείρω διαφθείρω . κινδυνεύω σοφός , ἀμαθία κατεῖδον διαφθείρω ἡλικιώτης , ἔρχομαι κατηγορέω ὥσπερ μήτηρ πόλις . φαίνω πολιτικός 
"
3,h..2d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0169%3atext%3dEuthyph.%3Asection%3D2d,"μόνος ἄρχεσθαι ὀρθῶς: ὀρθῶς γάρ ἐστι τῶν νέων πρῶτον ἐπιμεληθῆναι ὅπως ἔσονται ὅτι ἄριστοι, ὥσπερ γεωργὸν ἀγαθὸν τῶν νέων φυτῶν εἰκὸς πρῶτον ἐπιμεληθῆναι, μετὰ δὲ τοῦτο καὶ τῶν ἄλλων. καὶ δὴ καὶ Μέλητος ἴσως πρῶτον
","μόνος ἄρχω ὀρθός : ὀρθός νέος πρῶτος ἐπιμελέω ὅπως ἄριστος , ὥσπερ γεωργός ἀγαθός νέος φυτῶν ἔοικα πρῶτος ἐπιμελέω , . Μέλητος ἴσως πρῶτος 
"
4,h..3a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0169%3atext%3dEuthyph.%3Asection%3D3a,"μὲν ἡμᾶς ἐκκαθαίρει τοὺς τῶν νέων τὰς βλάστας διαφθείροντας, ὥς φησιν: ἔπειτα μετὰ τοῦτο δῆλον ὅτι τῶν πρεσβυτέρων ἐπιμεληθεὶς πλείστων καὶ μεγίστων ἀγαθῶν αἴτιος τῇ πόλει γενήσεται, ὥς γε τὸ εἰκὸς συμβῆναι ἐκ τοιαύτης ἀρχῆς ἀρξαμένῳ. βουλοίμην ἄν, ὦ Σώκρατες, ἀλλ᾽ ὀρρωδῶ μὴ τοὐναντίον γένηται: ἀτεχνῶς γάρ μοι δοκεῖ ἀφ᾽ ἑστίας ἄρχεσθαι κακουργεῖν τὴν πόλιν, ἐπιχειρῶν ἀδικεῖν σέ. καί μοι λέγε, τί καὶ ποιοῦντά σέ φησι διαφθείρειν τοὺς νέους;
","ἐκκαθαίρω νέος βλάστη διαφθείρω , φημί : ἔπειτα δῆλος πρέσβυς ἐπιμελέω πλεῖστος μέγας ἀγαθός αἴτιος πόλις γίγνομαι , ἔοικα συμβαίνω ἀρχή ἀρίκνυμι . βούλομαι , Σώκρατες , ἀλλ᾽ ὀρρωδέω ἐναντίος γίγνομαι : ἀτεχνός δοκέω ἀφ᾽ ἑστία ἄρχω κακουργέω πόλις , ἐπιχειρέω ἀδικέω . λέγω , ποιέω φημί διαφθείρω νέος ; 
"
5,h..3b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0169%3atext%3dEuthyph.%3Asection%3D3b," ἄτοπα, ὦ θαυμάσιε, ὡς οὕτω γ᾽ ἀκοῦσαι. φησὶ γάρ με ποιητὴν εἶναι θεῶν, καὶ ὡς καινοὺς ποιοῦντα θεοὺς τοὺς δ᾽ ἀρχαίους οὐ νομίζοντα ἐγράψατο τούτων αὐτῶν ἕνεκα, ὥς φησιν. μανθάνω, ὦ Σώκρατες: ὅτι δὴ σὺ τὸ δαιμόνιον φῂς σαυτῷ ἑκάστοτε γίγνεσθαι. ὡς οὖν καινοτομοῦντός σου περὶ τὰ θεῖα γέγραπται ταύτην τὴν γραφήν, καὶ ὡς διαβαλῶν δὴ ἔρχεται εἰς τὸ δικαστήριον, εἰδὼς ὅτι εὐδιάβολα τὰ τοιαῦτα πρὸς τοὺς πολλούς. καὶ ἐμοῦ γάρ τοι,
","  ἄτοπος , θαυμάσιος , γ᾽ ἀκούω . φημί ποιητής θεός , καινός ποιέω θεός δέ ἀρχαῖος νομίζω ἐγράπτω ἕνεκα , φημί . μανθάνω , Σώκρατες : δαιμόνιον φημί σεαυτοῦ ἑκάστοτε γίγνομαι . καινοτομοῦντός θεῖος γράφω γραφή , διαβαλῶ ἔρχομαι δικαστήριον , οἶδα εὐδιάβολος πολύς . , 
"
6,h..3c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0169%3atext%3dEuthyph.%3Asection%3D3c,"ὅταν τι λέγω ἐν τῇ ἐκκλησίᾳ περὶ τῶν θείων, προλέγων αὐτοῖς τὰ μέλλοντα, καταγελῶσιν ὡς μαινομένου: καίτοι οὐδὲν ὅτι οὐκ ἀληθὲς εἴρηκα ὧν προεῖπον, ἀλλ᾽ ὅμως φθονοῦσιν ἡμῖν πᾶσι τοῖς τοιούτοις. ἀλλ᾽ οὐδὲν αὐτῶν χρὴ φροντίζειν, ἀλλ᾽ ὁμόσε ἰέναι. ὦ φίλε Εὐθύφρων, ἀλλὰ τὸ μὲν καταγελασθῆναι ἴσως οὐδὲν πρᾶγμα. Ἀθηναίοις γάρ τοι, ὡς ἐμοὶ δοκεῖ, οὐ σφόδρα μέλει ἄν τινα δεινὸν οἴωνται εἶναι, μὴ μέντοι διδασκαλικὸν τῆς αὑτοῦ σοφίας: ὃν δ᾽ ἂν καὶ ἄλλους οἴωνται
","ὅταν λέγω ἐκκλησία θείων , προλέγω μέλλω , καταγελάω μαινομένου : καίτοι ἀληθής λέγω προλέγω , ἀλλ᾽ ὅμως φθονέω πᾶς . ἀλλ᾽ χρή φροντίζω , ἀλλ᾽ ὁμόσε εἶμι . φίλος Εὐθύφρων , καταγελάζω ἴσως πρᾶγμα . ἀθήναιος , δοκέω , σφόδρα μέλω δεινός οἴομαι , μέντοι διδασκαλικὸς σοφία : δέ οἴομαι 
"
7,h..3d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0169%3atext%3dEuthyph.%3Asection%3D3d,"ποιεῖν τοιούτους, θυμοῦνται, εἴτ᾽ οὖν φθόνῳ ὡς σὺ λέγεις, εἴτε δι᾽ ἄλλο τι. τούτου οὖν πέρι ὅπως ποτὲ πρὸς ἐμὲ ἔχουσιν, οὐ πάνυ ἐπιθυμῶ πειραθῆναι. ἴσως γὰρ σὺ μὲν δοκεῖς σπάνιον σεαυτὸν παρέχειν καὶ διδάσκειν οὐκ ἐθέλειν τὴν σεαυτοῦ σοφίαν: ἐγὼ δὲ φοβοῦμαι μὴ ὑπὸ φιλανθρωπίας δοκῶ αὐτοῖς ὅτιπερ ἔχω ἐκκεχυμένως παντὶ ἀνδρὶ λέγειν, οὐ μόνον ἄνευ μισθοῦ, ἀλλὰ καὶ προστιθεὶς ἂν ἡδέως εἴ τίς μου ἐθέλει ἀκούειν. εἰ μὲν οὖν, ὃ νυνδὴ ἔλεγον, μέλλοιέν μου καταγελᾶν ὥσπερ
","ποιέω , θυμοῦνται , εἴτ᾽ φθόνος λέγω , εἴτε δι᾽ . ὅπως ποτε ἔχω , πάνυ ἐπιθυμέω πειραθῆναι . ἴσως δοκέω σπάνιος σεαυτοῦ παρέχω διδάσκω ἐθέλω σεαυτοῦ σοφία : φοβέω φιλανθρωπία δοκέω ὅτιπερ ἔχω ἐκκεχύμενος πᾶς ἀνήρ λέγω , μόνος ἄνευ μισθός , προστίθημι ἡδέως ἐθέλω ἀκούω . , νυνδὴ λέγω , μέλλοιέν καταγελάω ὥσπερ 
"
8,h..3e,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0169%3atext%3dEuthyph.%3Asection%3D3e,"σὺ φῂς σαυτοῦ, οὐδὲν ἂν εἴη ἀηδὲς παίζοντας καὶ γελῶντας ἐν τῷ δικαστηρίῳ διαγαγεῖν: εἰ δὲ σπουδάσονται, τοῦτ᾽ ἤδη ὅπῃ ἀποβήσεται ἄδηλον πλὴν ὑμῖν τοῖς μάντεσιν. ἀλλ᾽ ἴσως οὐδὲν ἔσται, ὦ Σώκρατες, πρᾶγμα, ἀλλὰ σύ τε κατὰ νοῦν ἀγωνιῇ τὴν δίκην, οἶμαι δὲ καὶ ἐμὲ τὴν ἐμήν. ἔστιν δὲ δὴ σοί, ὦ Εὐθύφρων, τίς ἡ δίκη; φεύγεις αὐτὴν ἢ διώκεις; διώκω. τίνα;
","φημί σεαυτοῦ , ἀηδής παίζω γελάω δικαστήριον διάγω : σπουδάω , τοῦτ᾽ ἤδη ὅπη ἀποβαίνω ἄδηλος πλήν μάντεν . ἀλλ᾽ ἴσως , Σώκρατες , πρᾶγμα , νόος ἀγωνιῇ δίκη , οἱόμαι . , Εὐθύφρων , δίκη ; φεύγω διώκω ; διώκω . ; 
"
9,h..4a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0169%3atext%3dEuthyph.%3Asection%3D4a," ὃν διώκων αὖ δοκῶ μαίνεσθαι. τί δέ; πετόμενόν τινα διώκεις; πολλοῦ γε δεῖ πέτεσθαι, ὅς γε τυγχάνει ὢν εὖ μάλα πρεσβύτης. τίς οὗτος; ὁ ἐμὸς πατήρ. ὁ σός, ὦ βέλτιστε; πάνυ μὲν οὖν. ἔστιν δὲ τί τὸ ἔγκλημα καὶ τίνος ἡ δίκη; φόνου, ὦ Σώκρατες. Ἡράκλεις. ἦ που, ὦ Εὐθύφρων, ἀγνοεῖται ὑπὸ τῶν πολλῶν ὅπῃ ποτὲ ὀρθῶς ἔχει: οὐ γὰρ οἶμαί γε τοῦ ἐπιτυχόντος
","  διώκω αὖ δοκέω μαίνομαι . ; πετόμενόν διώκω ; πολύς δεῖ πέτομαι , τυγχάνω εὖ μάλα πρεσβύτης . ; πατήρ . , βέλτιστος ; πάνυ . ἔγκλημα δίκη ; φόνος , Σώκρατες . Ἡράκλεις . πού , Εὐθύφρων , ἀγνοέω πολύς ὅπη ποτέ ὀρθός ἔχω : οἶμαι ἐπιτυχόντος 
"
