,section,path,text,lemma_text
0,.447a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dGorg.%3Asection%3D447a,"πολέμου καὶ μάχης φασὶ χρῆναι, ὦ Σώκρατες, οὕτω μεταλαγχάνειν. ἀλλ᾽ ἦ, τὸ λεγόμενον, κατόπιν ἑορτῆς ἥκομεν καὶ ὑστεροῦμεν; καὶ μάλα γε ἀστείας ἑορτῆς: πολλὰ γὰρ καὶ καλὰ Γοργίας ἡμῖν ὀλίγον πρότερον ἐπεδείξατο. τούτων μέντοι, ὦ Καλλίκλεις, αἴτιος Χαιρεφῶν ὅδε, ἐν ἀγορᾷ ἀναγκάσας ἡμᾶς διατρῖψαι.
","πόλεμος μάχη φημί χρή , Σώκρατες , μεταλαγχάνω . ἀλλ᾽ , λέγω , κατόπιν ἑορτή ἥκω ὑστερέω ; μάλα ἀστεῖος ἑορτή : πολύς καλός Γοργίας ὀλίγος πρότερος ἐπαδείσσω . μέντοι , Καλλίκλεις , αἴτιος Χαιρεφέω , ἀγορά ἀναγκάζω διατρῖπτω . 
"
1,.447b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dGorg.%3Asection%3D447b," οὐδὲν πρᾶγμα, ὦ Σώκρατες: ἐγὼ γὰρ καὶ ἰάσομαι. φίλος γάρ μοι Γοργίας, ὥστ᾽ ἐπιδείξεται ἡμῖν, εἰ μὲν δοκεῖ, νῦν, ἐὰν δὲ βούλῃ, εἰς αὖθις. τί δέ, ὦ Χαιρεφῶν; ἐπιθυμεῖ Σωκράτης ἀκοῦσαι Γοργίου; ἐπ᾽ αὐτό γέ τοι τοῦτο πάρεσμεν. οὐκοῦν ὅταν βούλησθε παρ᾽ ἐμὲ ἥκειν οἴκαδε: παρ᾽ ἐμοὶ γὰρ Γοργίας καταλύει καὶ ἐπιδείξεται ὑμῖν. εὖ λέγεις, ὦ Καλλίκλεις. ἀλλ᾽ ἆρα ἐθελήσειεν ἂν
","  πρᾶγμα , Σώκρατες : ἰάομαι . φίλος Γοργίας , ὥστ᾽ ἐπιδείγω , δοκέω , νῦν , βούλομαι , αὖθις . , Χαιρεφάω ; ἐπιθυμέω σωκράτης ἀκούω Γοργίας ; ἐπ᾽ πάρειμι . οὐκοῦν ὅταν βούλομαι παρ᾽ ἥκω οἴκαδε : παρ᾽ Γοργία καταλύω ἐπιδείγω . εὖ λέγω , Καλλίκλεις . ἀλλ᾽ ἆρα ἐθελέω 
"
2,.447c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dGorg.%3Asection%3D447c,"ἡμῖν διαλεχθῆναι; βούλομαι γὰρ πυθέσθαι παρ᾽ αὐτοῦ τίς ἡ δύναμις τῆς τέχνης τοῦ ἀνδρός, καὶ τί ἐστιν ὃ ἐπαγγέλλεταί τε καὶ διδάσκει: τὴν δὲ ἄλλην ἐπίδειξιν εἰς αὖθις, ὥσπερ σὺ λέγεις, ποιησάσθω. οὐδὲν οἷον τὸ αὐτὸν ἐρωτᾶν, ὦ Σώκρατες. καὶ γὰρ αὐτῷ ἓν τοῦτ᾽ ἦν τῆς ἐπιδείξεως: ἐκέλευε γοῦν νυνδὴ ἐρωτᾶν ὅτι τις βούλοιτο τῶν ἔνδον ὄντων, καὶ πρὸς ἅπαντα ἔφη ἀποκρινεῖσθαι. ἦ καλῶς λέγεις. ὦ Χαιρεφῶν, ἐροῦ αὐτόν. τί ἔρωμαι;
","διαλεχθαίνω ; βούλομαι πυνθάνομαι παρ᾽ δύναμις τέχνη ἀνήρ , ἐπαγγέλλω διδάσκω : ἐπίδειξις αὖθις , ὥσπερ λέγω , ποιησάσθω . οἷος ἐρωτάω , Σώκρατες . εἷς τοῦτ᾽ ἐπιδείξεως : κελεύω γοῦν νυνδὴ ἐρωτάω βούλομαι ἔνδον , ἅπας φημί ἀποκρινεῖσθαι . καλός λέγω . Χαιρεφῶ , ἔρομαι . ἔρομαι ; 
"
3,.447d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dGorg.%3Asection%3D447d," ὅστις ἐστίν. πῶς λέγεις; ὥσπερ ἂν εἰ ἐτύγχανεν ὢν ὑποδημάτων δημιουργός, ἀπεκρίνατο ἂν δήπου σοι ὅτι σκυτοτόμος: ἢ οὐ μανθάνεις ὡς λέγω; μανθάνω καὶ ἐρήσομαι. εἰπέ μοι, ὦ Γοργία, ἀληθῆ λέγει Καλλικλῆς ὅδε ὅτι ἐπαγγέλλῃ ἀποκρίνεσθαι ὅτι ἄν τίς σε ἐρωτᾷ;
","  . πῶς λέγω ; ὥσπερ τυγχάνω ὑπόδημα δημιουργός , ἀποκρίνω δήπου σκυτοτόμος : μανθάνω λέγω ; μανθάνω ἔρομαι . εἶπον , Γοργία , ἀληθής λέγω Καλλικλῆς ἐπαγγέλλομαι ἀποκρίνω ἐρωτάω ; 
"
4,.448a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dGorg.%3Asection%3D448a," ἀληθῆ, ὦ Χαιρεφῶν: καὶ γὰρ νυνδὴ αὐτὰ ταῦτα ἐπηγγελλόμην, καὶ λέγω ὅτι οὐδείς μέ πω ἠρώτηκε καινὸν οὐδὲν πολλῶν ἐτῶν. ἦ που ἄρα ῥᾳδίως ἀποκρινῇ, ὦ Γοργία. πάρεστι τούτου πεῖραν, ὦ Χαιρεφῶν, λαμβάνειν. νὴ Δία: ἂν δέ γε βούλῃ, ὦ Χαιρεφῶν, ἐμοῦ. Γοργίας μὲν γὰρ καὶ ἀπειρηκέναι μοι δοκεῖ: πολλὰ γὰρ ἄρτι διελήλυθεν. τί δέ, ὦ Πῶλε; οἴει σὺ κάλλιον ἂν Γοργίου ἀποκρίνασθαι;
","  ἀληθής , Χαιρεφάω : νυνδὴ ἐπηγγελλόμην , λέγω πω ἠρώτηκε καινός πολύς ἔτος . πού ῥᾴδιος ἀποκρινῇμι , Γοργίας . πάρειμι πεῖρα , Χαιρεφάω , λαμβάνω . νή ζεύς : βούλομαι , Χαιρεφάω , . Γοργία ἀπειρηκέναι δοκέω : πολύς ἄρτι διελέρχομαι . , Πῶλος ; οἴει καλός Γοργίας ἀποκρίνω ; 
"
5,.448b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dGorg.%3Asection%3D448b," τί δὲ τοῦτο, ἐὰν σοί γε ἱκανῶς; οὐδέν: ἀλλ᾽ ἐπειδὴ σὺ βούλει, ἀποκρίνου. Ἐρώτα. ἐρωτῶ δή. εἰ ἐτύγχανε Γοργίας ἐπιστήμων ὢν τῆς τέχνης ἧσπερ ὁ ἀδελφὸς αὐτοῦ Ἡρόδικος, τί ἂν αὐτὸν ὠνομάζομεν δικαίως; οὐχ ὅπερ ἐκεῖνον; πάνυ γε. ἰατρὸν ἄρα φάσκοντες αὐτὸν εἶναι καλῶς ἂν ἐλέγομεν. ναί. εἰ δέ γε ἧσπερ Ἀριστοφῶν ὁ Ἀγλαοφῶντος ἢ ὁ ἀδελφὸς αὐτοῦ ἔμπειρος ἦν τέχνης, τίνα ἂν αὐτὸν ὀρθῶς ἐκαλοῦμεν;
","  , ἱκανός ; : ἀλλ᾽ ἐπεί βούλομαι , ἀποκρίνω . ἐρωτάω . ἐρωτάω . τυγχάνω Γοργίας ἐπιστήμων τέχνη ἧς ἀδελφός Ἡρόδικος , ὠνομάζω δίκαιος ; ὅσπερ ἐκεῖνος ; πάνυ . ἰατρός φάσκω καλός ἐλέγω . ναί . ἧσπερ Ἀριστοφῶν Ἀγλαοφῶντος ἀδελφός ἔμπειρος τέχνη , ὀρθός ἐκαλέω ; 
"
6,.448c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dGorg.%3Asection%3D448c," δῆλον ὅτι ζωγράφον. νῦν δ᾽ ἐπειδὴ τίνος τέχνης ἐπιστήμων ἐστίν, τίνα ἂν καλοῦντες αὐτὸν ὀρθῶς καλοῖμεν; ὦ Χαιρεφῶν, πολλαὶ τέχναι ἐν ἀνθρώποις εἰσὶν ἐκ τῶν ἐμπειριῶν ἐμπείρως ηὑρημέναι: ἐμπειρία μὲν γὰρ ποιεῖ τὸν αἰῶνα ἡμῶν πορεύεσθαι κατὰ τέχνην, ἀπειρία δὲ κατὰ τύχην. ἑκάστων δὲ τούτων μεταλαμβάνουσιν ἄλλοι ἄλλων ἄλλως, τῶν δὲ ἀρίστων οἱ ἄριστοι: ὧν καὶ Γοργίας ἐστὶν ὅδε, καὶ μετέχει τῆς καλλίστης τῶν τεχνῶν.
","  δῆλος ζωγράφος . νῦν δέ ἐπεί τέχνη ἐπιστήμων , καλέω ὀρθός καλοῖ ; Χαιρεφάω , πολύς τέχνα ἄνθρωπος ἐμπειρία ἔμπειρος ηὑρημέναι : ἐμπειρία ποιέω αἰών πορεύομαι τέχνη , ἀπειρία τύχη . ἕκαστος μεταλαμβάνω , ἄριστος ἄριστος : Γοργίας , μετέχω καλλρός τέχνη . 
"
7,.448d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dGorg.%3Asection%3D448d," καλῶς γε, ὦ Γοργία, φαίνεται πῶλος παρεσκευάσθαι εἰς λόγους: ἀλλὰ γὰρ ὃ ὑπέσχετο Χαιρεφῶντι οὐ ποιεῖ. τί μάλιστα, ὦ Σώκρατες; τὸ ἐρωτώμενον οὐ πάνυ μοι φαίνεται ἀποκρίνεσθαι. ἀλλὰ σύ, εἰ βούλει, ἐροῦ αὐτόν. οὔκ, εἰ αὐτῷ γε σοὶ βουλομένῳ ἐστὶν ἀποκρίνεσθαι, ἀλλὰ πολὺ ἂν ἥδιον σέ. δῆλος γάρ μοι πῶλος καὶ ἐξ ὧν εἴρηκεν ὅτι τὴν καλουμένην ῥητορικὴν μᾶλλον μεμελέτηκεν ἢ διαλέγεσθαι.
","  καλός , Γοργία , φαίνω πῶλος παρεσκευάσθαι λόγος : ὑπέχω Χαιρεφάω ποιέω . μάλιστα , Σώκρατες ; ἐρωτάω πάνυ φαίνω ἀποκρίνω . , βούλομαι , ἔρομαι . οὔ , βούλομαι ἀποκρίνω , πολύς ἥδιον . δῆλος πῶλος λέγω καλέω ῥητορικὴ μᾶλλον μεμελέτηκεν διαλέγω . 
"
8,.448e,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dGorg.%3Asection%3D448e," τί δή, ὦ Σώκρατες; ὅτι, ὦ Πῶλε, ἐρομένου Χαιρεφῶντος τίνος Γοργίας ἐπιστήμων τέχνης, ἐγκωμιάζεις μὲν αὐτοῦ τὴν τέχνην ὥσπερ τινὸς ψέγοντος, ἥτις δέ ἐστιν οὐκ ἀπεκρίνω. οὐ γὰρ ἀπεκρινάμην ὅτι εἴη ἡ καλλίστη; καὶ μάλα. ἀλλ᾽ οὐδεὶς ἐρωτᾷ ποία τις ἡ Γοργίου τέχνη, ἀλλὰ τίς, καὶ ὅντινα δέοι καλεῖν τὸν Γοργίαν: ὥσπερ τὰ ἔμπροσθέν σοι ὑπετείνατο Χαιρεφῶν καὶ αὐτῷ καλῶς
","  , Σώκρατες ; , Πῶλος , ἐρομένου Χαιρεφάω Γοργία ἐπιστήμων τέχνη , ἐγκωμιάζω τέχνη ὥσπερ ψέγω , ἀπεκρίνω . ἀπεκρινάμην καλός ; μάλα . ἀλλ᾽ ἐρωτάω ποῖος Γοργίας τέχνη , , δέω καλέω Γοργίας : ὥσπερ ἔμπροσθεν ὑποτείνω Χαιρεφῶ καλός 
"
9,.449a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dGorg.%3Asection%3D449a,"καὶ διὰ βραχέων ἀπεκρίνω, καὶ νῦν οὕτως εἰπὲ τίς ἡ τέχνη καὶ τίνα Γοργίαν καλεῖν χρὴ ἡμᾶς. μᾶλλον δέ, ὦ Γοργία, αὐτὸς ἡμῖν εἰπὲ τίνα σε χρὴ καλεῖν ὡς τίνος ἐπιστήμονα τέχνης. τῆς ῥητορικῆς, ὦ Σώκρατες. ῥήτορα ἄρα χρή σε καλεῖν; ἀγαθόν γε, ὦ Σώκρατες, εἰ δὴ ὅ γε εὔχομαι εἶναι, ὡς ἔφη Ὅμηρος, βούλει με καλεῖν. ἀλλὰ βούλομαι. κάλει δή.
","βράχος ἀπεκρίνω , νῦν εἶπον τέχνη Γοργίας καλέω χρή . μᾶλλον , Γοργία , εἶπον χρή καλέω ἐπιστήμονα τέχνη . ῥητορικῆ , Σώκρατες . ῥήτωρ χρή καλέω ; ἀγαθός , Σώκρατες , εὔχομαι , φημί ὅμηρος , βούλομαι καλέω . βούλομαι . καλέω . 
"
