,section,path,text,lemma_text
0,Maj.281a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dHipp.%20Maj.%3Asection%3D281a,"Ἱππίας ὁ καλός τε καὶ σοφός: ὡς διὰ χρόνου ἡμῖν κατῆρας εἰς τὰς Ἀθήνας. οὐ γὰρ σχολή, ὦ Σώκρατες. ἡ γὰρ Ἦλις ὅταν τι δέηται διαπράξασθαι πρός τινα τῶν πόλεων, ἀεὶ ἐπὶ πρῶτον ἐμὲ ἔρχεται τῶν πολιτῶν αἱρουμένη πρεσβευτήν, ἡγουμένη δικαστὴν καὶ ἄγγελον ἱκανώτατον εἶναι τῶν λόγων οἳ ἂν
","Ἱππίας καλός σοφός : χρόνος κατῆρω ἀθῆναι . σχολή , Σώκρατες . Ἦλις ὅταν δέομαι διαπράχομαι πόλις , ἀεί πρῶτος ἔρχομαι πολίτης αἱρέω πρεσβευτής , ἡγέω δικαστής ἄγγελος ἱκανώτατον λόγος 
"
1,Maj.281b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dHipp.%20Maj.%3Asection%3D281b,"παρὰ τῶν πόλεων ἑκάστων λέγωνται. πολλάκις μὲν οὖν καὶ εἰς ἄλλας πόλεις ἐπρέσβευσα, πλεῖστα δὲ καὶ περὶ πλείστων καὶ μεγίστων εἰς τὴν Λακεδαίμονα: διὸ δή, ὃ σὺ ἐρωτᾷς, οὐ θαμίζω εἰς τούσδε τοὺς τόπους. τοιοῦτον μέντοι, ὦ Ἱππία, ἔστι τὸ τῇ ἀληθείᾳ σοφόν τε καὶ τέλειον ἄνδρα εἶναι. σὺ γὰρ καὶ ἰδίᾳ ἱκανὸς εἶ παρὰ τῶν νέων πολλὰ χρήματα λαμβάνων ἔτι πλείω
","πόλις ἕκαστος λέγω . πολλάκις πόλις ἐπρέσβευσα , πλεῖστος πλεῖστος μέγας λακεδαίμων : διό , ἐρωτάω , θαμίζω τόπος . μέντοι , Ἱππίας , ἀλήθεια σοφός τέλειος ἀνήρ . ἴδιος ἱκανός νέος πολύς χρῆμα λαμβάνω πλείων 
"
2,Maj.281c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dHipp.%20Maj.%3Asection%3D281c,"ὠφελεῖν ὧν λαμβάνεις, καὶ αὖ δημοσίᾳ τὴν σαυτοῦ πόλιν ἱκανὸς εὐεργετεῖν, ὥσπερ χρὴ τὸν μέλλοντα μὴ καταφρονήσεσθαι ἀλλ᾽ εὐδοκιμήσειν ἐν τοῖς πολλοῖς. ἀτάρ, ὦ Ἱππία, τί ποτε τὸ αἴτιον ὅτι οἱ παλαιοὶ ἐκεῖνοι, ὧν ὀνόματα μεγάλα λέγεται ἐπὶ σοφίᾳ, Πιττακοῦ τε καὶ Βίαντος καὶ τῶν ἀμφὶ τὸν Μιλήσιον Θαλῆν καὶ ἔτι τῶν ὕστερον μέχρι Ἀναξαγόρου, ὡς ἢ πάντες ἢ οἱ πολλοὶ αὐτῶν φαίνονται ἀπεχόμενοι τῶν πολιτικῶν πράξεων; τί δ᾽ οἴει, ὦ Σώκρατες, ἄλλο γε ἢ ἀδύνατοι ἦσαν
","ὠφελέω λαμβάνω , αὖ δημοσίᾳ σεαυτοῦ πόλις ἱκανός εὐεργετέω , ὥσπερ χρή μέλλω καταφρονέομαι ἀλλ᾽ εὐδοκιμέω πολύς . ἀτάρ , Ἱππίης , ποτε αἴτιος παλαιός ἐκεῖνος , ὄνομα μέγας λέγω σοφία , Πιττακοῦ βίας ἀμφί μιλήσιος θαλῆς ὕστερος μέχρι Ἀναξαγόρης , πᾶς πολύς φαίνω ἀπέχω πολιτικός πρᾶξις ; δέ οἴει , Σώκρατς , ἀδύνατος 
"
3,Maj.281d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dHipp.%20Maj.%3Asection%3D281d,"καὶ οὐχ ἱκανοὶ ἐξικνεῖσθαι φρονήσει ἐπ᾽ ἀμφότερα, τά τε κοινὰ καὶ τὰ ἴδια; ἆρ᾽ οὖν πρὸς Διός, ὥσπερ αἱ ἄλλαι τέχναι ἐπιδεδώκασι καὶ εἰσὶ παρὰ τοὺς νῦν δημιουργοὺς οἱ παλαιοὶ φαῦλοι, οὕτω καὶ τὴν ὑμετέραν τὴν τῶν σοφιστῶν τέχνην ἐπιδεδωκέναι φῶμεν καὶ εἶναι τῶν ἀρχαίων τοὺς περὶ τὴν σοφίαν φαύλους πρὸς ὑμᾶς; πάνυ μὲν οὖν ὀρθῶς λέγεις. εἰ ἄρα νῦν ἡμῖν, ὦ Ἱππία, ὁ Βίας ἀναβιοίη, γέλωτ᾽
","ἱκανός ἐξικνέομαι φρόνησις ἐπ᾽ ἀμφότερος , κοινός ἴδιος ; ἆρ᾽ ζεύς , ὥσπερ τέχνα ἐπιδίδωμι νῦν δημιουργοὺς παλαιός φαῦλος , ὑμέτερος σοφιστής τέχνη ἐπιδεδωκέναι φάω ἀρχαῖος σοφία φαύλους ; πάνυ ὀρθός λέγω . νῦν , Ἱππίας , βίας ἀναβιοίη , γέλωτ᾽ 
"
4,Maj.282a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dHipp.%20Maj.%3Asection%3D282a,"ἂν ὄφλοι πρὸς ὑμᾶς, ὥσπερ καὶ τὸν Δαίδαλόν φασιν οἱ ἀνδριαντοποιοί, νῦν εἰ γενόμενος τοιαῦτ᾽ ἐργάζοιτο οἷα ἦν ἀφ᾽ ὧν τοὔνομ᾽ ἔσχεν, καταγέλαστον ἂν εἶναι. ἔστι μὲν ταῦτα, ὦ Σώκρατες, οὕτως ὡς σὺ λέγεις: εἴωθα μέντοι ἔγωγε τοὺς παλαιούς τε καὶ προτέρους ἡμῶν προτέρους τε καὶ μᾶλλον ἐγκωμιάζειν ἢ τοὺς νῦν, εὐλαβούμενος μὲν φθόνον τῶν ζώντων, φοβούμενος δὲ μῆνιν τῶν τετελευτηκότων.
","ὄφλω , ὥσπερ Δαίδαλός φημί ἀνδριαντοποιοί , νῦν γίγνομαι τοιαῦτ᾽ ἐργάζομαι οἷος ἀφ᾽ τοὔνομ᾽ ἔχω , καταγέλαστος . , Σώκρατες , λέγω : εἴωθα μέντοι παλαιός πρῶτος πρῶτος μᾶλλον ἐγκωμιάζω νῦν , εὐλαβέομαι φθόνος ζῶ , φοβέω μῆνις τελευτάω . 
"
5,Maj.282b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dHipp.%20Maj.%3Asection%3D282b," καλῶς γε σύ, ὦ Ἱππία, ὀνομάζων τε καὶ διανοούμενος, ὡς ἐμοὶ δοκεῖς. συμμαρτυρῆσαι δέ σοι ἔχω ὅτι ἀληθῆ λέγεις, καὶ τῷ ὄντι ὑμῶν ἐπιδέδωκεν ἡ τέχνη πρὸς τὸ καὶ τὰ δημόσια πράττειν δύνασθαι μετὰ τῶν ἰδίων. Γοργίας τε γὰρ οὗτος ὁ Λεοντῖνος σοφιστὴς δεῦρο ἀφίκετο δημοσίᾳ οἴκοθεν πρεσβεύων, ὡς ἱκανώτατος ὢν Λεοντίνων τὰ κοινὰ πράττειν, καὶ ἔν τε τῷ δήμῳ ἔδοξεν ἄριστα εἰπεῖν, καὶ ἰδίᾳ ἐπιδείξεις ποιούμενος καὶ συνὼν τοῖς νέοις χρήματα πολλὰ ἠργάσατο
","  καλός , Ἱππίας , ὀνομάζω διανοέω , δοκέω . συμμαρτυρέω ἔχω ἀληθής λέγω , ἐπιδέδωκα τέχνη δημόσιος πράσσω δύναμαι ἴδιος . Γοργίας Λεοντῖνος σοφιστής δεῦρο ἀφικνέομαι δημοσίᾳ οἴκοθεν πρεσβεύω , ἱκανώς Λεοντῖνος κοινός πράσσω , δῆμος δοκέω ἄριστος εἶπον , ἴδιος ἐπιδείξης ποιέω σύνειμι νέος χρῆμα πολύς ἐργάζομαι 
"
6,Maj.282c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dHipp.%20Maj.%3Asection%3D282c,"καὶ ἔλαβεν ἐκ τῆσδε τῆς πόλεως: εἰ δὲ βούλει, ὁ ἡμέτερος ἑταῖρος Πρόδικος οὗτος πολλάκις μὲν καὶ ἄλλοτε δημοσίᾳ ἀφίκετο, ἀτὰρ τὰ τελευταῖα ἔναγχος ἀφικόμενος δημοσίᾳ ἐκ Κέω λέγων τ᾽ ἐν τῇ βουλῇ πάνυ ηὐδοκίμησεν καὶ ἰδίᾳ ἐπιδείξεις ποιούμενος καὶ τοῖς νέοις συνὼν χρήματα ἔλαβεν θαυμαστὰ ὅσα. τῶν δὲ παλαιῶν ἐκείνων οὐδεὶς πώποτε ἠξίωσεν ἀργύριον μισθὸν πράξασθαι οὐδ᾽ ἐπιδείξεις ποιήσασθαι
","λαμβάνω πόλις : βούλομαι , ἡμέτερος ἑταῖρος Πρόδικος πολλάκις ἄλλοτε δημοσίᾳ ἀφικνέομαι , ἀτάρ τελευταῖος ἔναγχος ἀφικνέομαι δημοσίᾳ Κέας λέγω τ᾽ βουλή πάνυ ηὐδοκίμησεν ἴδιος ἐπιδείξεις ποιέω νέος σύνειμι χρῆμα λαμβάνω θαυμαστός ὅσος . παλαιός ἐκεῖνος πώποτε ἠξίωσεν ἀργύριον μισθός πράγω οὐδέ ἐπιδείξεις ποιέω 
"
7,Maj.282d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dHipp.%20Maj.%3Asection%3D282d,"ἐν παντοδαποῖς ἀνθρώποις τῆς ἑαυτοῦ σοφίας: οὕτως ἦσαν εὐήθεις καὶ ἐλελήθει αὐτοὺς ἀργύριον ὡς πολλοῦ ἄξιον εἴη. τούτων δ᾽ ἑκάτερος πλέον ἀργύριον ἀπὸ σοφίας εἴργασται ἢ ἄλλος δημιουργὸς ἀφ᾽ ἧστινος τέχνης: καὶ ἔτι πρότερος τούτων Πρωταγόρας. οὐδὲν γάρ, ὦ Σώκρατες, οἶσθα τῶν καλῶν περὶ τοῦτο. εἰ γὰρ εἰδείης ὅσον ἀργύριον εἴργασμαι ἐγώ, θαυμάσαις ἄν: καὶ τὰ μὲν ἄλλα ἐῶ, ἀφικόμενος δέ ποτε εἰς Σικελίαν, Πρωταγόρου
","παντοδαπός ἄνθρωπος σοφία : εὐήθεις λανθάνω ἀργύριον πολύς ἄξιος . δέ ἑκάτερος πολύς ἀργύριον σοφία ἐργάζομαι δημιουργός ἀφ᾽ ἑόστινος τέχνη : πρότερος Πρωταγόρας . , Σώκρατες , οἶδα καλός . οἶδα ὅσος ἀργύριον εἴργασμαι , θαυμάω : ἐάω , ἀφικνέομαι ποτε σικελία , Πρωταγόρης 
"
8,Maj.282e,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dHipp.%20Maj.%3Asection%3D282e,"αὐτόθι ἐπιδημοῦντος καὶ εὐδοκιμοῦντος καὶ πρεσβυτέρου ὄντος πολὺ νεώτερος ὢν ἐν ὀλίγῳ χρόνῳ πάνυ πλέον ἢ πεντήκοντα καὶ ἑκατὸν μνᾶς ἠργασάμην, καὶ ἐξ ἑνός γε χωρίου πάνυ σμικροῦ, Ἰνυκοῦ, πλέον ἢ εἴκοσι μνᾶς: καὶ τοῦτο ἐλθὼν οἴκαδε φέρων τῷ πατρὶ ἔδωκα, ὥστε ἐκεῖνον καὶ τοὺς ἄλλους πολίτας θαυμάζειν τε καὶ ἐκπεπλῆχθαι. καὶ σχεδόν τι οἶμαι ἐμὲ πλείω χρήματα εἰργάσθαι ἢ ἄλλους σύνδυο οὕστινας βούλει τῶν σοφιστῶν. καλόν γε, ὦ Ἱππία, λέγεις καὶ μέγα τεκμήριον
","αὐτόθι ἐπιδημέω εὐδοκιμέω πρέσβυς πολύς νέος ὀλίγος χρόνος πάνυ πολύς πεντήκοντα ἑκατόν μνᾶ ἠργασάμην , εἷς χωρίον πάνυ μικρός , Ἰνυκοῦ , πολύς εἴκοσι μνᾶ : ἔρχομαι οἴκαδε φέρω πατήρ δίδωμι , ἐκεῖνος πολίτης θαυμάζω ἐκπεπλῆχθαι . σχεδόν οἱόμαι πλείων χρῆμα ἐργάζομαι σύνδυο οὕστις βούλομαι σοφιστῶν . καλός , Ἱππίας , λέγω μέγας τεκμήριον 
"
9,Maj.283a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dHipp.%20Maj.%3Asection%3D283a,"σοφίας τῆς τε σεαυτοῦ καὶ τῶν νῦν ἀνθρώπων πρὸς τοὺς ἀρχαίους ὅσον διαφέρουσι. τῶν γὰρ προτέρων περὶ Ἀναξαγόρου λέγεται πολλὴ ἀμαθία κατὰ τὸν σὸν λόγον. τοὐναντίον γὰρ Ἀναξαγόρᾳ φασὶ συμβῆναι ἢ ὑμῖν: καταλειφθέντων γὰρ αὐτῷ πολλῶν χρημάτων καταμελῆσαι καὶ ἀπολέσαι πάντα—οὕτως αὐτὸν ἀνόητα σοφίζεσθαι—λέγουσι δὲ καὶ περὶ ἄλλων τῶν παλαιῶν ἕτερα τοιαῦτα. τοῦτο μὲν οὖν μοι δοκεῖς καλὸν τεκμήριον ἀποφαίνειν περὶ σοφίας τῶν
","σοφία σεαυτοῦ νῦν ἄνθρωπος ἀρχαῖος ὅσος διαφέρω . πρότερος Ἀναξαγόρης λέγω πολύς ἀμαθία λόγος . ἐναντίος Ἀναξαγόρᾳ φημί συμβαίνω : καταλειφθέντων πολύς χρῆμα καταμελέω ἀπόλλυμι πᾶς — ἀνόητος σοφίζομαι — λέγω παλαιός ἕτερος . δοκέω καλός τεκμήριον ἀποφαίνω σοφία 
"
