,section,path,text,lemma_text
0,Min.363a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dHipp.%20Min.%3Asection%3D363a,"σὺ δὲ δὴ τί σιγᾷς, ὦ Σώκρατες, Ἱππίου τοσαῦτα ἐπιδειξαμένου, καὶ οὐχὶ ἢ συνεπαινεῖς τι τῶν εἰρημένων ἢ καὶ ἐλέγχεις, εἴ τί σοι μὴ καλῶς δοκεῖ εἰρηκέναι; ἄλλως τε ἐπειδὴ καὶ αὐτοὶ λελείμμεθα, οἳ μάλιστ᾽ ἂν ἀντιποιησαίμεθα μετεῖναι ἡμῖν τῆς ἐν φιλοσοφίᾳ διατριβῆς. καὶ μήν, ὦ Εὔδικε, ἔστι γε ἃ ἡδέως ἂν πυθοίμην
","σιγάω , Σώκρατες , ἱππίας τοσοῦτος ἐπιδειίκνυμι , συνεπαινεῖς ἐρῶ ἐλέγχω , καλός δοκέω λέγω ; ἐπεί λελείμμεθα , μάλιστ᾽ ἀντιποιμιήσκομαι μεθίημι φιλοσοφία διατριβή . μήν , Εὔδικος , ἡδέως πυνθάνομαι 
"
1,Min.363b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dHipp.%20Min.%3Asection%3D363b,"Ἱππίου ὧν νυνδὴ ἔλεγεν περὶ Ὁμήρου. καὶ γὰρ τοῦ σοῦ πατρὸς Ἀπημάντου ἤκουον ὅτι ἡ Ἰλιὰς κάλλιον εἴη ποίημα τῷ Ὁμήρῳ ἢ ἡ Ὀδύσσεια, τοσούτῳ δὲ κάλλιον, ὅσῳ ἀμείνων Ἀχιλλεὺς Ὀδυσσέως εἴη: ἑκάτερον γὰρ τούτων τὸ μὲν εἰς Ὀδυσσέα ἔφη πεποιῆσθαι, τὸ δ᾽ εἰς Ἀχιλλέα. περὶ ἐκείνου οὖν ἡδέως ἄν, εἰ βουλομένῳ ἐστὶν Ἱππίᾳ, ἀναπυθοίμην ὅπως αὐτῷ δοκεῖ περὶ τοῖν ἀνδροῖν τούτοιν, πότερον
","ἱππίας νυνδὴ λέγω Ὅμηρος . πατήρ Ἀπημάντου ἀκούω Ἰλιάς καλός ποίημα Ὅμηρος Ὀδύσσεια , τοσοῦτος καλός , ὅσος ἀμείνων ἀχιλλεύς Ὀδυσσεύς : ἑκάτερος Ὀδυσσεύς φημί ποιέω , δέ Ἀχιλλές . ἐκεῖνος ἡδέως , βούλομαι ἱππίας , ἀναπυθόω ὅπως δοκέω ἀνδρός τούτοιν , πότερος 
"
2,Min.363c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dHipp.%20Min.%3Asection%3D363c,"ἀμείνω φησὶν εἶναι, ἐπειδὴ καὶ ἄλλα πολλὰ καὶ παντοδαπὰ ἡμῖν ἐπιδέδεικται καὶ περὶ ποιητῶν τε ἄλλων καὶ περὶ Ὁμήρου. ἀλλὰ δῆλον ὅτι οὐ φθονήσει Ἱππίας, ἐάν τι αὐτὸν ἐρωτᾷς, ἀποκρίνεσθαι. ἦ γάρ, ὦ Ἱππία, ἐάν τι ἐρωτᾷ σε Σωκράτης, ἀποκρινῇ; ἢ πῶς ποιήσεις; καὶ γὰρ ἂν δεινὰ ποιοίην, ὦ Εὔδικε, εἰ Ὀλυμπίαζε μὲν εἰς τὴν τῶν Ἑλλήνων πανήγυριν, ὅταν τὰ Ὀλύμπια ᾖ,
","ἀμείνων φημί , ἐπεί πολύς παντοδαπός ἐπιδέδεικται ποιητής Ὅμηρος . δῆλος φθονέω Ἱππίας , ἐρωτάω , ἀποκρίνω . , Ἱππίας , ἐρωτάω σωκράτης , ἀποκρινῇμι ; πῶς ποιέω ; δεινός ποιέω , Εὔδικος , Ὀλυμπίαζε ἕλλην πανήγυρις , ὅταν ὀλύμπιος , 
"
3,Min.363d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dHipp.%20Min.%3Asection%3D363d,"ἀεὶ ἐπανιὼν οἴκοθεν ἐξ Ἤλιδος εἰς τὸ ἱερὸν παρέχω ἐμαυτὸν καὶ λέγοντα ὅτι ἄν τις βούληται ὧν ἄν μοι εἰς ἐπίδειξιν παρεσκευασμένον ᾖ, καὶ ἀποκρινόμενον τῷ βουλομένῳ ὅτι ἄν τις ἐρωτᾷ, νῦν δὲ τὴν Σωκράτους ἐρώτησιν φύγοιμι.
","ἀεί ἐπαίενμι οἴκοθεν ἦλις ἱερόν παρέχω ἐμαυτοῦ λέγω βούλομαι ἐπίδειξις παρασκευάζω , ἀποκρινόμενον βούλομαι ἐρωτάω , νῦν σωκράτης ἐρώτησις φύγω . 
"
4,Min.364a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dHipp.%20Min.%3Asection%3D364a," μακάριόν γε, ὦ Ἱππία, πάθος πέπονθας, εἰ ἑκάστης Ὀλυμπιάδος οὕτως εὔελπις ὢν περὶ τῆς ψυχῆς εἰς σοφίαν ἀφικνῇ εἰς τὸ ἱερόν: καὶ θαυμάσαιμ᾽ ἂν εἴ τις τῶν περὶ τὸ σῶμα ἀθλητῶν οὕτως ἀφόβως τε καὶ πιστευτικῶς ἔχων τῷ σώματι ἔρχεται αὐτόσε ἀγωνιούμενος, ὥσπερ σὺ φῂς τῇ διανοίᾳ. εἰκότως, ὦ Σώκρατες, ἐγὼ τοῦτο πέπονθα: ἐξ οὗ γὰρ ἦργμαι Ὀλυμπίασιν ἀγωνίζεσθαι, οὐδενὶ πώποτε κρείττονι εἰς οὐδὲν ἐμαυτοῦ ἐνέτυχον.
","  μακάριος , Ἱππίας , πάθος πέπονθας , ἕκαστος Ὀλυμπιάς εὔελπις ψυχή σοφία ἀφικνῇ ἱερόν : θαυμάσαιμ᾽ σῶμα ἀθλητής ἀφόβως πιστευτικός ἔχω σῶμα ἔρχομαι αὐτόσε ἀγωνιόω , ὥσπερ φημί διάνοια . εἰκότως , Σώκρατες , πάσχω : ἦργμαι Ὀλυμπία ἀγωνίζομαι , πώποτε κρείττων ἐμαυτοῦ ἐνιτυγχάνω . 
"
5,Min.364b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dHipp.%20Min.%3Asection%3D364b," καλόν γε λέγεις, ὦ Ἱππία, καὶ τῇ Ἠλείων πόλει τῆς σοφίας ἀνάθημα τὴν δόξαν εἶναι τὴν σὴν καὶ τοῖς γονεῦσι τοῖς σοῖς. ἀτὰρ τί δὴ λέγεις ἡμῖν περὶ τοῦ Ἀχιλλέως τε καὶ τοῦ Ὀδυσσέως; πότερον ἀμείνω καὶ κατὰ τί φῂς εἶναι; ἡνίκα μὲν γὰρ πολλοὶ ἔνδον ἦμεν καὶ σὺ τὴν ἐπίδειξιν ἐποιοῦ, ἀπελείφθην σου τῶν λεγομένων—ὤκνουν γὰρ ἐπανερέσθαι, διότι ὄχλος τε πολὺς ἔνδον ἦν, καὶ μή σοι ἐμποδὼν εἴην ἐρωτῶν τῇ ἐπιδείξει—νυνὶ δὲ ἐπειδὴ ἐλάττους τέ ἐσμεν καὶ Εὔδικος ὅδε κελεύει ἐρέσθαι, εἰπέ τε καὶ
","  καλός λέγω , Ἱππίας , ἠλεῖος πόλις σοφία ἀνάθημα δόξα γονεύς . ἀτάρ λέγω Ἀχιλλεύς Ὀδυσσεύς ; πότερος ἀμείνων φημί ; ἡνίκα πολύς ἔνδον ἐπίδειξις ἐποιοῦ , ἀπολείπω λέγω — ὤκνουν ἐπανέρομαι , διότι ὄχλος πολύς ἔνδον , ἐμποδών ἐρωτάω ἐπιδείξει — νυνί ἐπεί ἐλάσσων Εὔδικος κελεύω ἐρέσθαι , εἶπον 
"
6,Min.364c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dHipp.%20Min.%3Asection%3D364c,"δίδαξον ἡμᾶς σαφῶς, τί ἔλεγες περὶ τούτοιν τοῖν ἀνδροῖν; πῶς διέκρινες αὐτούς; ἀλλ᾽ ἐγώ σοι, ὦ Σώκρατες, ἐθέλω ἔτι σαφέστερον ἢ τότε διελθεῖν ἃ λέγω καὶ περὶ τούτων καὶ ἄλλων. φημὶ γὰρ Ὅμηρον πεποιηκέναι ἄριστον μὲν ἄνδρα Ἀχιλλέα τῶν εἰς Τροίαν ἀφικομένων, σοφώτατον δὲ Νέστορα, πολυτροπώτατον δὲ Ὀδυσσέα. βαβαῖ, ὦ Ἱππία: ἆρ᾽ ἄν τί μοι χαρίσαιο τοιόνδε, μή μου καταγελᾶν, ἐὰν μόγις μανθάνω τὰ λεγόμενα καὶ
","διδάσκω σαφής , ἔλεγω τούτοιν ἀνδρός ; πῶς διέκρινω ; ἀλλ᾽ , Σώκρατες , ἐθέλω σαφής τότε διέρχομαι λέγω . φημί Ὅμηρος ποιέω ἀγαθός ἀνήρ Ἀχιλλές Τροία ἀφικομένων , σόφος νέστωρ , πόλυτροπος Ὀδυσσεύς . βαβαῖ , Ἱππίης : ἆρ᾽ χαρίζω τοιόσδε , καταγελάω , μόγις μανθάνω λέγω 
"
7,Min.364d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dHipp.%20Min.%3Asection%3D364d,"πολλάκις ἀνερωτῶ; ἀλλά μοι πειρῶ πρᾴως τε καὶ εὐκόλως ἀποκρίνεσθαι. αἰσχρὸν γὰρ ἂν εἴη, ὦ Σώκρατες, εἰ ἄλλους μὲν αὐτὰ ταῦτα παιδεύω καὶ ἀξιῶ διὰ ταῦτα χρήματα λαμβάνειν, αὐτὸς δὲ ὑπὸ σοῦ ἐρωτώμενος μὴ συγγνώμην τ᾽ ἔχοιμι καὶ πρᾴως ἀποκρινοίμην. πάνυ καλῶς λέγεις. ἐγὼ γάρ τοι, ἡνίκα μὲν ἄριστον τὸν Ἀχιλλέα ἔφησθα πεποιῆσθαι, ἐδόκουν σου μανθάνειν
","πολλάκις ἀνερωτέω ; πειρέω πρᾴος εὐκόλως ἀποκρίνω . αἰσχρός , Σώκρατες , παιδεύω ἀξιόω χρῆμα λαμβάνω , ἐρωτάω συγγνώμη τ᾽ ἔχω πρᾴος ἀποκρινέω . πάνυ καλός λέγω . , ἡνίκα ἄριστος Ἀχιλλές φημί ποιέω , δοκέω μανθάνω 
"
8,Min.364e,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dHipp.%20Min.%3Asection%3D364e,"ὅτι ἔλεγες, καὶ ἡνίκα τὸν Νέστορα σοφώτατον: ἐπειδὴ δὲ τὸν Ὀδυσσέα εἶπες ὅτι πεποιηκὼς εἴη ὁ ποιητὴς πολυτροπώτατον, τοῦτο δ᾽, ὥς γε πρὸς σὲ τἀληθῆ εἰρῆσθαι, παντάπασιν οὐκ οἶδ᾽ ὅτι λέγεις. καί μοι εἰπέ, ἄν τι ἐνθένδε μᾶλλον μάθω: ὁ Ἀχιλλεὺς οὐ πολύτροπος τῷ Ὁμήρῳ πεποίηται; ἥκιστά γε, ὦ Σώκρατες, ἀλλ᾽ ἁπλούστατος καὶ ἀληθέστατος, ἐπεὶ καὶ ἐν Λιταῖς, ἡνίκα πρὸς ἀλλήλους ποιεῖ αὐτοὺς διαλεγομένους, λέγει αὐτῷ ὁ Ἀχιλλεὺς πρὸς τὸν Ὀδυσσέα—
    ","ἔλεγω , ἡνίκα νέστωρ σόφος : ἐπεί Ὀδυσσεύς εἶπον ποιέω ποιητής πολυτροπώς , δέ , τἀληθής ἐρῶ , παντάπασι οἶδα λέγω . εἶπον , ἐνθένδε μᾶλλον μανθάνω : ἀχιλλεύς πολύτροπος Ὅμηρος ποιέω ; ἥκιστος , Σώκρατες , ἀλλ᾽ ἁπλούστερος ἀληθέσς , ἐπεί λιτή , ἡνίκα ἀλλήλων ποιέω διαλεγομένους , λέγω ἀχιλλεύς Ὀδυσσεύς — 
    "
9,Min.365a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dHipp.%20Min.%3Asection%3D365a,"διογενὲς Λαερτιάδη, πολυμήχαν᾽ Ὀδυσσεῦ,χρὴ μὲν δὴ τὸν μῦθον ἀπηλεγέως ἀποειπεῖν,ὥσπερ δὴ κρανέω τε καὶ ὡς τελέεσθαι ὀίω:ἐχθρὸς γάρ μοι κεῖνος ὁμῶς Ἀΐδαο πύλῃσιν,ηομ. ιλ. 9.308
","διογενής λαερτιάδης , πολυμήχαν᾽ Ὀδυσσεῦ,χρὴ μῦθος ἀπηλεγής ἀποειπεῖν,ὥσπερ κρανέω τελέω ὀίω:ἐχθρὸς ἐκεῖνος ὁμῶς ᾅδης πύλη , ηομ . ιλς . 9.308 
"
