,section,path,text,lemma_text
0,ch..225a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dHipparch.%3Asection%3D225a,"τί γὰρ τὸ φιλοκερδές; τί ποτέ ἐστιν, καὶ τίνες οἱ φιλοκερδεῖς; ἐμοὶ μὲν δοκοῦσιν οἳ ἂν κερδαίνειν ἀξιῶσιν ἀπὸ τῶν μηδενὸς ἀξίων. πότερον οὖν σοι δοκοῦσιν γιγνώσκοντες ὅτι οὐδενός ἐστιν ἄξια, ἢ ἀγνοοῦντες; εἰ γὰρ ἀγνοοῦντες, ἀνοήτους λέγεις τοὺς φιλοκερδεῖς. ἀλλ᾽ οὐκ ἀνοήτους λέγω, ἀλλὰ πανούργους καὶ
","φιλοκερδής ; ποτε , φιλοκερδής ; δοκέω κερδαίνω ἀξιάω μηδείς ἄξιος . πότερος δοκέω γιγνώσκω ἄξιος , ἀγνοέω ; ἀγνοέω , ἀνόητος λέγω φιλοκερδής . ἀλλ᾽ ἀνόητος λέγω , πανούργος 
"
1,ch..225b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dHipparch.%3Asection%3D225b,"πονηροὺς καὶ ἥττους τοῦ κέρδους, γιγνώσκοντας ὅτι οὐδενὸς ἄξιά ἐστιν ἀφ᾽ ὧν τολμῶσι κερδαίνειν, ὅμως τολμᾶν φιλοκερδεῖν δι᾽ ἀναισχυντίαν. ἆρ᾽ οὖν τοιόνδε λέγεις τὸν φιλοκερδῆ, οἷον ἐὰν φυτεύων γεωργὸς ἀνὴρ καὶ γιγνώσκων ὅτι οὐδενὸς ἄξιον τὸ φυτόν, ἀξιοῖ ἀπὸ τούτου ἐκτραφέντος κερδαίνειν; ἆρα τοιοῦτον αὐτὸν λέγεις; ἀπὸ παντὸς ὅ γε φιλοκερδής, ὦ Σώκρατες, οἴεται δεῖν κερδαίνειν. μή μοι οὕτως εἰκῇ, ὥσπερ τι ἠδικημένος ὑπό τινος,
","πονηρός ἥσσων κέρδος , γιγνώσκω ἄξιος ἀφ᾽ τολμάω κερδαίνω , ὅμως τολμάω φιλοκερδέω δι᾽ ἀναισχυντία . ἆρ᾽ τοιόσδε λέγω φιλοκερδής , οἷος φυτεύω γεωργός ἀνήρ γιγνώσκω ἄξιος φυτός , ἀξιόω ἐκτραφέντος κερδαίνω ; ἆρα λέγω ; πᾶς φιλοκερδής , Σώκρατες , οἴομαι δεῖ κερδαίνω . εἰκῇ , ὥσπερ ἠδικημένος , 
"
2,ch..225c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dHipparch.%3Asection%3D225c,"ἀλλὰ προσέχων ἐμοὶ τὸν νοῦν ἀπόκριναι, ὥσπερ ἂν εἰ ἐξ ἀρχῆς πάλιν ἠρώτων: οὐχὶ ὁμολογεῖς τὸν φιλοκερδῆ ἐπιστήμονα εἶναι περὶ τῆς ἀξίας τούτου ὅθεν κερδαίνειν ἀξιοῖ; ἔγωγε. τίς οὖν ἐπιστήμων περὶ φυτῶν τῆς ἀξίας, ἐν ὁποίᾳ ἄξια φυτευθῆναι καὶ ὥρᾳ καὶ χώρᾳ; ἵνα τι καὶ ἡμεῖς τῶν σοφῶν ῥημάτων ἐμβάλωμεν, ὧν οἱ δεξιοὶ περὶ τὰς δίκας καλλιεποῦνται.
","προσέχω νόος ἀπόκριναι , ὥσπερ ἀρχή πάλιν ἐρωτάω : ὁμολογέω φιλοκερδής ἐπιστήμονα ἄξιος ὅθεν κερδαίνω ἀξιόω ; . ἐπιστήμων φυτόν ἄξιος , ὁποῖος ἄξιος φυτεύω ὥρα χώρα ; ἵνα σοφός ῥῆμα ἐμβαιράω , δεξιός δίκη καλλιεπέω . 
"
3,ch..225d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dHipparch.%3Asection%3D225d," ἐγὼ μὲν οἶμαι γεωργόν. τὸ οὖν ἀξιοῦν κερδαίνειν ἄλλο τι λέγεις ἢ οἴεσθαι δεῖν κερδαίνειν; τοῦτο λέγω. μὴ τοίνυν με ἐπιχείρει ἐξαπατᾶν, ἄνδρα πρεσβύτερον
","  οἱόμαι γεωργός . ἀξιόω κερδαίνω λέγω οἴομαι δεῖ κερδαίνω ; λέγω . τοίνυν ἐπιχειρέω ἐξαπατάω , ἀνήρ πρέσβυς 
"
4,ch..226a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dHipparch.%3Asection%3D226a,"ἤδη οὕτω νέος ὤν, ἀποκρινόμενος ὥσπερ νυνδὴ ἃ οὐδ᾽  αὐτὸς οἴει, ἀλλ᾽ ὡς ἀληθῶς εἰπέ: ἆρ᾽ ἔστιν ὅντινα οἴει γεωργικὸν ἄνδρα γιγνόμενον, καὶ γιγνώσκοντα ὅτι οὐδενὸς ἄξιον φυτεύει τὸ φυτόν, οἴεσθαι ἀπὸ τούτου κερδαίνειν; μὰ Δί᾽ οὐκ ἔγωγε. τί δέ; ἱππικὸν ἄνδρα γιγνώσκοντα ὅτι οὐδενὸς ἄξια σιτία τῷ ἵππῳ παρέχει, ἀγνοεῖν αὐτὸν οἴει ὅτι τὸν ἵππον διαφθείρει; οὐκ ἔγωγε.
","ἤδη νέος , ἀποκρινόμενος ὥσπερ νυνδὴ οὐδέ   οἴει , ἀλλ᾽ ἀληθῶς λέγω : ἆρ᾽ οἴει γεωργικός ἀνήρ γίγνομαι , γιγνώσκω ἄξιος φυτεύω φυτός , οἴομαι κερδαίνω ; μά Δί᾽ . ; ἱππικός ἀνήρ γιγνώσκω ἄξιος σῖτος ἵππος παρέχω , ἀγνοέω οἴω ἵππος διαφθείρω ; . 
"
5,ch..226b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dHipparch.%3Asection%3D226b," οὐκ ἄρα οἴεταί γε ἀπὸ τούτων κερδαίνειν τῶν σιτίων τῶν μηδενὸς ἀξίων. οὐχί. τί δέ; κυβερνήτην μηδενὸς ἄξια ἱστία καὶ πηδάλια τῇ νηὶ παρεσκευασμένον ἀγνοεῖν οἴει ὅτι ζημιωθήσεται καὶ κινδυνεύσει καὶ αὐτὸς ἀπολέσθαι καὶ τὴν ναῦν ἀπολέσαι καὶ ἃ ἂν ἄγῃ πάντα; οὐκ ἔγωγε. οὐκ ἄρα οἴεταί γε κερδαίνειν ἀπὸ τῶν σκευῶν τῶν
","  οἴομαί κερδαίνω σιτίον μηδείς ἄξιος . . ; κυβερνήτης μηδείς ἄξιος ἱστίον πηδάλιον ναῦς παρασκευάζω ἀγνοέω οἴω ζημιόω κινδυνεύω ἀπόλλυμι ναῦς ἀπόλλυμι ἄγω πᾶς ; . οἴομαί κερδαίνω σκευῶν 
"
6,ch..226c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dHipparch.%3Asection%3D226c,"μηδενὸς ἀξίων. οὐ γάρ. ἀλλὰ στρατηγὸς γιγνώσκων ὅτι ἡ στρατιὰ αὐτῷ οὐδενὸς ἄξια ὅπλα ἔχει, οἴεται ἀπὸ τούτων κερδαίνειν καὶ ἀξιοῖ κερδαίνειν; οὐδαμῶς. ἀλλ᾽ αὐλητὴς αὐλοὺς οὐδενὸς ἀξίους ἔχων ἢ κιθαριστὴς λύραν ἢ τοξότης τόξον ἢ ἄλλος ὁστισοῦν συλλήβδην τῶν δημιουργῶν ἢ τῶν ἄλλων τῶν ἐμφρόνων ἀνδρῶν μηδενὸς ἄξια ὄργανα ἢ ἄλλην παρασκευὴν ἡντιναοῦν ἔχων ἀπὸ τούτων οἴεται κερδαίνειν;
","μηδείς ἄξιος . . στρατηγός γιγνώσκω στρατιά ἄξιος ὅπλον ἔχω , οἴομαι κερδαίνω ἀξιόω κερδαίνω ; οὐδαμῶς . ἀλλ᾽ αὐλητής αὐλός ἄξιος ἔχω κιθαριστής λύρα τοξότης τόξον ὁστισοῦν συλλήβδην δημιουργῶν ἐμφρόνων ἀνήρ μηδείς ἄξιος ὄργανον παρασκευή ἡντιναοῦν ἔχω οἴομαι κερδαίνω ; 
"
7,ch..226d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dHipparch.%3Asection%3D226d," οὔκουν φαίνεταί γε. τίνας οὖν ποτε λέγεις τοὺς φιλοκερδεῖς; οὐ γάρ που τούτους γε οὓς διεληλύθαμεν, ἀλλ᾽ οἵτινες γιγνώσκοντες τὰ οὐδενὸς ἄξια ἀπὸ τούτων οἴονται δεῖν κερδαίνειν: ἀλλ᾽ οὕτω μέν, ὦ θαυμάσιε, ὡς σὺ λέγεις, οὐκ ἔστ᾽ ἀνθρώπων οὐδεὶς φιλοκερδής. ἀλλ᾽ ἐγώ, ὦ Σώκρατες, βούλομαι λέγειν τούτους φιλοκερδεῖς εἶναι, οἳ ἑκάστοτε ὑπὸ ἀπληστίας καὶ πάνυ
","  οὔκουν φαίνω . τίς ποτε λέγω φιλοκερδής ; πού διεληλύθαμεν , ἀλλ᾽ γιγνώσκω ἄξιος οἴομαι δεῖ κερδαίνω : ἀλλ᾽ , θαυμάσιος , λέγω , ἔστ᾽ ἄνθρωπος φιλοκερδής . ἀλλ᾽ , Σώκρατες , βούλομαι λέγω φιλοκερδής , ἑκάστοτε ἀπληστία πάνυ 
"
8,ch..226e,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dHipparch.%3Asection%3D226e,"σμικρὰ καὶ ὀλίγου ἄξια καὶ οὐδενὸς γλίχονται ὑπερφυῶς καὶ φιλοκερδοῦσιν. οὐ δήπου, ὦ βέλτιστε, γιγνώσκοντες ὅτι οὐδενὸς ἄξιά ἐστιν: τοῦτο μὲν γὰρ ἤδη ἡμᾶς αὐτοὺς τῷ λόγῳ ἐξηλέγξαμεν ὅτι ἀδύνατον. ἔμοιγε δοκεῖ. οὐκοῦν εἰ μὴ γιγνώσκοντες, δῆλον ὅτι ἀγνοοῦντες, οἰόμενοι δὲ τὰ οὐδενὸς ἄξια πολλοῦ ἄξια εἶναι. φαίνεται. ἄλλο τι οὖν οἵ γε φιλοκερδεῖς φιλοῦσι τὸ κέρδος; ναί. κέρδος δὲ λέγεις ἐναντίον τῇ ζημίᾳ;
","σμικρός ὀλίγος ἄξιος γλίχομαι ὑπερφυής φιλοκερδέω . δήπου , βέλτιστος , γιγνώσκω ἄξιός : ἤδη λόγος ξηλέγσσω ἀδύνατος . δοκέω . οὐκοῦν γιγνώσκω , δῆλος ἀγνοέω , οἴομαι ἄξιος πολύς ἄξιος . φαίνω . φιλοκερδής φιλέω κέρδος ; ναί . κέρδος λέγω ἐναντίον ζημία ; 
"
9,ch..227a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dHipparch.%3Asection%3D227a," ἔγωγε. ἔστιν οὖν ὅτῳ ἀγαθόν ἐστι ζημιοῦσθαι; οὐδενί. ἀλλὰ κακόν; ναί. βλάπτονται ὑπὸ τῆς ζημίας ἄρα ἄνθρωποι. βλάπτονται. κακὸν ἄρα ἡ ζημία. ναί. ἐναντίον δὲ τῇ ζημίᾳ τὸ κέρδος. ἐναντίον. ἀγαθὸν ἄρα τὸ κέρδος. ναί.
","  . ἀγαθός ζημιόω ; οὐδενί . κακός ; ναί . βλάπτω ζημία ἄνθρωπος . βλάπτω . κακός ζημία . ναί . ἐναντίον ζημία κέρδος . ἐναντίον . ἀγαθός κέρδος . ναί . 
"
