,section,path,text,lemma_text
0,.178a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dLach.%3Asection%3D178a,"τεθέασθε μὲν τὸν ἄνδρα μαχόμενον ἐν ὅπλοις, ὦ Νικία τε καὶ Λάχης: οὗ δ᾽ ἕνεκα ὑμᾶς ἐκελεύσαμεν συνθεάσασθαι ἐγώ τε καὶ Μελησίας ὅδε, τότε μὲν οὐκ εἴπομεν, νῦν δ᾽ ἐροῦμεν. ἡγούμεθα γὰρ χρῆναι πρός γε ὑμᾶς παρρησιάζεσθαι. εἰσὶ γάρ τινες οἳ τῶν τοιούτων καταγελῶσι, καὶ ἐάν
","τεθέασθε ἀνήρ μάχομαι ὅπλον , Νικίης Λάχης : δέ ἕνεκα ἐκελεύω συνθεάομαι Μελησίης , τότε εἴπομεν , νῦν δέ λέγω . ἡγέομαι χρή παρρησιάζομαι . καταγελάω , 
"
1,.178b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dLach.%3Asection%3D178b,"τις αὐτοῖς συμβουλεύσηται, οὐκ ἂν εἴποιεν ἃ νοοῦσιν, ἀλλὰ στοχαζόμενοι τοῦ συμβουλευομένου ἄλλα λέγουσι παρὰ τὴν αὑτῶν δόξαν: ὑμᾶς δὲ ἡμεῖς ἡγησάμενοι καὶ ἱκανοὺς γνῶναι καὶ γνόντας ἁπλῶς ἂν εἰπεῖν ἃ δοκεῖ ὑμῖν, οὕτω παρελάβομεν ἐπὶ τὴν συμβουλὴν περὶ ὧν μέλλομεν ἀνακοινοῦσθαι. ἔστιν
","συμβουλεύω , εἴποιεν νοέω , στοχάζω συμβουλεύω λέγω δόξα : ἡγέομαι ἱκανός γιγνώσκω γνόντας ἁπλῶς εἶπον δοκέω , παραλαμβάνω συμβουλὴ μέλλω ἀνακοινόω . 
"
2,.179a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dLach.%3Asection%3D179a,"οὖν τοῦτο, περὶ οὗ πάλαι τοσαῦτα προοιμιάζομαι, τόδε. ἡμῖν εἰσὶν ὑεῖς οὑτοιί, ὅδε μὲν τοῦδε, πάππου ἔχων ὄνομα Θουκυδίδης, ἐμὸς δὲ αὖ ὅδε—παππῷον δὲ καὶ οὗτος ὄνομ᾽ ἔχει τοὐμοῦ πατρός: Ἀριστείδην γὰρ αὐτὸν καλοῦμεν—ἡμῖν οὖν τούτων δέδοκται ἐπιμεληθῆναι ὡς οἷόν τε μάλιστα, καὶ μὴ ποιῆσαι ὅπερ οἱ πολλοί, ἐπειδὴ μειράκια γέγονεν, ἀνεῖναι αὐτοὺς ὅτι βούλονται ποιεῖν, ἀλλὰ νῦν δὴ καὶ ἄρχεσθαι αὐτῶν ἐπιμελεῖσθαι καθ᾽ ὅσον οἷοί τ᾽ ἐσμέν. εἰδότες οὖν καὶ
",", πάλαι τοσοῦτος προοιμιάζω , . ὑεύς οὑτοις , , πάππος ἔχω ὄνομα Θουκυδίδης , αὖ — παππῷον ὄνομ᾽ ἔχω τοὐμοῦ πατήρ : ἀριστείδης καλέω — δοκέω ἐπιμελέω οἷος μάλιστα , ποιέω ὅσπερ πολύς , ἐπεί μειράκιον γίγνομαι , ἀνίημι βούλομαι ποιέω , νῦν ἄρχω ἐπιμελεῖμι καθ᾽ ὅσος οἷος τ᾽ . οἶδα 
"
3,.179b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dLach.%3Asection%3D179b,"ὑμῖν ὑεῖς ὄντας ἡγησάμεθα μεμεληκέναι περὶ αὐτῶν, εἴπερ τισὶν ἄλλοις, πῶς ἂν θεραπευθέντες γένοιντο ἄριστοι: εἰ δ᾽ ἄρα πολλάκις μὴ προσεσχήκατε τὸν νοῦν τῷ τοιούτῳ, ὑπομνήσοντες ὅτι οὐ χρὴ αὐτοῦ ἀμελεῖν, καὶ παρακαλοῦντες ὑμᾶς ἐπὶ τὸ ἐπιμέλειάν τινα ποιήσασθαι τῶν ὑέων κοινῇ μεθ᾽ ἡμῶν. ὅθεν δὲ ἡμῖν ταῦτ᾽ ἔδοξεν, ὦ Νικία τε καὶ Λάχης, χρὴ ἀκοῦσαι, κἂν ᾖ ὀλίγῳ μακρότερα. συσσιτοῦμεν γὰρ δὴ ἐγώ τε καὶ Μελησίας ὅδε, καὶ ἡμῖν τὰ μειράκια παρασιτεῖ.
","ὑεύς ἡγησάμεθα μεμελέω , εἴπερ τὶς , πῶς θεραπεύω γένλυμι ἄριστος : δέ πολλάκις προσεσχήκατε νόος , ὑπομνέω χρή ἀμελέω , παρακαλέω ἐπιμέλειά ποιέω ὑέ κοινῇ μεθ᾽ . ὅθεν ταῦτ᾽ δοκέω , Νικίης Λάχης , χρή ἀκούω , ὀλίγος μακρός . συσσιτέω Μελησίης , μειράκιον παρασιτέω . 
"
4,.179c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dLach.%3Asection%3D179c,"ὅπερ οὖν καὶ ἀρχόμενος εἶπον τοῦ λόγου, παρρησιασόμεθα πρὸς ὑμᾶς. ἡμῶν γὰρ ἑκάτερος περὶ τοῦ ἑαυτοῦ πατρὸς πολλὰ καὶ καλὰ ἔργα ἔχει λέγειν πρὸς τοὺς νεανίσκους, καὶ ὅσα ἐν πολέμῳ ἠργάσαντο καὶ ὅσα ἐν εἰρήνῃ, διοικοῦντες τά τε τῶν συμμάχων καὶ τὰ τῆσδε τῆς πόλεως: ἡμέτερα δ᾽ αὐτῶν ἔργα οὐδέτερος ἔχει λέγειν. ταῦτα δὴ ὑπαισχυνόμεθά τε τούσδε καὶ αἰτιώμεθα τοὺς πατέρας ἡμῶν ὅτι ἡμᾶς μὲν
","ὅσπερ ἄρχω εἶπον λόγος , παρρησιάω . ἑκάτερος πατήρ πολύς καλός ἔργον ἔχω λέγω νεανίσκος , ὅσος πόλεμος ἐργάζομαι ὅσος εἰρήνη , διοικέω σύμμαχος πόλις : ἡμέτερος δέ ἔργον οὐδέτερος ἔχω λέγω . ὑπαισχυνόμεθά αἰτιάομαι πατήρ 
"
5,.179d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dLach.%3Asection%3D179d,"εἴων τρυφᾶν, ἐπειδὴ μειράκια ἐγενόμεθα, τὰ δὲ τῶν ἄλλων πράγματα ἔπραττον: καὶ τοῖσδε τοῖς νεανίσκοις αὐτὰ ταῦτα ἐνδεικνύμεθα, λέγοντες ὅτι εἰ μὲν ἀμελήσουσιν ἑαυτῶν καὶ μὴ πείσονται ἡμῖν, ἀκλεεῖς γενήσονται, εἰ δ᾽ ἐπιμελήσονται, τάχ᾽ ἂν τῶν ὀνομάτων ἄξιοι γένοιντο ἃ ἔχουσιν. οὗτοι μὲν οὖν φασιν πείσεσθαι: ἡμεῖς δὲ δὴ τοῦτο σκοποῦμεν, τί ἂν οὗτοι μαθόντες ἢ ἐπιτηδεύσαντες ὅτι ἄριστοι γένοιντο.
","ἐάω τρυφάω , ἐπεί μειράκιον γίγνομαι , πρᾶγμα πράσσω : νεάνισκος ἐνδεικένμαι , λέγω ἀμελέω πάσχω , ἀκλεής γενήσονται , δέ ἐπιμελήω , τάχ᾽ ὄνομα ἄξιος γίγνοιμαν ἔχω . φημί πάσχω : σκοπέω , μανθάνω ἐπιτηδεύω ἄριστος γίγνοιμαν . 
"
6,.179e,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dLach.%3Asection%3D179e,"εἰσηγήσατο οὖν τις ἡμῖν καὶ τοῦτο τὸ μάθημα, ὅτι καλὸν εἴη τῷ νέῳ μαθεῖν ἐν ὅπλοις μάχεσθαι: καὶ ἐπῄνει τοῦτον ὃν νῦν ὑμεῖς ἐθεάσασθε ἐπιδεικνύμενον, κᾆτ᾽ ἐκέλευε θεάσασθαι. ἔδοξε δὴ χρῆναι αὐτούς τε ἐλθεῖν ἐπὶ θέαν τἀνδρὸς καὶ ὑμᾶς συμπαραλαβεῖν ἅμα μὲν συνθεατάς, ἅμα δὲ συμβούλους τε καὶ κοινωνούς, ἐὰν βούλησθε, περὶ τῆς τῶν ὑέων ἐπιμελείας.
","εἰσηγάω μάθημα , καλός νέος μανθάνω ὅπλον μάχομαι : ἐπαινέω νῦν θεάομαι ἐπιδεικνύμενον , κᾆτ᾽ κελεύω θεάομαι . δοκέω χρή ἔρχομαι θέα τ ἀνήρ συμπαραλαμβάνω ἅμα συνθεατάς , ἅμα σύμβουλος κοινωνός , βούλομαι , ὑέ ἐπιμέλεια . 
"
7,.180a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dLach.%3Asection%3D180a,"ταῦτ᾽ ἐστὶν ἃ ἐβουλόμεθα ὑμῖν ἀνακοινώσασθαι. ἤδη οὖν ὑμέτερον μέρος συμβουλεύειν καὶ περὶ τούτου τοῦ μαθήματος, εἴτε δοκεῖ χρῆναι μανθάνειν εἴτε μή, καὶ περὶ τῶν ἄλλων, εἴ τι ἔχετε ἐπαινέσαι μάθημα νέῳ ἀνδρὶ ἢ ἐπιτήδευμα, καὶ περὶ τῆς κοινωνίας λέγειν ὁποῖόν τι ποιήσετε. ἐγὼ μέν, ὦ Λυσίμαχε καὶ Μελησία, ἐπαινῶ τε ὑμῶν τὴν διάνοιαν καὶ κοινωνεῖν ἕτοιμος, οἶμαι δὲ καὶ Λάχητα τόνδε.
","ταῦτ᾽ ἐβούλομαι ἀνακοινώζομαι . ἤδη ὑμέτερος μέρος συμβουλεύω μάθημα , εἴτε δοκέω χρή μανθάνω εἴτε , , ἔχω ἐπαινέω μάθημα νέος ἀνήρ ἐπιτήδευμα , κοινωνία λέγω ὁποῖος ποιέω . , Λυσίμαχος Μελησίης , ἐπαινέω διάνοια κοινωνέω ἑτοῖμος , οἱόμαι Λάχητα . 
"
8,.180b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dLach.%3Asection%3D180b," ἀληθῆ γὰρ οἴει, ὦ Νικία. ὡς ὅ γε ἔλεγεν ὁ Λυσίμαχος ἄρτι περὶ τοῦ πατρὸς τοῦ αὑτοῦ τε καὶ τοῦ Μελησίου, πάνυ μοι δοκεῖ εὖ εἰρῆσθαι καὶ εἰς ἐκείνους καὶ εἰς ἡμᾶς καὶ εἰς ἅπαντας ὅσοι τὰ τῶν πόλεων πράττουσιν, ὅτι αὐτοῖς σχεδόν τι ταῦτα συμβαίνει ἃ οὗτος λέγει καὶ περὶ παῖδας καὶ περὶ τἆλλα, τὰ ἴδια ὀλιγωρεῖσθαί τε καὶ ἀμελῶς διατίθεσθαι. ταῦτα μὲν οὖν καλῶς λέγεις, ὦ Λυσίμαχε: ὅτι δ᾽ ἡμᾶς μὲν συμβούλους παρακαλεῖς ἐπὶ τὴν τῶν νεανίσκων
","  ἀληθής οἴω , Νικίας . λέγω Λυσίμαχος ἄρτι πατήρ Μελησίας , πάνυ δοκέω εὖ ἐρῶ ἐκεῖνος ἅπας ὅσος πόλις πράττω , σχεδόν συμβαίνω λέγω παῖς τἆ λλος , ἴδιος ὀλιγωρέομαι ἀμελῶς διατίθημι . καλός λέγω , Λυσίμαχος : δέ σύμβουλος παρακαλέω νεανίσκος 
"
9,.180c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dLach.%3Asection%3D180c,"παιδείαν, Σωκράτη δὲ τόνδε οὐ παρακαλεῖς, θαυμάζω, πρῶτον μὲν ὄντα δημότην, ἔπειτα ἐνταῦθα ἀεὶ τὰς διατριβὰς ποιούμενον ὅπου τί ἐστι τῶν τοιούτων ὧν σὺ ζητεῖς περὶ τοὺς νέους ἢ μάθημα ἢ ἐπιτήδευμα καλόν. πῶς λέγεις, ὦ Λάχης; Σωκράτης γὰρ ὅδε τινὸς τῶν τοιούτων ἐπιμέλειαν πεποίηται; πάνυ μὲν οὖν, ὦ Λυσίμαχε. τοῦτο μέν σοι κἂν ἐγὼ ἔχοιμι εἰπεῖν οὐ χεῖρον Λάχητος: καὶ γὰρ αὐτῷ μοι ἔναγχος ἄνδρα προυξένησε τῷ
","παιδεία , Σωκράτης παρακαλέω , θαυμάζω , πρῶτος δημότης , ἔπειτα ἐνταῦθα ἀεί διατριβή ποιέω ὅπου ζητέω νέος μάθημα ἐπιτήδευμα καλός . πῶς λέγω , Λάχης ; σωκράτης ἐπιμέλεια ποιέω ; πάνυ , Λυσίμαχος . ἔχω εἶπον χείρων Λάχη : ἔναγχος ἀνήρ προυξένησε 
"
10,.180d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dLach.%3Asection%3D180d,"ὑεῖ διδάσκαλον μουσικῆς, Ἀγαθοκλέους μαθητὴν Δάμωνα, ἀνδρῶν χαριέστατον οὐ μόνον τὴν μουσικήν, ἀλλὰ καὶ τἆλλα ὁπόσου βούλει ἄξιον συνδιατρίβειν τηλικούτοις νεανίσκοις. οὔτοι, ὦ Σώκρατές τε καὶ Νικία καὶ Λάχης, οἱ ἡλίκοι ἐγὼ ἔτι γιγνώσκομεν τοὺς νεωτέρους, ἅτε κατ᾽ οἰκίαν τὰ πολλὰ διατρίβοντες ὑπὸ τῆς ἡλικίας: ἀλλ᾽ εἴ τι καὶ σύ, ὦ παῖ Σωφρονίσκου, ἔχεις τῷδε τῷ σαυτοῦ δημότῃ ἀγαθὸν
","ὑέω διδάσκαλος μουσικῆ , Ἀγαθοκλῆς μαθητής Δάμων , ἀνήρ χαριής μόνος μουσική , τἆ λλος ὁπόσς βούλομαι ἄξιος συνδιατρίβω τηλικοῦτος νεάνισκος . οὔτοι , Σώκρατές Νικίης Λάχης , ἡλίκος γιγνώσκω νέος , ἅτε κατ᾽ οἰκία πολύς διατρίβω ἡλικία : ἀλλ᾽ , παῖς Σωφρονίσκος , ἔχω σεαυτοῦ δημότης ἀγαθός 
"
11,.180e,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dLach.%3Asection%3D180e,"συμβουλεῦσαι, χρὴ συμβουλεύειν. δίκαιος δ᾽ εἶ: καὶ γὰρ πατρικὸς ἡμῖν φίλος τυγχάνεις ὤν: ἀεὶ γὰρ ἐγὼ καὶ ὁ σὸς πατὴρ ἑταίρω τε καὶ φίλω ἦμεν, καὶ πρότερον ἐκεῖνος ἐτελεύτησε, πρίν τι ἐμοὶ διενεχθῆναι. περιφέρει δέ τίς με καὶ μνήμη ἄρτι τῶνδε λεγόντων: τὰ γὰρ μειράκια τάδε πρὸς ἀλλήλους οἴκοι διαλεγόμενοι θαμὰ ἐπιμέμνηνται Σωκράτους καὶ σφόδρα ἐπαινοῦσιν: οὐ μέντοι πώποτε αὐτοὺς ἀνηρώτησα
","συμβουλεύω , χρή συμβουλεύω . δίκαιος δέ : πατρικός φίλος τυγχάνω : ἀεί πατήρ ἑταίρω φίλος , πρότερος ἐκεῖνος τελευτάω , πρίν διενεχθῆναι . περιφέρω μνήμη ἄρτι λέγω : μειράκιον ἀλλήλων οἴκοι διαλέγω θαμά ἐπιμέμνηνται σωκράτης σφόδρα ἐπαινέω : μέντοι πώποτε ἀνηρώτησα 
"
12,.181a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dLach.%3Asection%3D181a,"εἰ τὸν Σωφρονίσκου λέγοιεν. ἀλλ᾽, ὦ παῖδες, λέγετέ μοι, ὅδ᾽ ἐστὶ Σωκράτης, περὶ οὗ ἑκάστοτε ἐμέμνησθε; πάνυ μὲν οὖν, ὦ πάτερ, οὗτος. εὖ γε νὴ τὴν Ἥραν, ὦ Σώκρατες, ὅτι ὀρθοῖς τὸν πατέρα, ἄριστον ἀνδρῶν ὄντα, καὶ ἄλλως καὶ δὴ καὶ ὅτι οἰκεῖα τά τε σὰ ἡμῖν ὑπάρξει καὶ σοὶ τὰ ἡμέτερα. καὶ μήν, ὦ Λυσίμαχε, μὴ ἀφίεσό γε τἀνδρός: ὡς ἐγὼ καὶ ἄλλοθί γε αὐτὸν ἐθεασάμην οὐ μόνον τὸν πατέρα
","Σωφρονίσκης λέγω . ἀλλ᾽ , παῖς , λέγω , ὅδε σωκράτης , ἑκάστοτε ἐμέμνησθε ; πάνυ , πάτηρ , . εὖ νή Ἥρη , Σώκρατες , ὀρθός πατήρ , ἄριστος ἀνήρ , οἰκεῖος ὑπάρχω ἡμέτερος . μήν , Λυσίμαχος , ἀφίεσό τ ἀνήρ : ἄλλοθι ἐθεάω μόνος πατήρ 
"
13,.181b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dLach.%3Asection%3D181b,"ἀλλὰ καὶ τὴν πατρίδα ὀρθοῦντα: ἐν γὰρ τῇ ἀπὸ Δηλίου φυγῇ μετ᾽ ἐμοῦ συνανεχώρει, κἀγώ σοι λέγω ὅτι εἰ οἱ ἄλλοι ἤθελον τοιοῦτοι εἶναι, ὀρθὴ ἂν ἡμῶν ἡ πόλις ἦν καὶ οὐκ ἂν ἔπεσε τότε τοιοῦτον πτῶμα. ὦ Σώκρατες, οὗτος μέντοι ὁ ἔπαινός ἐστιν καλός, ὃν σὺ νῦν ἐπαινῇ ὑπ᾽ ἀνδρῶν ἀξίων πιστεύεσθαι καὶ εἰς ταῦτα εἰς ἃ οὗτοι ἐπαινοῦσιν. εὖ οὖν ἴσθι ὅτι ἐγὼ ταῦτα ἀκούων χαίρω ὅτι εὐδοκιμεῖς, καὶ σὺ δὲ ἡγοῦ με ἐν τοῖς εὐνούστατόν
","πατρίς ὀρθέω : Δήλιος φυγή μετ᾽ συνανεχώρω , ἐκἀ ἐγώ λέγω ἐθέλω , ὀρθός πόλις πίπτω τότε πτῶμα . Σώκρατες , μέντοι ἔπαινος καλός , νῦν ἐπαινέω ὑπ᾽ ἀνήρ ἄξιος πιστεύω ἐπαινέω . εὖ οἶδα ἀκούω χαίρω εὐδοκιμέω , ἡγέομαι εὐνούστατόν 
"
14,.181c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dLach.%3Asection%3D181c,"σοι εἶναι. χρῆν μὲν οὖν καὶ πρότερόν γε φοιτᾶν αὐτὸν παρ᾽ ἡμᾶς καὶ οἰκείους ἡγεῖσθαι, ὥσπερ τὸ δίκαιον: νῦν δ᾽ οὖν ἀπὸ τῆσδε τῆς ἡμέρας, ἐπειδὴ ἀνεγνωρίσαμεν ἀλλήλους, μὴ ἄλλως ποίει, ἀλλὰ σύνισθί τε καὶ γνώριζε καὶ ἡμᾶς καὶ τούσδε τοὺς νεωτέρους, ὅπως ἂν διασῴζητε καὶ ὑμεῖς τὴν ἡμετέραν φιλίαν. ταῦτα μὲν οὖν καὶ σὺ ποιήσεις καὶ ἡμεῖς σε καὶ αὖθις ὑπομνήσομεν: περὶ δὲ ὧν ἠρξάμεθα τί φατε; τί δοκεῖ; τὸ μάθημα τοῖς μειρακίοις ἐπιτήδειον εἶναι ἢ οὔ, τὸ μαθεῖν ἐν ὅπλοις μάχεσθαι;
",". χρή πρότερος φοιτάω παρ᾽ οἰκεῖος ἡγέομαι , ὥσπερ δίκαιος : νῦν δέ ἡμέρα , ἐπεί ἀνεγνωρίσαμεν ἀλλήλων , ποιέω , σύνισθι γνώριζε νέος , ὅπως διασῴζω ἡμέτερος φιλία . ποιέω αὖθις ὑπομνίημι : ἠρξάμεθα φατε ; δοκέω ; μάθημα μειράκιον ἐπιτήδειος , μανθάνω ὅπλον μάχομαι ; 
"
15,.181d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dLach.%3Asection%3D181d," ἀλλὰ καὶ τούτων πέρι, ὦ Λυσίμαχε, ἔγωγε πειράσομαι συμβουλεύειν ἄν τι δύνωμαι, καὶ αὖ ἃ προκαλῇ πάντα ποιεῖν. δικαιότατον μέντοι μοι δοκεῖ εἶναι ἐμὲ νεώτερον ὄντα τῶνδε καὶ ἀπειρότερον τούτων ἀκούειν πρότερον τί λέγουσιν καὶ μανθάνειν παρ᾽ αὐτῶν: ἐὰν δ᾽ ἔχω τι ἄλλο παρὰ τὰ ὑπὸ τούτων λεγόμενα, τότ᾽ ἤδη διδάσκειν καὶ πείθειν καὶ σὲ καὶ τούτους. ἀλλ᾽, ὦ Νικία, τί οὐ λέγει πότερος ὑμῶν; ἀλλ᾽ οὐδὲν κωλύει, ὦ Σώκρατες. δοκεῖ γὰρ καὶ
","  , Λυσίμαχος , πειράομαι συμβουλεύω δύνομαι , αὖ προκαλῇ πᾶς ποιέω . δίκαιος μέντοι δοκέω νέος ἀπειρός ἀκούω πρότερος λέγω μανθάνω παρ᾽ : δέ ἔχω λέγω , τότ᾽ ἤδη διδάσκω πείθω . ἀλλ᾽ , Νικίης , λέγω πότερος ; ἀλλ᾽ κωλύω , Σώκρατες . δοκέω 
"
