,section,path,text,lemma_text
0,.132a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dLovers%3Asection%3D132a,"εἰς Διονυσίου τοῦ γραμματιστοῦ εἰσῆλθον, καὶ εἶδον αὐτόθι τῶν τε νέων τοὺς ἐπιεικεστάτους δοκοῦντας εἶναι τὴν ἰδέαν καὶ πατέρων εὐδοκίμων, καὶ τούτων ἐραστάς. ἐτυγχανέτην οὖν δύο τῶν μειρακίων ἐρίζοντε, περὶ ὅτου δέ, οὐ σφόδρα κατήκουον. ἐφαινέσθην μέντοι ἢ περὶ Ἀναξαγόρου
","διονύσιος γραμματιστής εἰσέρχομαι , εἶδον αὐτόθι νέος ἐπιεικής δοκέω ἰδέα πατήρ εὐδόκιμος , ἐραστής . ἐτυγχάνω δύο μειράκιον ἐρίζω , , σφόδρα κατακούω . ἐφαινέσθην μέντοι Ἀναξαγόρας 
"
1,.132b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dLovers%3Asection%3D132b,"ἢ περὶ Οἰνοπίδου ἐρίζειν: κύκλους γοῦν γράφειν ἐφαινέσθην καὶ ἐγκλίσεις τινὰς ἐμιμοῦντο τοῖν χεροῖν ἐπικλίνοντε καὶ μάλ᾽ ἐσπουδακότε. κἀγώ—καθήμην γὰρ παρὰ τὸν ἐραστὴν τοῦ ἑτέρου αὐτοῖν—κινήσας οὖν αὐτὸν τῷ ἀγκῶνι ἠρόμην ὅτι ποτὲ οὕτως ἐσπουδακότε τὼ μειρακίω εἴτην, καὶ εἶπον: ἦ που μέγα τι καὶ καλόν ἐστι περὶ ὃ τοσαύτην σπουδὴν πεποιημένω ἐστόν;ὁ δ᾽ εἶπε, ποῖον, ἔφη, μέγα καὶ καλόν; ἀδολεσχοῦσι μὲν οὖν οὗτοί γε περὶ τῶν μετεώρων καὶ φλυαροῦσι φιλοσοφοῦντες.
","Οἰνοπίδου ἐρίζω : κύκλος γοῦν γράφω ἐφαινέσθην ἐγκλίσεις μιμέομαι χείρ ἐπικλίνω μάλ᾽ ἐσπουδακότε . — καθήμην ἐραστής ἕτερος αὐτοῖν — κινέω ἀγκών ἠρόμην ποτε ἐσπουδακότε μειρακίω εἴτην , εἶπον : πού μέγας καλός τοσοῦτος σπουδή πεποιημένω ἐστόν;ὁ δέ εἶπον , ποῖος , φημί , μέγας καλός ; ἀδολεσχέω μετεώρον φλυαρέω φιλοσοφέω . 
"
2,.132c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dLovers%3Asection%3D132c,"καὶ ἐγὼ θαυμάσας αὐτοῦ τὴν ἀπόκρισιν εἶπον: ὦ νεανία, αἰσχρὸν δοκεῖ σοι εἶναι τὸ φιλοσοφεῖν; ἢ τί οὕτως χαλεπῶς λέγεις;καὶ ὁ ἕτερος—πλησίον γὰρ καθήμενος ἐτύγχανεν αὐτοῦ, ἀντεραστὴς ὤν—ἀκούσας ἐμοῦ τε ἐρομένου κἀκείνου ἀποκρινομένου, οὐ πρὸς σοῦ γε, ἔφη, ὦ Σώκρατες, ποιεῖς τὸ καὶ ἀνερέσθαι τοῦτον εἰ αἰσχρὸν ἡγεῖται φιλοσοφίαν εἶναι. ἢ οὐκ οἶσθα τοῦτον ὅτι τραχηλιζόμενος καὶ ἐμπιμπλάμενος καὶ καθεύδων πάντα τὸν βίον διατετέλεκεν; ὥστε σὺ τί αὐτὸν ᾤου ἀποκρινεῖσθαι ἀλλ᾽ ἢ ὅτι αἰσχρόν ἐστι φιλοσοφία;
","θαυμάζω ἀπόκρισις εἶπον : νεανία , αἰσχρός δοκέω φιλοσοφέω ; χαλεπός λέγεις;καὶ ἕτερος — πλησίον κάθημαι τυγχάνω , ἀντεραστὴς — ἀκούω ἐρομένου κἀκεῖνος ἀποκρινομένου , , φημί , Σώκρατες , ποιέω ἀνέρομαι αἰσχρός ἡγεῖται φιλοσοφία . οἶδα τραχηλίζω ἐμπιμπλάμενος καθεύδω πᾶς βίος διατετέλεκεν ; ᾤου ἀποκρινέομαι ἀλλ᾽ αἰσχρός φιλοσοφία ; 
"
3,.132d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dLovers%3Asection%3D132d,"ἦν δὲ οὗτος μὲν τοῖν ἐρασταῖν περὶ μουσικὴν διατετριφώς, ὁ δ᾽ ἕτερος, ὃν ἐλοιδόρει, περὶ γυμναστικήν. καί μοι ἔδοξε χρῆναι τὸν μὲν ἕτερον ἀφιέναι, τὸν ἐρωτώμενον, ὅτι οὐδ᾽ αὐτὸς προσεποιεῖτο περὶ λόγων ἔμπειρος εἶναι ἀλλὰ περὶ ἔργων, τὸν δὲ σοφώτερον προσποιούμενον εἶναι διερωτῆσαι, ἵνα καὶ εἴ τι δυναίμην παρ᾽ αὐτοῦ ὠφεληθείην. εἶπον οὖν ὅτι εἰς κοινὸν μὲν τὸ ἐρώτημα ἠρόμην: εἰ δὲ σὺ οἴει τοῦδε κάλλιον ἂν ἀποκρίνασθαι, σὲ ἐρωτῶ τὸ αὐτὸ ὅπερ καὶ τοῦτον, εἰ δοκεῖ σοι τὸ φιλοσοφεῖν καλὸν εἶναι ἢ οὔ.
","ἐρασταῖν μουσικὴ διατετριφώς , δέ ἕτερος , ἐλοιδόρει , γυμναστική . δοκέω χρή ἕτερος ἀφίημι , ἐρωτάω , οὐδέ προσποιέω λόγος ἔμπειρος ἔργον , σοφός προσποιέομαι διερωτέω , ἵνα δύναμαι παρ᾽ ὠφεληθείην . εἶπον κοινός ἐρώτημα ἠρόμην : οἴομαι καλός ἀποκρίνω , ἐρωτάω ὅσπερ , δοκέω φιλοσοφέω καλός . 
"
4,.133a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dLovers%3Asection%3D133a,"σχεδὸν οὖν ταῦτα λεγόντων ἡμῶν ἐπακούσαντε τὼ μειρακίω ἐσιγησάτην, καὶ αὐτὼ παυσαμένω τῆς ἔριδος ἡμῶν ἀκροαταὶ ἐγενέσθην. καὶ ὅτι μὲν οἱ ἐρασταὶ ἔπαθον οὐκ οἶδα, αὐτὸς δ᾽ οὖν ἐξεπλάγην: ἀεὶ γάρ ποτε ὑπὸ τῶν νέων τε καὶ καλῶν ἐκπλήττομαι. ἐδόκει μέντοι μοι καὶ ὁ ἕτερος οὐχ ἧττον ἐμοῦ ἀγωνιᾶν: οὐ μὴν ἀλλ᾽ ἀπεκρίνατό γέ μοι καὶ μάλα φιλοτίμως. ὁπότε γάρ τοι, ἔφη, ὦ Σώκρατες,
","σχεδόν λέγω ἐπακούω μειρακίω ἐσιγησάτην , παυσαμένω ἔρις ἀκροατής ἐγίγνομαι . ἐραστής πάσχω οἶδα , δέ ἐξεπλάγην : ἀεί ποτε νέος καλός ἐκπλήττω . δοκέω μέντοι ἕτερος ἥσσων ἀγωνιᾶ : μήν ἀλλ᾽ ἀπεκρίνατό μάλα φιλότιμος . ὁπότε , φημί , Σώκρατες , 
"
5,.133b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dLovers%3Asection%3D133b,"τὸ φιλοσοφεῖν αἰσχρὸν ἡγησαίμην εἶναι, οὐδ᾽ ἂν ἄνθρωπον νομίσαιμι ἐμαυτὸν εἶναι, οὐδ᾽ ἄλλον τὸν οὕτω διακείμενον, ἐνδεικνύμενος εἰς τὸν ἀντεραστήν, καὶ λέγων μεγάλῃ τῇ φωνῇ, ἵν᾽ αὐτοῦ κατακούοι τὰ παιδικά.καὶ ἐγὼ εἶπον, καλὸν ἄρα δοκεῖ σοι τὸ φιλοσοφεῖν;πάνυ μὲν οὖν, ἔφη.τί οὖν, ἐγὼ ἔφην: ἦ δοκεῖ σοι οἷόν τ᾽ εἶναι εἰδέναι πρᾶγμα ὁτιοῦν εἴτε καλὸν εἴτε αἰσχρόν ἐστιν, ὃ μὴ εἰδείη τις τὴν ἀρχὴν ὅτι ἔστιν;οὐκ ἔφη.
","φιλοσοφέω αἰσχρός ἡγέομαι , οὐδέ ἄνθρωπος νομίσαιμι ἐμαυτοῦ , οὐδέ διακείμενον , ἐνδεικένμαι ἀντεραστής , λέγω μέγας φωνή , ἵν᾽ κατακούω παιδικά.καί εἶπον , καλός δοκέω φιλοσοφεῖν;πάνυ , ἔφη.τί , φημί : δοκέω οἷος τ᾽ οἶδα πρᾶγμα ὁτιοῦν εἴτε καλός εἴτε αἰσχρός , οἶδα ἀρχή ἔστιν;οὐκ φημί . 
"
6,.133c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dLovers%3Asection%3D133c,"οἶσθ᾽ ἄρα, ἦν δ᾽ ἐγώ, ὅτι ἔστιν τὸ φιλοσοφεῖν;πάνυ γε, ἔφη.τί οὖν ἔστιν; ἔφην ἐγώ.τί δ᾽ ἄλλο γε ἢ κατὰ τὸ Σόλωνος; Σόλων γάρ που εἶπε—γηράσκω δ᾽ αἰεὶ πολλὰ διδασκόμενος:σολον φρ. 18καὶ ἐμοὶ δοκεῖ οὕτως ἀεὶ χρῆναι ἕν γέ τι μανθάνειν τὸν μέλλοντα φιλοσοφήσειν, καὶ νεώτερον ὄντα καὶ πρεσβύτερον, ἵν᾽ ὡς πλεῖστα ἐν τῷ βίῳ μάθῃ. καί μοι τὸ μὲν πρῶτον ἔδοξε τὶ εἰπεῖν, ἔπειτά πως ἐννοήσας ἠρόμην αὐτὸν εἰ τὴν φιλοσοφίαν πολυμαθίαν ἡγοῖτο.
","οἶσθ᾽ , δέ , φιλοσοφεῖν;πάνυ , ἔφη.τί ; φημί ἐγώ.τί δέ σόλων ; σόλων πού εἶπον — γηράσκω δέ ἀεί πολύς διδάσκω : σολος φρ . 18καὶ δοκέω ἀεί χρή εἷς μανθάνω μέλλω φιλοσοφέω , νέος πρέσβυς , ἵν᾽ πλεῖστος βίος μεάθω . πρῶτος δοκέω τὶς εἶπον , ἔπειτα οὔπως ἐννοέω ἠρόμην φιλοσοφία πολυμαθία ἡγέομαι . 
"
7,.133d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dLovers%3Asection%3D133d,"κἀκεῖνος, πάνυ, ἔφη.ἡγῇ δὲ δὴ καλὸν εἶναι μόνον τὴν φιλοσοφίαν ἢ καὶ ἀγαθόν; ἦν δ᾽ ἐγώ.καὶ ἀγαθόν, ἔφη, πάνυ.πότερον οὖν ἐν φιλοσοφίᾳ τι τοῦτο ἴδιον ἐνορᾷς, ἢ καὶ ἐν τοῖς ἄλλοις οὕτω σοι δοκεῖ ἔχειν; οἷον φιλογυμναστίαν οὐ μόνον ἡγῇ καλὸν εἶναι, ἀλλὰ καὶ ἀγαθόν; ἢ οὔ;ὁ δὲ καὶ μάλα εἰρωνικῶς εἶπε δύο: πρὸς μὲν τόνδε μοι εἰρήσθω ὅτι οὐδέτερα: πρὸς μέντοι σέ, ὦ Σώκρατες,
","ἐκεῖνος , πάνυ , ἔφη.ἡγῇμι καλός μόνος φιλοσοφία ἀγαθός ; δέ ἐγώ.καὶ ἀγαθός , φημί , πάνυ.πότερον φιλοσοφία ἴδιος ἐνοράω , δοκέω ἔχω ; οἷος φιλογυμναστία μόνος ἡγῇμι καλός , ἀγαθός ; οὔ;ὁ μάλα εἰρωνικός εἶπον δύο : εἰρέω οὐδέτερος : μέντοι , Σώκρατες , 
"
8,.133e,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dLovers%3Asection%3D133e,"ὁμολογῶ καὶ καλὸν εἶναι καὶ ἀγαθόν: ἡγοῦμαι γὰρ ὀρθῶς.ἠρώτησα οὖν ἐγώ, ἆρ᾽ οὖν καὶ ἐν τοῖς γυμνασίοις τὴν πολυπονίαν φιλογυμναστίαν ἡγῇ εἶναι;κἀκεῖνος ἔφη, πάνυ γε, ὥσπερ γε καὶ ἐν τῷ φιλοσοφεῖν τὴν πολυμαθίαν φιλοσοφίαν ἡγοῦμαι εἶναι.κἀγὼ εἶπον, ἡγῇ δὲ δὴ τοὺς φιλογυμναστοῦντας ἄλλου του ἐπιθυμεῖν ἢ τούτου, ὅτι ποιήσει αὐτοὺς εὖ ἔχειν τὸ σῶμα;τούτου, ἔφη.ἦ οὖν οἱ πολλοὶ πόνοι τὸ σῶμα, ἦν δ᾽ ἐγώ, ποιοῦσιν εὖ ἔχειν;
","ὁμολογέω καλός ἀγαθός : ἡγέομαι ὀρθῶς.ἠρώτησα , ἆρ᾽ γυμνάσιον πολυπονία φιλογυμναστία ἡγῇ εἶναι;κἀκεῖνος φημί , πάνυ , ὥσπερ φιλοσοφέω πολυμαθία φιλοσοφία ἡγέομαι εἶναι.κἀγὼ εἶπον , ἡγῇ φιλογυμναστόω ἐπιθυμέω , ποιέω εὖ ἔχω σῶμα;τούτου , ἔφη.ἦ πολύς πόνος σῶμα , δέ , ποιέω εὖ ἔχω ; 
"
9,.134a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dLovers%3Asection%3D134a,"πῶς γὰρ ἄν, ἔφη, ἀπό γε ὀλίγων πόνων τὸ σῶμά τις εὖ ἔχοι;καί μοι ἔδοξεν ἤδη ἐνταῦθα κινητέος εἶναι ὁ φιλογυμναστής, ἵνα μοι βοηθήσῃ διὰ τὴν ἐμπειρίαν τῆς γυμναστικῆς: κἄπειτα ἠρόμην αὐτόν, σὺ δὲ δὴ τί σιγᾷς ἡμῖν, ὦ λῷστε, τούτου ταῦτα λέγοντος; ἢ καὶ σοὶ δοκοῦσιν οἱ ἄνθρωποι εὖ τὰ σώματα ἔχειν ἀπὸ τῶν πολλῶν πόνων, ἢ ἀπὸ τῶν μετρίων;ἐγὼ μέν, ὦ Σώκρατες, ἔφη, ᾤμην τὸ λεγόμενον δὴ τοῦτο κἂν ὗν γνῶναι ὅτι οἱ μέτριοι πόνοι εὖ ποιοῦσιν ἔχειν τὰ
","πῶς , φημί , ὀλίγος πόνος σῶμα εὖ ἔχοι;καί δοκέω ἤδη ἐνταῦθα κινητές φιλογυμναστής , ἵνα βοηθέω ἐμπειρία γυμναστικῆ : κἄπειτα ἠρόμην , σιγάω , λῷστε , λέγω ; δοκέω ἄνθρωπος εὖ σῶμα ἔχω πολύς πόνος , μετρίων;ἐγὼ , Σώκρατες , φημί , οἴομαι λέγω ὗς γιγνώσκω μέτριος πόνος εὖ ποιέω ἔχω 
"
