,section,path,text,lemma_text
0,.70a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dMeno%3Asection%3D70a,"ἔχεις μοι εἰπεῖν, ὦ Σώκρατες, ἆρα διδακτὸν ἡ ἀρετή; ἢ οὐ διδακτὸν ἀλλ᾽ ἀσκητόν; ἢ οὔτε ἀσκητὸν οὔτε μαθητόν, ἀλλὰ φύσει παραγίγνεται τοῖς ἀνθρώποις ἢ ἄλλῳ τινὶ τρόπῳ; ὦ Μένων, πρὸ τοῦ μὲν Θετταλοὶ εὐδόκιμοι ἦσαν ἐν τοῖς Ἕλλησιν καὶ ἐθαυμάζοντο ἐφ᾽ ἱππικῇ τε καὶ πλούτῳ,
","ἔχω εἶπον , Σώκρατες , ἆρα διδακτός ἀρετή ; διδακτός ἀλλ᾽ ἀσκητός ; ἀσκητὸς μαθητος , φύσις παραγίγνομαι ἄνθρωπος τρόπος ; μένω , πρό θεσσαλός εὐδόκιμος ἕλλην θαυμάζω ἐφ᾽ ἱππικός πλοῦτος , 
"
1,.70b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dMeno%3Asection%3D70b,"νῦν δέ, ὡς ἐμοὶ δοκεῖ, καὶ ἐπὶ σοφίᾳ, καὶ οὐχ ἥκιστα οἱ τοῦ σοῦ ἑταίρου Ἀριστίππου πολῖται Λαρισαῖοι. τούτου δὲ ὑμῖν αἴτιός ἐστι Γοργίας: ἀφικόμενος γὰρ εἰς τὴν πόλιν ἐραστὰς ἐπὶ σοφίᾳ εἴληφεν Ἀλευαδῶν τε τοὺς πρώτους, ὧν ὁ σὸς ἐραστής ἐστιν Ἀρίστιππος, καὶ τῶν ἄλλων Θετταλῶν. καὶ δὴ καὶ τοῦτο τὸ ἔθος ὑμᾶς εἴθικεν, ἀφόβως τε καὶ μεγαλοπρεπῶς ἀποκρίνεσθαι ἐάν τίς τι ἔρηται, ὥσπερ εἰκὸς τοὺς
","νῦν , δοκέω , σοφία , ἥκιστος ἑταῖρος Ἀριστίππας πολίτης Λαρισαῖος . αἴτιος Γοργίας : ἀφικνέομαι πόλις ἐραστής σοφία λαμβάνω Ἀλευαδῶν πρῶτος , ἐραστής Ἀρίστιππος , θεσσαλός . ἔθος εἴθικα , ἀφόβως μεγαλοπρεπός ἀποκρίνω ἔρομαι , ὥσπερ ἔοικα 
"
2,.70c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dMeno%3Asection%3D70c,"εἰδότας, ἅτε καὶ αὐτὸς παρέχων αὑτὸν ἐρωτᾶν τῶν Ἑλλήνων τῷ βουλομένῳ ὅτι ἄν τις βούληται, καὶ οὐδενὶ ὅτῳ οὐκ ἀποκρινόμενος. ἐνθάδε δέ, ὦ φίλε Μένων, τὸ ἐναντίον περιέστηκεν: ὥσπερ αὐχμός τις τῆς σοφίας γέγονεν, καὶ κινδυνεύει
","οἶδα , ἅτε παρέχω ἐρωτάω ἕλλην βούλομαι βούλομαι , ἀποκρινόμενος . ἐνθάδε , φίλος μένω , ἐναντίον περιίστημι : ὥσπερ αὐχμός σοφία γίγνομαι , κινδυνεύω 
"
3,.71a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dMeno%3Asection%3D71a,"ἐκ τῶνδε τῶν τόπων παρ᾽ ὑμᾶς οἴχεσθαι ἡ σοφία. εἰ γοῦν τινα ἐθέλεις οὕτως ἐρέσθαι τῶν ἐνθάδε, οὐδεὶς ὅστις οὐ γελάσεται καὶ ἐρεῖ: ὦ ξένε, κινδυνεύω σοι δοκεῖν μακάριός τις εἶναι—ἀρετὴν γοῦν εἴτε διδακτὸν εἴθ᾽ ὅτῳ τρόπῳ παραγίγνεται εἰδέναι—ἐγὼ δὲ τοσοῦτον δέω εἴτε διδακτὸν εἴτε μὴ διδακτὸν εἰδέναι, ὥστ᾽ οὐδὲ αὐτὸ ὅτι ποτ᾽ ἐστὶ τὸ παράπαν ἀρετὴ τυγχάνω εἰδώς.
","τόπος παρ᾽ οἴχομαι σοφία . γοῦν ἐθέλω ἐρέσθαι ἐνθάδε , γελάσεται λέγω : ξένος , κινδυνεύω δοκέω μακάριος — ἀρετή γοῦν εἴτε διδακτός εἴθ᾽ τρόπος παραγίγνομαι οἶδα — τοσοῦτος δέω εἴτε διδακτός εἴτε διδακτὸς οἶδα , ὥστ᾽ ποτ᾽τε παράπαν ἀρετή τυγχάνω οἶδα . 
"
4,.71b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dMeno%3Asection%3D71b,"ἐγὼ οὖν καὶ αὐτός, ὦ Μένων, οὕτως ἔχω: συμπένομαι τοῖς πολίταις τούτου τοῦ πράγματος, καὶ ἐμαυτὸν καταμέμφομαι ὡς οὐκ εἰδὼς περὶ ἀρετῆς τὸ παράπαν: ὃ δὲ μὴ οἶδα τί ἐστιν, πῶς ἂν ὁποῖόν γέ τι εἰδείην; ἢ δοκεῖ σοι οἷόν τε εἶναι, ὅστις Μένωνα μὴ γιγνώσκει τὸ παράπαν ὅστις ἐστίν, τοῦτον εἰδέναι εἴτε καλὸς εἴτε πλούσιος εἴτε καὶ γενναῖός ἐστιν, εἴτε καὶ τἀναντία τούτων; δοκεῖ σοι οἷόν τ᾽ εἶναι; οὐκ ἔμοιγε. ἀλλὰ σύ, ὦ Σώκρατες, ἀληθῶς
",", μένω , ἔχω : συμπένω πολίτης πρᾶγμα , ἐμαυτοῦ καταμέμφω οἶδα ἀρετή παράπαν : οἶδα , πῶς ὁποῖος ἰδείημι ; δοκέω οἷος , μένων γιγνώσκω παράπαν , οἶδα εἴτε καλός εἴτε πλούσιος εἴτε γενναῖος , εἴτε ἐναντίος ; δοκέω οἷος τ᾽ ; . , Σώκρατες , ἀληθῶς 
"
5,.71c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dMeno%3Asection%3D71c,"οὐδ᾽ ὅτι ἀρετή ἐστιν οἶσθα, ἀλλὰ ταῦτα περὶ σοῦ καὶ οἴκαδε ἀπαγγέλλωμεν; μὴ μόνον γε, ὦ ἑταῖρε, ἀλλὰ καὶ ὅτι οὐδ᾽ ἄλλῳ πω ἐνέτυχον εἰδότι, ὡς ἐμοὶ δοκῶ. τί δέ; Γοργίᾳ οὐκ ἐνέτυχες ὅτε ἐνθάδε ἦν; ἔγωγε. εἶτα οὐκ ἐδόκει σοι εἰδέναι; οὐ πάνυ εἰμὶ μνήμων, ὦ Μένων, ὥστε οὐκ ἔχω εἰπεῖν ἐν τῷ παρόντι πῶς μοι τότε ἔδοξεν. ἀλλ᾽ ἴσως ἐκεῖνός τε οἶδε, καὶ σὺ ἃ ἐκεῖνος ἔλεγε: ἀνάμνησον οὖν
","οὐδέ ἀρετή οἶδα , οἴκαδε ἀπαγγέλλω ; μόνος , ἑταῖρος , οὐδέ πω ἐνιτυγχάνω οἶδα , δοκέω . ; Γοργίᾳς ἐνέτυχες ὅτε ἐνθάδε ; . εἶτα δοκέω οἶδα ; πάνυ μνήμων , μένω , ἔχω εἶπον πάρειμι πῶς τότε δοκέω . ἀλλ᾽ ἴσως ἐκεῖνος οἶδα , ἐκεῖνος λέγω : ἀνάμνησον 
"
6,.71d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dMeno%3Asection%3D71d,"με πῶς ἔλεγεν. εἰ δὲ βούλει, αὐτὸς εἰπέ: δοκεῖ γὰρ δήπου σοὶ ἅπερ ἐκείνῳ. ἔμοιγε. ἐκεῖνον μὲν τοίνυν ἐῶμεν, ἐπειδὴ καὶ ἄπεστιν: σὺ δὲ αὐτός, ὦ πρὸς θεῶν, Μένων, τί φῂς ἀρετὴν εἶναι; εἶπον καὶ μὴ φθονήσῃς, ἵνα εὐτυχέστατον ψεῦσμα ἐψευσμένος ὦ, ἂν φανῇς σὺ μὲν εἰδὼς καὶ Γοργίας, ἐγὼ δὲ εἰρηκὼς μηδενὶ πώποτε εἰδότι ἐντετυχηκέναι.
","πῶς λέγω . βούλομαι , εἶπον : δοκέω δήπου ἐκεῖνος . . ἐκεῖνος τοίνυν ἐάω , ἐπεί ἄπειμι : , θεός , μένω , φημί ἀρετή ; εἶπον φθονέω , ἵνα εὐτυχής ψεῦσμα ἐψευσμένος , φαίνω οἶδα Γοργία , εἰρηκὼς μηδείς πώποτε οἶδα ἐντετυχηκέναι . 
"
7,.71e,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dMeno%3Asection%3D71e," ἀλλ᾽ οὐ χαλεπόν, ὦ Σώκρατες, εἰπεῖν. πρῶτον μέν, εἰ βούλει ἀνδρὸς ἀρετήν, ῥᾴδιον, ὅτι αὕτη ἐστὶν ἀνδρὸς ἀρετή, ἱκανὸν εἶναι τὰ τῆς πόλεως πράττειν, καὶ πράττοντα τοὺς μὲν φίλους εὖ ποιεῖν, τοὺς δ᾽ ἐχθροὺς κακῶς, καὶ αὐτὸν εὐλαβεῖσθαι μηδὲν τοιοῦτον παθεῖν. εἰ δὲ βούλει γυναικὸς ἀρετήν, οὐ χαλεπὸν διελθεῖν, ὅτι δεῖ αὐτὴν τὴν οἰκίαν εὖ οἰκεῖν, σῴζουσάν τε τὰ ἔνδον καὶ κατήκοον οὖσαν τοῦ ἀνδρός. καὶ ἄλλη ἐστὶν παιδὸς ἀρετή, καὶ θηλείας καὶ ἄρρενος, καὶ πρεσβυτέρου ἀνδρός, εἰ μὲν βούλει, ἐλευθέρου, εἰ δὲ βούλει,
","  ἀλλ᾽ χαλεπός , Σώκρατες , εἶπον . πρῶτος , βούλομαι ἀνήρ ἀρετή , ῥᾴδιος , ἀνήρ ἀρετή , ἱκανός πόλις πράσσω , πράττω φίλος εὖ ποιέω , δέ ἐχθρός κακός , εὐλαβέομαι μηδείς πάσχω . βούλομαι γυνή ἀρετή , χαλεπός διέρχομαι , δεῖ οἰκία εὖ οἰκέω , σῴζουσάν ἔνδον κατήκοος ἀνήρ . παῖς ἀρετή , θῆλυς ἄρρενος , πρέσβυς ἀνήρ , βούλομαι , ἐλεύθερος , βούλομαι , 
"
8,.72a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dMeno%3Asection%3D72a,"δούλου. καὶ ἄλλαι πάμπολλαι ἀρεταί εἰσιν, ὥστε οὐκ ἀπορία εἰπεῖν ἀρετῆς πέρι ὅτι ἐστίν: καθ᾽ ἑκάστην γὰρ τῶν πράξεων καὶ τῶν ἡλικιῶν πρὸς ἕκαστον ἔργον ἑκάστῳ ἡμῶν ἡ ἀρετή ἐστιν, ὡσαύτως δὲ οἶμαι, ὦ Σώκρατες, καὶ ἡ κακία. πολλῇ γέ τινι εὐτυχίᾳ ἔοικα κεχρῆσθαι, ὦ Μένων, εἰ μίαν ζητῶν ἀρετὴν σμῆνός τι ἀνηύρηκα ἀρετῶν παρὰ σοὶ κείμενον. ἀτάρ, ὦ Μένων, κατὰ ταύτην τὴν εἰκόνα τὴν
","δοῦλος . πάμπολλος ἀρετή , ἀπορία εἶπον ἀρετή : καθ᾽ ἕκαστος πρᾶξις ἡλικιή ἕκαστος ἔργον ἕκαστος ἀρετή , ὡσαύτως οἱόμαι , Σώκρατες , κακία . πολύς εὐτυχία ἔοικα κεχράω , μένω , εἷς ζητέω ἀρετή σμῆνός ἀνηύρηκα ἀρετή κεῖμαι . ἀτάρ , μένω , εἰκών 
"
9,.72b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dMeno%3Asection%3D72b,"περὶ τὰ σμήνη, εἴ μου ἐρομένου μελίττης περὶ οὐσίας ὅτι ποτ᾽ ἐστίν, πολλὰς καὶ παντοδαπὰς ἔλεγες αὐτὰς εἶναι, τί ἂν ἀπεκρίνω μοι, εἴ σε ἠρόμην: ἆρα τούτῳ φῂς πολλὰς καὶ παντοδαπὰς εἶναι καὶ διαφερούσας ἀλλήλων, τῷ μελίττας εἶναι; ἢ τούτῳ μὲν οὐδὲν διαφέρουσιν, ἄλλῳ δέ τῳ, οἷον ἢ κάλλει ἢ μεγέθει ἢ ἄλλῳ τῳ τῶν τοιούτων; εἰπέ, τί ἂν ἀπεκρίνω οὕτως ἐρωτηθείς; τοῦτ᾽ ἔγωγε, ὅτι οὐδὲν διαφέρουσιν, ᾗ μέλιτται εἰσίν, ἡ ἑτέρα τῆς ἑτέρας.
","σμήνος , ἐρομένου μελίττη οὐσία ποτ᾽ , πολύς παντοδαπός λέγω , ἀπεκρίνω , ἠρόμην : ἆρα φημί πολύς παντοδαπός διαφερούσας ἀλλήλων , μελίτται ; διαφέρω , , οἷος κάλλος μέγεθος ; εἶπον , ἀπεκρίνω ἐρωτάω ; τοῦτ᾽ , διαφέρω , μέλιττης , ἕτερος ἕτερος . 
"
