,section,path,text,lemma_text
0,.313a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dMinos%3Asection%3D313a,"ὁ νόμος ἡμῖν τί ἐστιν; ὁποῖον καὶ ἐρωτᾷς τῶν νόμων; τί δ᾽; ἔστιν ὅτι διαφέρει νόμος νόμου κατ᾽ αὐτὸ τοῦτο, κατὰ τὸ νόμος εἶναι; σκόπει γὰρ δὴ ὃ τυγχάνω ἐρωτῶν σε. ἐρωτῶ γάρ, ὥσπερ εἰ ἀνηρόμην τί ἐστιν χρυσός, εἴ με ὡσαύτως ἀνήρου ὁποῖον καὶ λέγω χρυσόν, οἴομαί σε οὐκ ἂν ὀρθῶς ἐρέσθαι. οὐδὲν γάρ που διαφέρει οὔτε χρυσὸς
","νόμος ; ὁποῖος ἐρωτάω νόμος ; δέ ; διαφέρω νόμος νόμος κατ᾽ , νόμος ; σκοπέω τυγχάνω ἐρωτάω . ἐρωτάω , ὥσπερ ἀνηρνέομαι χρυσός , ὡσαύτως ἀνάρομαι ὁποῖος λέγω χρυσός , οἴομαι ὀρθός ἐράνομαι . πού διαφέρω χρυσός 
"
1,.313b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dMinos%3Asection%3D313b,"χρυσοῦ οὔτε λίθος λίθου κατά γε τὸ λίθος εἶναι καὶ κατὰ τὸ χρυσός: οὕτω δὲ οὐδὲ νόμος που νόμου οὐδὲν διαφέρει, ἀλλὰ πάντες εἰσὶν ταὐτόν. νόμος γὰρ ἕκαστος αὐτῶν ἐστιν ὁμοίως, οὐχ ὁ μὲν μᾶλλον, ὁ δ᾽ ἧττον: τοῦτο δὴ αὐτὸ ἐρωτῶ, τὸ πᾶν τί ἐστιν νόμος. εἰ οὖν σοι πρόχειρον, εἰπέ. τί οὖν ἄλλο νόμος εἴη ἄν, ὦ Σώκρατες, ἀλλ᾽ ἢ τὰ νομιζόμενα; ἦ καὶ λόγος σοι δοκεῖ εἶναι τὰ λεγόμενα, ἢ ὄψις τὰ ὁρώμενα, ἢ ἀκοὴ τὰ ἀκουόμενα; ἢ ἄλλο μὲν λόγος, ἄλλο
","χρυσός λίθος λίθος λίθος χρυσός : νόμος πού νόμος διαφέρω , πᾶς ταὐτός . νόμος ἕκαστος ὁμοίως , μᾶλλον , δέ ἥσσων : ἐρωτάω , πᾶς νόμος . πρόχειρος , εἶπον . νόμος , Σώκρατες , ἀλλ᾽ νομίζω ; λόγος δοκέω λέγω , ὄψις ὁρώμενα , ἀκοή ἀκούω ; λόγος , 
"
2,.313c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dMinos%3Asection%3D313c,"δὲ τὰ λεγόμενα: καὶ ἄλλο μὲν ὄψις, ἄλλο δὲ τὰ ὁρώμενα: καὶ ἄλλο μὲν ἀκοή, ἄλλο δὲ τὰ ἀκουόμενα, καὶ ἄλλο δὴ νόμος, ἄλλο δὲ τὰ νομιζόμενα; οὕτως ἢ πῶς σοι δοκεῖ; ἄλλο μοι νῦν ἐφάνη. οὐκ ἄρα νόμος ἐστὶν τὰ νομιζόμενα. οὔ μοι δοκεῖ. τί δῆτ᾽ ἂν εἴη νόμος; ἐπισκεψώμεθ᾽ αὐτὸ ὧδε. εἴ τις ἡμᾶς τὰ νυνδὴ λεγόμενα ἀνήρετο, ἐπειδὴ ὄψει φατὲ
","λέγω : ὄψις , ὁρώμενα : ἀκοή , ἀκούω , νόμος , νομίζω ; πῶς δοκέω ; νῦν φαίνω . νόμος νομίζω . δοκέω . δῆτ᾽ νόμος ; ἐπισκεψώμεθ᾽ ὧδε . νυνδὴ λέγω ἀνήρετο , ἐπεί ὁράω φατὲ 
"
3,.314a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dMinos%3Asection%3D314a,"τὰ ὁρώμενα ὁρᾶσθαι, τίνι ὄντι τῇ ὄψει ὁρᾶται; ἀπεκρινάμεθ᾽ ἂν αὐτῷ ὅτι αἰσθήσει ταύτῃ τῇ διὰ τῶν ὀφθαλμῶν δηλούσῃ τὰ πράγματα: εἰ δ᾽ αὖ ἤρετο ἡμᾶς, τί δέ; ἐπειδὴ ἀκοῇ τὰ ἀκουόμενα ἀκούεται, τίνι ὄντι τῇ ἀκοῇ; ἀπεκρινάμεθ᾽ ἂν αὐτῷ ὅτι αἰσθήσει ταύτῃ τῇ διὰ τῶν ὤτων δηλούσῃ ἡμῖν τὰς φωνάς. οὕτω τοίνυν καὶ εἰ ἀνέροιτο ἡμᾶς, ἐπειδὴ νόμῳ τὰ νομιζόμενα νομίζεται, τίνι ὄντι τῷ νόμῳ νομίζεται;
","ὁρώμενα ὁράω , ὄψος ὁράω ; ἀπεκρινάμεθ᾽ αἴσθησις ὀφθαλμός δηλούσῃ πρᾶγμα : δέ αὖ ἔρω , ; ἐπεί ἀκοή ἀκούω ἀκούω , ἀκοή ; ἀπεκρινάμεθ᾽ αἴσθησις οὖς δηλούσῃ φωνή . τοίνυν ἀνέρω , ἐπεί νόμος νομίζω νομίζω , νόμος νομίζω ; 
"
4,.314b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dMinos%3Asection%3D314b,"πότερον αἰσθήσει τινὶ ἢ δηλώσει, ὥσπερ τὰ μανθανόμενα μανθάνεται δηλούσῃ τῇ ἐπιστήμῃ, ἢ εὑρέσει τινί, ὥσπερ τὰ εὑρισκόμενα εὑρίσκεται, οἷον τὰ μὲν ὑγιεινὰ καὶ νοσώδη ἰατρικῇ, ἃ δὲ οἱ θεοὶ διανοοῦνται, ὥς φασιν οἱ μάντεις, μαντικῇ; ἡ γάρ που τέχνη ἡμῖν εὕρεσίς ἐστιν τῶν πραγμάτων: ἦ γάρ; πάνυ γε. τί οὖν ἂν τούτων ὑπολάβοιμεν μάλιστα τὸν νόμον εἶναι; τὰ δόγματα ταῦτα καὶ ψηφίσματα, ἔμοιγε δοκεῖ. τί γὰρ ἂν ἄλλο τις φαίη νόμον εἶναι; ὥστε κινδυνεύει, ὃ
","πότερος αἴσθησις δηλόω , ὥσπερ μανθάνω μανθάνω δηλούσῃ ἐπιστήμη , εὑρέσει , ὥσπερ εὑρισκόμενα εὑρίσκω , οἷος ὑγιεινός νοσώδης ἰατρικῇ , θεός διανοοῦμαι , φημί μάντεις , μαντικός ; πού τέχνη εὕρεσίς πρᾶγμα : ; πάνυ . ὑπολάβω μάλιστα νόμος ; δόγμα ψηφίσμα , δοκέω . φημί νόμος ; κινδυνεύω , 
"
5,.314c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dMinos%3Asection%3D314c,"σὺ ἐρωτᾷς, τὸ ὅλον τοῦτο, νόμος, δόγμα πόλεως εἶναι. δόξαν, ὡς ἔοικε, λέγεις πολιτικὴν τὸν νόμον. ἔγωγε. καὶ ἴσως καλῶς λέγεις: τάχα δὲ ὧδε ἄμεινον εἰσόμεθα. λέγεις τινὰς σοφούς; ἔγωγε. οὐκοῦν οἱ σοφοί εἰσιν σοφίᾳ σοφοί; ναί. τί δέ; οἱ δίκαιοι δικαιοσύνῃ δίκαιοι; πάνυ γε. οὐκοῦν καὶ οἱ νόμιμοι νόμῳ νόμιμοι; ναί. οἱ δὲ
","ἐρωτάω , ὅλος , νόμος , δόγμα πόλις . δόξα , ἔοικα , λέγω πολιτικός νόμος . . ἴσως καλός λέγω : τάχα ὧδε ἀγαθός εἰσόμεθα . λέγω σοφός ; . οὐκοῦν σοφός σοφία σοφός ; ναί . ; δίκαιος δικαιοσύνη δίκαιος ; πάνυ . οὐκοῦν νόμιμος νόμος νόμιμος ; ναί . 
"
6,.314d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dMinos%3Asection%3D314d,"ἄνομοι ἀνομίᾳ ἄνομοι; ναί. οἱ δὲ νόμιμοι δίκαιοι; ναί. οἱ δὲ ἄνομοι ἄδικοι; ἄδικοι. οὐκοῦν κάλλιστον ἡ δικαιοσύνη τε καὶ ὁ νόμος; οὕτως. αἴσχιστον δὲ ἡ ἀδικία τε καὶ ἡ ἀνομία; ναί. καὶ τὸ μὲν σῴζει τὰς πόλεις καὶ τἆλλα πάντα, τὸ δὲ ἀπόλλυσι καὶ ἀνατρέπει; ναί. ὡς περὶ καλοῦ ἄρα τινὸς ὄντος δεῖ τοῦ νόμου διανοεῖσθαι, καὶ ὡς ἀγαθὸν αὐτὸ ζητεῖν. πῶς δ᾽ οὔ; οὐκοῦν δόγμα ἔφαμεν εἶναι πόλεως τὸν νόμον;
","ἄνομος ἀνομία ἄνομος ; ναί . νόμιμος δίκαιος ; ναί . ἄνομος ἄδικος ; ἄδικος . οὐκοῦν καλός δικαιοσύνη νόμος ; . αἰσχρός ἀδικία ἀνομία ; ναί . σώζω πόλις τἆ λλος πᾶς , ἀπόλλυσι ἀνατρέπω ; ναί . καλός δεῖ νόμος διανοέω , ἀγαθός ζητέω . πῶς δέ ; οὐκοῦν δόγμα φάμω πόλις νόμος ; 
"
7,.314e,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dMinos%3Asection%3D314e," ἔφαμεν γάρ. τί οὖν; οὐκ ἔστιν τὰ μὲν χρηστὰ δόγματα, τὰ δὲ πονηρά; ἔστιν μὲν οὖν. καὶ μὴν νόμος γε οὐκ ἦν πονηρός. οὐ γάρ. οὐκ ἄρα ὀρθῶς ἔχει ἀποκρίνεσθαι οὕτως ἁπλῶς ὅτι νόμος ἐστὶ δόγμα πόλεως. οὐκ ἔμοιγε δοκεῖ. οὐκ ἄρα ἁρμόττοι ἂν τὸ πονηρὸν δόγμα νόμος εἶναι. οὐ δῆτα. ἀλλὰ μὴν δόξα γέ τις καὶ αὐτῷ μοι καταφαίνεται ὁ νόμος εἶναι: ἐπειδὴ δὲ οὐχ ἡ πονηρὰ δόξα, ἆρα οὐκ ἤδη τοῦτο κατάδηλον, ὡς ἡ χρηστή, εἴπερ δόξα νόμος ἐστί; ναί. δόξα δὲ χρηστὴ τίς ἐστιν; οὐχ ἡ ἀληθής;
","  ἔφαμεν . ; χρηστός δόγμα , πονηρός ; . μήν νόμος πονηρός . . ὀρθός ἔχω ἀποκρίνω ἁπλῶς νόμος δόγμα πόλις . δοκέω . ἁρμόττω πονηρός δόγμα νόμος . δῆτα . μήν δόξα καταφαίνω νόμος : ἐπεί πονηρός δόξα , ἆρα ἤδη κατάδηλος , χρηστός , εἴπερ δόξα νόμος ; ναί . δόξα χρηστός ; ἀληθής ; 
"
8,.315a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dMinos%3Asection%3D315a," ναί. οὐκοῦν ἡ ἀληθὴς δόξα τοῦ ὄντος ἐστὶν ἐξεύρεσις; ἔστιν γάρ. ὁ νόμος ἄρα βούλεται τοῦ ὄντος εἶναι ἐξεύρεσις. πῶς οὖν, ὦ Σώκρατες, εἰ ὁ νόμος ἐστὶν τοῦ ὄντος ἐξεύρεσις, οὐκ ἀεὶ τοῖς αὐτοῖς νόμοις χρώμεθα περὶ τῶν αὐτῶν, εἰ τὰ ὄντα γε ἡμῖν ἐξηύρηται; βούλεται μὲν οὐδὲν ἧττον ὁ νόμος εἶναι τοῦ ὄντος ἐξεύρεσις: οἱ δ᾽ ἄρα μὴ τοῖς αὐτοῖς ἀεὶ νόμοις χρώμενοι
","  ναί . οὐκοῦν ἀληθής δόξα ἐξεύρεσις ; . νόμος βούλομαι ἐξεύρεσις . πῶς , Σώκρατες , νόμος ἐξεύρεσις , ἀεί νόμος χράω , ἐξηυρίσκω ; βούλομαι ἥσσων νόμος ἐξεύρεσις : δέ ἀεί νόμος χράω 
"
9,.315b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dMinos%3Asection%3D315b,"ἄνθρωποι, ὡς δοκοῦμεν, οὐκ ἀεὶ δύνανται ἐξευρίσκειν ὃ βούλεται ὁ νόμος, τὸ ὄν. ἐπεὶ φέρε ἴδωμεν ἐὰν ἄρα ἡμῖν ἐνθένδε κατάδηλον γένηται εἴτε τοῖς αὐτοῖς ἀεὶ νόμοις χρώμεθα ἢ ἄλλοτε ἄλλοις, καὶ εἰ ἅπαντες τοῖς αὐτοῖς ἢ ἄλλοι ἄλλοις. ἀλλὰ τοῦτό γε, ὦ Σώκρατες, οὐ χαλεπὸν γνῶναι, ὅτι οὔτε οἱ αὐτοὶ ἀεὶ τοῖς αὐτοῖς νόμοις χρῶνται ἄλλοι τε ἄλλοις. ἐπεὶ αὐτίκα ἡμῖν μὲν οὐ νόμος ἐστὶν ἀνθρώπους θύειν ἀλλ᾽ ἀνόσιον, Καρχηδόνιοι δὲ θύουσιν ὡς ὅσιον ὂν
","ἄνθρωπος , δοκέω , ἀεί δύναμαι ἐξευρίσκω βούλομαι νόμος , ὄς . ἐπεί φέρω ὁράω ἐνθένδε κατάδηλος γίγνομαι εἴτε ἀεί νόμος χράω ἄλλοτε , ἅπας . , Σώκρατες , χαλεπός γιγνώσκω , ἀεί νόμος χρῶμαι . ἐπεί αὐτίκα νόμος ἄνθρωπος θύω ἀλλ᾽ ἀνόσιος , καρχηδόνιος θύω ὅσιος 
"
