,section,path,text,lemma_text
0,.126a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dParm.%3Asection%3D126a,"ἐπειδὴ Ἀθήναζε οἴκοθεν ἐκ Κλαζομενῶν ἀφικόμεθα, κατ᾽ ἀγορὰν ἐνετύχομεν Ἀδειμάντῳ τε καὶ Γλαύκωνι: καί μου λαβόμενος τῆς χειρὸς ὁ Ἀδείμαντος, Χαῖρ᾽, ἔφη, ὦ Κέφαλε, καὶ εἴ του δέῃ τῶν τῇδε ὧν ἡμεῖς δυνατοί, φράζε.ἀλλὰ μὲν δή, εἶπον ἐγώ, πάρειμί γε ἐπ᾽ αὐτὸ τοῦτο, δεησόμενος ὑμῶν.λέγοις ἄν, ἔφη, τὴν δέησιν.
","ἐπεί Ἀθήναζε οἴκοθεν Κλαζομενῶν ἀφικόμεθα , κατ᾽ ἀγορά ἐνεταγχύνω Ἀδειμάντῳ Γλαύκων : λαμβάνω χείρ ἀδείμαντος , Χαῖρ᾽ , φημί , Κέφαλος , δεῖ δυνατός , φράζε.ἀλλὰ , εἶπον , πάρειμί ἐπ᾽ , δεάω ὑμῶν.λέγω , φημί , δέησις . 
"
1,.126b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dParm.%3Asection%3D126b,"καὶ ἐγὼ εἶπον: τῷ ἀδελφῷ ὑμῶν τῷ ὁμομητρίῳ τί ἦν ὄνομα; οὐ γὰρ μέμνημαι. παῖς δέ που ἦν, ὅτε τὸ πρότερον ἐπεδήμησα δεῦρο ἐκ Κλαζομενῶν: πολὺς δὲ ἤδη χρόνος ἐξ ἐκείνου. τῷ μὲν γὰρ πατρί, δοκῶ, Πυριλάμπης ὄνομα.πάνυ γε, ἔφη.αὐτῷ δέ γε;Ἀντιφῶν. ἀλλὰ τί μάλιστα πυνθάνῃ;οἵδε, εἶπον ἐγώ, πολῖταί τ᾽ ἐμοί εἰσι, μάλα φιλόσοφοι, ἀκηκόασί τε ὅτι οὗτος ὁ Ἀντιφῶν Πυθοδώρῳ τινὶ Ζήνωνος
","εἶπον : ἀδελφός ὁμομήτριος ὄνομα ; μιμνήσκω . παῖς πού , ὅτε πρότερος ἐπεδήμησα δεῦρο Κλαζομενῶν : πολύς ἤδη χρόνος ἐκεῖνος . πατήρ , δοκέω , Πυριλάμπης ὄνομα.πάνυ , ἔφη.αὐτῷ γε;Ἀντιφῶν . μάλιστα πυνθάνῃ;οἵδε , εἶπον , πολῖταί τ᾽ , μάλα φιλόσοφος , ἀκηκόασί Ἀντιφῶ Πυθοδώρῳ ζήνων 
"
2,.126c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dParm.%3Asection%3D126c,"ἑταίρῳ πολλὰ ἐντετύχηκε, καὶ τοὺς λόγους, οὕς ποτε Σωκράτης καὶ Ζήνων καὶ Παρμενίδης διελέχθησαν, πολλάκις ἀκούσας τοῦ Πυθοδώρου ἀπομνημονεύει.ἀληθῆ, ἔφη, λέγεις.τούτων τοίνυν, εἶπον, δεόμεθα διακοῦσαι.ἀλλ᾽ οὐ χαλεπόν, ἔφη: μειράκιον γὰρ ὢν αὐτοὺς εὖ μάλα διεμελέτησεν, ἐπεὶ νῦν γε κατὰ τὸν πάππον τε καὶ ὁμώνυμον πρὸς ἱππικῇ τὰ πολλὰ διατρίβει. ἀλλ᾽ εἰ δεῖ, ἴωμεν παρ᾽ αὐτόν: ἄρτι γὰρ ἐνθένδε οἴκαδε οἴχεται, οἰκεῖ δὲ ἐγγὺς ἐν Μελίτῃ.
","ἑταῖρος πολύς ἐντετύχηκε , λόγος , ποτε σωκράτης Ζῆνων παρμενίδης διαλέγομαι , πολλάκις ἀκούω Πυθοδώρος ἀπομνημονεύει.ἀληθῆ , φημί , οὗλέγεις.τος τοίνυν , εἶπον , δέω διακοῦσαι.ἀλλ᾽ χαλεπός , φημί : μειράκιον εὖ μάλα διεμελέτησεν , ἐπεί νῦν πάππος ὁμώνυμος ἱππικός πολύς διατρίβω . ἀλλ᾽ δεῖ , εἶμι παρ᾽ : ἄρτι ἐνθένδε οἴκαδε οἴχομαι , οἰκέω ἐγγύς Μελίτη . 
"
3,.127a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dParm.%3Asection%3D127a,"ταῦτα εἰπόντες ἐβαδίζομεν, καὶ κατελάβομεν τὸν Ἀντιφῶντα οἴκοι, χαλινόν τινα χαλκεῖ ἐκδιδόντα σκευάσαι: ἐπειδὴ δὲ ἐκείνου ἀπηλλάγη οἵ τε ἀδελφοὶ ἔλεγον αὐτῷ ὧν ἕνεκα παρεῖμεν, ἀνεγνώρισέν τέ με ἐκ τῆς προτέρας ἐπιδημίας καί με ἠσπάζετο, καὶ δεομένων ἡμῶν διελθεῖν τοὺς λόγους, τὸ μὲν πρῶτον ὤκνει—πολὺ γὰρ ἔφη ἔργον εἶναι— ἔπειτα μέντοι διηγεῖτο. ἔφη δὲ δὴ ὁ Ἀντιφῶν λέγειν τὸν Πυθόδωρον ὅτι ἀφίκοιντό ποτε εἰς Παναθήναια τὰ μεγάλα
","εἶπον ἐβαδίζω , κατελάβομεν Ἀντιφάω οἴκοι , χαλινός χαλκεύς ἐκδίδωμι σκευάζω : ἐπεί ἐκεῖνος ἀπηλλάγη ἀδελφός λέγω ἕνεκα παρεεῖμι , ἀνεγνώρισέν πρότερος ἐπιδημία ἀσπάζω , δέω διέρχομαι λόγος , πρῶτος ὤκνει — πολύς φημί ἔργον — ἔπειτα μέντοι διηγέομαι . φημί Ἀντιφῶν λέγω Πυθόδωρος ἀφίκοιντό ποτε Παναθήναια μέγας 
"
4,.127b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dParm.%3Asection%3D127b,"Ζήνων τε καὶ Παρμενίδης. τὸν μὲν οὖν Παρμενίδην εὖ μάλα ἤδη πρεσβύτην εἶναι, σφόδρα πολιόν, καλὸν δὲ κἀγαθὸν τὴν ὄψιν, περὶ ἔτη μάλιστα πέντε καὶ ἑξήκοντα: Ζήνωνα δὲ ἐγγὺς τῶν τετταράκοντα τότε εἶναι, εὐμήκη δὲ καὶ χαρίεντα ἰδεῖν, καὶ λέγεσθαι αὐτὸν παιδικὰ τοῦ Παρμενίδου γεγονέναι. καταλύειν δὲ αὐτοὺς ἔφη παρὰ τῷ
","Ζῆνων παρμενίδης . Παρμενίδης εὖ μάλα ἤδη πρεσβύτην , σφόδρα πολιός , καλός κἀγαθὸς ὄψις , ἔτος μάλιστα πέντε ἑξήκοντα : ζήνων ἐγγύς τετταράκοντα τότε , εὐμήκη χαρίεις εἶδον , λέγω παιδικόν Παρμενίδης γίγνομαι . καταλύω φημί 
"
5,.127c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dParm.%3Asection%3D127c,"Πυθοδώρῳ ἐκτὸς τείχους ἐν Κεραμεικῷ: οἷ δὴ καὶ ἀφικέσθαι τόν τε Σωκράτη καὶ ἄλλους τινὰς μετ᾽ αὐτοῦ πολλούς, ἐπιθυμοῦντας ἀκοῦσαι τῶν τοῦ Ζήνωνος γραμμάτων—τότε γὰρ αὐτὰ πρῶτον ὑπ᾽ ἐκείνων κομισθῆναι—Σωκράτη δὲ εἶναι τότε σφόδρα νέον. ἀναγιγνώσκειν οὖν αὐτοῖς τὸν Ζήνωνα αὐτόν, τὸν δὲ Παρμενίδην τυχεῖν ἔξω ὄντα: καὶ εἶναι πάνυ βραχὺ ἔτι λοιπὸν τῶν λόγων ἀναγιγνωσκομένων, ἡνίκα
","Πυθοδώρῳ ἐκτός τεῖχος Κεραμεικός : ἕ ἀφικνέομαι Σωκράτης μετ᾽ πολύς , ἐπιθυμέω ἀκούω ζήνων γράμμα — τότε πρότερος ὑπ᾽ ἐκεῖνος κομίζω — Σωκράτης τότε σφόδρα νέος . ἀναγιγνώσκω ζήνων , Παρμενίδης τυγχάνω ἔξω : πάνυ βραχύς λοιπός λόγος ἀναγιγνωσκομένων , ἡνίκα 
"
6,.127d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dParm.%3Asection%3D127d,"αὐτός τε ἐπεισελθεῖν ἔφη ὁ Πυθόδωρος ἔξωθεν καὶ τὸν Παρμενίδην μετ᾽ αὐτοῦ καὶ Ἀριστοτέλη τὸν τῶν τριάκοντα γενόμενον, καὶ σμίκρ᾽ ἄττα ἔτι ἐπακοῦσαι τῶν γραμμάτων: οὐ μὴν αὐτός γε, ἀλλὰ καὶ πρότερον ἀκηκοέναι τοῦ Ζήνωνος.τὸν οὖν Σωκράτη ἀκούσαντα πάλιν τε κελεῦσαι τὴν πρώτην ὑπόθεσιν τοῦ πρώτου λόγου ἀναγνῶναι, καὶ ἀναγνωσθείσης,
","ἐπεισέρχομαι φημί Πυθόδωρος ἔξωθεν Παρμενίδης μετ᾽ Ἀριστοτέλης τριάκοντα γίγνομαι , σμίκρ᾽ ἄττα ἐπακούω γράμμα : μήν , πρότερος ἀκηκοέναι Ζήνωνος.τὸν Σωκράτης ἀκούω πάλιν κελεύω πρῶτος ὑπόθεσις πρῶτος λόγος ἀναγιγνώσκω , ἀναγνωόσ , 
"
7,.127e,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dParm.%3Asection%3D127e,"πῶς, φάναι, ὦ Ζήνων, τοῦτο λέγεις; εἰ πολλά ἐστι τὰ ὄντα, ὡς ἄρα δεῖ αὐτὰ ὅμοιά τε εἶναι καὶ ἀνόμοια, τοῦτο δὲ δὴ ἀδύνατον: οὔτε γὰρ τὰ ἀνόμοια ὅμοια οὔτε τὰ ὅμοια ἀνόμοια οἷόν τε εἶναι; οὐχ οὕτω λέγεις;οὕτω, φάναι τὸν Ζήνωνα.οὐκοῦν εἰ ἀδύνατον τά τε ἀνόμοια ὅμοια εἶναι καὶ τὰ ὅμοια ἀνόμοια, ἀδύνατον δὴ καὶ πολλὰ εἶναι; εἰ γὰρ πολλὰ εἴη, πάσχοι ἂν τὰ ἀδύνατα. ἆρα τοῦτό ἐστιν ὃ βούλονταί σου οἱ λόγοι, οὐκ ἄλλο τι ἢ διαμάχεσθαι παρὰ πάντα τὰ λεγόμενα ὡς οὐ πολλά ἐστι; καὶ τούτου αὐτοῦ οἴει σοι τεκμήριον εἶναι ἕκαστον τῶν λόγων, ὥστε καὶ ἡγῇ τοσαῦτα τεκμήρια παρέχεσθαι, ὅσουσπερ λόγους γέγραφας, ὡς οὐκ
","πῶς , φημί , Ζῆνων , λέγω ; πολύς , δεῖ ὅμοιος ἀνόμοιος , ἀδύνατος : ἀνόμοιος ὅμοιος ὅμοιος ἀνόμοιος οἷος ; λέγεις;οὕτω , φημί Ζήνωνα.οὐκοῦν ἀδύνατος ἀνόμοιος ὁμοῖος ὁμοῖος ἀνόμοιος , ἀδύνατος πολύς ; πολύς , πάσχοι ἀδύνατος . ἆρα βούλομαί λόγος , διαμάχομαι πᾶς λέγω πολύς ; οἴει τεκμήριον ἕκαστος λόγος , ἡγῇ τοσοῦτος τεκμήριον παρέχω , ὅσουσ λόγος γέγραφας , 
"
8,.128a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dParm.%3Asection%3D128a,"ἔστι πολλά; οὕτω λέγεις, ἢ ἐγὼ οὐκ ὀρθῶς καταμανθάνω;οὔκ, ἀλλά, φάναι τὸν Ζήνωνα, καλῶς συνῆκας ὅλον τὸ γράμμα ὃ βούλεται.μανθάνω, εἰπεῖν τὸν Σωκράτη, ὦ Παρμενίδη, ὅτι Ζήνων ὅδε οὐ μόνον τῇ ἄλλῃ σου φιλίᾳ βούλεται ᾠκειῶσθαι, ἀλλὰ καὶ τῷ συγγράμματι. ταὐτὸν γὰρ γέγραφε τρόπον τινὰ ὅπερ σύ, μεταβάλλων δὲ ἡμᾶς πειρᾶται ἐξαπατᾶν ὡς ἕτερόν τι λέγων. σὺ μὲν γὰρ ἐν τοῖς ποιήμασιν ἓν φῂς εἶναι τὸ
","πολύς ; λέγω , ὀρθός καταμανθάνω;οὔκ , , φημί ζήνων , καλός συνίημι ὅλος γράμμα βούλεται.μανθάνω , εἶπον Σωκράτης , Παρμενίδης , Ζῆνων μόνος φιλία βούλομαι ᾠκειῶσθαι , σύγγραμμα . γράφω τρόπος ὅσπερ , μεταβάλλω πειράω ἐξαπατάω ἕτερος λέγω . ποίημα εἷς φημί 
"
9,.128b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dParm.%3Asection%3D128b,"πᾶν, καὶ τούτων τεκμήρια παρέχῃ καλῶς τε καὶ εὖ: ὅδε δὲ αὖ οὐ πολλά φησιν εἶναι, τεκμήρια δὲ καὶ αὐτὸς πάμπολλα καὶ παμμεγέθη παρέχεται. τὸ οὖν τὸν μὲν ἓν φάναι, τὸν δὲ μὴ πολλά, καὶ οὕτως ἑκάτερον λέγειν ὥστε μηδὲν τῶν αὐτῶν εἰρηκέναι δοκεῖν σχεδόν τι λέγοντας ταὐτά, ὑπὲρ ἡμᾶς τοὺς ἄλλους φαίνεται ὑμῖν τὰ εἰρημένα εἰρῆσθαι.ναί, φάναι τὸν Ζήνωνα, ὦ Σώκρατες. σὺ δ᾽ οὖν τὴν ἀλήθειαν τοῦ γράμματος οὐ πανταχοῦ ᾔσθησαι. καίτοι
","πᾶς , τεκμήριον παρέχω καλός εὖ : αὖ πολύς φημί , τεκμήριον πάμπολλος παμμεγέθη παρέχω . εἷς φημί , πολύς , ἑκάτερος λέγω μηδείς λέγω δοκέω σχεδόν λέγω ταὐτός , φαίνω ἐρῶ εἰρῆσθαι.ναί , φημί ζήνων , Σώκρατες . δέ ἀλήθεια γράμμα πανταχοῦ ᾔμθησαι . καίτοι 
"
