,section,path,text,lemma_text
0,.57a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0169%3atext%3dPhaedo%3Asection%3D57a,"αὐτός, ὦ Φαίδων, παρεγένου Σωκράτει ἐκείνῃ τῇ ἡμέρᾳ ᾗ τὸ φάρμακον ἔπιεν ἐν τῷ δεσμωτηρίῳ, ἢ ἄλλου του ἤκουσας;γ αὐτός, ὦ Ἐχέκρατες. τί οὖν δή ἐστιν ἅττα εἶπεν ὁ ἀνὴρ πρὸ τοῦ θανάτου; καὶ πῶς ἐτελεύτα; ἡδέως γὰρ ἂν ἐγὼ ἀκούσαιμι. καὶ γὰρ οὔτε τῶν πολιτῶν Φλειασίων οὐδεὶς πάνυ τι ἐπιχωριάζει τὰ νῦν Ἀθήναζε, οὔτε τις ξένος ἀφῖκται χρόνου συχνοῦ
",", Φαίδων , παρεγένου Σωκράτει ἐκεῖνος ἡμέρα φάρμακον πίνω δεσμωτήριον , ἤκουσας;γ , Ἐχέκρατες . ἅττος εἶπον ἀνήρ πρό θάνατος ; πῶς τελευτάω ; ἡδέως ἀκούσαιμι . πολίτης Φλειασίες πάνυ ἐπιχωριάζω νῦν Ἀθήναζε , ξένος ἀφικνέομαι χρόνος συχνός 
"
1,.57b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0169%3atext%3dPhaedo%3Asection%3D57b,"ἐκεῖθεν ὅστις ἂν ἡμῖν σαφές τι ἀγγεῖλαι οἷός τ᾽ ἦν περὶ τούτων, πλήν γε δὴ ὅτι φάρμακον πιὼν ἀποθάνοι: τῶν δὲ ἄλλων οὐδὲν εἶχεν φράζειν.
","ἐκεῖθεν σαφής ἀγγέλλω οἷος τ᾽ , πλήν φάρμακον πίνω ἀποθνήσκω : ἔχω φράζω . 
"
2,.58a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0169%3atext%3dPhaedo%3Asection%3D58a," οὐδὲ τὰ περὶ τῆς δίκης ἄρα ἐπύθεσθε ὃν τρόπον ἐγένετο;γ ναί, ταῦτα μὲν ἡμῖν ἤγγειλέ τις, καὶ ἐθαυμάζομέν γε ὅτι πάλαι γενομένης αὐτῆς πολλῷ ὕστερον φαίνεται ἀποθανών. τί οὖν ἦν τοῦτο, ὦ Φαίδων; τύχη τις αὐτῷ, ὦ Ἐχέκρατες, συνέβη: ἔτυχεν γὰρ τῇ προτεραίᾳ τῆς δίκης ἡ πρύμνα ἐστεμμένη τοῦ πλοίου ὃ εἰς Δῆλον Ἀθηναῖοι πέμπουσιν. τοῦτο δὲ δὴ τί ἐστιν; τοῦτ᾽ ἔστι τὸ πλοῖον, ὥς φασιν Ἀθηναῖοι, ἐν ᾧ Θησεύς ποτε εἰς Κρήτην τοὺς δὶς ἑπτὰ ἐκείνους ᾤχετο
","  δίκη ἐπύθεσθε τρόπος ἐγένετο;γ ναί , ἤγγειλέ , ἐθαυμάζομέν πάλαι γίγνομαι πολύς ὕστερος φαίνω ἀποθνῄσκω . , Φαίδων ; τύχη , Ἐχέκρατες , συμβαίνω : τυγχάνω προτεραῖος δίκη πρύμνα ἐστεμμένη πλοῖον δῆλος ἀθηναῖος πέμπω . ; τοῦτ᾽ πλοῖον , φημί ἀθηναῖος , Θησεύς ποτε κρήτη δίς ἑπτά ἐκεῖνος οἴχομαι 
"
3,.58b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0169%3atext%3dPhaedo%3Asection%3D58b,"ἄγων καὶ ἔσωσέ τε καὶ αὐτὸς ἐσώθη. τῷ οὖν Ἀπόλλωνι ηὔξαντο ὡς λέγεται τότε, εἰ σωθεῖεν, ἑκάστου ἔτους θεωρίαν ἀπάξειν εἰς Δῆλον: ἣν δὴ ἀεὶ καὶ νῦν ἔτι ἐξ ἐκείνου κατ᾽ ἐνιαυτὸν τῷ θεῷ πέμπουσιν. ἐπειδὰν οὖν ἄρξωνται τῆς θεωρίας, νόμος ἐστὶν αὐτοῖς ἐν τῷ χρόνῳ τούτῳ καθαρεύειν τὴν πόλιν καὶ δημοσίᾳ μηδένα ἀποκτεινύναι, πρὶν ἂν εἰς Δῆλόν τε ἀφίκηται τὸ πλοῖον καὶ πάλιν δεῦρο: τοῦτο δ᾽ ἐνίοτε ἐν πολλῷ χρόνῳ γίγνεται, ὅταν τύχωσιν ἄνεμοι ἀπολαβόντες
","ἄγω ἔσωσον σώζω . ἀπόλλων ηὔξαμαι λέγω τότε , σωθεῖεν , ἕκαστος ἔτους θεωρία ἀπάγω δῆλος : ἀεί νῦν ἐκεῖνος κατ᾽ ἐνιαυτός θεός πέμπω . ἐπειδάν ἄρχω θεωρία , νόμος χρόνος καθαρεύω πόλις δημοσίᾳ μηδείς ἀποκτεινύναι , πρίν δῆλος ἀφικνέομαι πλοῖον πάλιν δεῦρο : δέ ἐνίοτε πολύς χρόνος γίγνομαι , ὅταν τυγχάνω ἄνεμος ἀπολαμβάνω 
"
4,.58c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0169%3atext%3dPhaedo%3Asection%3D58c,"αὐτούς. ἀρχὴ δ᾽ ἐστὶ τῆς θεωρίας ἐπειδὰν ὁ ἱερεὺς τοῦ Ἀπόλλωνος στέψῃ τὴν πρύμναν τοῦ πλοίου: τοῦτο δ᾽ ἔτυχεν, ὥσπερ λέγω, τῇ προτεραίᾳ τῆς δίκης γεγονός. διὰ ταῦτα καὶ πολὺς χρόνος ἐγένετο τῷ Σωκράτει ἐν τῷ δεσμωτηρίῳ ὁ μεταξὺ τῆς δίκης τε καὶ τοῦ θανάτου. τί δὲ δὴ τὰ περὶ αὐτὸν τὸν θάνατον, ὦ Φαίδων; τί ἦν τὰ λεχθέντα καὶ πραχθέντα, καὶ τίνες οἱ παραγενόμενοι τῶν ἐπιτηδείων τῷ ἀνδρί; ἢ οὐκ εἴων οἱ ἄρχοντες παρεῖναι, ἀλλ᾽ ἔρημος ἐτελεύτα φίλων;
",". ἀρχή δέ θεωρία ἐπειδάν ἱερεύς ἀπόλλων στέπτω πρύμνα πλοῖον : δέ τυγχάνω , ὥσπερ λέγω , προτεραῖος δίκη γίγνομαι . πολύς χρόνος γίγνομαι Σωκράτει δεσμωτήριον μεταξύ δίκη θάνατος . θάνατος , Φαίδων ; λέγω πράσσω , παραγίγνομαι ἐπιτήδειος ἀνήρ ; ἐάω ἄρχων πάρειμι , ἀλλ᾽ ἔρημος τελευτάω φίλος ; 
"
5,.58d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0169%3atext%3dPhaedo%3Asection%3D58d," οὐδαμῶς, ἀλλὰ παρῆσάν τινες, καὶ πολλοί γε. ταῦτα δὴ πάντα προθυμήθητι ὡς σαφέστατα ἡμῖν ἀπαγγεῖλαι, εἰ μή τίς σοι ἀσχολία τυγχάνει οὖσα. ἀλλὰ σχολάζω γε καὶ πειράσομαι ὑμῖν διηγήσασθαι: καὶ γὰρ τὸ μεμνῆσθαι Σωκράτους καὶ αὐτὸν λέγοντα καὶ ἄλλου ἀκούοντα ἔμοιγε ἀεὶ πάντων ἥδιστον. ἀλλὰ μήν, ὦ Φαίδων, καὶ τοὺς ἀκουσομένους γε τοιούτους ἑτέρους ἔχεις: ἀλλὰ πειρῶ ὡς ἂν δύνῃ ἀκριβέστατα διεξελθεῖν πάντα.
","  οὐδαμῶς , παρῆσάν , πολύς . πᾶς προθυμέομαι σαφής ἀπαγγέλλω , ἀσχολία τυγχάνω . σχολάζω πειράομαι διηγέομαι : μιμνήσκω σωκράτης λέγω ἀκούω ἀεί πᾶς ἥδιστος . μήν , Φαίδων , ἀκουσομένους ἕτερος ἔχω : πειρῶ δύναμαι ἀκριβής διεξέρχομαι πᾶς . 
"
6,.58e,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0169%3atext%3dPhaedo%3Asection%3D58e," καὶ μὴν ἔγωγε θαυμάσια ἔπαθον παραγενόμενος. οὔτε γὰρ ὡς θανάτῳ παρόντα με ἀνδρὸς ἐπιτηδείου ἔλεος εἰσῄει: εὐδαίμων γάρ μοι ἁνὴρ ἐφαίνετο, ὦ Ἐχέκρατες, καὶ τοῦ τρόπου καὶ τῶν λόγων, ὡς ἀδεῶς καὶ γενναίως ἐτελεύτα, ὥστε μοι ἐκεῖνον παρίστασθαι μηδ᾽ εἰς Ἅιδου ἰόντα ἄνευ θείας μοίρας ἰέναι, ἀλλὰ καὶ ἐκεῖσε ἀφικόμενον εὖ πράξειν
","  μείς θαυμάσιος πάσχω παραγίγνομαι . θάνατος πάρειμι ἀνήρ ἐπιτηδείου ἔλεος εἴσειμι : εὐδαίμων νήρ φαίνω , Ἐχέκρατες , τρόπος λόγος , ἀδεής γενναῖος τελευτάω , ἐκεῖνος παρίστημι μηδέ ᾅδης εἶμι ἄνευ θεῖος μοῖρα εἶμι , ἐκεῖσε ἀφικόμενον εὖ πράσσω 
"
7,.59a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0169%3atext%3dPhaedo%3Asection%3D59a,"εἴπερ τις πώποτε καὶ ἄλλος. διὰ δὴ ταῦτα οὐδὲν πάνυ μοι ἐλεινὸν εἰσῄει, ὡς εἰκὸς ἂν δόξειεν εἶναι παρόντι πένθει, οὔτε αὖ ἡδονὴ ὡς ἐν φιλοσοφίᾳ ἡμῶν ὄντων ὥσπερ εἰώθεμεν —καὶ γὰρ οἱ λόγοι τοιοῦτοί τινες ἦσαν—ἀλλ᾽ ἀτεχνῶς ἄτοπόν τί μοι πάθος παρῆν καί τις ἀήθης κρᾶσις ἀπό τε τῆς ἡδονῆς συγκεκραμένη ὁμοῦ καὶ ἀπὸ τῆς λύπης, ἐνθυμουμένῳ ὅτι αὐτίκα ἐκεῖνος ἔμελλε τελευτᾶν. καὶ πάντες οἱ παρόντες σχεδόν τι οὕτω διεκείμεθα, τοτὲ μὲν γελῶντες, ἐνίοτε δὲ δακρύοντες, εἷς δὲ ἡμῶν καὶ διαφερόντως, Ἀπολλόδωρος—
","εἴπερ πώποτε . πάνυ ἐλεεινός εἴσειμι , ἔοικα δόγω πάρειμι πένθος , αὖ ἡδονή φιλοσοφία ὥσπερ εἰώθεμεν —καὶ λόγος τοιοῦτος — ἀλλ᾽ ἀτεχνῶς ἄτοπος πάθος πάρειμι ἀήθης κρᾶσις ἡδονή συγκεκραμένη ὁμοῦ λύπη , ἐνθυμοόυ αὐτίκα ἐκεῖνος μέλλω τελευτάω . πᾶς πάρειμι σχεδόν διεκείμεθα , τοτέ γελάω , ἐνίοτε δακρύω , εἰς διαφερόντως , Ἀπολλόδωρος — 
"
8,.59b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0169%3atext%3dPhaedo%3Asection%3D59b,"οἶσθα γάρ που τὸν ἄνδρα καὶ τὸν τρόπον αὐτοῦ. πῶς γὰρ οὔ;γ ἐκεῖνός τε τοίνυν παντάπασιν οὕτως εἶχεν, καὶ αὐτὸς ἔγωγε ἐτεταράγμην καὶ οἱ ἄλλοι. ἔτυχον δέ, ὦ Φαίδων, τίνες παραγενόμενοι; οὗτός τε δὴ ὁ Ἀπολλόδωρος τῶν ἐπιχωρίων παρῆν καὶ Κριτόβουλος καὶ ὁ πατὴρ αὐτοῦ καὶ ἔτι Ἑρμογένης καὶ Ἐπιγένης καὶ Αἰσχίνης καὶ Ἀντισθένης: ἦν δὲ καὶ Κτήσιππος ὁ Παιανιεὺς καὶ Μενέξενος καὶ ἄλλοι τινὲς τῶν ἐπιχωρίων. Πλάτων δὲ οἶμαι ἠσθένει. ξένοι δέ τινες παρῆσαν;
","οἶδα πού ἀνήρ τρόπος . πῶς οὔ;γ ἐκεῖνος τοίνυν παντάπασι ἔχω , τεταράαμγζω . τυγχάνω , Φαίδων , παραγίγνομαι ; Ἀπολλόδωρος ἐπιχώριος πάρειμι Κριτόβουλος πατήρ ἑρμογένης Ἐπιγένης αἰσχίνης Ἀντισθένης : Κτήσιππος Παιανιεύς Μενέξενος ἐπιχώριος . Πλάτων οἱόμαι ἀσθενέω . ξένος πάρειμι ; 
"
9,.59c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0169%3atext%3dPhaedo%3Asection%3D59c," ναί, Σιμμίας τέ γε ὁ Θηβαῖος καὶ Κέβης καὶ Φαιδώνδης καὶ Μεγαρόθεν Εὐκλείδης τε καὶ Τερψίων. τί δέ; Ἀρίστιππος καὶ Κλεόμβροτος παρεγένοντο; οὐ δῆτα: ἐν Αἰγίνῃ γὰρ ἐλέγοντο εἶναι. ἄλλος δέ τις παρῆν; σχεδόν τι οἶμαι τούτους παραγενέσθαι. τί οὖν δή; τίνες φῂς ἦσαν οἱ λόγοι; ἐγώ σοι ἐξ ἀρχῆς πάντα πειράσομαι διηγήσασθαι.
","  ναί , Σιμμίας Θηβαῖος Κέβης Φαιδώνδης Μεγαρόθεν Εὐκλείδης Τερψίων . ; Ἀρίστιππος Κλεόμβροτος παραγίγνομαι ; δῆτα : αἴγινα λέγω . πάρειμι ; σχεδόν οἱόμαι παραγίγνομαι . ; φημί λόγος ; ἀρχή πᾶς πειράομαι διηγέομαι . 
"
