,section,path,text,lemma_text
0,us.227a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dPhaedrus%3Asection%3D227a,"ὦ φίλε Φαῖδρε, ποῖ δὴ καὶ πόθεν; παρὰ Λυσίου, ὦ Σώκρατες, τοῦ Κεφάλου, πορεύομαι δὲ πρὸς περίπατον ἔξω τείχους: συχνὸν γὰρ ἐκεῖ διέτριψα χρόνον καθήμενος ἐξ ἑωθινοῦ. τῷ δὲ σῷ καὶ ἐμῷ ἑταίρῳ πειθόμενος Ἀκουμενῷ κατὰ τὰς ὁδοὺς ποιοῦμαι τοὺς περιπάτους: φησὶ γὰρ ἀκοπωτέρους εἶναι τῶν ἐν τοῖς
","φίλος Φαῖδρος , ποῖ πόθεν ; Λυσίος , Σώκρατες , Κεφάλος , πορεύομαι περίπατος ἔξω τεῖχος : συχνός ἐκεῖ διέτριψα χρόνος κάθημαι ἑωθινοῦ . ἑταῖρος πείθω Ἀκουμενῷ ὁδός ποιέω περιπάτος : φημί ἀκοπωτέρους 
"
1,us.227b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dPhaedrus%3Asection%3D227b,"δρόμοις. καλῶς γάρ, ὦ ἑταῖρε, λέγει. ἀτὰρ Λυσίας ἦν, ὡς ἔοικεν, ἐν ἄστει. ναί, παρ᾽ Ἐπικράτει, ἐν τῇδε τῇ πλησίον τοῦ Ὀλυμπίου οἰκίᾳ τῇ Μορυχίᾳ. τίς οὖν δὴ ἦν ἡ διατριβή; ἢ δῆλον ὅτι τῶν λόγων ὑμᾶς Λυσίας εἱστία; πεύσῃ, εἴ σοι σχολὴ προϊόντι ἀκούειν. τί δέ; οὐκ ἂν οἴει με κατὰ Πίνδαρον καὶ ἀσχολίας ὑπέρτερον πρᾶγμα ποιήσασθαι τὸ τεήν τε καὶ Λυσίου διατριβὴν ἀκοῦσαι;
","δρόμος . καλός , ἑταῖρος , λέγω . ἀτάρ λυσίας , ἔοικα , ἄστος . ναί , παρ᾽ Ἐπικράτω , πλησίον ὀλύμπιος οἰκία Μορυχία . διατριβή ; δῆλος λόγος λυσίας εἱστία ; πεύω , σχολὴ προϊόντι ἀκούω . ; οἴομαι Πίνδαρος ἀσχολία πρᾶγμα ποιέω τεός Λυσίου διατριβή ἀκούω ; 
"
2,us.227c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dPhaedrus%3Asection%3D227c," πρόαγε δή. λέγοις ἄν. καὶ μήν, ὦ Σώκρατες, προσήκουσα γέ σοι ἡ ἀκοή: ὁ γάρ τοι λόγος ἦν, περὶ ὃν διετρίβομεν, οὐκ οἶδ᾽ ὅντινα τρόπον ἐρωτικός. γέγραφε γὰρ δὴ ὁ Λυσίας πειρώμενόν τινα τῶν καλῶν, οὐχ ὑπ᾽ ἐραστοῦ δέ, ἀλλ᾽ αὐτὸ δὴ τοῦτο καὶ κεκόμψευται: λέγει γὰρ ὡς χαριστέον μὴ ἐρῶντι μᾶλλον ἢ ἐρῶντι. ὢ γενναῖος. εἴθε γράψειεν ὡς χρὴ πένητι μᾶλλον ἢ πλουσίῳ, καὶ πρεσβυτέρῳ ἢ νεωτέρῳ, καὶ ὅσα ἄλλα
","  πρόαγε . λέγω . μήν , Σώκρατες , προσήκουσα ἀκοή : λόγος , διετρίβω , οἶδα τρόπος ἐρωτικός . γράφω λυσίας πειρώμενόν καλός , ὑπ᾽ ἐραστός , ἀλλ᾽ κεκόμψευται : λέγω χαριστέος ἐράω μᾶλλον ἐράω . γενναῖος . εἴθε γράψειεν χρή πένης μᾶλλον πλούσιος , πρέσβυς νέος , ὅσος 
"
3,us.227d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dPhaedrus%3Asection%3D227d,"ἐμοί τε πρόσεστι καὶ τοῖς πολλοῖς ἡμῶν: ἦ γὰρ ἂν ἀστεῖοι καὶ δημωφελεῖς εἶεν οἱ λόγοι. ἔγωγ᾽ οὖν οὕτως ἐπιτεθύμηκα ἀκοῦσαι, ὥστ᾽ ἐὰν βαδίζων ποιῇ τὸν περίπατον Μέγαράδε καὶ κατὰ Ἡρόδικον προσβὰς τῷ τείχει πάλιν ἀπίῃς, οὐ μή σου ἀπολειφθῶ. πῶς λέγεις, ὦ βέλτιστε Σώκρατες; οἴει με, ἃ
","πρόσειμι πολύς : ἀστεῖος δημωφελής λόγος . ἔγωγ᾽ ἐπιτεθύμηκα ἀκούω , ὥστ᾽ βαδίζω ποιέω περίπατος Μέγαράδε Ἡρόδικος προσβαίνω τεῖχος πάλιν ἀπίω , ἀπολείπτω . πῶς λέγω , βέλτιστος Σώκρατες ; οἴω , 
"
4,us.228a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dPhaedrus%3Asection%3D228a,"Λυσίας ἐν πολλῷ χρόνῳ κατὰ σχολὴν συνέθηκε, δεινότατος ὢν τῶν νῦν γράφειν, ταῦτα ἰδιώτην ὄντα ἀπομνημονεύσειν ἀξίως ἐκείνου; πολλοῦ γε δέω: καίτοι ἐβουλόμην γ᾽ ἂν μᾶλλον ἤ μοι πολὺ χρυσίον γενέσθαι. ὦ Φαῖδρε, εἰ ἐγὼ Φαῖδρον ἀγνοῶ, καὶ ἐμαυτοῦ ἐπιλέλησμαι. ἀλλὰ γὰρ οὐδέτερά ἐστι τούτων: εὖ οἶδα ὅτι Λυσίου λόγον ἀκούων ἐκεῖνος οὐ μόνον ἅπαξ ἤκουσεν, ἀλλὰ πολλάκις ἐπαναλαμβάνων ἐκέλευέν οἱ λέγειν, ὁ δὲ ἐπείθετο
","λυσίας πολύς χρόνος σχολή συνατίθημι , δεινός νῦν γράφω , ἰδιώτης ἀπομνημονεύω ἀξίως ἐκεῖνος ; πολύς δέω : καίτοι βούλομαι γ᾽ μᾶλλον πολύς χρυσίον γίγνομαι . Φαῖδρος , Φαῖδρος ἀγνοέω , ἐμαυτοῦ ἐπιλέλησμαι . οὐδέτερά : εὖ οἶδα Λυσῖος λόγος ἀκούω ἐκεῖνος μόνος ἅπαξ ἀκούω , πολλάκις ἐπαναλαμβάνω ἐκέλευέν λέγω , πείθω 
"
5,us.228b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dPhaedrus%3Asection%3D228b,"προθύμως. τῷ δὲ οὐδὲ ταῦτα ἦν ἱκανά, ἀλλὰ τελευτῶν παραλαβὼν τὸ βιβλίον ἃ μάλιστα ἐπεθύμει ἐπεσκόπει, καὶ τοῦτο δρῶν ἐξ ἑωθινοῦ καθήμενος ἀπειπὼν εἰς περίπατον ᾔει, ὡς μὲν ἐγὼ οἶμαι, νὴ τὸν κύνα, ἐξεπιστάμενος τὸν λόγον, εἰ μὴ πάνυ τι ἦν μακρός. ἐπορεύετο δ᾽ ἐκτὸς τείχους ἵνα μελετῴη. ἀπαντήσας δὲ τῷ νοσοῦντι περὶ λόγων ἀκοήν, ἰδὼν μέν, ἰδών, ἥσθη ὅτι ἕξοι τὸν συγκορυβαντιῶντα,
","πρόθυμος . ἱκανός , τελευτάω παραλαμβάνω βιβλίον μάλιστα ἐπιθυμέω ἐπισκοπέω , δράω ἑωθινοῦ κάθημαι ἀπεείπω περίπατος εἶμι , οἱόμαι , νή κύων , ἐξεπίσταμαι λόγος , πάνυ μακρός . πορεύομαι δέ ἐκτός τεῖχος ἵνα μελετάω . ἀπαντήω νοσέω λόγος ἀκοή , εἶδον , εἶδον , ἥδομαι ἕξοι συγκορυβαντιάω , 
"
6,us.228c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dPhaedrus%3Asection%3D228c,"καὶ προάγειν ἐκέλευε. δεομένου δὲ λέγειν τοῦ τῶν λόγων ἐραστοῦ, ἐθρύπτετο ὡς δὴ οὐκ ἐπιθυμῶν λέγειν: τελευτῶν δὲ ἔμελλε καὶ εἰ μή τις ἑκὼν ἀκούοι βίᾳ ἐρεῖν. σὺ οὖν, ὦ Φαῖδρε, αὐτοῦ δεήθητι ὅπερ τάχα πάντως ποιήσει νῦν ἤδη ποιεῖν. ἐμοὶ ὡς ἀληθῶς πολὺ κράτιστόν ἐστιν οὕτως ὅπως δύναμαι λέγειν, ὥς μοι δοκεῖς σὺ οὐδαμῶς με ἀφήσειν πρὶν ἂν εἴπω ἁμῶς γέ πως. πάνυ γάρ σοι ἀληθῆ δοκῶ.
","προάγω κελεύω . δέομαι λέγω λόγος ἐραστοῦ , θρύπτω ἐπιθυμέω λέγω : τελευτάω μέλλω ἑκών ἀκούω βία ἐρεῖν . , Φαῖδρος , δέω ὅσπερ τάχα πάντως ποιέω νῦν ἤδη ποιέω . ἀληθῶς πολύς κράτας ὅπως δύναμαι λέγω , δοκέω οὐδαμῶς ἀφίημι πρίν εἶπον ἁμός οὔπως . πάνυ ἀληθής δοκέω . 
"
7,us.228d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dPhaedrus%3Asection%3D228d," οὑτωσὶ τοίνυν ποιήσω. τῷ ὄντι γάρ, ὦ Σώκρατες, παντὸς μᾶλλον τά γε ῥήματα οὐκ ἐξέμαθον: τὴν μέντοι διάνοιαν σχεδὸν ἁπάντων, οἷς ἔφη διαφέρειν τὰ τοῦ ἐρῶντος ἢ τὰ τοῦ μή, ἐν κεφαλαίοις ἕκαστον ἐφεξῆς δίειμι, ἀρξάμενος ἀπὸ τοῦ πρώτου. δείξας γε πρῶτον, ὦ φιλότης, τί ἄρα ἐν τῇ ἀριστερᾷ ἔχεις ὑπὸ τῷ ἱματίῳ: τοπάζω γάρ σε ἔχειν τὸν λόγον αὐτόν. εἰ δὲ τοῦτό ἐστιν, οὑτωσὶ διανοοῦ περὶ ἐμοῦ, ὡς
","  οὑτωσὶ(ς) τοίνυν ποιέω . , Σώκρατες , πᾶς μᾶλλον ῥῆμα ἐκμανθάνω : μέντοι διάνοια σχεδόν ἅπας , φημί διαφέρω ἐράω , κεφαλαίον ἕκαστος ἐφεξῆς δίειμι , ἄρχω πρῶτος . δείκνυμι πρῶτος , φιλότης , ἀριστερός ἔχω ἱμάτιον : τοπάζω ἔχω λόγος . , οὑτωσὶ(ς) διανοέομαι , 
"
8,us.228e,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dPhaedrus%3Asection%3D228e,"ἐγώ σε πάνυ μὲν φιλῶ, παρόντος δὲ καὶ Λυσίου, ἐμαυτόν σοι ἐμμελετᾶν παρέχειν οὐ πάνυ δέδοκται. ἀλλ᾽ ἴθι, δείκνυε. παῦε. ἐκκέκρουκάς με ἐλπίδος, ὦ Σώκρατες, ἣν εἶχον ἐν σοὶ ὡς ἐγγυμνασόμενος. ἀλλὰ ποῦ δὴ βούλει καθιζόμενοι ἀναγνῶμεν;
","πάνυ φιλέω , πάρειμι Λυσίου , ἐμαυτοῦ ἐμμελετάω παρέχω πάνυ δοκέω . ἀλλ᾽ εἶμι , δείκνυμι . παύω . ἐκκέκρουκάς ἐλπίς , Σώκρατες , ἔχω ἐγγυμνασόμενος . ποῦ βούλομαι καθίζω εἀναγνῶω ; 
"
9,us.229a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dPhaedrus%3Asection%3D229a," δεῦρ᾽ ἐκτραπόμενοι κατὰ τὸν Ἰλισὸν ἴωμεν, εἶτα ὅπου ἂν δόξῃ ἐν ἡσυχίᾳ καθιζησόμεθα. εἰς καιρόν, ὡς ἔοικεν, ἀνυπόδητος ὢν ἔτυχον: σὺ μὲν γὰρ δὴ ἀεί. ῥᾷστον οὖν ἡμῖν κατὰ τὸ ὑδάτιον βρέχουσι τοὺς πόδας ἰέναι, καὶ οὐκ ἀηδές, ἄλλως τε καὶ τήνδε τὴν ὥραν τοῦ ἔτους τε καὶ τῆς ἡμέρας. πρόαγε δή, καὶ σκόπει ἅμα ὅπου καθιζησόμεθα. ὁρᾷς οὖν ἐκείνην τὴν ὑψηλοτάτην πλάτανον; τί μήν;
","  δεῦρ᾽ ἐκτρέπω Ἰλισὸς εἶμι , εἶτα ὅπου δοκέω ἡσυχία καθιζάνω . καιρός , ἔοικα , ἀνυπόδητος τυγχάνω : ἀεί . ῥᾷστον ὑδάτιον βρέχω πούς εἶμι , ἀηδής , ὥρα ἔτους ἡμέρα . πρόαγω , σκοπέω ἅμα ὅπου καθιζησόμεθα . ὁράω ἐκεῖνος ὑψηλοτάτην πλάτανος ; μήν ; 
"
