,section,path,text,lemma_text
0,..11a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dPhileb.%3Asection%3D11a,"ὅρα δή, Πρώταρχε, τίνα λόγον μέλλεις παρὰ Φιλήβου δέχεσθαι νυνὶ καὶ πρὸς τίνα τὸν παρ᾽ ἡμῖν ἀμφισβητεῖν,
","ὁράω , Πρώταρχος , λόγος μέλλω Φιλήβος δέχομαι νυνί παρ᾽ ἀμφισβητέω , 
"
1,..11b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dPhileb.%3Asection%3D11b,"ἐὰν μή σοι κατὰ νοῦν ᾖ λεγόμενος. βούλει συγκεφαλαιωσώμεθα ἑκάτερον; πάνυ μὲν οὖν. Φίληβος μὲν τοίνυν ἀγαθὸν εἶναί φησι τὸ χαίρειν πᾶσι ζῴοις καὶ τὴν ἡδονὴν καὶ τέρψιν, καὶ ὅσα τοῦ γένους ἐστὶ τούτου σύμφωνα: τὸ δὲ παρ᾽ ἡμῶν ἀμφισβήτημά ἐστι μὴ ταῦτα, ἀλλὰ τὸ φρονεῖν καὶ τὸ νοεῖν καὶ μεμνῆσθαι καὶ τὰ τούτων αὖ συγγενῆ, δόξαν τε ὀρθὴν καὶ ἀληθεῖς λογισμούς, τῆς γε ἡδονῆς ἀμείνω καὶ λῴω γίγνεσθαι σύμπασιν ὅσαπερ
","νόος λέγω . βούλομαι συγκεφαλαιωσώμεθα ἑκάτερος ; πάνυ . Φίληβος τοίνυν ἀγαθός φημί χαίρω πᾶς ζῴον ἡδονή τέρψις , ὅσος γένος σύμφωνος : παρ᾽ ἀμφισβήτημά , φρονέω νοέω μιμνήσκω αὖ συγγενής , δόξα ὀρθός ἀληθής λογισμός , ἡδονή ἀγαθός λῴων γίγνομαι σύμπασις ὅσα 
"
2,..11c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dPhileb.%3Asection%3D11c,"αὐτῶν δυνατὰ μεταλαβεῖν: δυνατοῖς δὲ μετασχεῖν ὠφελιμώτατον ἁπάντων εἶναι πᾶσι τοῖς οὖσί τε καὶ ἐσομένοις. μῶν οὐχ οὕτω πως λέγομεν, ὦ Φίληβε, ἑκάτεροι; πάντων μὲν οὖν μάλιστα, ὦ Σώκρατες. δέχῃ δὴ τοῦτον τὸν νῦν διδόμενον, ὦ Πρώταρχε, λόγον; ἀνάγκη δέχεσθαι: Φίληβος γὰρ ἡμῖν ὁ καλὸς ἀπείρηκεν. δεῖ δὴ περὶ αὐτῶν τρόπῳ παντὶ τἀληθές πῃ περανθῆναι;
","δυνατός μεταλαμβάνω : δυνατός μετέχω ὠφελιμώτατον ἅπας πᾶς οὖσί ἐσομένοις . μῶν οὔπως λέγω , Φίληβος , ἑκάτερος ; πᾶς μάλιστα , Σώκρατες . δέχῃμι νῦν δίδωμι , Πρώταρχος , λόγος ; ἀνάγκη δέχομαι : Φίληβος καλός ἀπείρηκεν . δεῖ τρόπος πᾶς ἀληθής πη περανθῆναι ; 
"
3,..11d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dPhileb.%3Asection%3D11d," δεῖ γὰρ οὖν. ἴθι δή, πρὸς τούτοις διομολογησώμεθα καὶ τόδε. τὸ ποῖον; ὡς νῦν ἡμῶν ἑκάτερος ἕξιν ψυχῆς καὶ διάθεσιν ἀποφαίνειν τινὰ ἐπιχειρήσει τὴν δυναμένην ἀνθρώποις πᾶσι τὸν βίον εὐδαίμονα παρέχειν. ἆρ᾽ οὐχ οὕτως; οὕτω μὲν οὖν. οὐκοῦν ὑμεῖς μὲν τὴν τοῦ χαίρειν, ἡμεῖς δ᾽ αὖ τὴν τοῦ φρονεῖν; ἔστι ταῦτα. τί δ᾽ ἂν ἄλλη τις κρείττων τούτων φανῇ; μῶν οὐκ,
","  δεῖ . εἶμι , μιδιομολογήσκω . ποῖος ; νῦν ἑκάτερος ἕξις ψυχή διάθεσις ἀποφαίνω ἐπιχειρέω δυναμένην ἄνθρωπος πᾶς βίος εὐδαίμων παρέχω . ἆρ᾽ ; . οὐκοῦν χαίρω , δέ αὖ φρονέω ; . δέ κρείσσων φαίνω ; μῶν , 
"
4,..11e,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dPhileb.%3Asection%3D11e,"ἂν μὲν ἡδονῇ μᾶλλον φαίνηται συγγενής, ἡττώμεθα μὲν ἀμφότεροι τοῦ ταῦτα ἔχοντος βεβαίως βίου, κρατεῖ δὲ ὁ τῆς
","ἡδονή μᾶλλον φαίνω συγγενής , ἡττάομαι ἀμφότερος ἔχω βέβαιος βίος , κρατέω 
"
5,..12a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dPhileb.%3Asection%3D12a,"ἡδονῆς τὸν τῆς φρονήσεως; ναί. ἂν δέ γε φρονήσει, νικᾷ μὲν φρόνησις τὴν ἡδονήν, ἡ δὲ ἡττᾶται; ταῦθ᾽ οὕτως ὁμολογούμενά φατε, ἢ πῶς; ἐμοὶ γοῦν δοκεῖ. τί δὲ Φιλήβῳ; τί φῄς; ἐμοὶ μὲν πάντως νικᾶν ἡδονὴ δοκεῖ καὶ δόξει: σὺ δέ, Πρώταρχε, αὐτὸς γνώσῃ. παραδούς, ὦ Φίληβε, ἡμῖν τὸν λόγον οὐκ ἂν ἔτι κύριος εἴης τῆς πρὸς Σωκράτη ὁμολογίας ἢ καὶ τοὐναντίον.
","ἡδονή φρονήσεως ; ναί . φρόνησις , νικάω φρόνησις ἡδονή , ἡττάω ; ταῦθ᾽ ὁμολογούμενά φατε , πῶς ; γοῦν δοκέω . Φίληβος ; φημί ; πάντως νικάω ἡδονή δοκέω δοκέω : , Πρώταρχος , γιγνώσκω . παραδίδωμι , Φίληβος , λόγος κύριος Σωκράτης ὁμολογία ἐναντίος . 
"
6,..12b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dPhileb.%3Asection%3D12b," ἀληθῆ λέγεις: ἀλλὰ γὰρ ἀφοσιοῦμαι καὶ μαρτύρομαι νῦν αὐτὴν τὴν θεόν. καὶ ἡμεῖς σοι τούτων γε αὐτῶν συμμάρτυρες ἂν εἶμεν, ὡς ταῦτα ἔλεγες ἃ λέγεις. ἀλλὰ δὴ τὰ μετὰ ταῦτα ἑξῆς, ὦ Σώκρατες, ὅμως καὶ μετὰ Φιλήβου ἑκόντος ἢ ὅπως ἂν ἐθέλῃ πειρώμεθα περαίνειν. πειρατέον, ἀπ᾽ αὐτῆς δὴ τῆς θεοῦ, ἣν ὅδε Ἀφροδίτην μὲν λέγεσθαί φησι, τὸ δ᾽ ἀληθέστατον αὐτῆς ὄνομα ἡδονὴν εἶναι. ὀρθότατα.
","  ἀληθής λέγω : ἀφοσιέομαι μαρτύρομαι νῦν θεός . συμμάρτυρες εἶμί , ἔλεγω λέγω . ἑξῆς , Σώκρατες , ὅμως Φιλήβος ἑκόντος ὅπως ἐθέλω πειρέω περαίνω . πειρατέω , ἀπ᾽ θεός , ἀφροδίτη λέγγομαί φημί , δέ ἀληθής ὄνομα ἡδονή . ὀρθός . 
"
7,..12c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dPhileb.%3Asection%3D12c," τὸ δ᾽ ἐμὸν δέος, ὦ Πρώταρχε, ἀεὶ πρὸς τὰ τῶν θεῶν ὀνόματα οὐκ ἔστι κατ᾽ ἄνθρωπον, ἀλλὰ πέρα τοῦ μεγίστου φόβου. καὶ νῦν τὴν μὲν Ἀφροδίτην, ὅπῃ ἐκείνῃ φίλον, ταύτῃ προσαγορεύω: τὴν δὲ ἡδονὴν οἶδα ὡς ἔστι ποικίλον, καὶ ὅπερ εἶπον, ἀπ᾽ ἐκείνης ἡμᾶς ἀρχομένους ἐνθυμεῖσθαι δεῖ καὶ σκοπεῖν ἥντινα φύσιν ἔχει. ἔστι γάρ, ἀκούειν μὲν οὕτως ἁπλῶς, ἕν τι, μορφὰς δὲ δήπου παντοίας εἴληφε καί τινα τρόπον ἀνομοίους ἀλλήλαις. ἰδὲ γάρ: ἥδεσθαι μέν φαμεν
","  δέ δέος , Πρώταρχος , ἀεί θεός ὄνομα κατ᾽ ἄνθρωπος , πέρα μέγας φόβος . νῦν ἀφροδίτη , ὅπη ἐκεῖνος φίλος , προσαγορεύω : ἡδονή οἶδα ποικίλος , ὅσπερ εἶπον , ἀπ᾽ ἐκεῖνος ἄρχω ἐνθυμέω δεῖ σκοπέω φύσις ἔχω . , ἀκούω ἁπλῶς , εἷς , μορφή δήπου παντοῖος εἴληφε τρόπος ἀνομοίους ἀλλήλων . ἰδέ : ἥδεσθαι φημί 
"
8,..12d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dPhileb.%3Asection%3D12d,"τὸν ἀκολασταίνοντα ἄνθρωπον, ἥδεσθαι δὲ καὶ τὸν σωφρονοῦντα αὐτῷ τῷ σωφρονεῖν: ἥδεσθαι δ᾽ αὖ καὶ τὸν ἀνοηταίνοντα καὶ ἀνοήτων δοξῶν καὶ ἐλπίδων μεστόν, ἥδεσθαι δ᾽ αὖ τὸν φρονοῦντα αὐτῷ τῷ φρονεῖν: καὶ τούτων τῶν ἡδονῶν ἑκατέρας πῶς ἄν τις ὁμοίας ἀλλήλαις εἶναι λέγων οὐκ ἀνόητος φαίνοιτο ἐνδίκως; εἰσὶ μὲν γὰρ ἀπ᾽ ἐναντίων, ὦ Σώκρατες, αὗται πραγμάτων, οὐ μὴν αὐταί γε ἀλλήλαις ἐναντίαι. πῶς γὰρ
","ἀκολασταίνω ἄνθρωπος , ἥδεσομαι σωφρονέω σωφρονέω : ἥδεσθαι δέ αὖ ἀνοηταίνω ἀνόητος δοξῶν ἐλπίς μεστός , ἥδεσομαι δέ αὖ φρονέω φρονέω : ἡδονή ἕκατερος πῶς ὅμοιος ἀλλήλων λέγω ἀνόητος φαίνω ἔνδικος ; ἀπ᾽ ἐναντίος , Σώκρατς , πρᾶγμα , μήν ἀλλήλων ἐναντίος . πῶς 
"
9,..12e,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dPhileb.%3Asection%3D12e,"ἡδονῇ γε ἡδονὴ μὴ οὐχ ὁμοιότατον ἂν εἴη, τοῦτο αὐτὸ ἑαυτῷ, πάντων χρημάτων; καὶ γὰρ χρῶμα, ὦ δαιμόνιε, χρώματι: κατά γε αὐτὸ τοῦτο οὐδὲν διοίσει τὸ χρῶμα εἶναι πᾶν, τό γε μὴν μέλαν τῷ λευκῷ πάντες γιγνώσκομεν ὡς πρὸς τῷ διάφορον εἶναι καὶ ἐναντιώτατον ὂν τυγχάνει. καὶ δὴ καὶ σχῆμα σχήματι κατὰ ταὐτόν: γένει μέν ἐστι πᾶν ἕν, τὰ δὲ μέρη τοῖς μέρεσιν
","ἡδονή ἡδονή ὁμοιός , , πᾶς χρῆμα ; χρῶμα , δαιμόνιος , χρῶμα : διοίω χρῶμα πᾶς , μήν μέλας λευκός πᾶς γιγνώσκω διάφορος ἐναντιώς τυγχάνω . σχῆμα σχῆμα ταὐτός : γένος πᾶς εἷς , μέρος μέρος 
"
