,section,path,text,lemma_text
0,.309a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dProt.%3Asection%3D309a,"πόθεν, ὦ Σώκρατες, φαίνῃ; ἢ δῆλα δὴ ὅτι ἀπὸ κυνηγεσίου τοῦ περὶ τὴν Ἀλκιβιάδου ὥραν; καὶ μήν μοι καὶ πρῴην ἰδόντι καλὸς μὲν ἐφαίνετο ἀνὴρ ἔτι, ἀνὴρ μέντοι, ὦ Σώκρατες, ὥς γ᾽ ἐν αὐτοῖς ἡμῖν εἰρῆσθαι, καὶ πώγωνος ἤδη ὑποπιμπλάμενος. εἶτα τί τοῦτο; οὐ σὺ μέντοι Ὁμήρου ἐπαινέτης εἶ,
","πόθεν , Σώκρατες , φαίνομαι ; δῆλος κυνηγεσίης Ἀλκιβιάδης ὥρα ; μήν πρῴην ὁράω καλός φαίνω ἀνήρ , ἀνήρ μέντοι , Σώκρατες , γ᾽ ἐρῶ , πώγωνς ἤδη ὑποπιμπλάμενος . εἶτα ; μέντοι Ὅμηρος ἐπαινέτης , 
"
1,.309b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dProt.%3Asection%3D309b,"ὃς ἔφη χαριεστάτην ἥβην εἶναι τοῦ πρῶτον ὑπηνήτου, ἣν νῦν Ἀλκιβιάδης ἔχει; τί οὖν τὰ νῦν; ἦ παρ᾽ ἐκείνου φαίνῃ; καὶ πῶς πρός σε ὁ νεανίας διάκειται; εὖ, ἔμοιγε ἔδοξεν, οὐχ ἥκιστα δὲ καὶ τῇ νῦν ἡμέρᾳ: καὶ γὰρ πολλὰ ὑπὲρ ἐμοῦ εἶπε βοηθῶν ἐμοί, καὶ οὖν καὶ ἄρτι ἀπ᾽ ἐκείνου ἔρχομαι. ἄτοπον μέντοι τί σοι ἐθέλω εἰπεῖν: παρόντος γὰρ ἐκείνου, οὔτε προσεῖχον τὸν νοῦν, ἐπελανθανόμην τε αὐτοῦ θαμά.
","φημί χαριής ἥβη πρῶτος ὑπηνήτου , νῦν Ἀλκιβιάδης ἔχω ; νῦν ; παρ᾽ ἐκεῖνος φαίνομαι ; πῶς νεανίας διάκειμαι ; εὖ , δοκέω , ἥκιστος νῦν ἡμέρα : πολύς εἶπον βοηθέω , ἄρτι ἀπ᾽ ἐκεῖνος ἔρχομαι . ἄτοπος μέντοι ἐθέλω εἶπον : πάρειμι ἐκεῖνος , προσέχω νόος , ἐπελανθανόμην θαμά . 
"
2,.309c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dProt.%3Asection%3D309c," καὶ τί ἂν γεγονὸς εἴη περὶ σὲ κἀκεῖνον τοσοῦτον πρᾶγμα; οὐ γὰρ δήπου τινὶ καλλίονι ἐνέτυχες ἄλλῳ ἔν γε τῇδε τῇ πόλει. καὶ πολύ γε. τί φῄς; ἀστῷ ἢ ξένῳ; ξένῳ. ποδαπῷ; Ἀβδηρίτῃ. καὶ οὕτω καλός τις ὁ ξένος ἔδοξέν σοι εἶναι, ὥστε τοῦ Κλεινίου ὑέος καλλίων σοι φανῆναι; πῶς δ᾽ οὐ μέλλει, ὦ μακάριε, τὸ σοφώτατον κάλλιον φαίνεσθαι; ἀλλ᾽ ἦ σοφῷ τινι ἡμῖν, ὦ Σώκρατες, ἐντυχὼν πάρει;
","  γίγνομαι κἀκεῖνος τοσοῦτος πρᾶγμα ; δήπου καλλίων ἐνέτυχες πόλις . πολύς . φημί ; ἀστός ξένος ; ξένος . ποδαπῷς ; Ἀβδηρίτης . καλός ξένος ἔδοξέν , Κλεινίας ὑέος καλλίων φαίνω ; πῶς δέ μέλλω , μακάριος , σόφος καλός φαίνω ; ἀλλ᾽ σοφός , Σώκρατες , ἐντυχὼν πάρειμι ; 
"
3,.309d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dProt.%3Asection%3D309d," σοφωτάτῳ μὲν οὖν δήπου τῶν γε νῦν, εἴ σοι δοκεῖ σοφώτατος εἶναι Πρωταγόρας. ὢ τί λέγεις; Πρωταγόρας ἐπιδεδήμηκεν; τρίτην γε ἤδη ἡμέραν. καὶ ἄρτι ἄρα ἐκείνῳ συγγεγονὼς ἥκεις;
","  σοφός δήπου νῦν , δοκέω σοφός Πρωταγόρας . λέγω ; Πρωταγόρας ἐπιδεδήμηκεν ; τρίτος ἤδη ἡμέρα . ἄρτι ἐκεῖνος συγγεγονώς ἥκω ; 
"
4,.310a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dProt.%3Asection%3D310a," πάνυ γε, πολλὰ καὶ εἰπὼν καὶ ἀκούσας. τί οὖν οὐ διηγήσω ἡμῖν τὴν συνουσίαν, εἰ μή σέ τι κωλύει, καθεζόμενος ἐνταυθί, ἐξαναστήσας τὸν παῖδα τουτονί; πάνυ μὲν οὖν: καὶ χάριν γε εἴσομαι, ἐὰν ἀκούητε. καὶ μὴν καὶ ἡμεῖς σοί, ἐὰν λέγῃς. διπλῆ ἂν εἴη ἡ χάρις. ἀλλ᾽ οὖν ἀκούετε.τῆς γὰρ παρελθούσης νυκτὸς ταυτησί, ἔτι βαθέος ὄρθρου, Ἱπποκράτης, ὁ Ἀπολλοδώρου ὑὸς Φάσωνος δὲ ἀδελφός, τὴν
","  πάνυ , πολύς εἶπον ἀκούω . διηγέω συνουσία , κωλύω , καθέζομαι ἐνταυθίν , ἐξανίστημι παῖς τουτονί ; πάνυ : χάρις εἶμι , ἀκούω . μήν , λέγω . διπλῆ χάρις . ἀλλ᾽ ἀκούετε.τῆς παρελμθάνω νύξ ταυτησί , βαθής ὄρθρος , ἱπποκράτης , Ἀπολλοδώρος ὗς Φάσων ἀδελφός , 
"
5,.310b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dProt.%3Asection%3D310b,"θύραν τῇ βακτηρίᾳ πάνυ σφόδρα ἔκρουε, καὶ ἐπειδὴ αὐτῷ ἀνέῳξέ τις, εὐθὺς εἴσω ᾔει ἐπειγόμενος, καὶ τῇ φωνῇ μέγα λέγων, ὦ Σώκρατες, ἔφη, ἐγρήγορας ἢ καθεύδεις; καὶ ἐγὼ τὴν φωνὴν γνοὺς αὐτοῦ, Ἱπποκράτης, ἔφην, οὗτος: μή τι νεώτερον ἀγγέλλεις; οὐδέν γ᾽, ἦ δ᾽ ὅς, εἰ μὴ ἀγαθά γε. εὖ ἂν λέγοις, ἦν δ᾽ ἐγώ: ἔστι δὲ τί, καὶ τοῦ ἕνεκα τηνικάδε ἀφίκου; Πρωταγόρας, ἔφη, ἥκει, στὰς παρ᾽ ἐμοί. πρῴην, ἔφην ἐγώ: σὺ δὲ ἄρτι πέπυσαι; νὴ τοὺς θεούς, ἔφη, ἑσπέρας γε.
","θύρα βακτηρία πάνυ σφόδρα ἔκρουε , ἐπεί ἀνέῳξέ , εὐθύς εἴσω εἶμι ἐπείγω , φωνή μέγας λέγω , Σώκρατες , φημί , ἐγρήγορας καθεύδω ; φωνή γιγνώσκω , ἱπποκράτης , φημί , : νέος ἀγγέλλω ; γ᾽ , δέ , ἀγαθός . εὖ λέγω , δέ : , ἕνεκα τηνικάδε ἀφικνέομαι ; Πρωταγόρας , φημί , ἥκω , ἵστημι παρ᾽ . πρῴην , φημί : ἄρτι πέπυσαι ; νή θεός , φημί , ἑσπέρα . 
"
6,.310c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dProt.%3Asection%3D310c,"καὶ ἅμα ἐπιψηλαφήσας τοῦ σκίμποδος ἐκαθέζετο παρὰ τοὺς πόδας μου, καὶ εἶπεν: ἑσπέρας δῆτα, μάλα γε ὀψὲ ἀφικόμενος ἐξ Οἰνόης. ὁ γάρ τοι παῖς με ὁ Σάτυρος ἀπέδρα: καὶ δῆτα μέλλων σοι φράζειν ὅτι διωξοίμην αὐτόν, ὑπό τινος ἄλλου ἐπελαθόμην. ἐπειδὴ δὲ ἦλθον καὶ δεδειπνηκότες ἦμεν καὶ ἐμέλλομεν ἀναπαύεσθαι, τότε μοι ἁδελφὸς λέγει ὅτι ἥκει Πρωταγόρας. καὶ ἔτι μὲν ἐνεχείρησα εὐθὺς παρὰ σὲ ἰέναι, ἔπειτά μοι λίαν πόρρω ἔδοξε τῶν νυκτῶν εἶναι: ἐπειδὴ
","ἅμα ἐπιψηλαφέω σκίμπος καθέζομαι πούς , εἶπον : ἑσπέρα δῆτα , μάλα ὀψέ ἀφικνέομαι Οἰνόα . παῖς Σάτυρος ἀποδιδράσκω : δῆτα μέλλω φράζω διωξνέομαι , ἐπελαθόμην . ἐπεί ἔρχομαι δεδειπνηκότες μέλλω ἀναπαύω , τότε ἁδελφός λέγω ἥκω Πρωταγόρας . ἐνεχείρησα εὐθύς εἶμι , ἔπειτα λίαν πρόσω δοκέω νυκτή : ἐπεί 
"
7,.310d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dProt.%3Asection%3D310d,"δὲ τάχιστά με ἐκ τοῦ κόπου ὁ ὕπνος ἀνῆκεν, εὐθὺς ἀναστὰς οὕτω δεῦρο ἐπορευόμην. καὶ ἐγὼ γιγνώσκων αὐτοῦ τὴν ἀνδρείαν καὶ τὴν πτοίησιν, τί οὖν σοι, ἦν δ᾽ ἐγώ, τοῦτο; μῶν τί σε ἀδικεῖ Πρωταγόρας; καὶ ὃς γελάσας, νὴ τοὺς θεούς, ἔφη, ὦ Σώκρατες, ὅτι γε μόνος ἐστὶ σοφός, ἐμὲ δὲ οὐ ποιεῖ. ἀλλὰ ναὶ μὰ Δία, ἔφην ἐγώ, ἂν αὐτῷ διδῷς ἀργύριον καὶ πείθῃς ἐκεῖνον, ποιήσει καὶ σὲ σοφόν. εἰ γάρ, ἦ δ᾽ ὅς, ὦ Ζεῦ καὶ θεοί, ἐν
","ταχύς κόπος ὕπνος ἀνίημι , εὐθύς ἀνίστημι δεῦρο πορεύομαι . γιγνώσκω ἀνδρεία πτοίησις , , δέ , ; μῶν ἀδικέω Πρωταγόρας ; γελάω , νή θεός , φημί , Σώκρατες , μόνος σοφός , ποιέω . ναί μά ζεύς , φημί , διδῷμι ἀργύριον πείθω ἐκεῖνος , ποιέω σοφός . , δέ , ζεύς θεός , 
"
8,.310e,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dProt.%3Asection%3D310e,"τούτῳ εἴη: ὡς οὔτ᾽ ἂν τῶν ἐμῶν ἐπιλίποιμι οὐδὲν οὔτε τῶν φίλων: ἀλλ᾽ αὐτὰ ταῦτα καὶ νῦν ἥκω παρὰ σέ, ἵνα ὑπὲρ ἐμοῦ διαλεχθῇς αὐτῷ. ἐγὼ γὰρ ἅμα μὲν καὶ νεώτερός εἰμι, ἅμα δὲ οὐδὲ ἑώρακα Πρωταγόραν πώποτε οὐδ᾽ ἀκήκοα οὐδέν: ἔτι γὰρ παῖς ἦ ὅτε τὸ πρότερον ἐπεδήμησε. ἀλλὰ γάρ, ὦ Σώκρατες, πάντες τὸν ἄνδρα ἐπαινοῦσιν καί φασιν σοφώτατον εἶναι λέγειν: ἀλλὰ τί οὐ βαδίζομεν παρ᾽ αὐτόν, ἵνα
",": οὔτ᾽ ἐπιλίποιμι φίλος : ἀλλ᾽ νῦν ἥκω , ἵνα διαλεχθῇς . ἅμα νέός , ἅμα ὁράω Πρωταγόρας πώποτε οὐδέ ἀκήκοα : παῖς ὅτε πρότερος ἐπεδήμησε . , Σώκρατες , πᾶς ἀνήρ ἐπαινέω φημί σόφος λέγω : βαδίζω παρ᾽ , ἵνα 
"
9,.311a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0177%3atext%3dProt.%3Asection%3D311a,"ἔνδον καταλάβωμεν; καταλύει δ᾽, ὡς ἐγὼ ἤκουσα, παρὰ Καλλίᾳ τῷ Ἱππονίκου: ἀλλ᾽ ἴωμεν. καὶ ἐγὼ εἶπον: μήπω, ἀγαθέ, ἐκεῖσε ἴωμεν—πρῲ γάρ ἐστιν—ἀλλὰ δεῦρο ἐξαναστῶμεν εἰς τὴν αὐλήν, καὶ περιιόντες αὐτοῦ διατρίψωμεν ἕως ἂν φῶς γένηται: εἶτα ἴωμεν. καὶ γὰρ τὰ πολλὰ Πρωταγόρας ἔνδον διατρίβει, ὥστε, θάρρει, καταληψόμεθα αὐτόν, ὡς τὸ εἰκός, ἔνδον.μετὰ ταῦτα ἀναστάντες εἰς τὴν αὐλὴν περιῇμεν: καὶ ἐγὼ
","ἔνδον καταλαμβάνω ; καταλύω δέ , ἀκούω , Καλλίᾳ ἱππόνικος : ἀλλ᾽ εἶμι . εἶπον : μήπω , ἀγαθός , ἐκεῖσε εἶμι — πρῲ — δεῦρο ἐξαναστίημι αὐλή , περιιόντες διατρίψωμεν ἕως φῶς γίγνομαι : εἶτα εἶμι . πολύς Πρωταγόρας ἔνδον διατρίβω , , θαρρέω , καταλαμβάνω , ἔοικα , ἔνδον.μετὰ ἀνίστημι αὐλή περιεῇμι : 
"
