,section,path,text,lemma_text
0,1.327a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3Atext%3A1999.01.0167%3Abook%3D1%3Asection%3D327a," κατέβην χθὲς εἰς Πειραιᾶ μετὰ Γλαύκωνος τοῦ Ἀρίστωνος προσευξόμενός τε τῇ θεῷ καὶ ἅμα τὴν ἑορτὴν βουλόμενος θεάσασθαι τίνα τρόπον ποιήσουσιν ἅτε νῦν πρῶτον ἄγοντες. καλὴ μὲν οὖν μοι καὶ ἡ τῶν ἐπιχωρίων πομπὴ ἔδοξεν εἶναι, οὐ μέντοι ἧττον ἐφαίνετο πρέπειν ἣν οἱ Θρᾷκες ἔπεμπον.
","  καταβαίνω χθὲς πειραιεύς Γλαύκων ἀρίστων προσευξόμενός θεός ἅμα ἑορτή βούλομαι θεάομαι τρόπος ποιέω ἅτε νῦν πρῶτος ἄγω . καλός ἐπιχώριος πομπὴ δοκέω , μέντοι ἥσσων φαίνω πρέπω Θρᾷκς πέμπω . 
"
1,1.327b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3Atext%3A1999.01.0167%3Abook%3D1%3Asection%3D327b,"προσευξάμενοι δὲ καὶ θεωρήσαντες ἀπῇμεν πρὸς τὸ ἄστυ. κατιδὼν οὖν πόρρωθεν ἡμᾶς οἴκαδε ὡρμημένους Πολέμαρχος ὁ Κεφάλου ἐκέλευσε δραμόντα τὸν παῖδα περιμεῖναί ἑ κελεῦσαι. καί μου ὄπισθεν ὁ παῖς λαβόμενος τοῦ ἱματίου, κελεύει ὑμᾶς, ἔφη, Πολέμαρχος περιμεῖναι. καὶ ἐγὼ μετεστράφην τε καὶ ἠρόμην ὅπου αὐτὸς εἴη. οὗτος, ἔφη, ὄπισθεν προσέρχεται: ἀλλὰ περιμένετε. ἀλλὰ περιμενοῦμεν, ἦ δ᾽ ὃς ὁ Γλαύκων.
","προσεύχομαι θεωρέω ἀπεῇμι ἄστυ . κατεῖδον πόρρωθεν οἴκαδε ὡρμάη πολέμαρχος Κεφάλος κελεύω δραμίσκω παῖς περιμεῖναί ἕ κελεύω . ὄπισθεν παῖς λαμβάνω ἱμάτιον , κελεύω , φημί , πολέμαρχος περιμένω . μετεστράφην ἠρόμην ὅπου . , φημί , ὄπισθεν προσέρχομαι : περιμένω . περιμενέω , δέ Γλαύκων . 
"
2,1.327c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3Atext%3A1999.01.0167%3Abook%3D1%3Asection%3D327c,"καὶ ὀλίγῳ ὕστερον ὅ τε Πολέμαρχος ἧκε καὶ Ἀδείμαντος ὁ τοῦ Γλαύκωνος ἀδελφὸς καὶ Νικήρατος ὁ Νικίου καὶ ἄλλοι τινὲς ὡς ἀπὸ τῆς πομπῆς.ὁ οὖν Πολέμαρχος ἔφη: ὦ Σώκρατες, δοκεῖτέ μοι πρὸς ἄστυ ὡρμῆσθαι ὡς ἀπιόντες.οὐ γὰρ κακῶς δοξάζεις, ἦν δ᾽ ἐγώ.ὁρᾷς οὖν ἡμᾶς, ἔφη, ὅσοι ἐσμέν;πῶς γὰρ οὔ;ἢ τοίνυν τούτων, ἔφη, κρείττους γένεσθε ἢ μένετ᾽ αὐτοῦ.οὐκοῦν, ἦν δ᾽ ἐγώ, ἔτι ἓν λείπεται, τὸ ἢν πείσωμεν ὑμᾶς ὡς χρὴ ἡμᾶς ἀφεῖναι;ἦ καὶ δύναισθ᾽ ἄν, ἦ δ᾽ ὅς, πεῖσαι μὴ ἀκούοντας;οὐδαμῶς, ἔφη ὁ Γλαύκων.ὡς τοίνυν μὴ ἀκουσομένων, οὕτω διανοεῖσθε.
","ὀλίγος ὕστερος πολέμαρχος ἥκω ἀδείμαντος Γλαύκων ἀδελφός Νικήρατος Νικίας πομπῆς.ὁ πολέμαρχος φημί : Σώκρατες , δοκέω ἄστυ ὡρμῆσθαι ἀπιόντες.οὐ κακός δοξάζω , δέ ἐγώ.ὁρᾷς , φημί , ὅσος ἐσμέν;πῶς οὔ;ἢ τοίνυν , φημί , κρείσσων γίγνμαε μένετ᾽ αὐτοῦ.οὐκοῦν , δέ , εἷς λείπω , πείω χρή ἀφεῖναι;ἦ δύναισθ᾽ , δέ , πείθω ἀκούοντας;οὐδαμῶς , φημί Γλαύκων.ὡς τοίνυν ἀκουσομένων , διανοέω . 
"
3,1.328a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3Atext%3A1999.01.0167%3Abook%3D1%3Asection%3D328a,"καὶ ὁ Ἀδείμαντος, ἆρά γε, ἦ δ᾽ ὅς, οὐδ᾽ ἴστε ὅτι λαμπὰς ἔσται πρὸς ἑσπέραν ἀφ᾽ ἵππων τῇ θεῷ;ἀφ᾽ ἵππων; ἦν δ᾽ ἐγώ: καινόν γε τοῦτο. λαμπάδια ἔχοντες διαδώσουσιν ἀλλήλοις ἁμιλλώμενοι τοῖς ἵπποις; ἢ πῶς λέγεις;οὕτως, ἔφη ὁ Πολέμαρχος. καὶ πρός γε παννυχίδα ποιήσουσιν, ἣν ἄξιον θεάσασθαι: ἐξαναστησόμεθα γὰρ μετὰ τὸ δεῖπνον καὶ τὴν παννυχίδα θεασόμεθα. καὶ συνεσόμεθά τε πολλοῖς τῶν νέων αὐτόθι καὶ διαλεξόμεθα. ἀλλὰ μένετε
","ἀδείμαντος , ἆρα , δέ , οὐδέ οἶδα λαμπὰς ἑσπέρα ἀφ᾽ ἵππος θεῷ;ἀφ᾽ ἵππος ; δέ : καινός . λαμπάδιον ἔχω διαδίδωμι ἀλλήλων ἁμιλλάω ἵππος ; πῶς λέγεις;οὕτως , φημί πολέμαρχος . παννυχίς ποιέω , ἄξιος θεάομαι : ἐξαναστάνω δεῖπνον παννυχίς θεασόμεθα . συνεσόμεθά πολύς νέος αὐτόθι διαλεξόμεθα . μένω 
"
4,1.328b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3Atext%3A1999.01.0167%3Abook%3D1%3Asection%3D328b,"καὶ μὴ ἄλλως ποιεῖτε.καὶ ὁ Γλαύκων, ἔοικεν, ἔφη, μενετέον εἶναι.ἀλλ᾽ εἰ δοκεῖ, ἦν δ᾽ ἐγώ, οὕτω χρὴ ποιεῖν.ἦιμεν οὖν οἴκαδε εἰς τοῦ Πολεμάρχου, καὶ Λυσίαν τε αὐτόθι κατελάβομεν καὶ Εὐθύδημον, τοὺς τοῦ Πολεμάρχου ἀδελφούς, καὶ δὴ καὶ Θρασύμαχον τὸν Καλχηδόνιον καὶ Χαρμαντίδην τὸν Παιανιᾶ καὶ Κλειτοφῶντα τὸν Ἀριστωνύμου: ἦν δ᾽ ἔνδον καὶ ὁ πατὴρ ὁ τοῦ Πολεμάρχου Κέφαλος. καὶ μάλα πρεσβύτης μοι ἔδοξεν εἶναι: διὰ χρόνου γὰρ καὶ
","ποιεῖτε.καὶ Γλαύκων , ἔοικα , φημί , μενετέον εἶναι.ἀλλ᾽ δοκέω , δέ , χρή ποιεῖν.ἦειμι οἴκαδε πολέμαρχος , Λυσία αὐτόθι κατελάβομεν Εὐθύδημος , πολέμαρχος ἀδελφός , Θρασύμαχος Καλχηδόνιος Χαρμαντίδης Παιανιᾶ Κλειτοφῶντα ἀριστωνύμος : δέ ἔνδον πατήρ πολέμαρχος Κέφαλος . μάλα πρεσβύτης δοκέω : χρόνος 
"
5,1.328c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3Atext%3A1999.01.0167%3Abook%3D1%3Asection%3D328c,"ἑωράκη αὐτόν. καθῆστο δὲ ἐστεφανωμένος ἐπί τινος προσκεφαλαίου τε καὶ δίφρου: τεθυκὼς γὰρ ἐτύγχανεν ἐν τῇ αὐλῇ. ἐκαθεζόμεθα οὖν παρ᾽ αὐτόν: ἔκειντο γὰρ δίφροι τινὲς αὐτόθι κύκλῳ.εὐθὺς οὖν με ἰδὼν ὁ Κέφαλος ἠσπάζετό τε καὶ εἶπεν: ὦ Σώκρατες, οὐ δὲ θαμίζεις ἡμῖν καταβαίνων εἰς τὸν Πειραιᾶ. χρῆν μέντοι. εἰ μὲν γὰρ ἐγὼ ἔτι ἐν δυνάμει ἦ τοῦ ῥᾳδίως πορεύεσθαι πρὸς τὸ ἄστυ, οὐδὲν ἂν σὲ ἔδει δεῦρο
","ἑωράκη . κάθημαι στεφανόω προσκεφαλαίου δίφρος : τεθυκώς τυγχάνω αὐλή . ἐκαθεζόμεθα παρ᾽ : ἔκειμαι δίφρος αὐτόθι κύκλῳ.εὐθύς εἶδον Κέφαλος ἠσπάζετό εἶπον : Σώκρατες , θαμίζω καταβαίνω πειραιεύς . χρή μέντοι . δύναμις ῥᾴδιος πορεύομαι ἄστυ , δεῖ δεῦρο 
"
6,1.328d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3Atext%3A1999.01.0167%3Abook%3D1%3Asection%3D328d,"ἰέναι, ἀλλ᾽ ἡμεῖς ἂν παρὰ σὲ ᾖμεν: νῦν δέ σε χρὴ πυκνότερον δεῦρο ἰέναι. ὡς εὖ ἴσθι ὅτι ἔμοιγε ὅσον αἱ ἄλλαι αἱ κατὰ τὸ σῶμα ἡδοναὶ ἀπομαραίνονται, τοσοῦτον αὔξονται αἱ περὶ τοὺς λόγους ἐπιθυμίαι τε καὶ ἡδοναί. μὴ οὖν ἄλλως ποίει, ἀλλὰ τοῖσδέ τε τοῖς νεανίσκοις σύνισθι καὶ δεῦρο παρ᾽ ἡμᾶς φοίτα ὡς παρὰ φίλους τε καὶ πάνυ οἰκείους.καὶ μήν, ἦν δ᾽ ἐγώ, ὦ Κέφαλε, χαίρω γε διαλεγόμενος
","εἶμι , ἀλλ᾽ ᾖμί : νῦν χρή πυκνός δεῦρο εἶμι . εὖ οἶδα ὅσος σῶμα ἡδονή ἀπομαραίνω , τοσοῦτος αὔξω λόγος ἐπιθυμία ἡδονή . ποιέω , ὅδέ νεάνισκος σύνισμι δεῦρο παρ᾽ φοιτάω φίλος πάνυ οἰκείους.καὶ μήν , δέ , Κέφαλος , χαίρω διαλέγομαι 
"
7,1.328e,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3Atext%3A1999.01.0167%3Abook%3D1%3Asection%3D328e,"τοῖς σφόδρα πρεσβύταις: δοκεῖ γάρ μοι χρῆναι παρ᾽ αὐτῶν πυνθάνεσθαι, ὥσπερ τινὰ ὁδὸν προεληλυθότων ἣν καὶ ἡμᾶς ἴσως δεήσει πορεύεσθαι, ποία τίς ἐστιν, τραχεῖα καὶ χαλεπή, ἢ ῥᾳδία καὶ εὔπορος. καὶ δὴ καὶ σοῦ ἡδέως ἂν πυθοίμην ὅτι σοι φαίνεται τοῦτο, ἐπειδὴ ἐνταῦθα ἤδη εἶ τῆς ἡλικίας ὃ δὴ ἐπὶ γήραος οὐδῷ φασιν εἶναι οἱ ποιηταί, πότερον χαλεπὸν τοῦ βίου, ἢ πῶς σὺ αὐτὸ ἐξαγγέλλεις.
","σφόδρα πρεσβύτης : δοκέω χρή παρ᾽ πυνθάνομαι , ὥσπερ ὁδός προεληλυθότων ἴσως δέησις πορεύομαι , ποῖος , τραχύς χαλεπός , ῥᾳδίος εὔπορος . ἡδέως πυνθάνομαι φαίνω , ἐπεί ἐνταῦθα ἤδη ἡλικία γήραος οὐδῷ φημί ποιητής , πότερος χαλεπός βίος , πῶς ἐξαγγέλλω . 
"
8,1.329a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3Atext%3A1999.01.0167%3Abook%3D1%3Asection%3D329a,"ἐγώ σοι, ἔφη, νὴ τὸν Δία ἐρῶ, ὦ Σώκρατες, οἷόν γέ μοι φαίνεται. πολλάκις γὰρ συνερχόμεθά τινες εἰς ταὐτὸν παραπλησίαν ἡλικίαν ἔχοντες, διασῴζοντες τὴν παλαιὰν παροιμίαν: οἱ οὖν πλεῖστοι ἡμῶν ὀλοφύρονται συνιόντες, τὰς ἐν τῇ νεότητι ἡδονὰς ποθοῦντες καὶ ἀναμιμνῃσκόμενοι περί τε τἀφροδίσια καὶ περὶ πότους τε καὶ εὐωχίας καὶ ἄλλ᾽ ἄττα ἃ τῶν τοιούτων ἔχεται, καὶ ἀγανακτοῦσιν ὡς μεγάλων τινῶν ἀπεστερημένοι καὶ τότε μὲν εὖ ζῶντες, νῦν δὲ οὐδὲ ζῶντες.
",", φημί , νή ζεύς λέγω , Σώκρατες , οἷος φαίνω . πολλάκις συνερχόμεθά παραπλησίαν ἡλικία ἔχω , διασῴζω παλαιός παροιμία : πλεῖστος ὀλοφύρομαι σύνειμι , νεότης ἡδονή ποθέω ἀναμιμνῃσκόμενοι τἀφροδίσιος πότος εὐωχία ἄλλ᾽ ἄττα ἔχω , ἀγανακτέω μέγας ἀποστερέω τότε εὖ ζῶ , νῦν ζῶ . 
"
9,1.329b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3Atext%3A1999.01.0167%3Abook%3D1%3Asection%3D329b,"ἔνιοι δὲ καὶ τὰς τῶν οἰκείων προπηλακίσεις τοῦ γήρως ὀδύρονται, καὶ ἐπὶ τούτῳ δὴ τὸ γῆρας ὑμνοῦσιν ὅσων κακῶν σφίσιν αἴτιον. ἐμοὶ δὲ δοκοῦσιν, ὦ Σώκρατες, οὗτοι οὐ τὸ αἴτιον αἰτιᾶσθαι. εἰ γὰρ ἦν τοῦτ᾽ αἴτιον, κἂν ἐγὼ τὰ αὐτὰ ταῦτα ἐπεπόνθη, ἕνεκά γε γήρως, καὶ οἱ ἄλλοι πάντες ὅσοι ἐνταῦθα ἦλθον ἡλικίας. νῦν δ᾽ ἔγωγε ἤδη ἐντετύχηκα οὐχ οὕτως ἔχουσιν καὶ ἄλλοις, καὶ δὴ καὶ Σοφοκλεῖ ποτε τῷ ποιητῇ παρεγενόμην ἐρωτωμένῳ ὑπό τινος: πῶς, ἔφη,
","ἔνιοι οἰκεῖος προπηλακίσεις γήρως ὀδύρομαι , γῆρας ὑμνέω ὅσος κακός σφεῖς αἴτιος . δοκέω , Σώκρατς , αἴτιος αἰτιάομαι . τοῦτ᾽ αἴτιος , ἐπεπόνθη , ἕνεκα γήρως , πᾶς ὅσος ἐνταῦθα ἔρχομαι ἡλικία . νῦν δέ ἤδη ἐντετύχηκα ἔχω , σοφοκλῆς ποτε ποιητής παραγίγνομαι ἐρωτῖμαω : πῶς , φημί , 
"
