,section,path,text,lemma_text
0,.216a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dSoph.%3Asection%3D216a,"κατὰ τὴν χθὲς ὁμολογίαν, ὦ Σώκρατες, ἥκομεν αὐτοί τε κοσμίως καὶ τόνδε τινὰ ξένον ἄγομεν, τὸ μὲν γένος ἐξ Ἐλέας, ἑταῖρον δὲ τῶν ἀμφὶ Παρμενίδην καὶ Ζήνωνα ἑταίρων, μάλα δὲ ἄνδρα φιλόσοφον. ἆρ᾽ οὖν, ὦ Θεόδωρε, οὐ ξένον ἀλλά τινα θεὸν ἄγων κατὰ τὸν Ὁμήρου λόγον λέληθας; ὅς φησιν ἄλλους
","χθὲς ὁμολογία , Σώκρατες , ἥκω κόσμιος ξένος ἄγω , γένος Ἐλέη , ἑταῖρος ἀμφί Παρμενίδης ζήνων ἑταῖρος , μάλα ἀνήρ φιλόσοφος . ἆρ᾽ , Θεόδωρος , ξένος θεός ἄγω Ὅμηρος λόγος λέληθας ; φημί 
"
1,.216b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dSoph.%3Asection%3D216b,"τε θεοὺς τοῖς ἀνθρώποις ὁπόσοι μετέχουσιν αἰδοῦς δικαίας, καὶ δὴ καὶ τὸν ξένιον οὐχ ἥκιστα θεὸν συνοπαδὸν γιγνόμενον ὕβρεις τε καὶ εὐνομίας τῶν ἀνθρώπων καθορᾶν. τάχ᾽ οὖν ἂν καὶ σοί τις οὗτος τῶν κρειττόνων συνέποιτο, φαύλους ἡμᾶς ὄντας ἐν τοῖς λόγοις ἐποψόμενός τε καὶ ἐλέγξων, θεὸς ὤν τις ἐλεγκτικός. οὐχ οὗτος ὁ τρόπος, ὦ Σώκρατες, τοῦ ξένου, ἀλλὰ μετριώτερος τῶν περὶ τὰς ἔριδας ἐσπουδακότων. καί μοι δοκεῖ θεὸς μὲν ἁνὴρ οὐδαμῶς εἶναι, θεῖος μήν: πάντας
    ","θεός ἄνθρωπος ὁπόος μετέχω αἰδώς δίκαιος , ξένιος ἥκιστος θεός συνοπαδὸς γίγνομαι ὕβρις εὐνομία ἄνθρωπος καθοράω . τάχ᾽ κρειττίων συνέπομαι , φαῦλος λόγος ἐποψόμενός ἐλέγζω , θεός ἐλεγκτικός . τρόπος , Σώκρατες , ξένος , μετριός ἔρις ἐσπουδακότων . δοκέω θεός νήρ οὐδαμῶς , θεῖος μήν : πᾶς 
    "
2,.216c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dSoph.%3Asection%3D216c,"γὰρ ἐγὼ τοὺς φιλοσόφους τοιούτους προσαγορεύω. καὶ καλῶς γε, ὦ φίλε. τοῦτο μέντοι κινδυνεύει τὸ γένος οὐ πολύ τι ῥᾷον ὡς ἔπος εἰπεῖν εἶναι διακρίνειν ἢ τὸ τοῦ θεοῦ: πάνυ γὰρ ἇνδρες οὗτοι παντοῖοι φανταζόμενοι διὰ τὴν τῶν ἄλλων ἄγνοιαν ἐπιστρωφῶσι πόληαςηομ. οδ. 17.485-7, οἱ μὴ πλαστῶς ἀλλ᾽ ὄντως φιλόσοφοι, καθορῶντες ὑψόθεν τὸν τῶν κάτω βίον, καὶ τοῖς μὲν δοκοῦσιν εἶναι τοῦ μηδενὸς τίμιοι, τοῖς δ᾽ ἄξιοι τοῦ παντός: καὶ τοτὲ μὲν πολιτικοὶ
","φιλόσοφος προσαγορεύω . καλός , φίλος . μέντοι κινδυνεύω γένος πολύς ῥάιος ἔπος εἶπον διακρίνω θεός : πάνυ ἇνδρες παντοῖος φανταζόμενοι ἄγνοια ἐπιστρωφάω πόληαςηομ . οδ . 17.485 - 7 , πλαστῶς ἀλλ᾽ ὄντως φιλόσοφος , καθοράω ὑψόθεν κάτω βίος , δοκέω μηδείς τίμιος , δέ ἄξιος πᾶς : τοτέ πολιτικός 
"
3,.216d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dSoph.%3Asection%3D216d,"φαντάζονται, τοτὲ δὲ σοφισταί, τοτὲ δ᾽ ἔστιν οἷς δόξαν παράσχοιντ᾽ ἂν ὡς παντάπασιν ἔχοντες μανικῶς. τοῦ μέντοι ξένου ἡμῖν ἡδέως ἂν πυνθανοίμην, εἰ φίλον αὐτῷ, τί ταῦθ᾽
","φαντάζω , τοτέ σοφιστής , τοτέ δέ δόξα παράσχοιντ᾽ παντάπασι ἔχω μανικός . μέντοι ξένος ἡδέως πυνθανοίμην , φίλος , ταῦθ᾽ 
"
4,.217a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dSoph.%3Asection%3D217a,"οἱ περὶ τὸν ἐκεῖ τόπον ἡγοῦντο καὶ ὠνόμαζον. τὰ ποῖα δή; σοφιστήν, πολιτικόν, φιλόσοφον. τί δὲ μάλιστα καὶ τὸ ποῖόν τι περὶ αὐτῶν διαπορηθεὶς ἐρέσθαι διενοήθης; τόδε: πότερον ἓν πάντα ταῦτα ἐνόμιζον ἢ δύο, ἢ καθάπερ τὰ ὀνόματα τρία, τρία καὶ τὰ γένη διαιρούμενοι καθ᾽ ἓν ὄνομα γένος ἑκάστῳ προσῆπτον; ἀλλ᾽ οὐδείς, ὡς ἐγᾦμαι, φθόνος αὐτῷ διελθεῖν αὐτά: ἢ πῶς, ὦ ξένε, λέγωμεν;
","ἐκεῖ τόπος ἡγοῦντο ὀνομάζω . ποῖος ; σοφιστής , πολιτικός , φιλόσοφος . μάλιστα ποῖος διαπορέω ἐρέσθαι διενοήθης ; : πότερος εἷς πᾶς νομίζω δύο , καθάπερ ὄνομα τρεῖς , τρεῖς γένος διαιρέω καθ᾽ εἷς ὄνομα γένος ἕκαστος προσῆπτον ; ἀλλ᾽ , ἐγ ᾦμαί , φθόνος διέρχομαι : πῶς , ξένος , λέγω ; 
"
5,.217b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dSoph.%3Asection%3D217b," οὕτως, ὦ Θεόδωρε. φθόνος μὲν γὰρ οὐδεὶς οὐδὲ χαλεπὸν εἰπεῖν ὅτι γε τρί᾽ ἡγοῦντο: καθ᾽ ἕκαστον μὴν διορίσασθαι σαφῶς τί ποτ᾽ ἔστιν, οὐ σμικρὸν οὐδὲ ῥᾴδιον ἔργον. καὶ μὲν δὴ κατὰ τύχην γε, ὦ Σώκρατες, λόγων ἐπελάβου παραπλησίων ὧν καὶ πρὶν ἡμᾶς δεῦρ᾽ ἐλθεῖν διερωτῶντες αὐτὸν ἐτυγχάνομεν, ὁ δὲ ταὐτὰ ἅπερ πρὸς σὲ νῦν καὶ τότε ἐσκήπτετο πρὸς ἡμᾶς: ἐπεὶ διακηκοέναι γέ φησιν ἱκανῶς καὶ οὐκ ἀμνημονεῖν.
","  , Θεόδωρος . φθόνος χαλεπός εἶπον τρί᾽ ἡγοῦντο : καθ᾽ ἕκαστος μήν διορίζω σαφής ποτ᾽ , μικρός ῥᾴδιος ἔργον . τύχη , Σώκρατες , λόγος ἐπελάβου παραπλήσιος πρίν δεῦρ᾽ ἔρχομαι διερωτάω ἐτυγχάνω , νῦν τότε ἐσκήπτετο : ἐπεί διακηκοέναι φημί ἱκανός ἀμνημονέω . 
"
6,.217c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dSoph.%3Asection%3D217c," μὴ τοίνυν, ὦ ξένε, ἡμῶν τήν γε πρώτην αἰτησάντων χάριν ἀπαρνηθεὶς γένῃ, τοσόνδε δ᾽ ἡμῖν φράζε. πότερον εἴωθας ἥδιον αὐτὸς ἐπὶ σαυτοῦ μακρῷ λόγῳ διεξιέναι λέγων τοῦτο ὃ ἂν ἐνδείξασθαί τῳ βουληθῇς, ἢ δι᾽ ἐρωτήσεων, οἷόν ποτε καὶ Παρμενίδῃ χρωμένῳ καὶ διεξιόντι λόγους παγκάλους παρεγενόμην ἐγὼ νέος ὤν, ἐκείνου μάλα δὴ τότε ὄντος πρεσβύτου;
","  τοίνυν , ξένος , πρῶτος αἰτέω χάρις ἀπαρνέω γίγνομαι , τοσόσδε δέ φράζω . πότερος εἴωθα ἥδιος σεαυτοῦ μακρός λόγος διέξειμι λέγω ἐνδείχομαί βουλέω , δι᾽ ἐρωτήσεων , οἷος ποτε Παρμενίδης χράω διεξιόντι λόγος παγκάλους παραγίγνομαι νέος , ἐκεῖνος μάλα τότε πρεσβύτης ; 
"
7,.217d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dSoph.%3Asection%3D217d," τῷ μέν, ὦ Σώκρατες, ἀλύπως τε καὶ εὐηνίως προσδιαλεγομένῳ ῥᾷον οὕτω, τὸ πρὸς ἄλλον: εἰ δὲ μή, τὸ καθ᾽ αὑτόν. ἔξεστι τοίνυν τῶν παρόντων ὃν ἂν βουληθῇς ἐκλέξασθαι, πάντες γὰρ ὑπακούσονταί σοι πρᾴως: συμβούλῳ μὴν ἐμοὶ χρώμενος τῶν νέων τινὰ αἱρήσῃ, Θεαίτητον τόνδε, ἢ καὶ τῶν ἄλλων εἴ τίς σοι κατὰ νοῦν. ὦ Σώκρατες, αἰδώς τίς μ᾽ ἔχει τὸ νῦν πρῶτον συγγενόμενον ὑμῖν μὴ κατὰ σμικρὸν ἔπος πρὸς ἔπος ποιεῖσθαι
","  , Σώκρατες , ἀλύπος εὐόνιης προσδιαλέγω ῥάιος , : , καθ᾽ . ἔξεστι τοίνυν πάρειμι βουλάω ἐκλέγω , πᾶς ὑπακούσονταί πρᾴος : συμβούλον μήν χράω νέος αἱρέω , Θεαίτητος , νόος . Σώκρατες , αἰδώς μ᾽ ἔχω νῦν πρῶτος συγγενόμενον μικρός ἔπος ἔπος ποιέω 
"
8,.217e,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dSoph.%3Asection%3D217e,"τὴν συνουσίαν, ἀλλ᾽ ἐκτείναντα ἀπομηκύνειν λόγον συχνὸν κατ᾽ ἐμαυτόν, εἴτε καὶ πρὸς ἕτερον, οἷον ἐπίδειξιν ποιούμενον: τῷ γὰρ ὄντι τὸ νῦν ῥηθὲν οὐχ ὅσον ὧδε ἐρωτηθὲν ἐλπίσειεν ἂν αὐτὸ εἶναί τις, ἀλλὰ τυγχάνει λόγου παμμήκους ὄν. τὸ δὲ αὖ σοὶ μὴ χαρίζεσθαι καὶ τοῖσδε, ἄλλως τε καὶ σοῦ λέξαντος ὡς εἶπες, ἄξενόν τι καταφαίνεταί μοι καὶ
","συνουσία , ἀλλ᾽ ἐκτείνω ἀπομηκύνω λόγος συχνός κατ᾽ ἐμαυτοῦ , εἴτε ἕτερος , οἷος ἐπίδειξις ποιέω : νῦν λέγω ὅσος ὧδε ἐρωτέω ἐλπίζω , τυγχάνω λόγος παμμήκης ὄς . αὖ χαρίζομαι , λέγω εἶπον , ἄξενος καταφαίνω 
"
9,.218a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dSoph.%3Asection%3D218a,"ἄγριον. ἐπεὶ Θεαίτητόν γε τὸν προσδιαλεγόμενον εἶναι δέχομαι παντάπασιν ἐξ ὧν αὐτός τε πρότερον διείλεγμαι καὶ σὺ τὰ νῦν μοι διακελεύῃ. δρᾶ τοίνυν, ὦ ξένε, οὕτω καὶ καθάπερ εἶπε Σωκράτης πᾶσιν κεχαρισμένος ἔσῃ. κινδυνεύει πρὸς μὲν ταῦτα οὐδὲν ἔτι λεκτέον εἶναι, Θεαίτητε: πρὸς δὲ σὲ ἤδη τὸ μετὰ τοῦτο, ὡς ἔοικε, γίγνοιτο ἂν ὁ λόγος. ἂν δ᾽ ἄρα τι τῷ μήκει πονῶν ἄχθῃ, μὴ ἐμὲ αἰτιᾶσθαι τούτων, ἀλλὰ τούσδε τοὺς σοὺς ἑταίρους.
","ἄγριος . ἐπεί Θεαίτητος προσδιαλέγω δέχομαι παντάπασι πρότερος διείλεγμαι νῦν διακελεύω . δράω τοίνυν , ξένος , καθάπερ εἶπον σωκράτης πᾶς χαρίζομαι . κινδυνεύω λεκτέω , Θεαίτητος : ἤδη , ἔοικα , γίγνομαι λόγος . δέ μῆκος πονέω ἄεχθω , αἰτιάομαι , ἑταῖρος . 
"
