,section,path,text,lemma_text
0,.257a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dStat.%3Asection%3D257a,"ἦ πολλὴν χάριν ὀφείλω σοι τῆς Θεαιτήτου γνωρίσεως, ὦ Θεόδωρε, ἅμα καὶ τῆς τοῦ ξένου. τάχα δέ γε, ὦ Σώκρατες, ὀφειλήσεις ταύτης τριπλασίαν: ἐπειδὰν τόν τε πολιτικὸν ἀπεργάσωνταί σοι καὶ τὸν φιλόσοφον. εἶεν: οὕτω τοῦτο, ὦ φίλε Θεόδωρε, φήσομεν ἀκηκοότες εἶναι τοῦ περὶ λογισμοὺς καὶ τὰ γεωμετρικὰ κρατίστου;
","πολύς χάρις ὀφείλω Θεαιτήτου γνωρίσεως , Θεόδωρος , ἅμα ξένος . τάχα , Σώκρατες , ὀφειλήω τριπλασίος : ἐπειδάν πολιτικός ἀπεργάσωνταί φιλόσοφος . : , φίλος Θεόδωρος , φήω ἀκούω λογισμός γεωμετρικός κρατίστου ; 
"
1,.257b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dStat.%3Asection%3D257b," πῶς, ὦ Σώκρατες; τῶν ἀνδρῶν ἕκαστον θέντος τῆς ἴσης ἀξίας, οἳ τῇ τιμῇ πλέον ἀλλήλων ἀφεστᾶσιν ἢ κατὰ τὴν ἀναλογίαν τὴν τῆς ὑμετέρας τέχνης. εὖ γε νὴ τὸν ἡμέτερον θεόν, ὦ Σώκρατες, τὸν Ἄμμωνα, καὶ δικαίως, καὶ πάνυ μὲν οὖν μνημονικῶς ἐπέπληξάς μοι τὸ περὶ τοὺς λογισμοὺς ἁμάρτημα. καὶ σὲ μὲν ἀντὶ τούτων εἰς αὖθις μέτειμι: σὺ δ᾽ ἡμῖν, ὦ ξένε, μηδαμῶς ἀποκάμῃς χαριζόμενος, ἀλλ᾽ ἑξῆς, εἴτε τὸν πολιτικὸν ἄνδρα
","  πῶς , Σώκρατες ; ἀνήρ ἕκαστος τίθημι ἴσος ἄξιος , τιμή πλέος ἀλλήλων ἀφίστημι ἀναλογία ὑμέτερος τέχνη . εὖ νή ἡμέτερος θεός , Σώκρατες , ἀμμώνας , δίκαιος , πάνυ μνημονικός ἐπέπληξάς λογισμός ἁμάρτημα . ἀντί αὖθις μέτειμι : δέ , ξένος , μηδαμός ἀποκάμω χαρίζομαι , ἀλλ᾽ ἑξῆς , εἴτε πολιτικός ἀνήρ 
"
2,.257c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dStat.%3Asection%3D257c,"πρότερον εἴτε τὸν φιλόσοφον προαιρῇ, προελόμενος διέξελθε. ταῦτ᾽, ὦ Θεόδωρε, ποιητέον: ἐπείπερ ἅπαξ γε ἐγκεχειρήκαμεν, καὶ οὐκ ἀποστατέον πρὶν ἂν αὐτῶν πρὸς τὸ τέλος ἔλθωμεν. ἀλλὰ γὰρ περὶ Θεαιτήτου τοῦδε τί χρὴ δρᾶν με; τοῦ πέρι; διαναπαύσωμεν αὐτὸν μεταλαβόντες αὐτοῦ τὸν συγγυμναστὴν τόνδε Σωκράτη; ἢ πῶς συμβουλεύεις; καθάπερ εἶπες, μεταλάμβανε: νέω γὰρ ὄντε ῥᾷον οἴσετον πάντα πόνον ἀναπαυομένω.
","πρότερος εἴτε φιλόσοφος προαιρέω , προαιρέω διέξελθε . ταῦτ᾽ , Θεόδωρος , ποιέω : ἐπείπερ ἅπαξ ἐγκεχειρήκαμεν , ἀποστατέιος πρίν τέλος ἔλθωμεν . Θεαιτήτου χρή δράω ; ; διαναπαύω μεταλαμβάνω συγγυμναστής Σωκράτης ; πῶς συμβουλεύω ; καθά εἶπον , μεταλάμβανε : νέω ὄντε ῥάιος φέρω πᾶς πόνος ἀναπαυομένω . 
"
3,.257d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dStat.%3Asection%3D257d," καὶ μὴν κινδυνεύετον, ὦ ξένε, ἄμφω ποθὲν ἐμοὶ συγγένειαν ἔχειν τινά. τὸν μέν γε οὖν ὑμεῖς κατὰ τὴν τοῦ προσώπου φύσιν ὅμοιον ἐμοὶ φαίνεσθαί φατε, τοῦ δ᾽ ἡμῖν ἡ
","  μήν κινδυνεύω , ξένος , ἄμφω ποθεν συγγένεια ἔχω . πρόσωπον φύσις ὅμοιος φαίγνομαί φατε , δέ 
"
4,.258a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dStat.%3Asection%3D258a,"κλῆσις ὁμώνυμος οὖσα καὶ ἡ πρόσρησις παρέχεταί τινα οἰκειότητα. δεῖ δὴ τούς γε συγγενεῖς ἡμᾶς ἀεὶ προθύμως διὰ λόγων ἀναγνωρίζειν. Θεαιτήτῳ μὲν οὖν αὐτός τε συνέμειξα χθὲς διὰ λόγων καὶ νῦν ἀκήκοα ἀποκρινομένου, Σωκράτους δὲ οὐδέτερα: δεῖ δὲ σκέψασθαι καὶ τοῦτον. ἐμοὶ μὲν οὖν εἰς αὖθις, σοὶ δὲ νῦν ἀποκρινέσθω. ταῦτ᾽ ἔσται. ὦ Σώκρατες, ἀκούεις δὴ Σωκράτους; ναί. συγχωρεῖς οὖν οἷς λέγει; πάνυ μὲν οὖν.
","κλῆσις ὁμώνυμος πρόσρησις παρέχω οἰκειότης . δεῖ συγγενής ἀεί πρόθυμος λόγος ἀναγνωρίζειν . Θεαιτήτῳ συνέμειξα χθὲς λόγος νῦν ἀκήκοα ἀποκρινομένου , σωκράτης οὐδέτερος : δεῖ σκέπτομαι . αὖθις , νῦν ἀποκρινέσθω . ταῦτ᾽ . Σώκρατες , ἀκούω σωκράτης ; ναί . συγχωρέω λέγω ; πάνυ . 
"
5,.258b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dStat.%3Asection%3D258b," οὐ τὰ σὰ κωλύειν φαίνεται, δεῖ δὲ ἴσως ἔτι ἧττον τἀμὰ διακωλύειν. ἀλλὰ δὴ μετὰ τὸν σοφιστὴν ἀναγκαῖον, ὡς ἐμοὶ φαίνεται, πολιτικὸν τὸν ἄνδρα διαζητεῖν νῷν: καί μοι λέγε πότερον τῶν ἐπιστημόνων τιν᾽ ἡμῖν καὶ τοῦτον θετέον, ἢ πῶς; οὕτως. τὰς ἐπιστήμας ἄρα διαληπτέον, ὥσπερ ἡνίκα τὸν πρότερον ἐσκοποῦμεν; τάχ᾽ ἄν. οὐ μὲν δὴ κατὰ ταὐτόν γε, ὦ Σώκρατες, φαίνεταί μοι τμῆμα. τί μήν;
","  κωλύω φαίνω , δεῖ ἴσως ἥσσων διακωλύω . σοφιστής ἀναγκαῖος , φαίνω , πολιτικός ἀνήρ διαζητέω : λέγω πότερος ἐπιστημόνων τιν᾽ θετέον , πῶς ; . ἐπιστήμη διαληπτέος , ὥσπερ ἡνίκα πρότερος ἐσκοπέω ; τάχ᾽ . ταὐτός , Σώκρατες , φαίνω τμῆμα . μήν ; 
"
6,.258c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dStat.%3Asection%3D258c," κατ᾽ ἄλλο. ἔοικέν γε. τὴν οὖν πολιτικὴν ἀτραπὸν πῇ τις ἀνευρήσει; δεῖ γὰρ αὐτὴν ἀνευρεῖν, καὶ χωρὶς ἀφελόντας ἀπὸ τῶν ἄλλων ἰδέαν αὐτῇ μίαν ἐπισφραγίσασθαι, καὶ ταῖς ἄλλαις ἐκτροπαῖς ἓν ἄλλο εἶδος ἐπισημηναμένους πάσας τὰς ἐπιστήμας ὡς οὔσας δύο εἴδη διανοηθῆναι τὴν ψυχὴν ἡμῶν ποιῆσαι. τοῦτ᾽ ἤδη σὸν οἶμαι τὸ ἔργον, ὦ ξένε, ἀλλ᾽ οὐκ ἐμὸν γίγνεται.
","  κατ᾽ . ἔοικέν . πολιτικός ἀτραπός πῆ ἀνευρέω ; δεῖ ἀνευρίσκω , χωρίς ἀφαιρέω ἰδέα εἷς ἐπισφραγίσομαι , ἐκτροπή εἷς εἶδος ἐπισημηννάναμαι πᾶς ἐπιστήμη δύο εἴδος διανοέω ψυχή ποιέω . τοῦτ᾽ ἤδη οἱόμαι ἔργον , ξένος , ἀλλ᾽ γίγνομαι . 
"
7,.258d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dStat.%3Asection%3D258d," δεῖ γε μήν, ὦ Σώκρατες, αὐτὸ εἶναι καὶ σόν, ὅταν ἐμφανὲς ἡμῖν γένηται. καλῶς εἶπες. ἆρ᾽ οὖν οὐκ ἀριθμητικὴ μὲν καί τινες ἕτεραι ταύτῃ συγγενεῖς τέχναι ψιλαὶ τῶν πράξεών εἰσι, τὸ δὲ γνῶναι παρέσχοντο μόνον; ἔστιν οὕτως. αἱ δέ γε περὶ τεκτονικὴν αὖ καὶ σύμπασαν χειρουργίαν ὥσπερ ἐν ταῖς πράξεσιν ἐνοῦσαν σύμφυτον τὴν
","  δεῖ μήν , Σώκρατες , , ὅταν ἐμφανής γίγνομαι . καλός εἶπον . ἆρ᾽ ἀριθμητικὴ ἕτερος συγγενής τέχνα ψιλός πρᾶξών , γιγνώσκω παρέχω μόνος ; . τεκτονικὴ αὖ σύμπας χειρουργία ὥσπερ πρᾶξις ἐνοῦσαν σύμφυτος 
"
8,.258e,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dStat.%3Asection%3D258e,"ἐπιστήμην κέκτηνται, καὶ συναποτελοῦσι τὰ γιγνόμενα ὑπ᾽ αὐτῶν σώματα πρότερον οὐκ ὄντα. τί μήν; ταύτῃ τοίνυν συμπάσας ἐπιστήμας διαίρει, τὴν μὲν πρακτικὴν προσειπών, τὴν δὲ μόνον γνωστικήν. ἔστω σοι ταῦθ᾽ ὡς μιᾶς ἐπιστήμης τῆς ὅλης εἴδη δύο. πότερον οὖν τὸν πολιτικὸν καὶ βασιλέα καὶ δεσπότην καὶ ἔτ᾽ οἰκονόμον θήσομεν ὡς ἓν πάντα ταῦτα προσαγορεύοντες, ἢ τοσαύτας τέχνας αὐτὰς εἶναι φῶμεν ὅσαπερ ὀνόματα ἐρρήθη; μᾶλλον δέ μοι δεῦρο ἕπου. πῇ;
","ἐπιστήμη κτέομαι , συναποτελέω γίγνομαι ὑπ᾽ σῶμα πρότερος . μήν ; τοίνυν συμπᾶς ἐπιστήμη διαίρει , πρακτικός προσειπώ , μόνος γνωστικός . ταῦθ᾽ εἷς ἐπιστήμη ὅλος εἴδος δύο . πότερος πολιτικός βασιλεύς δεσπότης ἔτ᾽ οἰκονόμος θέω εἷς πᾶς προσαγορεύω , τοσοῦτος τέχνη φέω ὅσαπερ ὄνομα ρρέω ; μᾶλλον δεῦρο ἕπου . πῆ ; 
"
9,.259a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0171%3atext%3dStat.%3Asection%3D259a," τῇδε. εἴ τῴ τις τῶν δημοσιευόντων ἰατρῶν ἱκανὸς συμβουλεύειν ἰδιωτεύων αὐτός, ἆρ᾽ οὐκ ἀναγκαῖον αὐτῷ προσαγορεύεσθαι τοὔνομα τῆς τέχνης ταὐτὸν ὅπερ ᾧ συμβουλεύει; ναί. τί δ᾽; ὅστις βασιλεύοντι χώρας ἀνδρὶ παραινεῖν δεινὸς ἰδιώτης ὢν αὐτός, ἆρ᾽ οὐ φήσομεν ἔχειν αὐτὸν τὴν ἐπιστήμην ἣν ἔδει τὸν ἄρχοντα αὐτὸν κεκτῆσθαι; φήσομεν.
","  . τῴ δημοσιευόντων ἰατρός ἱκανός συμβουλεύω ἰδιωτεύω , ἆρ᾽ ἀναγκαῖος προσαγορεύω ἔ νομα τέχνη ὅσπερ συμβουλεύω ; ναί . δέ ; βασιλεύω χώρα ἀνήρ παραινέω δεινός ἰδιώτης , ἆρ᾽ φήω ἔχω ἐπιστήμη δεῖ ἄρχων κατέω ; φήω . 
"
