,section,path,text,lemma_text
0,.172a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dSym.%3Asection%3D172a,"δοκῶ μοι περὶ ὧν πυνθάνεσθε οὐκ ἀμελέτητος εἶναι. καὶ γὰρ ἐτύγχανον πρῴην εἰς ἄστυ οἴκοθεν ἀνιὼν Φαληρόθεν: τῶν οὖν γνωρίμων τις ὄπισθεν κατιδών με πόρρωθεν ἐκάλεσε, καὶ παίζων ἅμα τῇ κλήσει, ὦ Φαληρεύς, ἔφη, οὗτος Ἀπολλόδωρος, οὐ περιμένεις; κἀγὼ ἐπιστὰς περιέμεινα. καὶ ὅς, Ἀπολλόδωρε, ἔφη, καὶ μὴν καὶ ἔναγχός σε ἐζήτουν βουλόμενος διαπυθέσθαι τὴν Ἀγάθωνος συνουσίαν
","δοκέω πυνθάνομαι ἀμελέτητος . τυγχάνω πρῴην ἄστυ οἴκοθεν ἀνιὼν Φαληρόθεν : γνώριμος ὄπισθεν κατεῖδον πόρρωθεν καλέω , παίζω ἅμα κλῆσις , Φαληρεύς , φημί , Ἀπολλόδωρος , περιμένω ; ἐκἀ ἐγὼ ἐφίστημι περιιμένω . , Ἀπολλόδωρε , φημί , μήν ἔναγχός ζητέω βούλομαι διαπυτίθημι Ἀγάθων συνουσία 
"
1,.172b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dSym.%3Asection%3D172b,"καὶ Σωκράτους καὶ Ἀλκιβιάδου καὶ τῶν ἄλλων τῶν τότε ἐν τῷ συνδείπνῳ παραγενομένων, περὶ τῶν ἐρωτικῶν λόγων τίνες ἦσαν: ἄλλος γάρ τίς μοι διηγεῖτο ἀκηκοὼς Φοίνικος τοῦ Φιλίππου, ἔφη δὲ καὶ σὲ εἰδέναι. ἀλλὰ γὰρ οὐδὲν εἶχε σαφὲς λέγειν. σὺ οὖν μοι διήγησαι: δικαιότατος γὰρ εἶ τοὺς τοῦ ἑταίρου λόγους ἀπαγγέλλειν. πρότερον δέ μοι, ἦ δ᾽ ὅς, εἰπέ, σὺ αὐτὸς παρεγένου τῇ συνουσίᾳ ταύτῃ ἢ οὔ; κἀγὼ εἶπον ὅτι παντάπασιν ἔοικέ σοι οὐδὲν διηγεῖσθαι
","σωκράτης Ἀλκιβιάδης τότε συνδεῖπνον παραγίγνομαι , ἐρωτικός λόγος : διηγέομαι ἀκούω φοῖνιξ φίλιππος , φημί οἶδα . ἔχω σαφής λέγω . διήγηζω : δίκαιος ἑταῖρος λόγος ἀπαγγέλλω . πρότερος , δέ , λέγω , παρεγένου συνουσία ; ἐκἀ ἐγὼ εἶπον παντάπασι ἔοικέ διηγέω 
"
2,.172c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dSym.%3Asection%3D172c,"σαφὲς ὁ διηγούμενος, εἰ νεωστὶ ἡγῇ τὴν συνουσίαν γεγονέναι ταύτην ἣν ἐρωτᾷς, ὥστε καὶ ἐμὲ παραγενέσθαι. ἐγώ γε δή, ἔφη. πόθεν, ἦν δ᾽ ἐγώ, ὦ Γλαύκων; οὐκ οἶσθ᾽ ὅτι πολλῶν ἐτῶν Ἀγάθων ἐνθάδε οὐκ ἐπιδεδήμηκεν, ἀφ᾽ οὗ δ᾽ ἐγὼ Σωκράτει συνδιατρίβω καὶ ἐπιμελὲς πεποίημαι ἑκάστης ἡμέρας εἰδέναι ὅτι ἂν λέγῃ ἢ πράττῃ, οὐδέπω τρία ἔτη ἐστίν;
","σαφής διηγέομαι , νεωστί ἡγῇμι συνουσία γίγνομαι ἐρωτάω , παραγίγνομαι . , φημί . πόθεν , δέ , Γλαύκων ; οἶσθ᾽ πολύς ἔτος Ἀγάθων ἐνθάδε ἐπιδεδήμηκα , ἀφ᾽ δέ Σωκράτει συνδιατρίβω ἐπιμελής πεποίημαι ἕκαστος ἡμέρα οἶδα λέγω πράττω , οὐδέπω τρεῖς ἔτος ; 
"
3,.173a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dSym.%3Asection%3D173a,"πρὸ τοῦ δὲ περιτρέχων ὅπῃ τύχοιμι καὶ οἰόμενος τὶ ποιεῖν ἀθλιώτερος ἦ ὁτουοῦν, οὐχ ἧττον ἢ σὺ νυνί, οἰόμενος δεῖν πάντα μᾶλλον πράττειν ἢ φιλοσοφεῖν. καὶ ὅς, μὴ σκῶπτ᾽, ἔφη, ἀλλ᾽ εἰπέ μοι πότε ἐγένετο ἡ συνουσία αὕτη. κἀγὼ εἶπον ὅτι παίδων ὄντων ἡμῶν ἔτι, ὅτε τῇ πρώτῃ τραγῳδίᾳ ἐνίκησεν Ἀγάθων, τῇ ὑστεραίᾳ ἢ ᾗ τὰ ἐπινίκια ἔθυεν αὐτός τε καὶ οἱ χορευταί. πάνυ, ἔφη, ἄρα πάλαι, ὡς ἔοικεν. ἀλλὰ τίς σοι διηγεῖτο; ἢ αὐτὸς Σωκράτης;
","πρό περιτρέχω ὅπη τύχοιμι οἴομαι τὶς ποιέω ἄθλιος ὁτουοῦν , ἥσσων νυνί , οἴομαι δεῖ πᾶς μᾶλλον πράσσω φιλοσοφέω . , σκῶπτ᾽ , φημί , ἀλλ᾽ εἶπον πότε γίγνομαι συνουσία . ἐκἀ ἐγὼ εἶπον παῖς , ὅτε πρῶτος τραγῳδία νικάω Ἀγάθος , ὑστεραῖος ἐπινίκιος θύω χορευτής . πάνυ , φημί , πάλαι , ἔοικα . διηγέομαι ; σωκράτης ; 
"
4,.173b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dSym.%3Asection%3D173b,"οὐ μὰ τὸν Δία, ἦν δ᾽ ἐγώ, ἀλλ᾽ ὅσπερ Φοίνικι. Ἀριστόδημος ἦν τις, Κυδαθηναιεύς, σμικρός, ἀνυπόδητος ἀεί: παρεγεγόνει δ᾽ ἐν τῇ συνουσίᾳ, Σωκράτους ἐραστὴς ὢν ἐν τοῖς μάλιστα τῶν τότε, ὡς ἐμοὶ δοκεῖ. οὐ μέντοι ἀλλὰ καὶ Σωκράτη γε ἔνια ἤδη ἀνηρόμην ὧν ἐκείνου ἤκουσα, καί μοι ὡμολόγει καθάπερ ἐκεῖνος διηγεῖτο. τί οὖν, ἔφη, οὐ διηγήσω μοι; πάντως δὲ ἡ ὁδὸς ἡ εἰς ἄστυ ἐπιτηδεία πορευομένοις καὶ λέγειν καὶ ἀκούειν.οὕτω δὴ ἰόντες ἅμα τοὺς λόγους περὶ αὐτῶν ἐποιούμεθα,
","μά ζεύς , δέ , ἀλλ᾽ φοῖνιξ . ἀριστόδημος , Κυδαθηναιεύς , σμικρός , ἀνυπόδητος ἀεί : παρεγίγνομαι δέ συνουσία , σωκράτης ἐραστής μάλιστα τότε , δοκέω . μέντοι Σωκράτης ἔνιοι ἤδη ἀνηρνέομαι ἐκεῖνος ἀκούω , ὁμολογέω καθά ἐκεῖνος διηγέω . , φημί , διηγάω ; πάντως ὁδός ἄστυ ἐπιτηδείος πορεύομαι λέγω ἀκούειν.οὕτω εἶμι ἅμα λόγος ἐποιούμεθα , 
"
5,.173c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dSym.%3Asection%3D173c,"ὥστε, ὅπερ ἀρχόμενος εἶπον, οὐκ ἀμελετήτως ἔχω. εἰ οὖν δεῖ καὶ ὑμῖν διηγήσασθαι, ταῦτα χρὴ ποιεῖν. καὶ γὰρ ἔγωγε καὶ ἄλλως, ὅταν μέν τινας περὶ φιλοσοφίας λόγους ἢ αὐτὸς ποιῶμαι ἢ ἄλλων ἀκούω, χωρὶς τοῦ οἴεσθαι ὠφελεῖσθαι ὑπερφυῶς ὡς χαίρω: ὅταν δὲ ἄλλους τινάς, ἄλλως τε καὶ τοὺς ὑμετέρους τοὺς τῶν πλουσίων καὶ χρηματιστικῶν, αὐτός τε ἄχθομαι ὑμᾶς τε τοὺς ἑταίρους ἐλεῶ, ὅτι οἴεσθε τὶ ποιεῖν
",", ὅσπερ ἄρχω εἶπον , ἀμελετήτως ἔχω . δεῖ διηγέομαι , χρή ποιέω . , ὅταν φιλοσοφία λόγος ποιῶ ἀκούω , χωρίς οἴομαι ὠφελέω ὑπερφυής χαίρω : ὅταν τὶς , ὑμέτερος πλουσίος χρηματιστικός , ἄχθομαι ἑταῖρος ἐλεέω , οἴεμαι τὶς ποιέω 
"
6,.173d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dSym.%3Asection%3D173d,"οὐδὲν ποιοῦντες. καὶ ἴσως αὖ ὑμεῖς ἐμὲ ἡγεῖσθε κακοδαίμονα εἶναι, καὶ οἴομαι ὑμᾶς ἀληθῆ οἴεσθαι: ἐγὼ μέντοι ὑμᾶς οὐκ οἴομαι ἀλλ᾽ εὖ οἶδα. ἀεὶ ὅμοιος εἶ, ὦ Ἀπολλόδωρε: ἀεὶ γὰρ σαυτόν τε κακηγορεῖς καὶ τοὺς ἄλλους, καὶ δοκεῖς μοι ἀτεχνῶς πάντας ἀθλίους ἡγεῖσθαι πλὴν Σωκράτους, ἀπὸ σαυτοῦ ἀρξάμενος. καὶ ὁπόθεν ποτὲ ταύτην τὴν ἐπωνυμίαν ἔλαβες τὸ μαλακὸς καλεῖσθαι, οὐκ οἶδα ἔγωγε: ἐν μὲν γὰρ τοῖς λόγοις ἀεὶ τοιοῦτος εἶ, σαυτῷ τε καὶ τοῖς ἄλλοις ἀγριαίνεις πλὴν Σωκράτους.
","ποιέω . ἴσως αὖ ἡγέομαι κακοδαίμων , οἴομαι ἀληθής οἴομαι : μέντοι οἴομαι ἀλλ᾽ εὖ οἶδα . ἀεί ὁμοῖος , Ἀπολλδῦωρος : ἀεί σεαυτόν κακηγορέω , δοκέω ἀτεχνῶς πᾶς ἀθλίους ἡγέομαι πλήν σωκράτης , σεαυτοῦ ἄρχω . ὁπόθεν ποτε ἐπωνυμία λαμβάνω μαλακός καλέω , οἶδα : λόγος ἀεί , σεαυτοῦ ἀγριαίνω πλήν σωκράτης . 
"
7,.173e,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dSym.%3Asection%3D173e," ὦ φίλτατε, καὶ δῆλόν γε δὴ ὅτι οὕτω διανοούμενος καὶ περὶ ἐμαυτοῦ καὶ περὶ ὑμῶν μαίνομαι καὶ παραπαίω; οὐκ ἄξιον περὶ τούτων, Ἀπολλόδωρε, νῦν ἐρίζειν: ἀλλ᾽ ὅπερ ἐδεόμεθά σου, μὴ ἄλλως ποιήσῃς, ἀλλὰ διήγησαι τίνες ἦσαν οἱ λόγοι. ἦσαν τοίνυν ἐκεῖνοι τοιοίδε τινές—μᾶλλον δ᾽
","  φίλτατος , δῆλος διανοέομαι ἐμαυτοῦ μαίνομαι παραπαίω ; ἄξιος , Ἀπολλόδωρος , νῦν ἐρίζω : ἀλλ᾽ ὅσπερ ἐδεόμεθά , ποιέω , διήγηζω λόγος . τοίνυν ἐκεῖνος τοιόσδε — μᾶλλον δέ 
"
8,.174a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dSym.%3Asection%3D174a,"ἐξ ἀρχῆς ὑμῖν ὡς ἐκεῖνος διηγεῖτο καὶ ἐγὼ πειράσομαι διηγήσασθαι.ἔφη γάρ οἱ Σωκράτη ἐντυχεῖν λελουμένον τε καὶ τὰς βλαύτας ὑποδεδεμένον, ἃ ἐκεῖνος ὀλιγάκις ἐποίει: καὶ ἐρέσθαι αὐτὸν ὅποι ἴοι οὕτω καλὸς γεγενημένος.καὶ τὸν εἰπεῖν ὅτι ἐπὶ δεῖπνον εἰς Ἀγάθωνος. χθὲς γὰρ αὐτὸν διέφυγον τοῖς ἐπινικίοις, φοβηθεὶς τὸν ὄχλον: ὡμολόγησα δ᾽ εἰς τήμερον παρέσεσθαι. ταῦτα δὴ ἐκαλλωπισάμην, ἵνα καλὸς παρὰ καλὸν ἴω. ἀλλὰ σύ, ἦ δ᾽ ὅς, πῶς
","ἀρχή ἐκεῖνος διηγεμαῖ πειράομαι διηγήσασθαι.ἔφη Σωκράτης ἐντυγχάνω λελουμένον βλαύτη ὑποδεδεμένον , ἐκεῖνος ὀλιγάκις ποιέω : ἐράνομαι ὅποι ἴω καλός γεγενημένος.καί εἶπον δεῖπνον Ἀγάθων . χθὲς διαφεύγω ἐπινικίος , φοβέω ὄχλος : ὡμολόγησα δέ τήμερον παρέσεσθαι . ἐκαλλωπισάμην , ἵνα καλός καλός εἶμι . , δέ , πῶς 
"
9,.174b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0173%3atext%3dSym.%3Asection%3D174b,"ἔχεις πρὸς τὸ ἐθέλειν ἂν ἰέναι ἄκλητος ἐπὶ δεῖπνον;κἀγώ, ἔφη, εἶπον ὅτι οὕτως ὅπως ἂν σὺ κελεύῃς.ἕπου τοίνυν, ἔφη, ἵνα καὶ τὴν παροιμίαν διαφθείρωμεν μεταβαλόντες, ὡς ἄρα καὶ Ἀγάθων᾽ ἐπὶ δαῖτας ἴασιν αὐτόματοι ἀγαθοί. Ὅμηρος μὲν γὰρ κινδυνεύει οὐ μόνον διαφθεῖραι ἀλλὰ καὶ ὑβρίσαι εἰς ταύτην τὴν παροιμίαν: ποιήσας γὰρ τὸν Ἀγαμέμνονα διαφερόντως ἀγαθὸν ἄνδρα
    ","ἔχω ἐθέλω εἶμι ἄκλητος δεῖπνον;κἀγώ , φημί , εἶπον ὅπως κελεύῃς.ἕπου τοίνυν , φημί , ἵνα παροιμία διαφθείρω μεταβάλλω , Ἀγάθων᾽ δαῖτη ἴασις αὐτόματος ἀγαθός . ὅμηρος κινδυνεύω μόνος διαφθείρω ὑβρίζω παροιμία : ποιέω ἀγαμέμνων διαφερόντως ἀγαθός ἀνήρ 
    "
