,section,path,text,lemma_text
0,.121a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dTheag.%3Asection%3D121a,"ὦ Σώκρατες, ἐδεόμην ἄττα σοι ἰδιολογήσασθαι, εἰ σχολή: κἂν εἰ ἀσχολία δὲ μὴ πάνυ τις μεγάλη, ὅμως ἐμοῦ ἕνεκα ποίησαι σχολήν. ἀλλὰ καὶ ἄλλως τυγχάνω σχολάζων, καὶ δὴ σοῦ γε ἕνεκα καὶ πάνυ. ἀλλ᾽ εἴ τι βούλει λέγειν, ἔξεστιν. βούλει οὖν δεῦρο εἰς τὴν τοῦ Διὸς τοῦ ἐλευθερίου στοὰν ἐκποδὼν ἀποχωρήσωμεν; εἰ σοὶ δοκεῖ.
","Σώκρατες , ἐδεόμην ἄττα ἰδιολογέομαι , σχολή : ἀσχολία πάνυ μέγας , ὅμως ἕνεκα ποίησαι σχολή . τυγχάνω σχολάζω , ἕνεκα πάνυ . ἀλλ᾽ βούλομαι λέγω , ἔξεστι . βούλομαι δεῦρο ζεύς ἐλευθερίου στοὰ ἐκποδών ἀποχωρέω ; δοκέω . 
"
1,.121b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dTheag.%3Asection%3D121b," ἴωμεν δή. ὦ Σώκρατες, πάντα τὰ φυτὰ κινδυνεύει τὸν αὐτὸν τρόπον ἔχειν, καὶ τὰ ἐκ τῆς γῆς φυόμενα καὶ τὰ ζῷα τά τε ἄλλα καὶ ἅνθρωπος. καὶ γὰρ ἐν τοῖς φυτοῖς ῥᾷστον ἡμῖν τοῦτο γίγνεται, ὅσοι τὴν γῆν γεωργοῦμεν, τὸ παρασκευάσασθαι πάντα τὰ πρὸ τοῦ φυτεύειν καὶ αὐτὸ τὸ φυτεῦσαι: ἐπειδὰν δὲ τὸ φυτευθὲν βιῷ, μετὰ τοῦτο θεραπεία τοῦ φύντος καὶ πολλὴ καὶ χαλεπὴ καὶ δύσκολος
","  εἶμι . Σώκρατες , πᾶς φυτόν κινδυνεύω τρόπος ἔχω , γῆ φύω ζῷον νθρωπος . φυτός ῥᾷστον γίγνομαι , ὅσος γῆ γεωργοῦ , παρασκευάζω πᾶς πρό φυτεύω φυτεύω : ἐπειδάν φυτευθὲν βιῷ , θεραπεία φύς πολύς χαλεπός δύσκολος 
"
2,.121c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dTheag.%3Asection%3D121c,"γίγνεται. οὕτω δὲ ἔχειν ἔοικε καὶ τὸ περὶ τῶν ἀνθρώπων: ἀπὸ τῶν ἐμαυτοῦ ἐγὼ πραγμάτων τεκμαίρομαι καὶ ἐς τἆλλα. καὶ γὰρ ἐμοὶ ἡ τοῦ ὑέος τουτουΐ, εἴτε φυτείαν εἴτε παιδοποιίαν δεῖ αὐτὴν ὀνομάζειν, πάντων ῥᾴστη γέγονεν, ἡ δὲ τροφὴ δύσκολός τε καὶ ἀεὶ ἐν φόβῳ περὶ αὐτοῦ δεδιότι. τὰ μὲν οὖν ἄλλα πολλὰ ἂν εἴη λέγειν, ἡ δὲ νῦν παροῦσα ἐπιθυμία τούτῳ πάνυ με φοβεῖ—ἔστι μὲν γὰρ οὐκ ἀγεννής, σφαλερὰ δέ—ἐπιθυμεῖ γὰρ δὴ οὗτος ἡμῖν, ὦ Σώκρατες, ὥς
","γίγνομαι . ἔχω ἔοικα ἄνθρωπος : ἐμαυτοῦ πρᾶγμα τεκμαίρομαι τἆ λλος . ὑές τουτουΐ , εἴτε φυτεία εἴτε παιδοποιία δεῖ ὀνομάζω , πᾶς ῥᾴστη γίγνομαι , τροφή δύσκολός ἀεί φόβος δεδιότι . πολύς λέγω , νῦν πάρειμι ἐπιθυμία πάνυ φοβέω — ἀγεννής , σφαλερός — ἐπιθυμέω , Σώκρατες , 
"
3,.121d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dTheag.%3Asection%3D121d,"φησι, σοφὸς γενέσθαι. δοκῶ γάρ μοι, τῶν ἡλικιωτῶν τινες αὐτοῦ καὶ δημοτῶν, εἰς τὸ ἄστυ καταβαίνοντες, λόγους τινὰς ἀπομνημονεύοντες διαταράττουσιν αὐτόν, οὓς ἐζήλωκεν καὶ πάλαι μοι πράγματα παρέχει, ἀξιῶν ἐπιμεληθῆναί με ἑαυτοῦ καὶ χρήματα τελέσαι τινὶ τῶν σοφιστῶν, ὅστις αὐτὸν σοφὸν ποιήσει. ἐμοὶ δὲ τῶν μὲν χρημάτων καὶ ἔλαττον
","φημί , σοφός γίγνομαι . δοκέω , ἡλικιωτῶν δημοτής , ἄστυ καταβαίνω , λόγος ἀπομνημονεύω διαταράττω , ἐζήλωκεν πάλαι πρᾶγμα παρέχω , ἀξιόω ἐπιμεληθῆναί χρῆμα τελέω σοφιστῶν , σοφός ποιέω . χρῆμα ἐλάσσων 
"
4,.122a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dTheag.%3Asection%3D122a,"μέλει, ἡγοῦμαι δὲ τοῦτον οὐκ εἰς μικρὸν κίνδυνον ἰέναι οἷ σπεύδει. τέως μὲν οὖν αὐτὸν κατεῖχον παραμυθούμενος: ἐπειδὴ δὲ οὐκέτι οἷός τέ εἰμι, ἡγοῦμαι κράτιστον εἶναι πείθεσθαι αὐτῷ, ἵνα μὴ πολλάκις ἄνευ ἐμοῦ συγγενόμενός τῳ διαφθαρῇ. νῦν οὖν ἥκω ἐπ᾽ αὐτὰ ταῦτα, ἵνα τῳ τούτων τῶν σοφιστῶν δοκούντων εἶναι συστήσω τουτονί. σὺ οὖν ἡμῖν εἰς καλὸν παρεφάνης, ᾧ ἂν ἐγὼ μάλιστα ἐβουλόμην περὶ τῶν τοιούτων μέλλων πράξειν συμβουλεύσασθαι. ἀλλ᾽ εἴ τι ἔχεις συμβουλεύειν ἐξ ὧν ἐμοῦ ἀκήκοας, ἔξεστί τε
","μέλω , ἡγέομαι μικρός κίνδυνος εἶμι ἕ σπεύδω . τέως κατέχω παραμυθέομαι : ἐπεί οὐκέτι οἷος , ἡγέομαι κρείσσων πείθω , ἵνα πολλάκις ἄνευ συγγίγνόμαι διαφθαρῇ . νῦν ἥκω ἐπ᾽ , ἵνα σοφιστῶν δοκέω συστήω τουτονί . καλός παρεφάνης , μάλιστα βούλομαι μέλλω πράσσω συμβουλεύω . ἀλλ᾽ ἔχω συμβουλεύω ἀκούω , ἔξεστι 
"
5,.122b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dTheag.%3Asection%3D122b,"καὶ χρή. ἀλλὰ μὲν δή, ὦ Δημόδοκε, καὶ λέγεταί γε συμβουλὴ ἱερὸν χρῆμα εἶναι. εἴπερ οὖν καὶ ἄλλη ἡτισοῦν ἐστιν ἱερά, καὶ αὕτη ἂν εἴη περὶ ἧς σὺ νῦν συμβουλεύῃ: οὐ γὰρ ἔστι περὶ ὅτου θειοτέρου ἂν ἄνθρωπος βουλεύσαιτο ἢ περὶ παιδείας καὶ αὑτοῦ καὶ τῶν αὑτοῦ οἰκείων. πρῶτον μὲν οὖν ἐγώ τε καὶ σὺ συνομολογήσωμεν τί ποτε οἰόμεθα τοῦτο εἶναι περὶ οὗ βουλευόμεθα: μὴ γὰρ πολλάκις ἐγὼ
","χρή . , Δημόδοκος , λέγω συμβουλή ἱερός χρῆμα . εἴπερ ἡτισοιῦν ἱερός , νῦν συμβουλεύω : θειοός ἄνθρωπος βουλεύσαμαι παιδεία οἰκεῖος . πρῶτος συνομολογέω ποτε οἴομαι βουλεύω : πολλάκις 
"
6,.122c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dTheag.%3Asection%3D122c,"μὲν ἄλλο τι αὐτὸ ὑπολαμβάνω, σὺ δὲ ἄλλο, κἄπειτα πόρρω που τῆς συνουσίας αἰσθώμεθα γελοῖοι ὄντες, ἐγώ τε ὁ συμβουλεύων καὶ σὺ ὁ συμβουλευόμενος, μηδὲν τῶν αὐτῶν ἡγούμενοι. ἀλλά μοι δοκεῖς ὀρθῶς λέγειν, ὦ Σώκρατες, καὶ ποιεῖν χρὴ οὕτω. καὶ λέγω γε ὀρθῶς, οὐ μέντοι παντάπασί γε: σμικρὸν γάρ τι μετατίθεμαι. ἐννοῶ γὰρ μὴ καὶ ὁ μειρακίσκος οὗτος οὐ τούτου ἐπιθυμεῖ οὗ ἡμεῖς αὐτὸν οἰόμεθα
","ὑπολαμβάνω , , κἄπειτα πρόσω πού συνουσία αἰσθώμεθα γελοῖος , συμβουλεύω συμβουλεύω , μηδείς ἡγέομαι . δοκέω ὀρθός λέγω , Σώκρατες , ποιέω χρή . λέγω ὀρθός , μέντοι παντάπασί : μικρός μετατίθημι . ἐννοέω μειρακίσκος ἐπιθυμέω οἴομαι 
"
7,.122d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dTheag.%3Asection%3D122d,"ἐπιθυμεῖν ἀλλ᾽ ἑτέρου, εἶτ᾽ αὖ ἡμεῖς ἔτι ἀτοπώτεροι ὦμεν περὶ ἄλλου του βουλευόμενοι. ὀρθότατον οὖν μοι δοκεῖ εἶναι ἀπ᾽ αὐτοῦ τούτου ἄρχεσθαι, διαπυνθανομένους ὅτι καὶ ἔστιν οὗ ἐπιθυμεῖ. κινδυνεύει γοῦν οὕτω βέλτιστον εἶναι ὡς σὺ λέγεις. εἰπὲ δή μοι, τί καλὸν ὄνομα τῷ νεανίσκῳ; τί αὐτὸν προσαγορεύωμεν; Θεάγης ὄνομα τούτῳ, ὦ Σώκρατες. καλόν γε, ὦ Δημόδοκε, τῷ ὑεῖ τὸ ὄνομα ἔθου καὶ
","ἐπιθυμέω ἀλλ᾽ ἕτερος , εἶτ᾽ αὖ ἀτοπώς εἰμί βουλεύω . ὀρθός δοκέω ἀπ᾽ ἄρχω , διαπυνθανομένους ἐπιθυμέω . κινδυνεύω γοῦν βέλτιστος λέγω . εἶπον , καλός ὄνομα νεανίσκος ; προσαγορεύω ; Θεάγης ὄνομα , Σώκρατες . καλός , Δημόδοκος , ὑεύς ὄνομα τίθημι 
"
8,.122e,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dTheag.%3Asection%3D122e,"ἱεροπρεπές. εἰπὲ δὴ ἡμῖν, ὦ Θέαγες, ἐπιθυμεῖν φῂς σοφὸς γενέσθαι, καὶ ἀξιοῖς σου τὸν πατέρα τόνδε ἐξευρεῖν ἀνδρός τινος συνουσίαν τοιούτου ὅστις σε σοφὸν ποιήσει; ναί. σοφοὺς δὲ καλεῖς πότερον τοὺς ἐπιστήμονας, περὶ ὅτου ἂν ἐπιστήμονες ὦσιν, ἢ τοὺς μή; τοὺς ἐπιστήμονας ἔγωγε. τί οὖν; οὐκ ἐδιδάξατό σε ὁ πατὴρ καὶ ἐπαίδευσεν ἅπερ ἐνθάδε οἱ ἄλλοι πεπαίδευνται, οἱ τῶν καλῶν κἀγαθῶν πατέρων ὑεῖς, οἷον γράμματά τε καὶ κιθαρίζειν καὶ παλαίειν καὶ τὴν ἄλλην ἀγωνίαν; ἐμέ γε.
","ἱεροπρεπής . εἶπον , Θέαξ , ἐπιθυμέω φημί σοφός γίγνομαι , ἀξιόω πατήρ ἐξευρίσκω ἀνήρ συνουσία σοφός ποιέω ; ναί . σοφός καλέω πότερον ἐπιστήμων , ἐπιστήμονες , ; ἐπιστήμων . ; ἐδιδάξατό πατήρ ἐπαίδευσεν ἐνθάδε πεπαίδευνται , καλός κἀγηθός πατήρ ὑέω , οἷος γράμματον κιθαρίζω παλαίω ἀγωνία ; . 
"
9,.123a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0175%3atext%3dTheag.%3Asection%3D123a," ἔτι οὖν οἴει τινὸς ἐπιστήμης ἐλλείπειν, ἧς προσήκει ὑπὲρ σοῦ τὸν πατέρα ἐπιμεληθῆναι; ἔγωγε. τίς ἐστιν αὕτη; εἰπὲ καὶ ἡμῖν, ἵνα σοι χαρισώμεθα. οἶδεν καὶ οὗτος, ὦ Σώκρατες—ἐπεὶ πολλάκις ἐγὼ αὐτῷ εἴρηκα—ἀλλὰ ταῦτα ἐξεπίτηδες πρὸς σὲ λέγει, ὡς δὴ οὐκ εἰδὼς οὗ ἐγὼ ἐπιθυμῶ: τοιαῦτα γὰρ ἕτερα καὶ πρὸς ἐμὲ μάχεταί τε καὶ οὐκ ἐθέλει με οὐδενὶ συστῆσαι. ἀλλὰ τὰ μὲν ἔμπροσθέν σοι ἦν πρὸς τοῦτον ῥηθέντα
","  οἴει ἐπιστήμη ἐλλείπω , προσήκω πατήρ ἐπιμελάω ; . ; εἶπον , ἵνα χαρισίδωμι . οἶδα , Σώκρατες — ἐπεί πολλάκις λέγω — ἐξεπίτηδες λέγω , οἶδα ἐπιθυμέω : ἕτερος μάχομαι ἐθέλω συστῆζω . ἔμπροσθεν ἐρῶ 
"
