,section,path,text,lemma_text
0,.17a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dTim.%3Asection%3D17a,"εἷς, δύο, τρεῖς: ὁ δὲ δὴ τέταρτος ἡμῖν, ὦ φίλε Τίμαιε, ποῦ τῶν χθὲς μὲν δαιτυμόνων, τὰ νῦν δὲ ἑστιατόρων; ἀσθένειά τις αὐτῷ συνέπεσεν, ὦ Σώκρατες: οὐ γὰρ ἂν ἑκὼν τῆσδε ἀπελείπετο τῆς συνουσίας. οὐκοῦν σὸν τῶνδέ τε ἔργον καὶ τὸ ὑπὲρ τοῦ ἀπόντος ἀναπληροῦν μέρος;
","εἷς , δύο , τρεῖς : τέταρτος , φίλος Τίμαιος , ποῦ χθὲς δαιτυμών , νῦν ἑστιατόρων ; ἀσθένειά πίπτω , Σώκρατες : ἑκών ἀπολείπω συνουσία . οὐκοῦν ἔργον ἄπειμι ἀναπληρόω μέρος ; 
"
1,.17b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dTim.%3Asection%3D17b," πάνυ μὲν οὖν, καὶ κατὰ δύναμίν γε οὐδὲν ἐλλείψομεν: οὐδὲ γὰρ ἂν εἴη δίκαιον, χθὲς ὑπὸ σοῦ ξενισθέντας οἷς ἦν πρέπον ξενίοις, μὴ οὐ προθύμως σὲ τοὺς λοιποὺς ἡμῶν ἀνταφεστιᾶν. ἆρ᾽ οὖν μέμνησθε ὅσα ὑμῖν καὶ περὶ ὧν ἐπέταξα εἰπεῖν; τὰ μὲν μεμνήμεθα, ὅσα δὲ μή, σὺ παρὼν ὑπομνήσεις: μᾶλλον δέ, εἰ μή τί σοι χαλεπόν, ἐξ ἀρχῆς διὰ βραχέων πάλιν ἐπάνελθε αὐτά, ἵνα βεβαιωθῇ μᾶλλον παρ᾽ ἡμῖν.
","  πάνυ , δύναμις ἐλλείπω : δίκαιος , χθὲς ξενίζω πρέπω ξενίοις , πρόθυμος λοιπός ἀνταφεστιᾶν . ἆρ᾽ μιμνῄσκω ὅσος ἐπατάσσω εἶπον ; μεμνήμεθα , ὅσος , πάρειμι ὑπομνέω : μᾶλλον , χαλεπός , ἀρχή βράχος πάλιν ἐπάνελθε , ἵνα βεβαιόω μᾶλλον παρ᾽ . 
"
2,.17c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dTim.%3Asection%3D17c," ταῦτ᾽ ἔσται. χθές που τῶν ὑπ᾽ ἐμοῦ ῥηθέντων λόγων περὶ πολιτείας ἦν τὸ κεφάλαιον οἵα τε καὶ ἐξ οἵων ἀνδρῶν ἀρίστη κατεφαίνετ᾽ ἄν μοι γενέσθαι. καὶ μάλα γε ἡμῖν, ὦ Σώκρατες, ῥηθεῖσα πᾶσιν κατὰ νοῦν. ἆρ᾽ οὖν οὐ τὸ τῶν γεωργῶν ὅσαι τε ἄλλαι τέχναι πρῶτον ἐν αὐτῇ χωρὶς διειλόμεθα ἀπὸ τοῦ γένους τοῦ τῶν προπολεμησόντων; ναί. καὶ κατὰ φύσιν δὴ δόντες τὸ καθ᾽ αὑτὸν ἑκάστῳ
","  ταῦτ᾽ . χθές πού ὑπ᾽ ἐρῶ λόγος πολιτεία κεφάλαιον οἷος οἷος ἀνήρ ἄριστος κατεφαίνετ᾽ γίγνομαι . μάλα , Σώκρατες , ῥέω πᾶς νόος . ἆρ᾽ γεωργός ὅσος τέχνη πρῶτος χωρίς διειλόμεθα γένος προπολεμέω ; ναί . φύσις δίδωμι καθ᾽ ἕκαστος 
"
3,.17d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dTim.%3Asection%3D17d,"πρόσφορον ἓν μόνον ἐπιτήδευμα, μίαν ἑκάστῳ τέχνην, τούτους οὓς πρὸ πάντων ἔδει πολεμεῖν, εἴπομεν ὡς ἄρ᾽ αὐτοὺς δέοι φύλακας εἶναι μόνον τῆς πόλεως, εἴτε τις ἔξωθεν ἢ καὶ τῶν ἔνδοθεν ἴοι κακουργήσων, δικάζοντας μὲν πρᾴως τοῖς
","πρόσφορος εἷς μόνος ἐπιτήδευμα , εἷς ἕκαστος τέχνη , πρό πᾶς δεῖ πολεμέω , εἴπομεν ἄρ᾽ δέω φύλαξ μόνος πόλις , εἴτε ἔξωθεν ἔνδοθεν ἴω κακουργέω , δικάζω πρᾴως 
"
4,.18a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dTim.%3Asection%3D18a,"ἀρχομένοις ὑπ᾽ αὐτῶν καὶ φύσει φίλοις οὖσιν, χαλεποὺς δὲ ἐν ταῖς μάχαις τοῖς ἐντυγχάνουσιν τῶν ἐχθρῶν γιγνομένους. παντάπασι μὲν οὖν. φύσιν γὰρ οἶμαί τινα τῶν φυλάκων τῆς ψυχῆς ἐλέγομεν ἅμα μὲν θυμοειδῆ, ἅμα δὲ φιλόσοφον δεῖν εἶναι διαφερόντως, ἵνα πρὸς ἑκατέρους δύναιντο ὀρθῶς πρᾷοι καὶ χαλεποὶ γίγνεσθαι. ναί. τί δὲ τροφήν; ἆρ᾽ οὐ γυμναστικῇ καὶ μουσικῇ μαθήμασίν τε ὅσα προσήκει τούτοις, ἐν ἅπασι τεθράφθαι; πάνυ μὲν οὖν.
","ἀρχομένοις ὑπ᾽ φύσις φίλος , χαλεπός μάχη ἐντυγχάνω ἐχθρός γιγνομένους . παντάπασι . φύσις οἶμαι φυλακός ψυχή ἐλέγω ἅμα θυμοειδής , ἅμα φιλόσοφος δεῖ διαφερόντως , ἵνα ἑκάτερος δύναμαι ὀρθός πρᾷοι χαλεπός γίγνομαι . ναί . τροφή ; ἆρ᾽ γυμναστικῇ μουσική μαθῆμα ὅσος προσήκω , ἅπας τεθράφθαι ; πάνυ . 
"
5,.18b,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dTim.%3Asection%3D18b," τοὺς δέ γε οὕτω τραφέντας ἐλέχθη που μήτε χρυσὸν μήτε ἄργυρον μήτε ἄλλο ποτὲ μηδὲν κτῆμα ἑαυτῶν ἴδιον νομίζειν δεῖν, ἀλλ᾽ ὡς ἐπικούρους μισθὸν λαμβάνοντας τῆς φυλακῆς παρὰ τῶν σῳζομένων ὑπ᾽ αὐτῶν, ὅσος σώφροσιν μέτριος, ἀναλίσκειν τε δὴ κοινῇ καὶ συνδιαιτωμένους μετὰ ἀλλήλων ζῆν, ἐπιμέλειαν ἔχοντας ἀρετῆς διὰ παντός, τῶν ἄλλων ἐπιτηδευμάτων ἄγοντας σχολήν. ἐλέχθη καὶ ταῦτα ταύτῃ.
","  τραφέντας λέγω πού μήτε χρυσός μήτε ἄργυρος μήτε ποτε μηδείς κτῆμα ἴδιος νομίζω δεῖ , ἀλλ᾽ ἐπίκουρος μισθός λαμβάνω φυλακή σῳζομένων ὑπ᾽ , ὅσος σώφρος μέτριος , ἀναλίσκω κοινῇ συνδιαιτάω ἀλλήλων ζῶ , ἐπιμέλεια ἔχω ἀρετή πᾶς , ἐπιτήδευμα ἄγω σχολή . λέγω . 
"
6,.18c,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dTim.%3Asection%3D18c," καὶ μὲν δὴ καὶ περὶ γυναικῶν ἐπεμνήσθημεν, ὡς τὰς φύσεις τοῖς ἀνδράσιν παραπλησίας εἴη συναρμοστέον, καὶ τὰ ἐπιτηδεύματα πάντα κοινὰ κατά τε πόλεμον καὶ κατὰ τὴν ἄλλην δίαιταν δοτέον πάσαις. ταύτῃ καὶ ταῦτα ἐλέγετο. τί δὲ δὴ τὸ περὶ τῆς παιδοποιίας; ἢ τοῦτο μὲν διὰ τὴν ἀήθειαν τῶν λεχθέντων εὐμνημόνευτον, ὅτι κοινὰ τὰ τῶν γάμων καὶ τὰ τῶν παίδων πᾶσιν ἁπάντων ἐτίθεμεν, μηχανωμένους ὅπως μηδείς ποτε τὸ γεγενημένον αὐτῶν ἰδίᾳ γνώσοιτο,
","  γυνή ἐπεμνήσθημεν , φύσις ἀνήρ παραπλήσιος συναρμοστέος , ἐπιτήδευμα πᾶς κοινός πόλεμος δίαιτα δοτέω πᾶς . λέγω . παιδοποιία ; ἀήθεια λέγω εὐμνημόνευτος , κοινός γάμος παῖς πᾶς ἅπας ἐτίθημι , μηχανάομαι ὅπως μηδείς ποτε γίγνομαι ἴδιος γνώσοιτο , 
"
7,.18d,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dTim.%3Asection%3D18d,"νομιοῦσιν δὲ πάντες πάντας αὐτοὺς ὁμογενεῖς, ἀδελφὰς μὲν καὶ ἀδελφοὺς ὅσοιπερ ἂν τῆς πρεπούσης ἐντὸς ἡλικίας γίγνωνται, τοὺς δ᾽ ἔμπροσθεν καὶ ἄνωθεν γονέας τε καὶ γονέων προγόνους, τοὺς δ᾽ εἰς τὸ κάτωθεν ἐκγόνους παῖδάς τε ἐκγόνων; ναί, καὶ ταῦτα εὐμνημόνευτα ᾗ λέγεις. ὅπως δὲ δὴ κατὰ δύναμιν εὐθὺς γίγνοιντο ὡς ἄριστοι τὰς φύσεις, ἆρ᾽ οὐ μεμνήμεθα ὡς τοὺς ἄρχοντας ἔφαμεν καὶ τὰς ἀρχούσας δεῖν εἰς τὴν τῶν γάμων σύνερξιν λάθρᾳ
","νομίζω πᾶς πᾶς ὁμογενής , ἀδελφή ἀδελφός ὅσος πρέπω ἐντός ἡλικία γίγγνομαι , δέ ἔμπροσθεν ἄνωθεν γονεύς γονεύς πρόγονος , δέ κάτωθεν ἐκγόνους παῖς ἔκγονος ; ναί , εὐμνημόνευτος λέγω . ὅπως δύναμις εὐθύς γίγνγοιμαν ἄριστος φύσις , ἆρ᾽ μεμνήμεθα ἄρχων ἔφαμεν ἀρχάω δεῖ γάμος σύνερξις λάθρῃ 
"
8,.18e,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dTim.%3Asection%3D18e,"μηχανᾶσθαι κλήροις τισὶν ὅπως οἱ κακοὶ χωρὶς οἵ τ᾽ ἀγαθοὶ ταῖς ὁμοίαις ἑκάτεροι συλλήξονται, καὶ μή τις αὐτοῖς ἔχθρα διὰ ταῦτα γίγνηται, τύχην ἡγουμένοις αἰτίαν τῆς συλλήξεως; μεμνήμεθα.
","μηχανάομαι κλῆρος τὶς ὅπως κακός χωρίς τ᾽ ἀγαθός ὅμοιος ἑκάτερος συλλήξονται , ἔχθρα γίγνομαι , τύχη ἡγέω αἰτία συλλήξεως ; μεμνήμεθα . 
"
9,.19a,https://www.perseus.tufts.edu/hopper/xmlchunk?doc=Perseus%3atext%3a1999.01.0179%3atext%3dTim.%3Asection%3D19a," καὶ μὴν ὅτι γε τὰ μὲν τῶν ἀγαθῶν θρεπτέον ἔφαμεν εἶναι, τὰ δὲ τῶν κακῶν εἰς τὴν ἄλλην λάθρᾳ διαδοτέον πόλιν: ἐπαυξανομένων δὲ σκοποῦντας ἀεὶ τοὺς ἀξίους πάλιν ἀνάγειν δεῖν, τοὺς δὲ παρὰ σφίσιν ἀναξίους εἰς τὴν τῶν ἐπανιόντων χώραν μεταλλάττειν; οὕτως. ἆρ᾽ οὖν δὴ διεληλύθαμεν ἤδη καθάπερ χθές, ὡς ἐν κεφαλαίοις πάλιν ἐπανελθεῖν, ἢ ποθοῦμεν ἔτι τι τῶν ῥηθέντων, ὦ φίλε Γίμαιε, ὡς ἀπολειπόμενον;
","  μήν ἀγαθός θρεπτέος φάμω , κακός λάθρῃ διαδοτέω πόλις : ἐπαυξανομένων σκοπέω ἀεί ἄξιος πάλιν ἀνάγω δεῖ , σφεῖς ἀνάξιος ἐπαίενμι χώρα μεταλλάττω ; . ἆρ᾽ διεληλύθαμεν ἤδη καθάπερ χθές , κεφαλαίοις πάλιν ἐπανέρχομαι , ποθέω λέγω , φίλος Γίμαιος , ἀπολέιπω ; 
"
